<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,DHM,7.95,8.19,7.65,7.65,1905280,7.95,8.19,7.65,7.65,0,1000,0
20170626,DHM,8.6,8.75,8.17,8.18,1611090,8.6,8.75,8.17,8.18,0,1000,0
20170623,DHM,9.03,9.06,8.5,8.75,2486980,9.03,9.06,8.5,8.75,0,2030,0
20170622,DHM,9.41,9.45,8.85,9.05,2561220,9.41,9.45,8.85,9.05,0,1010,0
20170621,DHM,10.0,10.0,9.43,9.43,1810460,10.0,10.0,9.43,9.43,0,0,2500
20170620,DHM,9.91,10.0,9.55,10.0,2360310,9.91,10.0,9.55,10.0,0,0,4000
20170619,DHM,9.73,9.99,9.6,9.94,1753310,9.73,9.99,9.6,9.94,0,0,0
20170616,DHM,9.73,9.74,9.7,9.73,435860,9.73,9.74,9.7,9.73,0,0,1500
20170615,DHM,9.72,9.8,9.71,9.72,553530,9.72,9.8,9.71,9.72,0,0,0
20170614,DHM,9.59,9.85,9.52,9.72,829820,9.59,9.85,9.52,9.72,0,0,0
20170613,DHM,9.46,9.7,9.43,9.6,645760,9.46,9.7,9.43,9.6,0,0,6500
20170612,DHM,9.34,9.8,9.25,9.46,604710,9.34,9.8,9.25,9.46,0,0,0
20170609,DHM,9.55,9.6,9.36,9.37,1790500,9.55,9.6,9.36,9.37,0,0,1800
20170608,DHM,9.68,9.78,9.37,9.55,1884200,9.68,9.78,9.37,9.55,0,0,0
20170607,DHM,9.75,9.85,9.55,9.69,1537190,9.75,9.85,9.55,9.69,0,0,0
20170606,DHM,9.92,9.95,9.7,9.77,1655630,9.92,9.95,9.7,9.77,0,0,0
20170605,DHM,9.57,10.0,9.48,9.92,1517450,9.57,10.0,9.48,9.92,0,0,0
20170602,DHM,9.2,9.7,9.07,9.57,1287430,9.2,9.7,9.07,9.57,0,0,300
20170601,DHM,8.88,9.4,8.83,9.13,792420,8.88,9.4,8.83,9.13,0,0,1000
20170531,DHM,8.63,9.25,8.6,8.88,836600,8.63,9.25,8.6,8.88,0,0,0
20170530,DHM,9.23,9.3,8.65,8.65,2578720,9.23,9.3,8.65,8.65,0,0,9000
20170529,DHM,9.58,9.6,9.2,9.25,1902560,9.58,9.6,9.2,9.25,0,0,0
20170526,DHM,9.64,9.85,9.45,9.65,2006720,9.64,9.85,9.45,9.65,0,0,0
