<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,DIC,7.1,7.1,6.93,6.93,136500,7.1,7.1,6.93,6.93,85350,0,0
20170626,DIC,7.05,7.1,6.95,7.1,50030,7.05,7.1,6.95,7.1,0,0,0
20170623,DIC,7.2,7.2,6.91,7.1,3820,7.2,7.2,6.91,7.1,76000,0,0
20170622,DIC,7.0,7.09,6.99,7.09,43530,7.0,7.09,6.99,7.09,0,0,0
20170621,DIC,7.0,7.0,6.9,7.0,15760,7.0,7.0,6.9,7.0,160000,0,0
20170620,DIC,7.0,7.0,6.9,6.95,50610,7.0,7.0,6.9,6.95,385442,0,0
20170619,DIC,7.0,7.09,6.95,7.0,21300,7.0,7.09,6.95,7.0,400000,0,0
20170616,DIC,7.05,7.05,6.95,7.0,96280,7.05,7.05,6.95,7.0,70000,0,0
20170615,DIC,7.05,7.08,6.96,6.96,178050,7.05,7.08,6.96,6.96,0,0,0
20170614,DIC,7.08,7.1,7.08,7.08,92650,7.08,7.1,7.08,7.08,0,0,0
20170613,DIC,7.0,7.1,7.0,7.08,25520,7.0,7.1,7.0,7.08,0,0,0
20170612,DIC,7.19,7.19,7.0,7.0,68180,7.19,7.19,7.0,7.0,0,0,0
20170609,DIC,7.5,7.5,7.0,7.0,19680,7.5,7.5,7.0,7.0,0,0,430
20170608,DIC,7.1,7.15,6.8,7.15,53920,7.1,7.15,6.8,7.15,119000,0,0
20170607,DIC,7.1,7.15,7.1,7.1,14350,7.1,7.15,7.1,7.1,0,0,0
20170606,DIC,7.1,7.1,7.0,7.1,11270,7.1,7.1,7.0,7.1,0,0,0
20170605,DIC,7.15,7.15,7.0,7.0,22600,7.15,7.15,7.0,7.0,0,0,0
20170602,DIC,7.1,7.2,6.91,7.2,7030,7.1,7.2,6.91,7.2,0,0,0
20170601,DIC,7.2,7.3,7.0,7.3,154360,7.2,7.3,7.0,7.3,0,0,0
20170531,DIC,7.2,7.2,7.19,7.2,17810,7.2,7.2,7.19,7.2,0,0,0
20170530,DIC,7.0,7.25,7.0,7.2,15720,7.0,7.25,7.0,7.2,0,0,0
20170529,DIC,6.6,7.21,6.6,7.2,26470,6.6,7.21,6.6,7.2,0,0,0
20170526,DIC,6.7,6.75,6.5,6.74,39450,6.7,6.75,6.5,6.74,0,0,0
20170525,DIC,6.87,6.9,6.7,6.7,40460,6.87,6.9,6.7,6.7,0,0,0
20170524,DIC,6.89,7.0,6.82,6.87,8890,6.89,7.0,6.82,6.87,0,0,0
20170523,DIC,6.7,6.95,6.7,6.85,217570,6.7,6.95,6.7,6.85,0,2800,0
20170522,DIC,7.0,7.0,6.9,6.95,178160,7.0,7.0,6.9,6.95,0,0,0
20170519,DIC,7.0,7.0,6.83,7.0,21150,7.0,7.0,6.83,7.0,0,0,0
20170518,DIC,6.85,7.2,6.85,6.9,33440,6.85,7.2,6.85,6.9,0,0,0
20170517,DIC,7.0,7.1,7.0,7.0,25410,7.0,7.1,7.0,7.0,0,0,0
20170516,DIC,7.06,7.23,7.05,7.06,76380,7.06,7.23,7.05,7.06,0,0,0
20170515,DIC,7.2,7.23,7.08,7.23,79980,7.2,7.23,7.08,7.23,0,0,0
20170512,DIC,7.0,7.25,7.0,7.05,109640,7.0,7.25,7.0,7.05,0,0,0
20170511,DIC,7.13,7.13,7.0,7.0,36870,7.13,7.13,7.0,7.0,0,0,0
20170510,DIC,7.2,7.25,7.02,7.2,48040,7.2,7.25,7.02,7.2,0,0,0
20170509,DIC,7.25,7.4,7.16,7.16,78670,7.25,7.4,7.16,7.16,0,0,0
