<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170608,DID,5.0,5.0,5.0,5.0,300,5.0,5.0,5.0,5.0,0,0,0
20170606,DID,5.0,5.0,5.0,5.0,100,5.0,5.0,5.0,5.0,0,0,0
20170525,DID,5.0,5.0,5.0,5.0,2000,5.0,5.0,5.0,5.0,0,0,0
20170524,DID,5.4,5.4,5.4,5.4,200,5.4,5.4,5.4,5.4,0,0,0
20170512,DID,5.0,5.0,5.0,5.0,200,5.0,5.0,5.0,5.0,0,0,0
20170510,DID,5.0,5.0,5.0,5.0,100,5.0,5.0,5.0,5.0,0,0,0
20170328,DID,5.5,5.5,5.5,5.5,20,5.5,5.5,5.5,5.5,0,0,0
20170323,DID,5.5,5.5,5.5,5.5,20,5.5,5.5,5.5,5.5,0,0,0
20170208,DID,5.5,5.5,5.5,5.5,100,5.5,5.5,5.5,5.5,0,100,0
20170112,DID,5.1,5.1,5.1,5.1,200,5.1,5.1,5.1,5.1,0,0,0
20161226,DID,5.5,5.5,5.5,5.5,100,5.5,5.5,5.5,5.5,0,0,0
20161222,DID,5.0,5.0,5.0,5.0,100,5.0,5.0,5.0,5.0,0,0,0
20161102,DID,4.7,4.7,4.7,4.7,20,4.7,4.7,4.7,4.7,0,0,0
20161028,DID,4.7,4.7,4.7,4.7,20,4.7,4.7,4.7,4.7,0,0,0
20161027,DID,4.5,4.7,4.5,4.7,11600,4.5,4.7,4.5,4.7,0,0,0
20160928,DID,4.5,4.5,4.5,4.5,500,4.5,4.5,4.5,4.5,0,0,0
20160919,DID,4.5,4.5,4.5,4.5,3700,4.5,4.5,4.5,4.5,0,0,0
20160906,DID,4.1,4.1,4.1,4.1,4000,4.1,4.1,4.1,4.1,0,0,0
20160901,DID,3.8,3.8,3.8,3.8,300,3.8,3.8,3.8,3.8,0,0,0
20160824,DID,4.2,4.2,4.2,4.2,100,4.2,4.2,4.2,4.2,0,0,0
20160822,DID,4.1,4.1,4.1,4.1,1000,4.1,4.1,4.1,4.1,0,0,0
20160812,DID,4.2,4.2,4.2,4.2,7800,4.2,4.2,4.2,4.2,0,0,0
20160810,DID,4.2,4.2,4.2,4.2,15000,4.2,4.2,4.2,4.2,0,0,0
20160809,DID,4.0,4.0,4.0,4.0,100,4.0,4.0,4.0,4.0,0,0,0
20160802,DID,4.2,4.2,4.2,4.2,13700,4.2,4.2,4.2,4.2,0,0,0
20160727,DID,4.1,4.1,4.1,4.1,2500,4.1,4.1,4.1,4.1,0,0,0
20160722,DID,4.5,4.5,4.5,4.5,10000,4.5,4.5,4.5,4.5,0,0,0
20160715,DID,4.9,4.9,4.9,4.9,500,4.9,4.9,4.9,4.9,0,0,0
20160714,DID,4.9,4.9,4.9,4.9,13200,4.9,4.9,4.9,4.9,0,0,0
20160713,DID,4.5,4.5,4.5,4.5,3500,4.5,4.5,4.5,4.5,0,0,0
20160708,DID,4.5,4.5,4.5,4.5,2800,4.5,4.5,4.5,4.5,0,0,0
20160707,DID,4.5,4.5,4.5,4.5,13600,4.5,4.5,4.5,4.5,0,0,0
20160705,DID,4.9,4.9,4.9,4.9,100,4.9,4.9,4.9,4.9,0,0,0
20160704,DID,4.5,4.5,4.5,4.5,3600,4.5,4.5,4.5,4.5,0,0,0
20160701,DID,4.5,4.9,4.5,4.9,12200,4.5,4.9,4.5,4.9,0,0,0
20160630,DID,4.9,4.9,4.5,4.5,700,4.9,4.9,4.5,4.5,0,0,0
20160629,DID,4.5,4.5,4.5,4.5,4700,4.5,4.5,4.5,4.5,0,0,0
20160623,DID,4.9,4.9,4.9,4.9,100,4.9,4.9,4.9,4.9,0,0,0
20160622,DID,4.9,4.9,4.5,4.5,300,4.9,4.9,4.5,4.5,0,0,0
20160621,DID,4.9,4.9,4.5,4.5,5300,4.9,4.9,4.5,4.5,0,0,0
