<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170421,DLT,8.3,8.3,8.3,8.3,100,8.3,8.3,8.3,8.3,0,0,0
20170119,DLT,13.7,13.7,13.7,13.7,500,13.7,13.7,13.7,13.7,0,0,0
20170112,DLT,13.2,13.2,13.2,13.2,500,13.2,13.2,13.2,13.2,0,0,0
20170105,DLT,11.5,11.5,11.5,11.5,1000,11.5,11.5,11.5,11.5,0,0,0
20161229,DLT,10.0,10.0,10.0,10.0,2400,10.0,10.0,10.0,10.0,0,0,0
20160817,DLT,16.5,16.5,16.5,16.5,1000,16.5,16.5,16.5,16.5,0,1000,0
20160419,DLT,15.1,15.1,15.1,15.1,3000,16.5,16.5,16.5,16.5,0,0,0
20160304,DLT,15.1,15.1,15.1,15.1,5000,16.5,16.5,16.5,16.5,0,0,0
20160205,DLT,15.1,15.1,15.1,15.1,500,16.5,16.5,16.5,16.5,0,0,0
20160112,DLT,15.1,15.1,15.1,15.1,500,16.5,16.5,16.5,16.5,0,0,0
20151217,DLT,15.1,15.1,15.1,15.1,300,16.5,16.5,16.5,16.5,0,0,0
20151127,DLT,14.64,14.64,14.64,14.64,2000,16.0,16.0,16.0,16.0,0,0,0
20151126,DLT,14.64,14.64,14.64,14.64,1000,16.0,16.0,16.0,16.0,0,0,0
20151124,DLT,14.64,14.64,14.64,14.64,2600,16.0,16.0,16.0,16.0,0,0,0
20151123,DLT,14.64,14.64,14.64,14.64,1500,16.0,16.0,16.0,16.0,0,0,0
20151120,DLT,14.64,14.64,14.64,14.64,3000,16.0,16.0,16.0,16.0,0,0,0
