<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,DPH,22.1,22.1,22.0,22.0,1500,22.1,22.1,22.0,22.0,0,1000,0
20170626,DPH,25.0,25.0,25.0,25.0,2800,25.0,25.0,25.0,25.0,0,2000,0
20170623,DPH,25.0,25.0,25.0,25.0,90,25.0,25.0,25.0,25.0,0,0,0
20170620,DPH,25.0,25.0,25.0,25.0,700,25.0,25.0,25.0,25.0,0,0,0
20170616,DPH,25.5,25.5,25.5,25.5,800,25.5,25.5,25.5,25.5,0,0,0
20170615,DPH,25.5,25.5,25.5,25.5,510,25.5,25.5,25.5,25.5,0,0,0
20170613,DPH,25.0,25.0,25.0,25.0,200,25.0,25.0,25.0,25.0,0,0,0
20170612,DPH,25.0,25.5,22.3,24.0,3100,25.0,25.5,22.3,24.0,0,0,0
20170609,DPH,25.0,25.0,25.0,25.0,200,25.0,25.0,25.0,25.0,0,0,0
20170608,DPH,25.0,25.0,25.0,25.0,100,25.0,25.0,25.0,25.0,0,0,0
20170607,DPH,23.0,23.0,23.0,23.0,300,23.0,23.0,23.0,23.0,0,0,0
20170605,DPH,27.0,27.0,27.0,27.0,100,27.0,27.0,27.0,27.0,0,0,0
20170601,DPH,27.0,27.0,27.0,27.0,300,27.0,27.0,27.0,27.0,0,0,0
20170531,DPH,27.0,27.0,27.0,27.0,300,27.0,27.0,27.0,27.0,0,0,0
20170529,DPH,27.0,27.0,27.0,27.0,200,27.0,27.0,27.0,27.0,0,0,0
20170524,DPH,27.0,27.0,27.0,27.0,500,27.0,27.0,27.0,27.0,0,0,0
20170522,DPH,23.6,23.7,23.6,23.7,200,23.6,23.7,23.6,23.7,0,0,0
20170519,DPH,27.5,28.0,27.0,28.0,1200,27.5,28.0,27.0,28.0,0,0,0
20170515,DPH,26.0,26.0,26.0,26.0,600,26.0,26.0,26.0,26.0,0,0,0
20170512,DPH,26.0,26.0,26.0,26.0,500,26.0,26.0,26.0,26.0,0,0,0
20170511,DPH,26.0,26.0,26.0,26.0,39,26.0,26.0,26.0,26.0,0,0,0
20170510,DPH,26.0,26.0,26.0,26.0,500,26.0,26.0,26.0,26.0,0,0,0
20170428,DPH,25.7,25.7,25.7,25.7,100,25.7,25.7,25.7,25.7,0,0,0
20170426,DPH,22.1,22.5,22.1,22.5,1400,22.1,22.5,22.1,22.5,0,0,0
20170425,DPH,19.6,19.6,19.6,19.6,100,19.6,19.6,19.6,19.6,0,0,0
20170421,DPH,17.1,17.1,17.1,17.1,1600,17.1,17.1,17.1,17.1,0,0,0
20170419,DPH,14.9,14.9,14.9,14.9,726,14.9,14.9,14.9,14.9,0,0,0
20170331,DPH,13.0,13.0,13.0,13.0,300,13.0,13.0,13.0,13.0,0,0,0
