<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,DTA,7.11,7.4,7.05,7.05,296370,7.11,7.4,7.05,7.05,0,0,87000
20170626,DTA,8.1,8.1,7.54,7.57,173660,8.1,8.1,7.54,7.57,0,0,87000
20170623,DTA,7.5,8.1,7.44,8.1,231130,7.5,8.1,7.44,8.1,0,0,45000
20170622,DTA,8.0,8.13,7.2,8.0,191510,8.0,8.13,7.2,8.0,0,0,580
20170621,DTA,7.63,7.63,6.65,7.63,413260,7.63,7.63,6.65,7.63,0,400,0
20170620,DTA,7.14,7.14,7.14,7.14,49220,7.14,7.14,7.14,7.14,0,0,0
20170619,DTA,6.68,6.68,6.68,6.68,31060,6.68,6.68,6.68,6.68,0,0,0
20170616,DTA,6.25,6.25,6.25,6.25,79410,6.25,6.25,6.25,6.25,0,0,0
20170615,DTA,5.85,5.85,5.85,5.85,3050,5.85,5.85,5.85,5.85,0,0,1000
20170614,DTA,5.47,5.47,5.47,5.47,26300,5.47,5.47,5.47,5.47,0,0,0
20170613,DTA,5.12,5.12,5.12,5.12,161460,5.12,5.12,5.12,5.12,0,0,0
20170612,DTA,4.79,4.79,4.79,4.79,15890,4.79,4.79,4.79,4.79,0,0,0
20170609,DTA,4.15,4.48,4.15,4.48,122940,4.15,4.48,4.15,4.48,0,0,0
20170608,DTA,4.19,4.25,4.15,4.19,57570,4.19,4.25,4.15,4.19,0,0,0
20170607,DTA,3.96,4.2,3.95,4.03,68380,3.96,4.2,3.95,4.03,0,760,2000
20170606,DTA,4.2,4.2,3.99,3.99,197310,4.2,4.2,3.99,3.99,0,820,3000
20170605,DTA,4.0,4.2,4.0,4.2,100140,4.0,4.2,4.0,4.2,0,0,0
20170602,DTA,4.19,4.19,4.0,4.0,93380,4.19,4.19,4.0,4.0,0,0,0
20170601,DTA,4.0,4.47,3.95,3.98,99860,4.0,4.47,3.95,3.98,0,0,0
20170531,DTA,4.54,4.54,3.96,4.2,131860,4.54,4.54,3.96,4.2,0,0,0
20170530,DTA,4.17,4.46,3.88,4.25,169000,4.17,4.46,3.88,4.25,624000,0,20
20170529,DTA,4.17,4.17,3.96,4.17,217420,4.17,4.17,3.96,4.17,0,5000,200
20170526,DTA,3.9,3.9,3.8,3.9,112080,3.9,3.9,3.8,3.9,0,0,200
20170525,DTA,3.57,4.03,3.57,3.65,51830,3.57,4.03,3.57,3.65,0,0,0
20170524,DTA,4.05,4.05,3.53,3.77,316310,4.05,4.05,3.53,3.77,0,0,43200
20170523,DTA,3.79,3.79,3.79,3.79,29560,3.79,3.79,3.79,3.79,0,0,0
20170522,DTA,3.55,3.55,3.55,3.55,3150,3.55,3.55,3.55,3.55,0,0,0
20170519,DTA,3.32,3.32,3.32,3.32,46030,3.32,3.32,3.32,3.32,0,3000,0
20170518,DTA,3.11,3.11,3.11,3.11,1130,3.11,3.11,3.11,3.11,0,0,0
20170517,DTA,2.91,2.91,2.91,2.91,66470,2.91,2.91,2.91,2.91,0,0,0
20170516,DTA,2.6,2.72,2.41,2.72,152940,2.6,2.72,2.41,2.72,0,0,0
20170515,DTA,2.58,2.6,2.5,2.55,40220,2.58,2.6,2.5,2.55,0,0,0
20170512,DTA,2.5,2.6,2.41,2.6,11580,2.5,2.6,2.41,2.6,0,0,0
20170511,DTA,2.59,2.59,2.39,2.57,13660,2.59,2.59,2.39,2.57,0,0,0
20170510,DTA,2.64,2.64,2.47,2.56,45860,2.64,2.64,2.47,2.56,0,0,0
20170509,DTA,2.31,2.47,2.31,2.47,64630,2.31,2.47,2.31,2.47,0,0,4180
20170508,DTA,2.35,2.39,2.24,2.31,37420,2.35,2.39,2.24,2.31,0,0,0
20170505,DTA,2.2,2.39,2.2,2.35,54060,2.2,2.39,2.2,2.35,0,0,0
20170504,DTA,2.23,2.32,2.22,2.32,24130,2.23,2.32,2.22,2.32,0,0,0
20170503,DTA,2.33,2.35,2.21,2.22,18220,2.33,2.35,2.21,2.22,0,0,0
20170428,DTA,2.34,2.34,2.21,2.34,18940,2.34,2.34,2.21,2.34,0,4180,0
20170427,DTA,2.35,2.35,2.27,2.35,38700,2.35,2.35,2.27,2.35,0,0,0
20170426,DTA,2.35,2.35,2.25,2.35,6940,2.35,2.35,2.25,2.35,0,0,0
20170425,DTA,2.35,2.38,2.25,2.35,39000,2.35,2.38,2.25,2.35,242310,0,0
20170424,DTA,2.37,2.37,2.25,2.33,16090,2.37,2.37,2.25,2.33,0,0,0
20170421,DTA,2.38,2.38,2.25,2.25,6610,2.38,2.38,2.25,2.25,0,0,0
20170420,DTA,2.35,2.35,2.25,2.3,9990,2.35,2.35,2.25,2.3,0,0,0
20170419,DTA,2.31,2.37,2.3,2.37,8290,2.31,2.37,2.3,2.37,0,0,0
