<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,EIB,12.7,12.85,12.5,12.7,448540,12.7,12.85,12.5,12.7,0,51000,0
20170626,EIB,12.7,12.9,12.65,12.7,648500,12.7,12.9,12.65,12.7,20008,51000,0
20170623,EIB,12.7,13.0,12.7,12.85,575510,12.7,13.0,12.7,12.85,8196000,350,0
20170622,EIB,13.5,13.55,13.1,13.1,490280,13.5,13.55,13.1,13.1,0,1920,5000
20170621,EIB,13.6,13.8,13.0,13.4,1772190,13.6,13.8,13.0,13.4,0,23030,150
20170620,EIB,12.3,13.15,12.3,13.1,2478570,12.3,13.15,12.3,13.1,8333334,40000,100
20170619,EIB,12.2,12.4,12.2,12.3,588620,12.2,12.4,12.2,12.3,0,10,0
20170616,EIB,12.15,12.2,12.0,12.2,143830,12.15,12.2,12.0,12.2,0,1930,0
20170615,EIB,12.15,12.25,12.05,12.15,185260,12.15,12.25,12.05,12.15,0,56040,0
20170614,EIB,12.35,12.35,12.15,12.15,435530,12.35,12.35,12.15,12.15,0,2000,0
20170613,EIB,12.25,12.4,12.15,12.35,329600,12.25,12.4,12.15,12.35,0,24490,4200
20170612,EIB,12.4,12.6,12.1,12.25,291690,12.4,12.6,12.1,12.25,0,36620,2120
20170609,EIB,12.4,12.6,12.1,12.3,1149610,12.4,12.6,12.1,12.3,0,0,0
20170608,EIB,12.0,12.0,11.8,11.8,111990,12.0,12.0,11.8,11.8,53628698,20,0
20170607,EIB,12.0,12.3,11.9,12.0,478210,12.0,12.3,11.9,12.0,1601510,200,0
20170606,EIB,11.5,12.0,11.4,11.9,364660,11.5,12.0,11.4,11.9,2385000,0,1700
20170605,EIB,11.5,11.6,11.5,11.6,81990,11.5,11.6,11.5,11.6,0,200,0
20170602,EIB,11.6,11.8,11.6,11.6,256820,11.6,11.8,11.6,11.6,0,13900,0
20170601,EIB,11.7,11.9,11.7,11.8,238310,11.7,11.9,11.7,11.8,0,0,0
20170531,EIB,11.75,12.0,11.6,11.9,317540,11.75,12.0,11.6,11.9,0,0,18420
20170530,EIB,11.8,12.0,11.7,11.8,552640,11.8,12.0,11.7,11.8,0,0,5000
20170529,EIB,11.8,11.8,11.6,11.75,368170,11.8,11.8,11.6,11.75,0,50000,1000
20170526,EIB,11.45,11.85,11.3,11.7,374330,11.45,11.85,11.3,11.7,0,229770,24990
20170525,EIB,11.4,11.55,11.3,11.5,141750,11.4,11.55,11.3,11.5,0,4410,0
20170524,EIB,11.3,11.5,11.15,11.45,310370,11.3,11.5,11.15,11.45,0,130700,0
20170523,EIB,11.3,11.45,11.25,11.3,318140,11.3,11.45,11.25,11.3,0,0,0
20170522,EIB,11.0,11.85,11.0,11.45,617410,11.0,11.85,11.0,11.45,0,0,0
20170519,EIB,11.0,11.1,10.95,11.1,81050,11.0,11.1,10.95,11.1,0,300,0
20170518,EIB,11.0,11.1,10.9,11.1,104250,11.0,11.1,10.9,11.1,0,0,0
20170517,EIB,10.95,11.1,10.9,11.0,295740,10.95,11.1,10.9,11.0,0,0,0
20170516,EIB,11.1,11.15,11.0,11.0,373780,11.1,11.15,11.0,11.0,0,8000,0
20170515,EIB,11.2,11.2,11.05,11.15,262580,11.2,11.2,11.05,11.15,0,0,0
20170512,EIB,11.15,11.2,11.15,11.2,99930,11.15,11.2,11.15,11.2,0,0,0
