<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,FTS,12.5,12.5,12.3,12.4,48230,12.5,12.5,12.3,12.4,0,8120,0
20170626,FTS,12.5,12.55,12.4,12.45,190260,12.5,12.55,12.4,12.45,0,8120,0
20170623,FTS,12.5,12.5,11.65,12.45,200670,12.5,12.5,11.65,12.45,0,1000,0
20170622,FTS,12.4,12.5,12.4,12.45,147920,12.4,12.5,12.4,12.45,0,1000,10
20170621,FTS,12.4,12.45,12.4,12.4,115600,12.4,12.45,12.4,12.4,0,1000,0
20170620,FTS,12.55,12.55,12.4,12.5,350340,12.55,12.55,12.4,12.5,0,1000,75000
20170619,FTS,12.55,12.6,12.4,12.5,324630,12.55,12.6,12.4,12.5,0,3100,0
20170616,FTS,12.1,12.6,12.1,12.55,468870,12.1,12.6,12.1,12.55,0,12000,880
20170615,FTS,11.75,12.1,11.75,12.0,63110,11.75,12.1,11.75,12.0,0,1000,0
20170614,FTS,11.75,11.75,11.7,11.75,41180,11.75,11.75,11.7,11.75,0,1000,70
20170613,FTS,11.75,11.75,11.65,11.65,21730,11.75,11.75,11.65,11.65,0,1020,970
20170612,FTS,11.65,11.7,11.6,11.7,61510,11.65,11.7,11.6,11.7,0,1010,0
20170609,FTS,11.8,11.8,11.65,11.8,45220,11.8,11.8,11.65,11.8,0,1000,0
20170608,FTS,11.8,11.85,11.8,11.85,21000,11.8,11.85,11.8,11.85,0,1010,0
20170607,FTS,11.9,11.9,11.7,11.8,13930,11.9,11.9,11.7,11.8,0,1080,0
20170606,FTS,11.65,11.7,11.6,11.7,13410,11.65,11.7,11.6,11.7,0,1000,0
20170605,FTS,11.7,11.75,11.65,11.65,29410,11.7,11.75,11.65,11.65,0,1000,1600
20170602,FTS,11.7,11.7,11.65,11.7,12770,11.7,11.7,11.65,11.7,0,0,0
20170601,FTS,11.95,11.95,11.7,11.8,16060,11.95,11.95,11.7,11.8,0,0,0
20170531,FTS,11.75,11.8,11.7,11.8,48200,11.75,11.8,11.7,11.8,0,110,0
20170530,FTS,11.9,11.9,11.75,11.75,49170,11.9,11.9,11.75,11.75,0,350,0
20170529,FTS,11.95,12.1,11.9,12.0,85940,11.95,12.1,11.9,12.0,0,40,10000
20170526,FTS,12.0,12.0,11.95,12.0,27830,12.0,12.0,11.95,12.0,0,0,0
20170525,FTS,12.2,12.2,11.95,12.1,18000,12.2,12.2,11.95,12.1,0,60,0
20170524,FTS,11.85,12.2,11.85,12.1,115500,11.85,12.2,11.85,12.1,0,10,10
20170523,FTS,12.0,12.0,11.9,12.0,17610,12.0,12.0,11.9,12.0,0,10,0
20170522,FTS,12.0,12.15,11.9,12.0,77960,12.0,12.15,11.9,12.0,0,900,35000
20170519,FTS,11.95,12.4,11.95,11.95,192860,11.95,12.4,11.95,11.95,0,0,108450
20170518,FTS,11.9,12.05,11.9,12.0,20310,11.9,12.05,11.9,12.0,0,0,0
20170517,FTS,11.9,12.05,11.9,12.0,9800,11.9,12.05,11.9,12.0,0,1300,0
20170516,FTS,12.0,12.05,11.95,11.95,30920,12.0,12.05,11.95,11.95,0,1060,0
20170515,FTS,12.0,12.05,11.9,12.0,17730,12.0,12.05,11.9,12.0,0,220,0
20170512,FTS,11.95,12.1,11.95,12.0,35160,11.95,12.1,11.95,12.0,0,0,0
20170511,FTS,12.1,12.2,11.95,11.95,29650,12.1,12.2,11.95,11.95,0,0,0
20170510,FTS,12.1,12.2,11.95,12.05,40740,12.1,12.2,11.95,12.05,0,1000,0
20170509,FTS,12.2,12.2,11.9,12.0,5870,12.2,12.2,11.9,12.0,0,840,0
20170508,FTS,12.3,12.35,12.2,12.2,13720,12.3,12.35,12.2,12.2,0,1250,0
20170505,FTS,13.11,13.49,13.06,13.2,44750,13.6,14.0,13.55,13.7,0,0,0
20170504,FTS,13.06,13.11,13.01,13.06,18130,13.55,13.6,13.5,13.55,0,450,0
20170503,FTS,13.06,13.11,13.06,13.06,13070,13.55,13.6,13.55,13.55,0,0,0
20170428,FTS,13.11,13.11,13.01,13.06,17450,13.6,13.6,13.5,13.55,0,7090,0
20170427,FTS,13.01,13.06,13.01,13.06,31330,13.5,13.55,13.5,13.55,0,400,0
20170426,FTS,12.91,13.01,12.72,13.01,18490,13.4,13.5,13.2,13.5,0,600,0
20170425,FTS,12.91,13.01,12.91,12.96,16280,13.4,13.5,13.4,13.45,0,400,0
20170424,FTS,13.06,13.06,12.96,12.96,11990,13.55,13.55,13.45,13.45,0,0,0
20170421,FTS,13.01,13.06,13.01,13.06,60630,13.5,13.55,13.5,13.55,0,400,0
20170420,FTS,13.01,13.01,12.91,13.01,22040,13.5,13.5,13.4,13.5,0,20,0
20170419,FTS,13.01,13.01,12.91,13.01,10560,13.5,13.5,13.4,13.5,0,0,0
20170418,FTS,12.72,13.06,12.72,12.91,18940,13.2,13.55,13.2,13.4,0,0,0
20170417,FTS,13.15,13.15,13.01,13.06,30910,13.65,13.65,13.5,13.55,0,0,0
20170414,FTS,12.86,13.01,12.81,13.01,19030,13.35,13.5,13.3,13.5,0,0,0
20170413,FTS,12.91,13.05,12.91,12.91,111250,13.4,13.55,13.4,13.4,0,1000,0
20170412,FTS,13.06,13.06,12.87,12.86,59000,13.55,13.55,13.35,13.35,0,1000,0
20170411,FTS,13.01,13.06,12.91,13.01,46290,13.5,13.55,13.4,13.5,0,4270,0
20170410,FTS,13.06,13.06,13.01,13.01,66370,13.55,13.55,13.5,13.5,0,0,0
20170407,FTS,12.62,13.1,12.62,13.01,56300,13.1,13.6,13.1,13.5,0,0,0
20170405,FTS,12.91,13.06,12.91,12.91,62740,13.4,13.55,13.4,13.4,0,0,0
20170404,FTS,13.06,13.06,13.01,13.01,44140,13.55,13.55,13.5,13.5,0,0,0
20170403,FTS,13.06,13.25,13.06,13.06,44450,13.55,13.75,13.55,13.55,0,11000,0
20170331,FTS,13.06,13.11,12.96,13.06,44880,13.55,13.6,13.45,13.55,0,0,0
20170330,FTS,13.1,13.2,13.01,13.01,68850,13.6,13.7,13.5,13.5,0,0,0
20170329,FTS,12.96,13.15,12.91,13.15,32040,13.45,13.65,13.4,13.65,0,0,0
20170328,FTS,13.1,13.1,12.96,13.01,91410,13.6,13.6,13.45,13.5,0,0,0
20170327,FTS,12.67,13.2,12.67,13.15,288540,13.15,13.7,13.15,13.65,0,0,0
20170324,FTS,12.43,12.77,12.43,12.62,98620,12.9,13.25,12.9,13.1,0,0,0
20170323,FTS,12.43,12.53,12.38,12.48,32440,12.9,13.0,12.85,12.95,0,0,0
20170322,FTS,12.48,12.53,12.48,12.48,18990,12.95,13.0,12.95,12.95,0,0,0
20170321,FTS,12.53,12.63,12.53,12.53,21290,13.0,13.1,13.0,13.0,0,0,0
20170320,FTS,12.77,12.77,12.53,12.53,55080,13.25,13.25,13.0,13.0,0,0,0
20170317,FTS,12.53,12.63,12.48,12.53,32660,13.0,13.1,12.95,13.0,0,0,0
20170316,FTS,12.62,12.62,12.43,12.53,20490,13.1,13.1,12.9,13.0,0,0,0
20170315,FTS,12.62,12.62,12.38,12.62,46700,13.1,13.1,12.85,13.1,0,1450,0
20170314,FTS,12.72,12.82,12.62,12.81,22750,13.2,13.3,13.1,13.3,0,0,0
20170313,FTS,12.57,12.71,12.57,12.72,8030,13.05,13.2,13.05,13.2,0,0,0
