<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,FUCVREIT,15.4,15.45,15.3,15.3,800,15.4,15.45,15.3,15.3,0,0,0
20170626,FUCVREIT,15.3,15.3,15.2,15.3,80,15.3,15.3,15.2,15.3,0,0,0
20170623,FUCVREIT,15.5,15.5,14.5,15.3,1080,15.5,15.5,14.5,15.3,0,0,0
20170622,FUCVREIT,16.0,16.0,15.0,15.5,300,16.0,16.0,15.0,15.5,0,0,0
20170621,FUCVREIT,15.2,15.5,15.0,15.4,2950,15.2,15.5,15.0,15.4,0,0,0
20170620,FUCVREIT,15.3,15.5,15.2,15.2,1150,15.3,15.5,15.2,15.2,0,0,0
20170619,FUCVREIT,14.5,15.4,14.45,15.0,27490,14.5,15.4,14.45,15.0,0,0,0
20170616,FUCVREIT,14.4,14.4,14.4,14.4,20,14.4,14.4,14.4,14.4,0,0,0
20170615,FUCVREIT,14.7,14.7,13.5,13.9,8220,14.7,14.7,13.5,13.9,0,0,0
20170614,FUCVREIT,15.0,15.0,14.0,14.3,3040,15.0,15.0,14.0,14.3,0,0,0
20170613,FUCVREIT,14.9,14.9,14.5,14.8,2210,14.9,14.9,14.5,14.8,0,0,0
20170612,FUCVREIT,15.1,15.1,14.8,14.9,2220,15.1,15.1,14.8,14.9,0,0,0
20170609,FUCVREIT,14.8,15.1,14.7,14.9,8810,14.8,15.1,14.7,14.9,0,0,0
20170608,FUCVREIT,15.45,15.45,14.8,15.2,7810,15.45,15.45,14.8,15.2,0,0,0
20170607,FUCVREIT,15.45,15.45,14.8,15.0,8940,15.45,15.45,14.8,15.0,0,2000,0
20170606,FUCVREIT,15.7,15.7,14.8,14.8,9410,15.7,15.7,14.8,14.8,0,0,0
20170605,FUCVREIT,16.2,16.25,14.9,15.0,11300,16.2,16.25,14.9,15.0,0,0,0
20170602,FUCVREIT,15.0,16.35,15.0,15.3,20430,15.0,16.35,15.0,15.3,0,0,0
20170601,FUCVREIT,15.2,15.5,15.0,15.3,49290,15.2,15.5,15.0,15.3,0,1000,0
20170531,FUCVREIT,16.2,18.5,16.1,16.1,27480,16.2,18.5,16.1,16.1,0,1000,0
20170530,FUCVREIT,17.3,17.4,17.3,17.3,8960,17.3,17.4,17.3,17.3,0,0,0
20170529,FUCVREIT,18.6,21.0,18.6,18.6,11810,18.6,21.0,18.6,18.6,0,60,0
20170526,FUCVREIT,20.5,20.5,20.0,20.0,1250,20.5,20.5,20.0,20.0,0,0,0
20170525,FUCVREIT,20.5,20.5,19.2,19.2,8320,20.5,20.5,19.2,19.2,0,0,0
20170524,FUCVREIT,16.7,19.2,16.7,19.2,13350,16.7,19.2,16.7,19.2,0,1000,0
20170523,FUCVREIT,17.95,17.95,17.95,17.95,210,17.95,17.95,17.95,17.95,0,0,0
20170522,FUCVREIT,19.3,19.3,19.3,19.3,210,19.3,19.3,19.3,19.3,0,0,0
20170519,FUCVREIT,20.75,20.75,20.75,20.75,10,20.75,20.75,20.75,20.75,0,0,0
20170518,FUCVREIT,22.3,22.3,22.3,22.3,710,22.3,22.3,22.3,22.3,0,0,0
20170517,FUCVREIT,27.55,27.55,23.95,23.95,10430,27.55,27.55,23.95,23.95,0,0,0
20170516,FUCVREIT,25.75,25.75,25.75,25.75,810,25.75,25.75,25.75,25.75,0,0,0
