<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170622,G36,10.0,10.5,10.0,10.5,1400,10.0,10.5,10.0,10.5,0,0,0
20170621,G36,10.5,10.5,10.5,10.5,500,10.5,10.5,10.5,10.5,2500,0,0
20170620,G36,11.0,11.0,11.0,11.0,1500,11.0,11.0,11.0,11.0,0,0,0
20170608,G36,10.74,10.74,10.74,10.73,100,11.7,11.7,11.7,11.7,0,0,0
20170606,G36,9.44,9.44,9.26,9.26,900,10.3,10.3,10.1,10.1,0,0,0
20170523,G36,9.26,9.26,9.26,9.26,2400,10.6,10.6,10.6,10.6,0,0,0
20170519,G36,10.49,11.1,10.49,11.1,4500,12.0,12.7,12.0,12.7,600,0,0
20170517,G36,10.92,10.92,10.48,10.48,3500,12.5,12.5,12.0,12.0,0,0,0
20170516,G36,9.87,9.87,9.87,9.87,1400,11.3,11.3,11.3,11.3,0,0,0
20170515,G36,8.91,10.48,8.91,10.48,2100,10.2,12.0,10.2,12.0,0,0,0
20170510,G36,10.48,10.48,10.48,10.48,1700,12.0,12.0,12.0,12.0,0,0,0
20170426,G36,10.48,10.48,10.48,10.48,900,12.0,12.0,12.0,12.0,0,0,0
20170425,G36,10.92,10.92,10.92,10.92,100,12.5,12.5,12.5,12.5,0,0,0
20170424,G36,11.35,11.35,11.35,11.36,3500,13.0,13.0,13.0,13.0,0,0,0
20170420,G36,12.15,12.24,12.06,12.06,500,13.9,14.0,13.8,13.8,0,0,0
20170417,G36,11.44,11.44,11.44,11.45,1900,13.1,13.1,13.1,13.1,0,0,0
20170331,G36,12.23,14.42,10.84,10.83,12400,14.0,16.5,12.4,12.4,0,0,0
20170329,G36,12.67,12.67,12.67,12.67,100,14.5,14.5,14.5,14.5,0,0,0
20170328,G36,12.23,12.23,11.36,11.36,1400,14.0,14.0,13.0,13.0,0,0,0
20170323,G36,10.92,11.62,10.92,11.62,1500,12.5,13.3,12.5,13.3,0,0,0
20170320,G36,11.8,11.8,11.8,11.79,600,13.5,13.5,13.5,13.5,0,0,0
20170313,G36,12.05,12.05,12.05,12.06,100,13.8,13.8,13.8,13.8,0,0,0
20170307,G36,14.15,14.15,14.15,14.15,100,16.2,16.2,16.2,16.2,0,0,0
20170306,G36,12.32,12.32,12.32,12.32,100,14.1,14.1,14.1,14.1,0,0,0
20170303,G36,10.92,10.92,10.92,10.92,500,12.5,12.5,12.5,12.5,0,0,0
20170220,G36,10.92,10.92,10.92,10.92,1000,12.5,12.5,12.5,12.5,0,0,0
20170215,G36,11.53,11.53,11.53,11.53,700,13.2,13.2,13.2,13.2,1200,0,0
20170214,G36,12.23,12.23,12.23,12.23,2800,14.0,14.0,14.0,14.0,0,0,0
20170209,G36,12.93,12.93,12.93,12.93,600,14.8,14.8,14.8,14.8,0,0,0
20170208,G36,11.19,11.36,11.19,11.36,800,12.8,13.0,12.8,13.0,0,0,0
20170206,G36,13.11,13.11,13.11,13.11,100,15.0,15.0,15.0,15.0,0,0,0
20170203,G36,14.07,14.07,14.07,14.07,600,16.1,16.1,16.1,16.1,0,0,0
20170202,G36,14.06,14.06,14.06,14.07,800,16.1,16.1,16.1,16.1,0,0,0
20170111,G36,16.52,16.52,16.52,16.51,100,18.9,18.9,18.9,18.9,0,0,0
20170103,G36,19.4,19.4,19.4,19.4,400,22.2,22.2,22.2,22.2,0,0,0
20161230,G36,19.39,19.39,19.39,19.4,600,22.2,22.2,22.2,22.2,0,0,0
20161229,G36,19.48,19.48,19.31,19.48,2100,22.3,22.3,22.1,22.3,0,0,0
20161228,G36,16.95,16.95,16.95,16.95,100,19.4,19.4,19.4,19.4,0,0,0
20161227,G36,14.76,14.76,14.76,14.77,1500,16.9,16.9,16.9,16.9,0,0,0
20161226,G36,12.84,12.84,12.84,12.84,100,14.7,14.7,14.7,14.7,0,0,0
