<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170428,GER,0.9,0.9,0.9,0.9,500,1.5,1.5,1.5,1.5,0,0,0
20170308,GER,1.5,1.5,1.5,1.5,90,2.5,2.5,2.5,2.5,0,0,0
20170303,GER,1.5,1.5,1.5,1.5,100,2.5,2.5,2.5,2.5,0,0,0
20160804,GER,2.28,2.28,2.28,2.28,200,3.8,3.8,3.8,3.8,0,0,0
20160413,GER,2.28,2.28,2.28,2.28,100,4.4,4.4,4.4,4.4,0,0,0
20160406,GER,2.64,2.64,2.64,2.64,40,5.1,5.1,5.1,5.1,0,0,0
20160404,GER,2.64,2.64,2.64,2.64,10,5.1,5.1,5.1,5.1,0,0,0
20160325,GER,2.64,2.64,2.64,2.64,50,5.1,5.1,5.1,5.1,0,0,0
20160324,GER,2.65,2.65,2.65,2.64,100,5.1,5.1,5.1,5.1,0,0,0
20160316,GER,3.0,3.0,3.0,3.01,100,5.8,5.8,5.8,5.8,0,0,0
20160314,GER,3.53,3.53,3.53,3.52,100,6.8,6.8,6.8,6.8,0,0,0
20160311,GER,4.15,4.15,4.15,4.15,100,8.0,8.0,8.0,8.0,0,0,0
20160302,GER,4.82,4.82,4.82,4.82,200,9.3,9.3,9.3,9.3,0,0,0
20160128,GER,4.2,4.2,4.2,4.2,100,8.1,8.1,8.1,8.1,0,0,0
20151211,GER,3.0,3.0,3.0,3.01,100,5.8,5.8,5.8,5.8,0,0,0
20151201,GER,2.69,2.69,2.69,2.69,100,5.2,5.2,5.2,5.2,0,0,0
20151127,GER,2.38,2.38,2.38,2.38,100,4.6,4.6,4.6,4.6,0,0,0
20151126,GER,2.07,2.07,2.07,2.07,100,4.0,4.0,4.0,4.0,0,0,0
20151125,GER,1.82,1.82,1.82,1.81,100,3.5,3.5,3.5,3.5,0,0,0
20151124,GER,1.61,1.61,1.61,1.61,100,3.1,3.1,3.1,3.1,0,0,0
20151123,GER,1.4,1.4,1.4,1.4,100,2.7,2.7,2.7,2.7,0,0,0
20151113,GER,1.24,1.24,1.24,1.24,100,2.4,2.4,2.4,2.4,0,0,0
20150914,GER,3.11,3.11,1.45,1.45,300,6.0,6.0,2.8,2.8,0,0,0
20150730,GER,2.23,2.23,2.23,2.23,500,4.3,4.3,4.3,4.3,0,0,0
20150715,GER,1.97,1.97,1.97,1.97,100,3.8,3.8,3.8,3.8,0,0,0
20150710,GER,2.23,2.23,2.23,2.23,100,4.3,4.3,4.3,4.3,0,0,0
20150707,GER,2.59,2.59,2.59,2.59,200,5.0,5.0,5.0,5.0,0,0,0
20150706,GER,3.01,3.01,3.01,3.01,200,5.8,5.8,5.8,5.8,0,0,0
20150520,GER,2.18,2.18,2.18,2.18,100,4.7,4.7,4.7,4.7,0,0,0
20150511,GER,2.41,2.41,2.41,2.41,100,5.2,5.2,5.2,5.2,0,0,0
20150424,GER,2.32,2.32,2.32,2.32,10000,5.0,5.0,5.0,5.0,0,0,0
20150317,GER,1.67,1.67,1.67,1.67,100,3.6,3.6,3.6,3.6,0,0,0
20150304,GER,1.53,1.53,1.53,1.53,100,3.3,3.3,3.3,3.3,0,0,0
20150126,GER,1.39,1.39,1.39,1.39,200,3.0,3.0,3.0,3.0,0,0,0
20141208,GER,1.57,1.57,1.57,1.57,200000,3.4,3.4,3.4,3.4,0,0,0
20140917,GER,1.57,1.57,1.57,1.57,100,3.4,3.4,3.4,3.4,0,0,0
20140806,GER,1.71,1.71,1.71,1.71,100,3.7,3.7,3.7,3.7,0,0,0
20140630,GER,1.71,1.71,1.71,1.71,100,3.7,3.7,3.7,3.7,0,0,0
20140610,GER,1.85,1.85,1.85,1.85,100,4.0,4.0,4.0,4.0,0,0,0
20140507,GER,1.85,1.85,1.85,1.85,100,4.0,4.0,4.0,4.0,0,0,0
20140428,GER,1.71,1.71,1.71,1.71,100,3.7,3.7,3.7,3.7,0,0,0
20140423,GER,1.58,1.58,1.58,1.57,100,3.4,3.4,3.4,3.4,0,0,0
20140421,GER,1.44,1.44,1.44,1.44,100,3.6,3.6,3.6,3.6,0,0,0
20140414,GER,1.32,1.32,1.32,1.32,100,3.3,3.3,3.3,3.3,0,0,0
20140403,GER,1.2,1.2,1.2,1.2,600,3.0,3.0,3.0,3.0,0,0,0
20140117,GER,1.4,1.4,1.4,1.4,100,3.5,3.5,3.5,3.5,0,0,0
20130104,GER,0.98,0.98,0.98,0.98,100,2.9,2.9,2.9,2.9,0,0,0
20130103,GER,0.91,0.91,0.91,0.91,200,2.7,2.7,2.7,2.7,0,0,0
20121207,GER,0.84,0.84,0.84,0.84,200,2.5,2.5,2.5,2.5,0,0,0
20120827,GER,0.84,0.84,0.84,0.84,200,2.5,2.5,2.5,2.5,0,0,0
20120719,GER,0.77,0.77,0.77,0.77,200,2.3,2.3,2.3,2.3,0,0,0
20120612,GER,0.77,0.77,0.77,0.77,100,2.3,2.3,2.3,2.3,0,0,0
20120502,GER,0.77,0.77,0.77,0.77,100,2.3,2.3,2.3,2.3,0,0,0
