<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,HAD,37.5,39.8,37.5,39.8,400,37.5,39.8,37.5,39.8,0,100,0
20170626,HAD,38.0,39.9,38.0,39.9,300,38.0,39.9,38.0,39.9,0,200,0
20170623,HAD,39.9,40.2,39.9,40.2,200,39.9,40.2,39.9,40.2,0,200,0
20170620,HAD,39.8,40.4,39.8,40.4,700,39.8,40.4,39.8,40.4,0,700,0
20170619,HAD,39.5,40.0,39.5,40.0,300,39.5,40.0,39.5,40.0,0,300,0
20170615,HAD,38.1,40.0,38.0,39.1,3200,38.1,40.0,38.0,39.1,0,200,3000
20170614,HAD,38.0,41.0,38.0,41.0,2100,38.0,41.0,38.0,41.0,0,1900,0
20170613,HAD,39.4,39.9,39.4,39.9,300,39.4,39.9,39.4,39.9,0,300,0
20170612,HAD,38.0,40.0,38.0,39.1,1600,38.0,40.0,38.0,39.1,0,300,1000
20170608,HAD,40.7,41.9,40.7,41.9,500,40.7,41.9,40.7,41.9,0,500,0
20170605,HAD,40.1,40.8,40.1,40.8,500,40.1,40.8,40.1,40.8,0,500,0
20170602,HAD,40.9,40.9,37.5,39.6,3810,40.9,40.9,37.5,39.6,0,500,3500
20170601,HAD,39.0,41.0,38.0,38.1,3400,39.0,41.0,38.0,38.1,0,400,2900
20170531,HAD,42.0,46.2,38.5,42.0,10600,42.0,46.2,38.5,42.0,0,9900,6200
20170530,HAD,40.9,42.0,40.9,42.0,500,40.9,42.0,40.9,42.0,0,500,0
20170529,HAD,40.4,42.8,39.0,39.0,1400,40.4,42.8,39.0,39.0,0,600,800
20170526,HAD,39.0,39.7,38.0,39.0,900,39.0,39.7,38.0,39.0,0,300,0
20170525,HAD,42.0,44.8,40.5,41.0,1700,42.0,44.8,40.5,41.0,0,1600,0
20170523,HAD,37.4,42.0,37.4,42.0,4900,37.4,42.0,37.4,42.0,0,4200,0
20170522,HAD,37.0,41.5,37.0,41.5,1800,37.0,41.5,37.0,41.5,0,1800,0
20170519,HAD,38.0,38.0,38.0,38.0,100,38.0,38.0,38.0,38.0,0,100,0
20170518,HAD,36.0,37.0,36.0,36.5,41300,36.0,37.0,36.0,36.5,0,40900,37000
20170517,HAD,36.7,38.8,36.7,38.8,200,36.7,38.8,36.7,38.8,0,100,0
20170516,HAD,36.6,38.8,36.6,38.8,300,36.6,38.8,36.6,38.8,0,100,100
20170515,HAD,36.7,38.9,36.7,38.9,410,36.7,38.9,36.7,38.9,0,300,0
20170512,HAD,37.5,38.9,37.5,38.9,200,37.5,38.9,37.5,38.9,0,100,0
20170511,HAD,38.48,38.48,38.0,38.0,200,40.0,40.0,39.5,39.5,0,200,0
20170509,HAD,37.52,37.52,37.52,37.52,400,39.0,39.0,39.0,39.0,0,0,0
20170508,HAD,37.52,37.52,36.56,37.52,2800,39.0,39.0,38.0,39.0,0,700,0
20170428,HAD,38.0,38.0,38.0,38.0,2000,39.5,39.5,39.5,39.5,0,2000,0
20170427,HAD,38.48,39.45,38.48,39.44,300,40.0,41.0,40.0,41.0,0,300,0
20170426,HAD,37.04,37.04,37.04,37.04,200,38.5,38.5,38.5,38.5,0,0,0
20170425,HAD,36.46,41.66,36.46,37.42,5400,37.9,43.3,37.9,38.9,0,5200,2000
20170421,HAD,36.94,38.0,36.94,38.0,300,38.4,39.5,38.4,39.5,0,300,0
20170420,HAD,35.98,35.98,35.98,35.98,100,37.4,37.4,37.4,37.4,0,100,0
20170419,HAD,36.07,36.07,36.07,36.08,100,37.5,37.5,37.5,37.5,0,100,0
20170418,HAD,34.63,38.86,34.63,38.19,4200,36.0,40.4,36.0,39.7,0,3900,0
20170417,HAD,37.04,38.48,37.04,38.48,500,38.5,40.0,38.5,40.0,0,500,0
20170413,HAD,36.55,36.55,36.55,36.56,100,38.0,38.0,38.0,38.0,0,100,0
20170412,HAD,33.38,35.12,33.38,35.11,1100,34.7,36.5,34.7,36.5,0,1100,0
20170411,HAD,34.63,37.04,34.63,37.04,300,36.0,38.5,36.0,38.5,0,300,0
20170407,HAD,35.02,35.98,35.02,35.98,200,36.4,37.4,36.4,37.4,0,200,0
20170405,HAD,34.54,34.54,33.67,34.15,400,35.9,35.9,35.0,35.5,0,200,0
20170404,HAD,34.63,34.63,33.19,33.19,1000,36.0,36.0,34.5,34.5,0,0,0
20170403,HAD,35.59,35.59,35.59,35.59,120,37.0,37.0,37.0,37.0,0,100,0
20170331,HAD,35.98,35.98,34.64,34.63,1100,37.4,37.4,36.0,36.0,0,1100,100
