<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,HAP,4.42,4.49,4.42,4.48,10720,4.42,4.49,4.42,4.48,0,2000,280
20170626,HAP,4.49,4.5,4.41,4.5,12550,4.49,4.5,4.41,4.5,0,2000,280
20170623,HAP,4.5,4.5,4.45,4.49,15470,4.5,4.5,4.45,4.49,0,0,0
20170622,HAP,4.41,4.5,4.41,4.5,5710,4.41,4.5,4.41,4.5,0,1000,0
20170621,HAP,4.41,4.51,4.41,4.5,6900,4.41,4.51,4.41,4.5,0,0,0
20170620,HAP,4.55,4.55,4.24,4.5,19930,4.55,4.55,4.24,4.5,0,0,50
20170619,HAP,4.57,4.57,4.43,4.55,26800,4.57,4.57,4.43,4.55,0,0,0
20170616,HAP,4.58,4.58,4.52,4.57,2490,4.58,4.58,4.52,4.57,0,0,0
20170615,HAP,4.52,4.54,4.52,4.52,200900,4.52,4.54,4.52,4.52,0,172000,0
20170614,HAP,4.54,4.55,4.52,4.52,21750,4.54,4.55,4.52,4.52,0,0,0
20170613,HAP,4.44,4.55,4.43,4.52,44450,4.44,4.55,4.43,4.52,0,29000,3000
20170612,HAP,4.39,4.55,4.39,4.49,139250,4.39,4.55,4.39,4.49,0,16750,90
20170609,HAP,4.41,4.5,4.39,4.39,37120,4.41,4.5,4.39,4.39,0,0,480
20170608,HAP,4.38,4.4,4.3,4.39,21190,4.38,4.4,4.3,4.39,0,0,610
20170607,HAP,4.25,4.39,4.25,4.35,35300,4.25,4.39,4.25,4.35,0,90,2440
20170606,HAP,4.25,4.33,4.2,4.25,79920,4.25,4.33,4.2,4.25,0,11030,0
20170605,HAP,4.34,4.55,4.22,4.25,38880,4.34,4.55,4.22,4.25,0,260,5750
20170602,HAP,4.31,4.51,4.31,4.34,38920,4.31,4.51,4.31,4.34,0,390,0
20170601,HAP,4.5,4.55,4.32,4.54,86830,4.5,4.55,4.32,4.54,0,200,0
20170531,HAP,4.7,4.7,4.56,4.64,21330,4.7,4.7,4.56,4.64,0,0,0
20170530,HAP,4.68,4.68,4.6,4.67,26150,4.68,4.68,4.6,4.67,0,0,0
20170529,HAP,4.65,4.68,4.63,4.68,31640,4.65,4.68,4.63,4.68,0,0,0
20170526,HAP,4.7,4.8,4.68,4.68,19000,4.7,4.8,4.68,4.68,0,0,0
20170525,HAP,4.8,4.8,4.65,4.68,29820,4.8,4.8,4.65,4.68,0,0,3370
20170524,HAP,4.8,4.95,4.72,4.72,78350,4.8,4.95,4.72,4.72,0,0,0
20170523,HAP,4.95,5.0,4.8,4.98,32690,4.95,5.0,4.8,4.98,0,0,0
20170522,HAP,5.01,5.29,4.81,4.95,26020,5.01,5.29,4.81,4.95,0,0,0
20170519,HAP,5.01,5.2,4.92,5.1,446820,5.2,5.4,5.11,5.3,0,0,29960
20170518,HAP,5.2,5.22,5.1,5.2,247370,5.4,5.42,5.3,5.4,0,0,0
20170517,HAP,5.21,5.21,5.1,5.2,355310,5.41,5.41,5.3,5.4,0,0,0
20170516,HAP,4.81,5.2,4.68,5.19,1307460,5.0,5.4,4.86,5.39,0,2000,103000
20170515,HAP,5.0,5.09,4.74,4.87,413450,5.2,5.29,4.93,5.06,0,600,0
20170512,HAP,5.1,5.29,5.05,5.1,818960,5.3,5.5,5.25,5.3,0,5000,131000
20170511,HAP,5.1,5.18,5.1,5.1,209030,5.3,5.38,5.3,5.3,0,0,21000
20170510,HAP,4.81,5.1,4.81,5.1,944110,5.0,5.3,5.0,5.3,0,0,480
20170509,HAP,4.81,4.94,4.81,4.83,333480,5.0,5.14,5.0,5.02,0,0,94400
20170508,HAP,4.62,4.81,4.6,4.81,1342990,4.8,5.0,4.78,5.0,0,0,115210
20170505,HAP,4.57,4.72,4.52,4.62,750750,4.75,4.9,4.7,4.8,0,0,240940
20170504,HAP,4.55,4.62,4.25,4.62,659390,4.73,4.8,4.42,4.8,0,14320,0
20170503,HAP,4.33,4.55,4.16,4.55,1059850,4.5,4.73,4.33,4.73,0,0,0
20170428,HAP,4.52,4.86,4.43,4.47,2725520,4.7,5.05,4.6,4.65,0,0,0
20170427,HAP,4.43,4.7,4.43,4.62,829550,4.6,4.88,4.6,4.8,0,0,0
20170426,HAP,4.23,4.43,4.17,4.43,1879050,4.39,4.6,4.33,4.6,0,0,0
20170425,HAP,4.13,4.14,3.95,4.14,1749880,4.29,4.3,4.1,4.3,0,0,0
