<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170612,HCI,6.7,10.9,6.7,10.9,200,6.7,10.9,6.7,10.9,0,0,100
20170111,HCI,7.8,7.8,7.8,7.8,100,8.6,8.6,8.6,8.6,0,0,0
20160905,HCI,8.8,8.8,8.8,8.8,100,9.7,9.7,9.7,9.7,0,0,0
20160722,HCI,10.07,10.07,10.07,10.07,100,12.8,12.8,12.8,12.8,0,0,0
20160329,HCI,16.75,16.75,16.75,16.75,100,21.3,21.3,21.3,21.3,0,0,0
20160328,HCI,14.63,14.63,14.63,14.63,100,18.6,18.6,18.6,18.6,0,0,0
20160322,HCI,12.74,12.74,12.74,12.74,100,16.2,16.2,16.2,16.2,0,0,0
20160317,HCI,11.08,11.08,11.08,11.09,100,14.1,14.1,14.1,14.1,0,0,0
20160202,HCI,7.94,7.94,7.94,7.94,200,10.1,10.1,10.1,10.1,0,0,0
20160128,HCI,6.44,8.57,6.44,8.57,900,8.2,10.9,8.2,10.9,0,0,0
20150901,HCI,6.13,6.13,6.13,6.13,1200,7.8,7.8,7.8,7.8,0,0,0
20150526,HCI,6.13,6.13,6.13,6.13,100,8.8,8.8,8.8,8.8,0,0,0
20140610,HCI,4.39,4.39,4.39,4.39,100,11.3,11.3,11.3,11.3,0,0,0
20140606,HCI,4.51,4.51,4.51,4.51,100,11.6,11.6,11.6,11.6,0,0,0
20140602,HCI,4.7,4.7,4.7,4.7,100,12.1,12.1,12.1,12.1,0,0,0
20140530,HCI,4.98,4.98,4.98,4.97,100,12.8,12.8,12.8,12.8,0,0,0
20140321,HCI,8.28,8.28,8.28,8.28,100,21.3,21.3,21.3,21.3,0,0,0
20140318,HCI,9.13,9.13,9.13,9.13,100,23.5,23.5,23.5,23.5,0,0,0
20140317,HCI,10.14,10.14,10.14,10.14,100,26.1,26.1,26.1,26.1,0,0,0
20140314,HCI,11.16,11.16,11.16,11.15,100,28.7,28.7,28.7,28.7,0,0,0
20140313,HCI,12.36,12.36,12.36,12.36,100,31.8,31.8,31.8,31.8,0,0,0
20140312,HCI,13.71,13.71,13.71,13.72,100,35.3,35.3,35.3,35.3,0,0,0
20140214,HCI,15.23,15.23,15.23,15.23,3600,39.2,39.2,39.2,39.2,0,3600,0
20140213,HCI,15.23,15.23,15.23,15.23,1200,39.2,39.2,39.2,39.2,0,900,0
20140212,HCI,15.23,15.23,15.23,15.23,100,39.2,39.2,39.2,39.2,0,100,0
20140211,HCI,15.23,15.23,15.23,15.23,100,39.2,39.2,39.2,39.2,0,100,0
20130306,HCI,15.24,15.24,15.24,15.24,2400,44.0,44.0,44.0,44.0,0,0,0
20121113,HCI,15.23,15.23,15.23,15.24,100,44.0,44.0,44.0,44.0,0,0,0
20121109,HCI,13.85,13.85,13.85,13.85,100,40.0,40.0,40.0,40.0,0,0,0
20121108,HCI,14.82,14.82,14.82,14.82,100,42.8,42.8,42.8,42.8,0,0,0
20120926,HCI,14.82,14.82,14.82,14.82,100,42.8,42.8,42.8,42.8,0,0,0
20120921,HCI,14.82,14.82,14.82,14.82,100,47.8,47.8,47.8,47.8,0,0,0
20120920,HCI,13.49,13.49,13.49,13.49,100,43.5,43.5,43.5,43.5,0,0,0
20120907,HCI,13.49,13.49,13.49,13.49,6000,43.5,43.5,43.5,43.5,0,0,0
20110331,HCI,13.49,13.49,13.49,13.49,156960,51.0,51.0,51.0,51.0,0,0,0
20110316,HCI,13.48,13.48,13.48,13.49,400,51.0,51.0,51.0,51.0,0,0,0
20110310,HCI,13.22,13.22,13.22,13.22,400,50.0,50.0,50.0,50.0,0,0,0
