<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170626,HFC,14.9,14.9,14.9,14.9,65,14.9,14.9,14.9,14.9,0,0,0
20170619,HFC,14.9,14.9,14.9,14.9,1000,14.9,14.9,14.9,14.9,0,0,0
20170616,HFC,15.0,15.7,15.0,15.0,1400,15.0,15.7,15.0,15.0,0,0,0
20170613,HFC,15.7,15.7,15.7,15.7,300,15.7,15.7,15.7,15.7,0,0,0
20170531,HFC,18.4,18.4,18.4,18.4,285,18.4,18.4,18.4,18.4,0,0,0
20170530,HFC,16.0,16.0,16.0,16.0,180,16.0,16.0,16.0,16.0,0,0,0
20170526,HFC,17.0,17.0,13.3,17.0,515,17.0,17.0,13.3,17.0,0,0,0
20170525,HFC,15.6,15.6,15.6,15.6,2000,15.6,15.6,15.6,15.6,0,0,0
20170522,HFC,15.6,15.6,15.6,15.6,300,15.6,15.6,15.6,15.6,0,0,0
20170517,HFC,15.6,15.6,15.6,15.6,100,15.6,15.6,15.6,15.6,0,0,0
20170428,HFC,18.3,18.3,18.3,18.3,300,18.3,18.3,18.3,18.3,0,0,0
20170427,HFC,21.5,21.5,21.5,21.5,500,21.5,21.5,21.5,21.5,0,0,0
20170330,HFC,25.2,25.2,25.2,25.2,100,25.2,25.2,25.2,25.2,0,0,0
20170320,HFC,25.1,25.4,25.1,25.4,300,25.1,25.4,25.1,25.4,0,0,0
20170317,HFC,25.0,25.0,25.0,25.0,400,25.0,25.0,25.0,25.0,0,0,0
20170314,HFC,29.4,29.4,29.4,29.4,100,29.4,29.4,29.4,29.4,0,0,0
20170313,HFC,25.6,25.6,25.6,25.6,100,25.6,25.6,25.6,25.6,0,0,0
20170310,HFC,25.7,25.7,25.7,25.7,6300,25.7,25.7,25.7,25.7,0,0,0
20170309,HFC,22.4,22.4,22.4,22.4,100,22.4,22.4,22.4,22.4,0,0,0
20170308,HFC,19.5,19.5,19.5,19.5,100,19.5,19.5,19.5,19.5,0,0,0
20170307,HFC,17.0,17.0,17.0,17.0,100,17.0,17.0,17.0,17.0,0,0,0
20170306,HFC,14.8,14.8,14.8,14.8,100,14.8,14.8,14.8,14.8,0,0,0
20170303,HFC,12.9,12.9,12.9,12.9,100,12.9,12.9,12.9,12.9,0,0,0
20170302,HFC,11.3,11.3,11.3,11.3,100,11.3,11.3,11.3,11.3,0,0,0
20170221,HFC,9.9,9.9,9.9,9.9,100,9.9,9.9,9.9,9.9,0,0,0
20161230,HFC,9.96,9.96,9.96,9.96,100,13.1,13.1,13.1,13.1,0,0,0
20160913,HFC,9.88,9.88,9.88,9.88,700,13.0,13.0,13.0,13.0,0,0,0
