<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170419,HJC,5.7,5.7,5.7,5.7,100,5.7,5.7,5.7,5.7,0,100,0
20170413,HJC,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,0,0,0
20170411,HJC,5.0,5.0,5.0,5.0,100,5.0,5.0,5.0,5.0,0,100,0
20170405,HJC,4.4,4.4,4.4,4.4,225,4.4,4.4,4.4,4.4,0,0,0
20170331,HJC,5.1,6.0,5.1,6.0,5100,5.1,6.0,5.1,6.0,0,0,0
20170329,HJC,6.0,6.0,6.0,6.0,41,6.0,6.0,6.0,6.0,0,0,0
20170328,HJC,6.0,6.0,6.0,6.0,5000,6.0,6.0,6.0,6.0,0,0,0
20170323,HJC,6.3,6.3,6.3,6.3,100,6.3,6.3,6.3,6.3,0,100,0
20170321,HJC,5.5,5.5,5.5,5.5,10000,5.5,5.5,5.5,5.5,0,0,0
20170320,HJC,6.0,6.0,6.0,6.0,77,6.0,6.0,6.0,6.0,0,0,0
20170315,HJC,6.0,6.0,6.0,6.0,1900,6.0,6.0,6.0,6.0,0,0,0
20170314,HJC,6.4,6.4,6.4,6.4,100,6.4,6.4,6.4,6.4,0,0,0
20170313,HJC,5.6,5.6,5.6,5.6,5300,5.6,5.6,5.6,5.6,0,0,0
20170310,HJC,6.2,6.2,6.2,6.2,5000,6.2,6.2,6.2,6.2,0,0,0
20170307,HJC,7.2,7.2,7.2,7.2,200,7.2,7.2,7.2,7.2,0,0,0
20170302,HJC,6.4,6.4,6.4,6.4,200,6.4,6.4,6.4,6.4,0,0,0
20170227,HJC,5.5,5.7,5.5,5.7,400,5.5,5.7,5.5,5.7,0,0,0
20170224,HJC,5.0,5.0,5.0,5.0,100,5.0,5.0,5.0,5.0,0,0,0
20170222,HJC,4.4,4.4,4.4,4.4,100,4.4,4.4,4.4,4.4,0,0,0
20170216,HJC,3.9,3.9,3.9,3.9,100,3.9,3.9,3.9,3.9,0,100,100
20170209,HJC,4.5,4.5,4.5,4.5,4000,4.5,4.5,4.5,4.5,0,0,0
20170120,HJC,4.6,4.6,4.6,4.6,1000,4.6,4.6,4.6,4.6,0,0,0
20170118,HJC,4.5,4.5,4.5,4.5,2200,4.5,4.5,4.5,4.5,0,0,0
20170116,HJC,4.6,4.6,4.5,4.5,4000,4.6,4.6,4.5,4.5,0,0,0
20170113,HJC,4.4,4.4,4.4,4.4,1000,4.4,4.4,4.4,4.4,0,0,0
20170111,HJC,4.6,4.6,4.4,4.4,87100,4.6,4.6,4.4,4.4,0,0,87100
20161216,HJC,5.0,5.0,5.0,5.0,100,5.0,5.0,5.0,5.0,0,0,100
20161215,HJC,5.0,5.0,5.0,5.0,5200,5.0,5.0,5.0,5.0,0,0,5200
20161214,HJC,5.4,5.4,5.4,5.4,100,5.4,5.4,5.4,5.4,0,0,100
20161209,HJC,6.3,6.3,6.3,6.3,100,6.3,6.3,6.3,6.3,0,0,100
20161208,HJC,7.4,7.4,7.4,7.4,100,7.4,7.4,7.4,7.4,0,100,100
20161206,HJC,8.7,8.7,8.7,8.7,100,8.7,8.7,8.7,8.7,0,0,0
20161205,HJC,10.2,10.2,10.2,10.2,100,10.2,10.2,10.2,10.2,0,0,100
20161129,HJC,12.0,12.0,12.0,12.0,1,12.0,12.0,12.0,12.0,13,0,1
20161108,HJC,12.8,12.8,11.2,11.2,200,12.8,12.8,11.2,11.2,0,0,0
20161107,HJC,11.2,11.2,11.2,11.2,100,11.2,11.2,11.2,11.2,0,0,0
20161103,HJC,9.8,9.8,9.8,9.8,100,9.8,9.8,9.8,9.8,0,0,0
20161031,HJC,8.6,8.6,8.6,8.6,100,8.6,8.6,8.6,8.6,0,0,0
20161028,HJC,7.5,7.5,7.5,7.5,500,7.5,7.5,7.5,7.5,0,0,0
20160929,HJC,7.5,7.5,7.5,7.5,400,7.5,7.5,7.5,7.5,0,0,0
20160926,HJC,8.0,8.0,8.0,8.0,1500,8.0,8.0,8.0,8.0,0,0,0
20160921,HJC,7.3,7.3,7.3,7.3,500,7.3,7.3,7.3,7.3,0,0,0
20160919,HJC,8.5,8.5,8.5,8.5,1400,8.5,8.5,8.5,8.5,0,0,0
20160715,HJC,8.5,8.5,8.5,8.5,500,8.5,8.5,8.5,8.5,0,0,0
20160713,HJC,7.4,7.4,7.4,7.4,3595,7.4,7.4,7.4,7.4,0,0,0
20160630,HJC,8.6,8.6,8.6,8.6,1000,8.6,8.6,8.6,8.6,0,0,0
20160628,HJC,8.5,9.1,8.5,9.1,500,8.5,9.1,8.5,9.1,0,0,0
20160623,HJC,9.1,9.1,9.1,9.1,500,9.1,9.1,9.1,9.1,4373,0,0
20160621,HJC,10.6,10.6,10.6,10.6,100,10.6,10.6,10.6,10.6,0,0,0
20160620,HJC,12.5,12.5,12.4,12.4,2600,12.5,12.5,12.4,12.4,0,0,0
20160608,HJC,14.5,14.5,14.5,14.5,100,14.5,14.5,14.5,14.5,0,0,0
20160531,HJC,13.0,13.0,13.0,13.0,100,13.0,13.0,13.0,13.0,0,0,0
20160526,HJC,12.0,12.0,12.0,12.0,100,12.0,12.0,12.0,12.0,0,0,0
20160523,HJC,11.5,11.5,11.5,11.5,100,11.5,11.5,11.5,11.5,0,0,0
20160519,HJC,10.0,10.0,10.0,10.0,100,10.0,10.0,10.0,10.0,0,0,0
20160518,HJC,8.9,8.9,8.9,8.9,100,8.9,8.9,8.9,8.9,0,0,0
20160505,HJC,7.8,7.8,7.8,7.8,3000,8.5,8.5,8.5,8.5,0,0,0
20160420,HJC,7.43,7.43,7.43,7.43,1500,8.1,8.1,8.1,8.1,0,0,0
20160225,HJC,7.43,7.43,7.43,7.43,3500,8.1,8.1,8.1,8.1,0,0,0
20160119,HJC,8.72,8.72,8.72,8.72,1000,9.5,9.5,9.5,9.5,0,0,0
20160115,HJC,8.72,8.72,8.63,8.63,600,9.5,9.5,9.4,9.4,0,0,0
