<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170623,HLB,35.3,35.3,35.3,35.3,100,35.3,35.3,35.3,35.3,0,0,0
20170622,HLB,38.6,49.9,38.6,38.6,400,38.6,49.9,38.6,38.6,0,0,0
20170620,HLB,51.1,51.1,39.5,39.5,200,51.1,51.1,39.5,39.5,0,0,0
20170616,HLB,44.5,44.5,44.5,44.5,100,44.5,44.5,44.5,44.5,0,0,0
20170615,HLB,38.7,38.7,38.7,38.7,300,38.7,38.7,38.7,38.7,0,0,0
20170614,HLB,33.7,33.7,33.7,33.7,100,33.7,33.7,33.7,33.7,0,0,0
20170613,HLB,49.8,49.8,37.0,37.0,500,49.8,49.8,37.0,37.0,0,0,0
20170612,HLB,43.4,43.4,43.4,43.4,100,43.4,43.4,43.4,43.4,0,0,0
20170609,HLB,44.0,44.0,32.6,40.0,500,44.0,44.0,32.6,40.0,0,0,0
20170608,HLB,38.0,39.0,38.0,39.0,300,38.0,39.0,38.0,39.0,0,0,0
20170607,HLB,44.7,44.7,44.7,44.7,100,44.7,44.7,44.7,44.7,0,0,0
20170517,HLB,52.5,52.5,52.5,52.5,100,53.5,53.5,53.5,53.5,0,0,0
20170516,HLB,46.9,46.9,45.14,45.14,300,47.8,47.8,46.0,46.0,0,0,0
20170515,HLB,40.83,40.83,40.83,40.82,900,41.6,41.6,41.6,41.6,0,0,0
20170512,HLB,35.52,35.52,35.52,35.53,100,36.2,36.2,36.2,36.2,0,0,0
20170511,HLB,30.91,30.91,30.91,30.91,100,31.5,31.5,31.5,31.5,0,0,0
20170510,HLB,26.89,26.89,26.89,26.89,100,27.4,27.4,27.4,27.4,0,0,0
20170509,HLB,26.8,26.8,20.12,20.12,200,27.3,27.3,20.5,20.5,0,0,0
20170505,HLB,23.35,23.35,23.35,23.36,100,23.8,23.8,23.8,23.8,0,0,0
20170414,HLB,20.32,20.32,20.32,20.31,100,20.7,20.7,20.7,20.7,0,0,0
20170413,HLB,23.85,23.85,23.85,23.85,100,24.3,24.3,24.3,24.3,0,0,0
20170410,HLB,27.97,27.97,27.97,27.97,100,28.5,28.5,28.5,28.5,0,0,0
20170407,HLB,32.88,32.88,32.88,32.88,100,33.5,33.5,33.5,33.5,0,0,0
20170405,HLB,38.67,38.67,38.67,38.67,100,39.4,39.4,39.4,39.4,0,0,0
20170327,HLB,45.44,45.44,45.44,45.44,1100,46.3,46.3,46.3,46.3,0,0,0
20170313,HLB,56.13,56.13,47.79,47.79,600,57.2,57.2,48.7,48.7,0,0,0
20170310,HLB,56.14,56.14,56.14,56.13,100,57.2,57.2,57.2,57.2,0,0,0
20170309,HLB,65.95,65.95,65.95,65.95,500,67.2,67.2,67.2,67.2,0,0,0
20170307,HLB,65.95,65.95,65.95,65.95,100,67.2,67.2,67.2,67.2,0,0,0
20170306,HLB,57.41,57.41,57.41,57.41,100,58.5,58.5,58.5,58.5,0,0,0
20170303,HLB,49.95,49.95,49.95,49.95,200,50.9,50.9,50.9,50.9,0,0,0
20170302,HLB,43.47,43.47,43.47,43.47,200,44.3,44.3,44.3,44.3,0,0,0
20170301,HLB,37.88,37.88,37.88,37.88,200,38.6,38.6,38.6,38.6,0,0,0
20170228,HLB,32.97,32.97,32.97,32.97,300,33.6,33.6,33.6,33.6,0,0,0
