<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,HNP,24.1,24.1,24.1,24.1,500,24.1,24.1,24.1,24.1,40,0,0
20170626,HNP,24.0,24.0,24.0,24.0,100,24.0,24.0,24.0,24.0,0,100,0
20170623,HNP,24.5,24.5,24.5,24.5,200,24.5,24.5,24.5,24.5,0,0,0
20170622,HNP,24.0,24.0,24.0,24.0,8500,24.0,24.0,24.0,24.0,0,4100,0
20170621,HNP,24.0,24.1,24.0,24.0,2950,24.0,24.1,24.0,24.0,0,1900,0
20170620,HNP,24.1,24.1,24.0,24.0,6000,24.1,24.1,24.0,24.0,0,4000,0
20170619,HNP,24.1,24.1,24.1,24.1,900,24.1,24.1,24.1,24.1,0,0,0
20170616,HNP,24.0,24.5,24.0,24.0,7600,24.0,24.5,24.0,24.0,0,6000,0
20170615,HNP,24.0,24.0,23.8,23.8,5000,24.0,24.0,23.8,23.8,0,2200,0
20170614,HNP,24.0,24.0,24.0,24.0,2200,24.0,24.0,24.0,24.0,0,2200,0
20170613,HNP,24.0,24.0,24.0,24.0,10000,24.0,24.0,24.0,24.0,0,10000,0
20170612,HNP,24.0,24.0,24.0,24.0,500,24.0,24.0,24.0,24.0,0,500,0
20170609,HNP,24.0,24.0,24.0,24.0,1000,24.0,24.0,24.0,24.0,0,1000,0
20170607,HNP,24.1,25.0,24.1,25.0,600,24.1,25.0,24.1,25.0,0,0,0
20170606,HNP,24.0,25.0,24.0,25.0,3200,24.0,25.0,24.0,25.0,0,3100,0
20170605,HNP,23.5,24.2,23.5,24.2,12700,23.5,24.2,23.5,24.2,0,10200,0
20170602,HNP,24.4,24.4,24.4,24.4,100,24.4,24.4,24.4,24.4,0,0,0
20170601,HNP,22.6,22.7,22.6,22.7,600,22.6,22.7,22.6,22.7,0,0,0
20170531,HNP,22.5,24.0,22.5,22.5,1400,22.5,24.0,22.5,22.5,0,0,0
20170529,HNP,24.5,24.5,24.5,24.5,100,24.5,24.5,24.5,24.5,0,0,0
20170526,HNP,23.4,23.4,23.4,23.4,4400,23.4,23.4,23.4,23.4,10000,0,0
20170525,HNP,23.4,23.6,23.4,23.4,600,23.4,23.6,23.4,23.4,0,0,0
20170524,HNP,23.6,23.6,23.6,23.6,200,23.6,23.6,23.6,23.6,0,0,0
20170523,HNP,23.6,23.6,23.6,23.6,400,23.6,23.6,23.6,23.6,0,0,0
20170522,HNP,23.9,23.9,23.9,23.9,500,23.9,23.9,23.9,23.9,0,0,0
20170519,HNP,23.5,24.9,23.5,24.9,800,23.5,24.9,23.5,24.9,0,0,0
20170518,HNP,23.0,23.0,23.0,23.0,600,23.0,23.0,23.0,23.0,0,0,0
20170517,HNP,20.4,24.2,20.4,24.2,200,20.4,24.2,20.4,24.2,0,0,0
20170516,HNP,20.2,24.5,20.2,24.5,200,20.2,24.5,20.2,24.5,0,0,0
20170512,HNP,23.0,23.8,23.0,23.8,1800,23.0,23.8,23.0,23.8,0,0,0
20170511,HNP,23.2,23.3,22.7,22.7,500,23.2,23.3,22.7,22.7,0,0,0
20170510,HNP,25.0,25.0,22.5,22.6,4530,25.0,25.0,22.5,22.6,0,0,0
20170509,HNP,22.1,22.1,22.1,22.1,500,22.1,22.1,22.1,22.1,0,0,0
20170505,HNP,24.7,24.7,24.7,24.7,100,24.7,24.7,24.7,24.7,0,0,0
20170504,HNP,23.5,24.5,23.5,24.5,3600,23.5,24.5,23.5,24.5,0,0,0
20170503,HNP,23.0,24.0,23.0,24.0,420,23.0,24.0,23.0,24.0,0,0,0
20170428,HNP,24.4,24.4,24.4,24.4,100,24.4,24.4,24.4,24.4,0,0,0
20170427,HNP,23.5,24.8,23.5,24.8,600,23.5,24.8,23.5,24.8,0,0,0
20170426,HNP,23.0,24.0,23.0,24.0,250,23.0,24.0,23.0,24.0,13,0,0
20170425,HNP,25.0,25.0,24.0,24.0,1400,25.0,25.0,24.0,24.0,0,0,0
20170424,HNP,26.0,26.0,26.0,26.0,100,26.0,26.0,26.0,26.0,0,0,0
20170421,HNP,22.8,25.6,22.8,25.6,1500,22.8,25.6,22.8,25.6,0,0,0
20170420,HNP,23.2,24.7,22.2,24.7,12900,23.2,24.7,22.2,24.7,0,0,0
20170419,HNP,24.1,24.7,21.6,24.0,6000,24.1,24.7,21.6,24.0,0,0,0
20170418,HNP,25.0,25.0,24.6,24.9,10830,25.0,25.0,24.6,24.9,0,0,0
20170417,HNP,23.6,25.6,23.6,25.0,500,23.6,25.6,23.6,25.0,0,0,0
20170414,HNP,24.1,24.7,24.1,24.7,200,24.1,24.7,24.1,24.7,0,0,0
20170413,HNP,24.2,25.7,24.2,25.7,600,24.2,25.7,24.2,25.7,0,0,0
20170412,HNP,25.5,26.0,25.0,26.0,2300,25.5,26.0,25.0,26.0,0,0,0
20170411,HNP,25.6,26.0,25.5,25.5,2800,25.6,26.0,25.5,25.5,0,0,0
20170410,HNP,24.1,26.0,24.1,26.0,1700,24.1,26.0,24.1,26.0,0,0,0
20170407,HNP,24.1,26.9,24.1,26.9,1400,24.1,26.9,24.1,26.9,0,0,0
20170405,HNP,27.2,27.2,26.6,26.6,7800,27.2,27.2,26.6,26.6,0,0,0
20170404,HNP,27.3,27.3,27.3,27.3,300,27.3,27.3,27.3,27.3,0,0,0
20170403,HNP,27.1,27.9,27.1,27.3,7600,27.1,27.9,27.1,27.3,17360,0,0
20170331,HNP,27.2,27.5,27.1,27.1,11950,27.2,27.5,27.1,27.1,0,0,0
20170330,HNP,26.8,27.9,26.5,27.5,4300,26.8,27.9,26.5,27.5,0,0,0
20170329,HNP,27.0,27.0,25.9,25.9,2290,27.0,27.0,25.9,25.9,0,0,0
20170328,HNP,26.0,26.1,23.1,25.5,14600,26.0,26.1,23.1,25.5,0,0,0
20170327,HNP,21.7,24.3,21.7,24.3,1200,21.7,24.3,21.7,24.3,0,0,0
20170324,HNP,23.6,26.0,23.6,25.4,7200,23.6,26.0,23.6,25.4,0,0,0
20170323,HNP,23.2,26.5,23.2,26.5,3810,23.2,26.5,23.2,26.5,0,0,0
20170322,HNP,21.3,26.1,21.3,23.5,1300,21.3,26.1,21.3,23.5,0,0,0
20170321,HNP,23.2,23.5,23.2,23.4,1120,23.2,23.5,23.2,23.4,0,0,0
20170320,HNP,23.0,26.4,23.0,26.4,14400,23.0,26.4,23.0,26.4,0,0,0
20170317,HNP,23.4,23.4,23.0,23.0,1100,23.4,23.4,23.0,23.0,0,0,0
20170316,HNP,23.4,23.4,22.3,23.4,6330,23.4,23.4,22.3,23.4,30,0,0
20170315,HNP,23.5,23.5,22.5,22.5,2600,23.5,23.5,22.5,22.5,0,0,0
20170314,HNP,22.9,23.4,22.2,23.0,4000,22.9,23.4,22.2,23.0,10,0,0
20170313,HNP,23.9,23.9,22.0,22.0,8900,23.9,23.9,22.0,22.0,0,0,0
20170310,HNP,22.8,22.8,22.0,22.0,2200,22.8,22.8,22.0,22.0,0,0,0
20170309,HNP,22.9,22.9,21.9,21.9,2100,22.9,22.9,21.9,21.9,0,0,0
20170308,HNP,22.8,23.2,21.6,21.7,4700,22.8,23.2,21.6,21.7,0,0,0
20170307,HNP,23.3,23.3,23.0,23.0,4200,23.3,23.3,23.0,23.0,9000,0,0
20170306,HNP,21.3,23.9,21.3,22.4,13300,21.3,23.9,21.3,22.4,5000,0,0
20170303,HNP,21.1,22.9,21.0,21.0,12400,21.1,22.9,21.0,21.0,0,0,0
20170302,HNP,22.2,22.9,22.2,22.9,1100,22.2,22.9,22.2,22.9,0,0,0
20170301,HNP,25.3,25.3,22.0,22.1,6100,25.3,25.3,22.0,22.1,0,0,0
20170228,HNP,24.3,24.3,21.0,21.0,300,24.3,24.3,21.0,21.0,0,0,0
20170227,HNP,21.2,21.3,21.2,21.3,4000,21.2,21.3,21.2,21.3,0,0,0
20170224,HNP,20.6,21.2,20.6,21.0,1600,20.6,21.2,20.6,21.0,0,0,0
