<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,HRC,35.05,36.8,35.05,36.8,690,35.05,36.8,35.05,36.8,0,0,0
20170626,HRC,36.9,36.9,36.9,36.9,220,36.9,36.9,36.9,36.9,0,0,0
20170623,HRC,36.0,36.85,35.0,36.5,13100,36.0,36.85,35.0,36.5,0,0,4010
20170622,HRC,37.3,37.3,37.3,37.3,50,37.3,37.3,37.3,37.3,0,0,0
20170621,HRC,37.3,37.3,37.3,37.3,1280,37.3,37.3,37.3,37.3,0,0,0
20170620,HRC,37.5,37.5,37.5,37.5,50,37.5,37.5,37.5,37.5,0,0,0
20170619,HRC,37.5,39.05,37.0,37.5,1080,37.5,39.05,37.0,37.5,0,0,0
20170616,HRC,37.75,37.75,37.75,37.75,10,37.75,37.75,37.75,37.75,0,0,0
20170615,HRC,37.1,38.0,36.5,37.75,1410,37.1,38.0,36.5,37.75,0,0,1270
20170614,HRC,38.0,38.5,34.65,37.1,2910,38.0,38.5,34.65,37.1,0,0,2880
20170609,HRC,37.0,37.0,37.0,37.0,80,37.0,37.0,37.0,37.0,0,0,0
20170606,HRC,37.0,37.0,37.0,37.0,50,37.0,37.0,37.0,37.0,0,0,0
20170601,HRC,36.05,37.2,36.05,37.2,440,36.05,37.2,36.05,37.2,0,0,0
20170531,HRC,37.2,37.2,37.2,37.2,210,37.2,37.2,37.2,37.2,0,0,0
20170530,HRC,37.2,37.2,37.2,37.2,110,37.2,37.2,37.2,37.2,0,0,0
20170529,HRC,37.2,37.2,37.2,37.2,100,37.2,37.2,37.2,37.2,0,0,0
20170526,HRC,37.0,37.2,37.0,37.2,720,37.0,37.2,37.0,37.2,0,0,0
20170525,HRC,37.5,37.5,37.5,37.5,110,37.5,37.5,37.5,37.5,0,0,0
20170524,HRC,35.6,37.45,35.6,37.4,620,35.6,37.45,35.6,37.4,0,0,0
20170523,HRC,37.2,37.4,35.5,37.4,1190,37.2,37.4,35.5,37.4,0,0,0
20170519,HRC,35.25,37.7,35.25,37.5,1650,35.25,37.7,35.25,37.5,0,0,260
20170518,HRC,37.5,37.8,37.5,37.8,210,37.5,37.8,37.5,37.8,0,0,0
20170517,HRC,37.9,37.9,37.9,37.9,590,37.9,37.9,37.9,37.9,0,0,0
20170516,HRC,37.9,37.9,37.9,37.9,910,37.9,37.9,37.9,37.9,0,0,0
20170515,HRC,37.9,37.9,37.9,37.9,810,37.9,37.9,37.9,37.9,0,0,0
20170511,HRC,36.5,37.9,36.5,37.9,330,36.5,37.9,36.5,37.9,0,0,0
20170510,HRC,36.3,38.7,36.3,38.15,4100,36.3,38.7,36.3,38.15,0,0,0
20170509,HRC,39.0,39.0,39.0,39.0,1250,39.0,39.0,39.0,39.0,0,0,0
20170508,HRC,39.0,39.0,39.0,39.0,10,39.0,39.0,39.0,39.0,0,0,0
20170505,HRC,39.6,39.6,35.3,38.0,3630,39.6,39.6,35.3,38.0,0,0,0
20170504,HRC,35.55,38.9,35.55,37.95,1540,35.55,38.9,35.55,37.95,0,0,0
20170503,HRC,37.45,37.45,37.45,37.45,50,37.45,37.45,37.45,37.45,0,0,0
20170426,HRC,34.6,37.45,34.6,37.45,340,34.6,37.45,34.6,37.45,0,0,0
20170424,HRC,36.85,36.85,36.85,36.85,30,36.85,36.85,36.85,36.85,0,0,0
20170421,HRC,36.0,36.85,36.0,36.85,710,36.0,36.85,36.0,36.85,524000,0,0
20170420,HRC,36.0,36.9,36.0,36.9,1420,36.0,36.9,36.0,36.9,0,0,0
20170419,HRC,36.7,36.8,36.0,36.8,5210,36.7,36.8,36.0,36.8,0,0,0
20170418,HRC,34.55,36.9,34.55,36.9,1790,34.55,36.9,34.55,36.9,0,1000,1750
20170417,HRC,36.0,36.9,36.0,36.9,230,36.0,36.9,36.0,36.9,0,0,0
20170414,HRC,34.9,37.0,34.9,37.0,240,34.9,37.0,34.9,37.0,0,0,0
20170404,HRC,37.5,37.5,37.5,37.5,150,37.5,37.5,37.5,37.5,0,0,0
20170403,HRC,37.5,37.5,37.5,37.5,850,37.5,37.5,37.5,37.5,0,0,0
20170331,HRC,37.5,37.5,37.5,37.5,30,37.5,37.5,37.5,37.5,0,30,0
20170330,HRC,37.5,37.5,37.5,37.5,10,37.5,37.5,37.5,37.5,0,0,0
20170329,HRC,35.5,37.5,35.5,37.5,770,35.5,37.5,35.5,37.5,0,0,0
20170328,HRC,37.5,37.5,37.5,37.5,250,37.5,37.5,37.5,37.5,0,0,0
20170327,HRC,36.9,37.5,36.9,37.5,1180,36.9,37.5,36.9,37.5,0,0,0
20170323,HRC,37.0,37.0,37.0,37.0,500,37.0,37.0,37.0,37.0,0,0,0
20170322,HRC,36.5,37.0,36.5,37.0,1090,36.5,37.0,36.5,37.0,0,0,0
20170321,HRC,36.5,37.0,36.5,37.0,690,36.5,37.0,36.5,37.0,0,0,0
20170320,HRC,35.25,36.95,35.25,36.95,730,35.25,36.95,35.25,36.95,0,0,0
20170317,HRC,36.2,36.95,36.2,36.95,70,36.2,36.95,36.2,36.95,0,0,0
20170316,HRC,35.95,37.0,35.95,37.0,1540,35.95,37.0,35.95,37.0,0,0,0
20170315,HRC,37.0,37.0,37.0,37.0,300,37.0,37.0,37.0,37.0,0,0,0
20170314,HRC,35.1,37.0,35.0,37.0,2730,35.1,37.0,35.0,37.0,0,0,0
20170313,HRC,35.05,37.4,35.0,37.4,2510,35.05,37.4,35.0,37.4,0,0,0
20170310,HRC,37.4,37.4,37.4,37.4,550,37.4,37.4,37.4,37.4,0,0,0
20170309,HRC,35.0,37.4,35.0,37.4,2340,35.0,37.4,35.0,37.4,0,0,430
20170308,HRC,37.4,37.4,37.4,37.4,250,37.4,37.4,37.4,37.4,0,0,0
20170307,HRC,35.05,37.4,34.8,37.4,3170,35.05,37.4,34.8,37.4,0,0,870
20170306,HRC,35.0,37.4,35.0,37.4,160,35.0,37.4,35.0,37.4,0,0,0
20170303,HRC,35.1,37.5,35.1,37.5,270,35.1,37.5,35.1,37.5,0,0,0
20170302,HRC,34.9,37.5,34.9,37.5,2470,34.9,37.5,34.9,37.5,0,0,1860
20170301,HRC,34.15,37.5,34.15,37.5,200,34.15,37.5,34.15,37.5,0,0,0
20170228,HRC,35.9,35.9,35.9,35.9,50,35.9,35.9,35.9,35.9,0,0,0
20170227,HRC,35.9,35.9,35.5,35.9,260,35.9,35.9,35.5,35.9,0,0,0
20170224,HRC,35.9,35.9,34.15,35.9,50,35.9,35.9,34.15,35.9,0,0,0
20170223,HRC,35.9,35.9,34.05,35.9,2390,35.9,35.9,34.05,35.9,0,0,1050
20170222,HRC,35.9,35.9,35.9,35.9,10,35.9,35.9,35.9,35.9,0,0,0
20170221,HRC,35.9,35.9,35.9,35.9,130,35.9,35.9,35.9,35.9,0,0,0
20170220,HRC,35.9,35.9,35.9,35.9,10,35.9,35.9,35.9,35.9,0,0,0
20170217,HRC,35.9,35.9,35.9,35.9,230,35.9,35.9,35.9,35.9,0,0,0
20170216,HRC,35.9,35.9,35.9,35.9,710,35.9,35.9,35.9,35.9,0,500,450
20170215,HRC,35.9,35.9,35.9,35.9,10,35.9,35.9,35.9,35.9,0,0,0
20170214,HRC,35.9,35.9,35.9,35.9,30,35.9,35.9,35.9,35.9,0,0,0
20170213,HRC,35.9,35.9,35.9,35.9,200,35.9,35.9,35.9,35.9,0,0,0
20170210,HRC,36.35,36.35,34.5,35.9,650,36.35,36.35,34.5,35.9,0,0,0
20170209,HRC,31.3,35.0,31.3,35.0,300,31.3,35.0,31.3,35.0,0,0,0
20170208,HRC,33.3,33.3,33.3,33.3,440,33.3,33.3,33.3,33.3,0,0,0
20170207,HRC,33.7,35.8,33.7,35.8,1470,33.7,35.8,33.7,35.8,0,0,0
20170206,HRC,36.4,36.4,34.0,36.2,120,36.4,36.4,34.0,36.2,0,0,0
20170203,HRC,32.1,36.5,32.1,36.5,4760,32.1,36.5,32.1,36.5,40000,0,3040
20170202,HRC,32.6,34.5,32.55,34.5,2130,32.6,34.5,32.55,34.5,0,0,50
20170125,HRC,33.2,35.0,33.05,35.0,1890,33.2,35.0,33.05,35.0,0,0,1560
20170124,HRC,35.3,35.5,35.3,35.5,190,35.3,35.5,35.3,35.5,0,0,110
20170123,HRC,35.85,37.95,35.85,37.95,490,35.85,37.95,35.85,37.95,330000,0,0
20170120,HRC,33.5,38.5,33.5,38.5,1840,33.5,38.5,33.5,38.5,0,0,1540
20170119,HRC,39.7,39.7,35.5,36.0,580,39.7,39.7,35.5,36.0,0,0,550
20170118,HRC,37.0,38.0,36.65,38.0,1470,37.0,38.0,36.65,38.0,0,0,1470
20170117,HRC,37.0,39.4,37.0,39.4,880,37.0,39.4,37.0,39.4,0,0,0
20170116,HRC,37.0,39.3,37.0,39.3,970,37.0,39.3,37.0,39.3,0,0,0
20170112,HRC,39.4,39.4,39.4,39.4,200,39.4,39.4,39.4,39.4,0,0,0
20170111,HRC,38.0,39.4,38.0,39.4,110,38.0,39.4,38.0,39.4,0,0,0
20170109,HRC,36.2,38.7,36.15,38.7,360,36.2,38.7,36.15,38.7,0,0,0
20170106,HRC,38.8,38.8,38.8,38.8,250,38.8,38.8,38.8,38.8,0,0,0
20170105,HRC,36.3,38.8,36.3,38.8,190,36.3,38.8,36.3,38.8,0,0,0
20170103,HRC,37.0,38.9,37.0,38.9,620,37.0,38.9,37.0,38.9,0,0,0
20161230,HRC,38.7,38.7,38.7,38.7,250,38.7,38.7,38.7,38.7,0,0,0
20161229,HRC,38.7,38.7,38.7,38.7,100,38.7,38.7,38.7,38.7,0,0,0
20161228,HRC,38.95,38.95,35.7,38.7,1520,38.95,38.95,35.7,38.7,0,0,0
20161227,HRC,36.7,38.8,36.7,38.3,220,36.7,38.8,36.7,38.3,368000,0,0
20161222,HRC,37.0,39.4,37.0,39.4,2370,37.0,39.4,37.0,39.4,0,0,2190
20161221,HRC,39.5,39.5,39.5,39.5,270,39.5,39.5,39.5,39.5,0,0,0
20161220,HRC,39.5,39.5,39.5,39.5,700,39.5,39.5,39.5,39.5,0,0,50
20161216,HRC,37.0,39.5,37.0,39.5,110,37.0,39.5,37.0,39.5,0,0,0
20161215,HRC,38.45,38.45,38.45,38.45,300,38.45,38.45,38.45,38.45,0,0,0
20161213,HRC,38.45,38.45,38.45,38.45,150,38.45,38.45,38.45,38.45,0,0,0
20161209,HRC,36.0,38.45,35.9,38.45,1030,36.0,38.45,35.9,38.45,0,0,170
20161208,HRC,36.0,38.65,36.0,38.55,460,36.0,38.65,36.0,38.55,0,0,0
20161207,HRC,38.7,38.7,38.7,38.7,350,38.7,38.7,38.7,38.7,0,0,0
20161206,HRC,36.05,38.7,36.05,38.7,2150,36.05,38.7,36.05,38.7,0,0,0
20161205,HRC,36.05,38.3,36.0,38.3,990,36.05,38.3,36.0,38.3,0,0,0
20161201,HRC,38.7,38.7,35.25,38.7,520,38.7,38.7,35.25,38.7,0,0,0
20161130,HRC,37.8,37.8,37.8,37.8,1950,37.8,37.8,37.8,37.8,0,0,350
20161129,HRC,36.0,36.0,36.0,36.0,2300,36.0,36.0,36.0,36.0,0,0,300
20161128,HRC,38.5,38.5,38.5,38.5,450,38.5,38.5,38.5,38.5,0,0,0
20161125,HRC,39.8,39.8,39.8,39.8,190,39.8,39.8,39.8,39.8,0,0,0
20161122,HRC,37.2,39.5,37.2,39.5,330,37.2,39.5,37.2,39.5,0,0,170
20161117,HRC,40.0,40.0,40.0,40.0,1500,40.0,40.0,40.0,40.0,0,0,850
20161115,HRC,38.9,38.9,38.9,38.9,500,38.9,38.9,38.9,38.9,0,0,0
20161110,HRC,36.4,38.9,36.4,38.9,580,36.4,38.9,36.4,38.9,0,0,170
20161109,HRC,36.2,37.5,36.2,37.5,20,36.2,37.5,36.2,37.5,0,0,0
20161104,HRC,39.0,39.0,38.9,38.9,20,39.0,39.0,38.9,38.9,0,0,0
20161103,HRC,38.7,38.7,38.7,38.7,30,38.7,38.7,38.7,38.7,0,0,0
20161028,HRC,38.7,38.7,38.7,38.7,100,38.7,38.7,38.7,38.7,0,0,0
20161027,HRC,38.7,38.7,38.7,38.7,20,38.7,38.7,38.7,38.7,0,0,0
20161024,HRC,39.0,39.0,38.7,38.7,30,39.0,39.0,38.7,38.7,0,20,0
20161021,HRC,35.85,38.5,35.85,38.5,1530,35.85,38.5,35.85,38.5,0,0,0
20161019,HRC,35.4,38.8,35.4,38.5,70,35.4,38.8,35.4,38.5,0,0,10
20161018,HRC,36.0,38.0,36.0,38.0,2060,36.0,38.0,36.0,38.0,0,0,360
20161017,HRC,38.0,38.0,38.0,38.0,100,38.0,38.0,38.0,38.0,0,0,0
