<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170608,HSA,32.0,32.0,32.0,32.0,200,32.0,32.0,32.0,32.0,0,0,0
20170523,HSA,31.8,31.8,31.8,31.8,100,31.8,31.8,31.8,31.8,0,0,0
20170519,HSA,27.8,27.8,27.8,27.8,300,27.8,27.8,27.8,27.8,0,0,0
20170518,HSA,24.2,24.2,24.2,24.2,100,24.2,24.2,24.2,24.2,0,0,0
20170509,HSA,21.1,21.1,21.1,21.1,200,21.1,21.1,21.1,21.1,0,0,0
20170508,HSA,18.4,18.4,18.4,18.4,200,18.4,18.4,18.4,18.4,0,0,0
20170505,HSA,21.6,21.6,21.6,21.6,100,21.6,21.6,21.6,21.6,0,0,0
20170428,HSA,25.4,25.4,25.4,25.4,100,25.4,25.4,25.4,25.4,0,0,0
20170407,HSA,29.8,29.8,29.8,29.8,100,29.8,29.8,29.8,29.8,0,0,0
20170330,HSA,35.0,35.0,35.0,35.0,200,35.0,35.0,35.0,35.0,0,0,0
20170323,HSA,31.9,31.9,31.9,31.9,400,31.9,31.9,31.9,31.9,0,0,0
20170322,HSA,31.9,31.9,31.9,31.9,100,31.9,31.9,31.9,31.9,0,0,0
20170320,HSA,27.8,27.8,27.8,27.8,100,27.8,27.8,27.8,27.8,0,0,0
20170317,HSA,24.3,24.3,24.3,24.3,100,24.3,24.3,24.3,24.3,0,0,0
20170316,HSA,21.2,21.2,21.2,21.2,100,21.2,21.2,21.2,21.2,0,0,0
20170315,HSA,18.5,18.5,18.5,18.5,100,18.5,18.5,18.5,18.5,0,0,0
20170308,HSA,16.1,16.1,16.1,16.1,100,16.1,16.1,16.1,16.1,0,0,0
20170307,HSA,14.0,14.0,14.0,14.0,100,14.0,14.0,14.0,14.0,0,0,0
