<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170622,HU4,4.7,4.7,4.7,4.7,200,4.7,4.7,4.7,4.7,0,0,0
20170621,HU4,5.5,5.5,5.5,5.5,100,5.5,5.5,5.5,5.5,0,0,0
20170619,HU4,6.2,6.2,6.2,6.2,1200,6.2,6.2,6.2,6.2,0,0,0
20170614,HU4,5.13,5.86,5.13,5.49,3800,5.6,6.4,5.6,6.0,0,0,0
20170612,HU4,5.22,5.86,5.22,5.86,1500,5.7,6.4,5.7,6.4,0,0,0
20170609,HU4,5.86,5.86,5.86,5.86,1000,6.4,6.4,6.4,6.4,0,0,0
20170608,HU4,5.12,5.12,5.12,5.13,2000,5.6,5.6,5.6,5.6,7250,0,0
20170607,HU4,6.13,6.13,5.13,6.13,5200,6.7,6.7,5.6,6.7,0,0,0
20170606,HU4,5.4,5.4,5.4,5.4,100,5.9,5.9,5.9,5.9,0,0,0
20170605,HU4,4.49,5.4,4.49,5.4,3000,4.9,5.9,4.9,5.9,0,0,0
20170601,HU4,4.76,5.4,4.76,5.4,2100,5.2,5.9,5.2,5.9,0,0,0
20170530,HU4,5.4,5.4,5.4,5.4,500,5.9,5.9,5.9,5.9,0,0,0
20170529,HU4,4.76,4.76,4.76,4.76,100,5.2,5.2,5.2,5.2,0,0,0
20170525,HU4,3.75,5.03,3.75,5.03,3000,4.1,5.5,4.1,5.5,0,0,0
20170518,HU4,4.3,5.3,4.3,5.31,5600,4.7,5.8,4.7,5.8,0,0,0
20170516,HU4,5.49,5.49,4.85,4.85,7000,6.0,6.0,5.3,5.3,0,0,0
20170515,HU4,4.85,4.85,4.85,4.85,1000,5.3,5.3,5.3,5.3,0,0,0
20170509,HU4,5.49,5.49,4.94,5.49,6100,6.0,6.0,5.4,6.0,0,0,0
20170508,HU4,5.31,5.49,4.67,5.49,2500,5.8,6.0,5.1,6.0,0,0,0
20170504,HU4,5.31,5.4,5.31,5.4,2100,5.8,5.9,5.8,5.9,0,0,0
20170503,HU4,5.31,5.4,5.31,5.31,7000,5.8,5.9,5.8,5.8,0,0,0
20170426,HU4,5.31,5.31,5.31,5.31,100,5.8,5.8,5.8,5.8,0,0,0
20170424,HU4,5.22,5.22,4.67,4.67,3100,5.7,5.7,5.1,5.1,0,0,0
20170419,HU4,5.4,5.4,4.3,5.4,1400,5.9,5.9,4.7,5.9,0,0,0
20170418,HU4,4.67,5.49,4.67,5.49,1100,5.1,6.0,5.1,6.0,0,0,0
20170417,HU4,4.85,5.4,4.85,5.4,2100,5.3,5.9,5.3,5.9,0,0,0
20170414,HU4,5.31,6.04,5.31,6.04,6300,5.8,6.6,5.8,6.6,0,0,0
20170413,HU4,6.22,6.22,6.22,6.22,20000,6.8,6.8,6.8,6.8,0,0,0
20170412,HU4,7.23,7.23,7.23,7.23,100,7.9,7.9,7.9,7.9,0,0,0
20170410,HU4,6.86,6.86,6.86,6.86,100,7.5,7.5,7.5,7.5,0,0,0
