<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170308,ICI,8.7,8.7,8.7,8.7,25,8.7,8.7,8.7,8.7,0,0,0
20170215,ICI,8.7,8.7,8.7,8.7,100,8.7,8.7,8.7,8.7,0,0,0
20170214,ICI,7.8,7.8,7.8,7.8,100,7.8,7.8,7.8,7.8,0,0,0
20170112,ICI,6.8,6.8,6.8,6.8,2100,6.8,6.8,6.8,6.8,0,0,0
20161031,ICI,6.8,6.8,6.8,6.8,100,6.8,6.8,6.8,6.8,0,0,0
20161003,ICI,7.9,7.9,7.9,7.9,100,7.9,7.9,7.9,7.9,0,0,0
20160817,ICI,5.8,5.8,5.8,5.8,100,5.8,5.8,5.8,5.8,0,0,0
20160812,ICI,5.1,5.1,5.1,5.1,1000,5.1,5.1,5.1,5.1,0,0,0
20160711,ICI,4.5,4.5,4.5,4.5,100,4.5,4.5,4.5,4.5,0,0,0
20160707,ICI,4.0,4.3,4.0,4.3,1100,4.0,4.3,4.0,4.3,0,0,0
20160614,ICI,3.8,3.8,3.8,3.8,200,3.8,3.8,3.8,3.8,0,0,0
20160613,ICI,4.3,4.3,4.3,4.3,200,4.3,4.3,4.3,4.3,0,0,0
20160610,ICI,5.0,5.0,5.0,5.0,200,5.0,5.0,5.0,5.0,0,0,0
20160609,ICI,4.9,4.9,4.9,4.9,3000,4.9,4.9,4.9,4.9,0,0,0
20160531,ICI,5.7,5.7,5.7,5.7,100,5.7,5.7,5.7,5.7,0,0,0
20160527,ICI,6.6,6.6,6.6,6.6,100,6.6,6.6,6.6,6.6,0,0,0
20160524,ICI,5.9,5.9,5.9,5.9,100,5.9,5.9,5.9,5.9,0,0,0
20160523,ICI,5.2,5.2,5.2,5.2,100,5.2,5.2,5.2,5.2,0,0,0
20160506,ICI,4.6,4.6,4.6,4.6,200,4.6,4.6,4.6,4.6,0,0,0
20160505,ICI,5.4,5.4,5.4,5.4,100,5.4,5.4,5.4,5.4,0,0,0
20160429,ICI,6.3,6.3,6.3,6.3,100,6.3,6.3,6.3,6.3,0,0,0
20160415,ICI,7.3,7.3,7.3,7.3,200,7.3,7.3,7.3,7.3,0,0,0
20160414,ICI,6.5,6.5,6.5,6.5,100,6.5,6.5,6.5,6.5,0,0,0
20160413,ICI,5.8,5.8,5.8,5.8,200,5.8,5.8,5.8,5.8,0,0,0
20160412,ICI,5.1,5.1,5.1,5.1,200,5.1,5.1,5.1,5.1,0,0,0
20160411,ICI,6.0,6.0,6.0,6.0,200,6.0,6.0,6.0,6.0,0,0,0
20160404,ICI,5.0,6.0,5.0,6.0,300,5.0,6.0,5.0,6.0,0,0,0
20160331,ICI,5.8,5.8,5.8,5.8,100,5.8,5.8,5.8,5.8,0,0,0
20160330,ICI,5.1,5.1,5.1,5.1,100,5.1,5.1,5.1,5.1,0,0,0
20160329,ICI,5.6,5.6,5.6,5.6,100,5.6,5.6,5.6,5.6,0,0,0
20160328,ICI,4.9,4.9,4.9,4.9,100,4.9,4.9,4.9,4.9,0,0,0
20160323,ICI,4.3,4.3,4.3,4.3,100,4.3,4.3,4.3,4.3,0,0,0
20160216,ICI,3.8,3.8,3.8,3.8,200,3.8,3.8,3.8,3.8,0,0,0
20160128,ICI,4.2,4.2,4.2,4.2,100,4.2,4.2,4.2,4.2,0,0,0
20151216,ICI,7.0,7.0,7.0,7.0,100,7.0,7.0,7.0,7.0,0,0,0
20151215,ICI,8.2,8.2,8.2,8.2,100,8.2,8.2,8.2,8.2,0,0,0
20151211,ICI,9.6,9.6,9.6,9.6,200,9.6,9.6,9.6,9.6,0,0,0
20151209,ICI,8.6,8.6,8.6,8.6,200,8.6,8.6,8.6,8.6,0,0,0
20151208,ICI,7.7,7.7,7.7,7.7,100,7.7,7.7,7.7,7.7,0,0,0
20151203,ICI,9.0,9.0,9.0,9.0,100,9.0,9.0,9.0,9.0,0,0,0
20151202,ICI,8.4,8.4,8.4,8.4,119,8.4,8.4,8.4,8.4,0,0,0
20151201,ICI,7.9,7.9,7.9,7.9,200,7.9,7.9,7.9,7.9,0,0,0
20151130,ICI,8.3,8.3,6.3,6.3,500,8.3,8.3,6.3,6.3,0,0,0
20151127,ICI,7.4,7.4,7.4,7.4,200,7.4,7.4,7.4,7.4,0,0,0
20151126,ICI,6.6,6.6,6.6,6.6,200,6.6,6.6,6.6,6.6,0,0,0
20151123,ICI,5.8,5.8,5.8,5.8,100,5.8,5.8,5.8,5.8,0,0,0
20151119,ICI,6.8,6.8,6.8,6.8,100,6.8,6.8,6.8,6.8,0,0,0
20151113,ICI,8.0,8.0,8.0,8.0,100,8.0,8.0,8.0,8.0,0,0,0
20151026,ICI,9.4,9.4,9.4,9.4,100,9.4,9.4,9.4,9.4,0,0,0
20151020,ICI,9.0,9.0,9.0,9.0,100,9.0,9.0,9.0,9.0,0,0,0
20151014,ICI,8.0,8.0,8.0,8.0,219,8.0,8.0,8.0,8.0,0,0,0
20151007,ICI,7.1,7.1,7.1,7.1,100,7.1,7.1,7.1,7.1,0,0,0
20151002,ICI,6.9,6.9,6.9,6.9,100,6.9,6.9,6.9,6.9,0,0,0
20151001,ICI,6.1,6.1,6.1,6.1,1000,6.1,6.1,6.1,6.1,0,0,0
20150929,ICI,7.1,7.1,7.1,7.1,100,7.1,7.1,7.1,7.1,0,0,0
20150925,ICI,6.3,6.3,6.3,6.3,500,6.3,6.3,6.3,6.3,0,0,0
20150923,ICI,7.4,7.4,7.4,7.4,100,7.4,7.4,7.4,7.4,0,0,0
20150916,ICI,8.7,8.7,8.7,8.7,200,8.7,8.7,8.7,8.7,0,0,0
20150914,ICI,7.8,7.8,7.8,7.8,200,7.8,7.8,7.8,7.8,0,0,0
20150908,ICI,6.9,6.9,6.9,6.9,200,6.9,6.9,6.9,6.9,0,0,0
20150907,ICI,6.0,6.0,6.0,6.0,3000,6.0,6.0,6.0,6.0,0,0,0
