<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,IDJ,2.2,2.4,2.2,2.2,97800,2.2,2.4,2.2,2.2,0,0,0
20170626,IDJ,2.3,2.3,2.2,2.3,10300,2.3,2.3,2.2,2.3,0,0,0
20170623,IDJ,2.2,2.3,2.2,2.3,68600,2.2,2.3,2.2,2.3,0,0,0
20170622,IDJ,2.2,2.3,2.2,2.3,9500,2.2,2.3,2.2,2.3,0,0,0
20170620,IDJ,2.3,2.3,2.2,2.3,49400,2.3,2.3,2.2,2.3,0,0,0
20170619,IDJ,2.3,2.3,2.3,2.3,15500,2.3,2.3,2.3,2.3,0,0,0
20170616,IDJ,2.2,2.4,2.2,2.4,77200,2.2,2.4,2.2,2.4,0,0,0
20170615,IDJ,2.3,2.3,2.2,2.3,12600,2.3,2.3,2.2,2.3,0,0,0
20170614,IDJ,2.3,2.4,2.2,2.4,32000,2.3,2.4,2.2,2.4,0,0,0
20170613,IDJ,2.3,2.3,2.3,2.3,27900,2.3,2.3,2.3,2.3,0,0,0
20170612,IDJ,2.4,2.4,2.3,2.4,42400,2.4,2.4,2.3,2.4,0,0,0
20170609,IDJ,2.3,2.5,2.3,2.5,41700,2.3,2.5,2.3,2.5,0,0,0
20170608,IDJ,2.4,2.4,2.3,2.4,112000,2.4,2.4,2.3,2.4,0,0,0
20170607,IDJ,2.4,2.4,2.4,2.4,62015,2.4,2.4,2.4,2.4,0,0,0
20170606,IDJ,2.3,2.3,2.2,2.3,43600,2.3,2.3,2.2,2.3,0,0,0
20170605,IDJ,2.4,2.4,2.2,2.2,45300,2.4,2.4,2.2,2.2,0,0,0
20170602,IDJ,2.3,2.4,2.3,2.3,162000,2.3,2.4,2.3,2.3,0,0,0
20170601,IDJ,2.3,2.4,2.3,2.3,114200,2.3,2.4,2.3,2.3,0,0,0
20170531,IDJ,2.4,2.5,2.3,2.4,12400,2.4,2.5,2.3,2.4,0,0,0
20170530,IDJ,2.5,2.6,2.2,2.4,138800,2.5,2.6,2.2,2.4,0,0,0
20170529,IDJ,2.3,2.4,2.3,2.4,617300,2.3,2.4,2.3,2.4,0,0,0
20170526,IDJ,2.2,2.3,2.2,2.2,97400,2.2,2.3,2.2,2.2,0,0,0
20170525,IDJ,2.2,2.2,2.2,2.2,25200,2.2,2.2,2.2,2.2,0,0,0
20170524,IDJ,2.2,2.3,2.2,2.2,21900,2.2,2.3,2.2,2.2,0,0,0
20170523,IDJ,2.1,2.2,2.1,2.2,50900,2.1,2.2,2.1,2.2,0,0,0
20170522,IDJ,2.1,2.2,2.1,2.2,41600,2.1,2.2,2.1,2.2,0,0,0
20170519,IDJ,2.2,2.2,2.2,2.2,8400,2.2,2.2,2.2,2.2,0,0,0
20170518,IDJ,2.2,2.2,2.1,2.2,31800,2.2,2.2,2.1,2.2,0,0,0
20170517,IDJ,2.2,2.2,2.1,2.1,35600,2.2,2.2,2.1,2.1,0,0,0
20170516,IDJ,2.2,2.3,2.2,2.3,41800,2.2,2.3,2.2,2.3,0,0,0
20170515,IDJ,2.1,2.2,2.1,2.2,5700,2.1,2.2,2.1,2.2,0,0,0
20170512,IDJ,2.2,2.2,2.2,2.2,14800,2.2,2.2,2.2,2.2,0,0,0
20170511,IDJ,2.2,2.2,2.2,2.2,12300,2.2,2.2,2.2,2.2,0,0,0
20170510,IDJ,2.2,2.2,2.1,2.2,36600,2.2,2.2,2.1,2.2,0,0,0
20170509,IDJ,2.2,2.2,2.2,2.2,32200,2.2,2.2,2.2,2.2,0,0,0
20170508,IDJ,2.2,2.2,2.1,2.2,25800,2.2,2.2,2.1,2.2,0,0,0
20170505,IDJ,2.2,2.2,2.2,2.2,28000,2.2,2.2,2.2,2.2,0,0,0
20170504,IDJ,2.2,2.3,2.2,2.2,70100,2.2,2.3,2.2,2.2,0,0,0
20170503,IDJ,2.3,2.5,2.2,2.2,49400,2.3,2.5,2.2,2.2,0,0,0
20170428,IDJ,2.2,2.3,2.1,2.3,95100,2.2,2.3,2.1,2.3,0,0,0
20170427,IDJ,2.1,2.3,2.1,2.3,2100,2.1,2.3,2.1,2.3,0,0,0
20170426,IDJ,2.1,2.2,2.1,2.2,5900,2.1,2.2,2.1,2.2,0,400,0
20170425,IDJ,2.1,2.2,2.1,2.1,14100,2.1,2.2,2.1,2.1,0,0,0
20170424,IDJ,2.0,2.1,2.0,2.0,22400,2.0,2.1,2.0,2.0,0,0,0
20170421,IDJ,2.0,2.1,2.0,2.0,33100,2.0,2.1,2.0,2.0,0,0,0
20170420,IDJ,2.1,2.2,2.1,2.1,43600,2.1,2.2,2.1,2.1,0,0,0
20170419,IDJ,2.1,2.1,2.0,2.1,27000,2.1,2.1,2.0,2.1,0,0,0
20170418,IDJ,2.1,2.2,2.0,2.0,55400,2.1,2.2,2.0,2.0,0,0,0
