<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170622,KCB,3.0,3.0,3.0,3.0,7400,3.0,3.0,3.0,3.0,0,0,0
20170620,KCB,2.7,2.7,2.7,2.7,100,2.7,2.7,2.7,2.7,0,0,0
20170619,KCB,3.0,3.0,3.0,3.0,5000,3.0,3.0,3.0,3.0,0,0,0
20170609,KCB,3.0,3.0,3.0,3.0,300,3.0,3.0,3.0,3.0,0,0,0
20170608,KCB,3.0,3.0,2.9,2.9,1600,3.0,3.0,2.9,2.9,0,0,0
20170601,KCB,3.0,3.0,3.0,3.0,3000,3.0,3.0,3.0,3.0,0,0,0
20170531,KCB,3.0,3.0,3.0,3.0,1200,3.0,3.0,3.0,3.0,0,0,0
20170530,KCB,3.0,3.0,3.0,3.0,3200,3.0,3.0,3.0,3.0,0,0,0
20170529,KCB,3.0,3.0,3.0,3.0,100,3.0,3.0,3.0,3.0,0,0,0
20170526,KCB,3.0,3.1,3.0,3.1,1100,3.0,3.1,3.0,3.1,0,0,0
20170523,KCB,3.0,3.0,3.0,3.0,100,3.0,3.0,3.0,3.0,0,0,0
20170522,KCB,3.0,3.1,3.0,3.0,30500,3.0,3.1,3.0,3.0,0,0,0
20170519,KCB,3.1,3.1,2.9,2.9,4800,3.1,3.1,2.9,2.9,0,0,0
20170518,KCB,3.4,3.4,3.4,3.4,1100,3.4,3.4,3.4,3.4,0,0,0
20170517,KCB,3.4,3.5,3.4,3.5,7500,3.4,3.5,3.4,3.5,0,0,0
20170516,KCB,3.3,3.4,3.3,3.4,3000,3.3,3.4,3.3,3.4,0,0,0
20170515,KCB,2.8,3.1,2.8,3.1,200,2.8,3.1,2.8,3.1,0,0,0
20170512,KCB,2.8,2.8,2.8,2.8,100,2.8,2.8,2.8,2.8,0,0,0
20170511,KCB,2.5,2.5,2.5,2.5,200,2.5,2.5,2.5,2.5,0,0,0
20170510,KCB,2.6,2.6,2.6,2.6,3500,2.6,2.6,2.6,2.6,0,0,0
20170505,KCB,3.0,3.0,3.0,3.0,100,3.0,3.0,3.0,3.0,0,0,0
20170504,KCB,2.7,2.7,2.7,2.7,1900,2.7,2.7,2.7,2.7,0,0,0
20170428,KCB,2.9,3.0,2.9,3.0,200,2.9,3.0,2.9,3.0,0,0,0
20170427,KCB,2.8,2.9,2.8,2.9,500,2.8,2.9,2.8,2.9,0,0,0
20170426,KCB,3.1,3.1,3.1,3.1,1000,3.1,3.1,3.1,3.1,0,0,0
20170425,KCB,3.8,3.8,3.4,3.4,300,3.8,3.8,3.4,3.4,0,0,0
20170424,KCB,3.9,3.9,3.9,3.9,2300,3.9,3.9,3.9,3.9,0,0,0
20170420,KCB,4.5,4.5,4.5,4.5,100,4.5,4.5,4.5,4.5,0,0,0
20170419,KCB,3.7,4.0,3.7,4.0,800,3.7,4.0,3.7,4.0,0,0,0
20170417,KCB,3.2,3.7,3.2,3.7,1000,3.2,3.7,3.2,3.7,0,0,0
20170414,KCB,3.7,3.7,3.7,3.7,9700,3.7,3.7,3.7,3.7,0,0,0
20170413,KCB,4.5,4.5,4.0,4.0,2100,4.5,4.5,4.0,4.0,0,0,0
20170412,KCB,4.6,4.6,4.6,4.6,7300,4.6,4.6,4.6,4.6,0,0,0
20170411,KCB,4.0,4.0,4.0,4.0,10300,4.0,4.0,4.0,4.0,0,0,0
20170410,KCB,3.5,3.5,3.5,3.5,4700,3.5,3.5,3.5,3.5,0,0,0
20170407,KCB,3.1,3.1,3.1,3.1,8600,3.1,3.1,3.1,3.1,0,0,0
20170405,KCB,2.6,2.8,2.5,2.8,8900,2.6,2.8,2.5,2.8,0,0,0
20170404,KCB,2.5,2.6,2.5,2.6,3100,2.5,2.6,2.5,2.6,0,0,0
20170403,KCB,2.3,2.6,2.3,2.5,7300,2.3,2.6,2.3,2.5,0,0,0
20170331,KCB,2.5,2.6,2.3,2.4,4900,2.5,2.6,2.3,2.4,0,0,0
20170330,KCB,2.6,2.6,2.5,2.6,1900,2.6,2.6,2.5,2.6,0,0,0
20170329,KCB,3.2,3.2,2.7,3.1,3700,3.2,3.2,2.7,3.1,0,0,0
20170328,KCB,2.9,2.9,2.7,2.7,3100,2.9,2.9,2.7,2.7,0,0,0
20170327,KCB,2.9,2.9,2.6,2.9,5000,2.9,2.9,2.6,2.9,0,0,0
20170324,KCB,2.4,2.6,2.4,2.6,4000,2.4,2.6,2.4,2.6,0,0,0
20170323,KCB,2.3,2.5,2.3,2.5,3100,2.3,2.5,2.3,2.5,0,0,0
20170322,KCB,2.5,2.5,2.5,2.5,100,2.5,2.5,2.5,2.5,0,0,0
20170321,KCB,2.4,2.5,2.1,2.3,19100,2.4,2.5,2.1,2.3,0,0,0
20170320,KCB,2.4,2.4,2.4,2.4,200,2.4,2.4,2.4,2.4,0,0,0
20170317,KCB,2.5,2.5,2.5,2.5,100,2.5,2.5,2.5,2.5,0,0,0
20170316,KCB,2.5,2.6,2.5,2.6,1100,2.5,2.6,2.5,2.6,0,0,0
20170315,KCB,2.7,2.7,2.7,2.7,100,2.7,2.7,2.7,2.7,0,0,0
20170314,KCB,3.0,3.0,3.0,3.0,300,3.0,3.0,3.0,3.0,0,0,0
20170313,KCB,2.9,3.7,2.9,3.7,4700,2.9,3.7,2.9,3.7,0,0,0
20170310,KCB,3.3,3.3,3.3,3.3,1700,3.3,3.3,3.3,3.3,0,0,0
20170309,KCB,3.8,3.8,3.8,3.8,1500,3.8,3.8,3.8,3.8,0,0,0
20170308,KCB,4.4,4.4,4.4,4.4,100,4.4,4.4,4.4,4.4,0,0,0
20170306,KCB,5.9,5.9,4.5,4.5,500,5.9,5.9,4.5,4.5,0,0,0
20170303,KCB,5.2,5.2,5.2,5.2,200,5.2,5.2,5.2,5.2,0,0,0
20170302,KCB,4.6,4.6,4.6,4.6,100,4.6,4.6,4.6,4.6,0,0,0
20170301,KCB,4.0,4.0,4.0,4.0,1800,4.0,4.0,4.0,4.0,0,0,0
20170228,KCB,3.5,3.5,3.5,3.5,1600,3.5,3.5,3.5,3.5,0,0,0
20170227,KCB,3.1,3.1,3.1,3.1,1100,3.1,3.1,3.1,3.1,0,0,0
20170224,KCB,2.7,2.7,2.7,2.7,1100,2.7,2.7,2.7,2.7,0,0,0
20170223,KCB,2.4,2.4,2.4,2.4,600,2.4,2.4,2.4,2.4,0,0,0
20170222,KCB,2.1,2.1,2.1,2.1,100,2.1,2.1,2.1,2.1,0,0,0
20170221,KCB,1.9,1.9,1.9,1.9,300,1.9,1.9,1.9,1.9,0,0,0
20161229,KCB,1.4,1.4,1.4,1.4,100,1.4,1.4,1.4,1.4,0,0,0
20161010,KCB,2.2,2.2,2.2,2.2,100,2.2,2.2,2.2,2.2,0,0,0
20161006,KCB,2.5,2.5,2.5,2.5,100,2.5,2.5,2.5,2.5,0,0,0
20160907,KCB,2.9,2.9,2.9,2.9,100,2.9,2.9,2.9,2.9,0,0,0
20160824,KCB,3.4,3.4,3.4,3.4,10400,3.4,3.4,3.4,3.4,0,0,0
20160823,KCB,3.9,3.9,3.9,3.9,300,3.9,3.9,3.9,3.9,0,0,0
20160701,KCB,6.4,6.4,6.4,6.4,100,6.4,6.4,6.4,6.4,0,0,0
20160613,KCB,5.6,5.6,5.6,5.6,100,5.6,5.6,5.6,5.6,0,0,0
20160609,KCB,4.9,4.9,4.9,4.9,100,4.9,4.9,4.9,4.9,0,0,0
20160527,KCB,4.3,4.3,4.3,4.3,100,4.3,4.3,4.3,4.3,0,0,0
20160519,KCB,3.7,4.4,3.7,4.3,3200,3.7,4.4,3.7,4.3,0,0,0
20160518,KCB,3.9,3.9,3.9,3.9,100,3.9,3.9,3.9,3.9,0,0,0
20160517,KCB,3.5,3.5,3.5,3.5,100,3.5,3.5,3.5,3.5,0,0,0
20160516,KCB,3.1,3.1,3.1,3.1,2400,3.1,3.1,3.1,3.1,0,0,0
