<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170623,KHL,0.7,0.9,0.7,0.9,4000,0.7,0.9,0.7,0.9,0,0,0
20170616,KHL,0.8,0.9,0.8,0.8,44600,0.8,0.9,0.8,0.8,0,0,0
20170609,KHL,0.8,0.9,0.8,0.9,62000,0.8,0.9,0.8,0.9,0,0,0
20170602,KHL,0.8,0.8,0.7,0.8,47700,0.8,0.8,0.7,0.8,0,0,0
20170526,KHL,0.8,0.8,0.8,0.8,1400,0.8,0.8,0.8,0.8,0,0,0
20170519,KHL,0.7,0.8,0.7,0.8,66600,0.7,0.8,0.7,0.8,0,0,0
20170512,KHL,0.8,0.8,0.8,0.8,10300,0.8,0.8,0.8,0.8,0,0,0
20170428,KHL,0.8,0.9,0.8,0.9,28900,0.8,0.9,0.8,0.9,0,0,0
20170421,KHL,0.9,0.9,0.8,0.8,15400,0.9,0.9,0.8,0.8,0,0,0
20170414,KHL,0.8,0.9,0.8,0.9,19900,0.8,0.9,0.8,0.9,0,0,0
20170407,KHL,0.9,0.9,0.9,0.9,5700,0.9,0.9,0.9,0.9,0,0,0
20170331,KHL,0.8,0.8,0.8,0.8,47200,0.8,0.8,0.8,0.8,0,0,0
20170324,KHL,0.7,0.9,0.7,0.9,33200,0.7,0.9,0.7,0.9,0,0,0
20170317,KHL,0.8,0.8,0.8,0.8,88300,0.8,0.8,0.8,0.8,0,0,0
20170310,KHL,0.8,0.9,0.8,0.9,1200,0.8,0.9,0.8,0.9,0,0,0
20170303,KHL,1.0,1.0,0.8,0.9,32400,1.0,1.0,0.8,0.9,0,0,0
20170224,KHL,0.8,0.9,0.8,0.9,125000,0.8,0.9,0.8,0.9,0,0,0
20170217,KHL,0.9,0.9,0.8,0.9,20700,0.9,0.9,0.8,0.9,0,0,0
20170210,KHL,0.9,0.9,0.9,0.9,16800,0.9,0.9,0.9,0.9,0,0,0
20170203,KHL,0.8,0.9,0.8,0.9,24600,0.8,0.9,0.8,0.9,0,0,0
20170120,KHL,0.7,0.9,0.7,0.9,8900,0.7,0.9,0.7,0.9,0,0,0
