<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,KMR,4.47,4.49,4.38,4.45,35050,4.47,4.49,4.38,4.45,0,0,0
20170626,KMR,4.45,4.48,4.33,4.45,34610,4.45,4.48,4.33,4.45,0,0,0
20170623,KMR,4.43,4.48,4.4,4.4,106010,4.43,4.48,4.4,4.4,0,0,0
20170622,KMR,4.39,4.49,4.36,4.4,31840,4.39,4.49,4.36,4.4,0,0,0
20170621,KMR,4.55,4.55,4.34,4.49,37170,4.55,4.55,4.34,4.49,0,0,1530
20170620,KMR,4.56,4.57,4.4,4.49,96860,4.56,4.57,4.4,4.49,0,0,1670
20170619,KMR,4.47,4.6,4.43,4.51,133090,4.47,4.6,4.43,4.51,0,6940,10000
20170616,KMR,4.7,4.7,4.46,4.55,35200,4.7,4.7,4.46,4.55,0,1820,0
20170615,KMR,4.4,4.62,4.4,4.5,93230,4.4,4.62,4.4,4.5,0,10830,0
20170614,KMR,4.68,4.68,4.4,4.4,152220,4.68,4.68,4.4,4.4,0,0,0
20170613,KMR,4.55,4.66,4.5,4.66,135440,4.55,4.66,4.5,4.66,0,0,0
20170612,KMR,4.8,4.8,4.63,4.76,74000,4.8,4.8,4.63,4.76,0,0,0
20170609,KMR,4.8,5.0,4.77,4.93,153360,4.8,5.0,4.77,4.93,0,0,0
20170608,KMR,5.29,5.29,4.94,5.05,319200,5.29,5.29,4.94,5.05,0,0,23110
20170607,KMR,4.96,4.96,4.95,4.96,286960,4.96,4.96,4.95,4.96,0,0,5000
20170606,KMR,4.35,4.64,4.35,4.64,622780,4.35,4.64,4.35,4.64,0,0,0
20170605,KMR,4.25,4.35,4.25,4.34,67940,4.25,4.35,4.25,4.34,0,23110,0
20170602,KMR,4.29,4.36,4.25,4.32,59140,4.29,4.36,4.25,4.32,0,0,0
20170601,KMR,4.35,4.38,4.27,4.32,26440,4.35,4.38,4.27,4.32,0,0,0
20170531,KMR,4.35,4.37,4.3,4.37,21820,4.35,4.37,4.3,4.37,0,0,150
20170530,KMR,4.38,4.4,4.3,4.37,26570,4.38,4.4,4.3,4.37,0,0,0
20170529,KMR,4.3,4.5,4.3,4.38,44990,4.3,4.5,4.3,4.38,0,0,0
20170526,KMR,4.38,4.39,4.31,4.32,29130,4.38,4.39,4.31,4.32,0,0,0
20170525,KMR,4.42,4.42,4.3,4.3,55340,4.42,4.42,4.3,4.3,0,0,0
20170524,KMR,4.31,4.42,4.2,4.42,96430,4.31,4.42,4.2,4.42,0,150,0
20170523,KMR,4.32,4.45,4.3,4.38,68200,4.32,4.45,4.3,4.38,0,0,0
20170522,KMR,4.49,4.5,4.3,4.45,61720,4.49,4.5,4.3,4.45,0,5000,0
20170519,KMR,4.43,4.5,4.3,4.5,112700,4.43,4.5,4.3,4.5,0,0,0
20170518,KMR,4.4,4.45,4.36,4.41,177030,4.4,4.45,4.36,4.41,0,0,0
20170517,KMR,4.5,4.5,4.38,4.48,82720,4.5,4.5,4.38,4.48,0,0,0
20170516,KMR,4.7,4.71,4.48,4.54,166980,4.7,4.71,4.48,4.54,0,0,88140
20170515,KMR,4.45,4.65,4.43,4.6,718070,4.45,4.65,4.43,4.6,0,0,599260
20170512,KMR,4.29,4.51,4.29,4.43,330320,4.29,4.51,4.29,4.43,0,0,153000
20170511,KMR,4.24,4.29,4.22,4.29,82100,4.24,4.29,4.22,4.29,0,5000,0
20170510,KMR,4.22,4.22,4.16,4.22,31980,4.22,4.22,4.16,4.22,0,0,0
20170509,KMR,4.35,4.35,4.1,4.22,96930,4.35,4.35,4.1,4.22,0,0,55000
20170508,KMR,4.35,4.42,4.2,4.24,142180,4.35,4.42,4.2,4.24,0,0,87000
20170505,KMR,4.15,4.35,4.09,4.35,63700,4.15,4.35,4.09,4.35,0,0,0
20170504,KMR,4.07,4.15,4.07,4.09,18130,4.07,4.15,4.07,4.09,0,1000,0
20170503,KMR,4.15,4.19,4.07,4.07,11060,4.15,4.19,4.07,4.07,0,0,0
20170428,KMR,4.15,4.15,4.04,4.15,42720,4.15,4.15,4.04,4.15,0,0,0
20170427,KMR,4.12,4.13,4.03,4.13,31660,4.12,4.13,4.03,4.13,0,0,0
20170426,KMR,4.04,4.14,4.0,4.13,63290,4.04,4.14,4.0,4.13,0,0,0
20170425,KMR,4.01,4.17,4.01,4.15,21660,4.01,4.17,4.01,4.15,0,0,0
20170424,KMR,4.1,4.19,4.01,4.17,36930,4.1,4.19,4.01,4.17,0,1000,0
20170421,KMR,4.22,4.34,4.19,4.2,59350,4.22,4.34,4.19,4.2,0,1000,0
20170420,KMR,4.4,4.47,4.31,4.39,8550,4.4,4.47,4.31,4.39,0,0,0
20170419,KMR,4.44,4.44,4.38,4.43,18660,4.44,4.44,4.38,4.43,0,0,0
20170418,KMR,4.5,4.5,4.36,4.44,15160,4.5,4.5,4.36,4.44,0,0,0
20170417,KMR,4.41,4.45,4.36,4.43,46100,4.41,4.45,4.36,4.43,0,0,0
20170414,KMR,4.4,4.42,4.12,4.41,349000,4.4,4.42,4.12,4.41,0,10000,0
20170413,KMR,4.42,4.43,4.36,4.42,75380,4.42,4.43,4.36,4.42,0,0,0
20170412,KMR,4.57,4.57,4.36,4.44,86340,4.57,4.57,4.36,4.44,0,0,0
20170411,KMR,4.51,4.58,4.5,4.5,42750,4.51,4.58,4.5,4.5,0,0,0
20170410,KMR,4.5,4.58,4.48,4.58,40420,4.5,4.58,4.48,4.58,0,1900,0
20170407,KMR,4.6,4.62,4.5,4.5,71060,4.6,4.62,4.5,4.5,0,0,0
20170405,KMR,4.54,4.6,4.5,4.6,103860,4.54,4.6,4.5,4.6,0,0,0
20170404,KMR,4.55,4.6,4.54,4.55,85200,4.55,4.6,4.54,4.55,0,0,0
20170403,KMR,4.6,4.62,4.6,4.6,13260,4.6,4.62,4.6,4.6,0,0,0
20170331,KMR,4.58,4.6,4.5,4.6,59320,4.58,4.6,4.5,4.6,0,0,0
