<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20160607,KSS,0.8,0.9,0.7,0.8,1926240,0.8,0.9,0.7,0.8,0,0,0
20160606,KSS,0.8,0.9,0.8,0.8,2085340,0.8,0.9,0.8,0.8,0,0,50000
20160603,KSS,0.9,0.9,0.9,0.9,417210,0.9,0.9,0.9,0.9,0,0,0
20160602,KSS,1.0,1.0,1.0,1.0,204490,1.0,1.0,1.0,1.0,0,0,0
20160601,KSS,1.1,1.1,1.1,1.1,41740,1.1,1.1,1.1,1.1,0,0,0
20160531,KSS,1.1,1.2,1.0,1.1,126860,1.1,1.2,1.0,1.1,0,0,0
20160530,KSS,1.2,1.2,1.1,1.1,378890,1.2,1.2,1.1,1.1,0,0,0
20160527,KSS,1.1,1.1,1.1,1.1,99240,1.1,1.1,1.1,1.1,0,0,0
20160526,KSS,1.1,1.1,1.0,1.1,22960,1.1,1.1,1.0,1.1,0,0,0
20160525,KSS,1.1,1.1,1.0,1.0,58820,1.1,1.1,1.0,1.0,0,0,0
20160524,KSS,1.1,1.1,1.0,1.1,65920,1.1,1.1,1.0,1.1,0,34910,0
20160523,KSS,1.1,1.2,1.0,1.1,128460,1.1,1.2,1.0,1.1,0,0,0
20160520,KSS,1.0,1.1,1.0,1.1,50360,1.0,1.1,1.0,1.1,0,0,0
20160519,KSS,1.1,1.1,1.0,1.1,245100,1.1,1.1,1.0,1.1,0,0,0
20160518,KSS,1.1,1.2,1.0,1.1,39800,1.1,1.2,1.0,1.1,0,0,0
20160517,KSS,1.1,1.1,1.0,1.1,80560,1.1,1.1,1.0,1.1,0,0,0
20160516,KSS,1.1,1.2,1.1,1.1,187410,1.1,1.2,1.1,1.1,0,0,0
20160513,KSS,1.1,1.2,1.1,1.2,125090,1.1,1.2,1.1,1.2,0,0,0
20160512,KSS,1.2,1.2,1.1,1.1,108570,1.2,1.2,1.1,1.1,0,0,0
20160511,KSS,1.1,1.2,1.1,1.1,86540,1.1,1.2,1.1,1.1,0,0,0
20160510,KSS,1.0,1.2,1.0,1.1,466140,1.0,1.2,1.0,1.1,0,90150,0
20160509,KSS,1.1,1.2,1.1,1.1,406650,1.1,1.2,1.1,1.1,0,0,0
20160506,KSS,1.3,1.3,1.1,1.2,264920,1.3,1.3,1.1,1.2,0,0,0
20160505,KSS,1.1,1.2,1.1,1.2,778300,1.1,1.2,1.1,1.2,0,0,0
20160504,KSS,1.2,1.2,1.1,1.1,123440,1.2,1.2,1.1,1.1,0,10,10
20160429,KSS,1.1,1.2,1.1,1.1,141860,1.1,1.2,1.1,1.1,0,0,0
20160428,KSS,1.1,1.2,1.0,1.1,174430,1.1,1.2,1.0,1.1,0,0,0
20160427,KSS,1.0,1.2,1.0,1.1,179180,1.0,1.2,1.0,1.1,0,0,0
20160426,KSS,1.1,1.2,1.1,1.1,262220,1.1,1.2,1.1,1.1,0,0,0
20160425,KSS,1.1,1.2,1.0,1.1,492860,1.1,1.2,1.0,1.1,0,0,0
20160422,KSS,1.1,1.1,1.0,1.1,386700,1.1,1.1,1.0,1.1,0,10000,0
20160421,KSS,1.2,1.2,1.1,1.1,243980,1.2,1.2,1.1,1.1,0,0,0
20160420,KSS,1.2,1.2,1.1,1.1,277630,1.2,1.2,1.1,1.1,0,0,0
