<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170620,L35,5.0,5.0,5.0,5.0,500,5.0,5.0,5.0,5.0,0,0,0
20170614,L35,4.9,4.9,4.9,4.9,500,4.9,4.9,4.9,4.9,0,0,0
20170613,L35,4.9,4.9,4.9,4.9,500,4.9,4.9,4.9,4.9,0,0,0
20170607,L35,5.0,5.0,5.0,5.0,1000,5.0,5.0,5.0,5.0,0,0,0
20170529,L35,4.8,4.9,4.8,4.9,2000,4.8,4.9,4.8,4.9,0,0,0
20170526,L35,4.8,4.9,4.8,4.9,1700,4.8,4.9,4.8,4.9,0,0,0
20170525,L35,4.7,4.8,4.5,4.8,4400,4.7,4.8,4.5,4.8,0,0,0
20170524,L35,4.7,4.7,4.7,4.7,1000,4.7,4.7,4.7,4.7,0,0,0
20170523,L35,4.7,4.7,4.7,4.7,800,4.7,4.7,4.7,4.7,0,0,0
20170512,L35,4.9,4.9,4.9,4.9,300,4.9,4.9,4.9,4.9,0,0,0
20170509,L35,4.8,4.8,4.8,4.8,5000,4.8,4.8,4.8,4.8,0,0,0
20170505,L35,5.1,5.2,5.1,5.2,2100,5.1,5.2,5.1,5.2,0,0,0
20170503,L35,5.1,5.1,5.1,5.1,400,5.1,5.1,5.1,5.1,0,0,0
20170427,L35,5.1,5.1,5.1,5.1,2800,5.1,5.1,5.1,5.1,0,0,0
20170426,L35,5.1,5.2,5.1,5.2,1200,5.1,5.2,5.1,5.2,0,0,0
20170425,L35,5.1,5.1,5.1,5.1,500,5.1,5.1,5.1,5.1,0,0,0
20170424,L35,5.3,5.3,5.3,5.3,500,5.3,5.3,5.3,5.3,0,0,0
20170414,L35,5.4,5.4,5.4,5.4,100,5.4,5.4,5.4,5.4,0,0,0
20170331,L35,5.2,5.2,5.1,5.1,2000,5.2,5.2,5.1,5.1,0,0,0
20170328,L35,5.4,5.6,5.4,5.6,1000,5.4,5.6,5.4,5.6,0,0,0
20170327,L35,5.2,5.3,5.2,5.3,2100,5.2,5.3,5.2,5.3,0,0,0
20170324,L35,5.5,5.6,5.4,5.4,1300,5.5,5.6,5.4,5.4,0,0,0
20170323,L35,5.5,5.5,5.5,5.5,60,5.5,5.5,5.5,5.5,0,0,0
20170321,L35,5.5,5.5,5.5,5.5,600,5.5,5.5,5.5,5.5,0,0,0
20170320,L35,5.5,5.5,5.5,5.5,500,5.5,5.5,5.5,5.5,0,0,0
20170317,L35,5.5,5.5,5.5,5.5,100,5.5,5.5,5.5,5.5,0,0,0
20170316,L35,5.5,5.5,5.4,5.4,500,5.5,5.5,5.4,5.4,0,0,0
20170314,L35,5.3,5.4,5.3,5.4,3700,5.3,5.4,5.3,5.4,0,0,0
20170309,L35,5.3,5.3,5.3,5.3,2700,5.3,5.3,5.3,5.3,0,0,0
20170306,L35,5.2,5.2,5.2,5.2,1000,5.2,5.2,5.2,5.2,0,0,0
20170302,L35,5.0,5.0,5.0,5.0,2400,5.0,5.0,5.0,5.0,0,0,0
20170301,L35,5.3,5.3,5.0,5.0,2300,5.3,5.3,5.0,5.0,0,0,0
20170228,L35,5.2,5.3,5.1,5.3,2000,5.2,5.3,5.1,5.3,0,0,0
20170227,L35,5.3,5.5,5.3,5.3,3100,5.3,5.5,5.3,5.3,0,2800,0
20170224,L35,5.3,5.4,5.3,5.4,7400,5.3,5.4,5.3,5.4,0,0,0
20170223,L35,5.2,5.2,5.2,5.2,1200,5.2,5.2,5.2,5.2,0,0,0
20170222,L35,5.1,5.2,5.0,5.2,2800,5.1,5.2,5.0,5.2,0,0,0
20170220,L35,5.3,5.3,5.3,5.3,100,5.3,5.3,5.3,5.3,0,0,0
20170215,L35,5.5,5.6,5.5,5.6,200,5.5,5.6,5.5,5.6,0,0,0
20170214,L35,5.2,5.5,5.2,5.5,3000,5.2,5.5,5.2,5.5,0,2800,0
20170213,L35,5.2,5.3,5.2,5.3,3500,5.2,5.3,5.2,5.3,0,0,0
20170208,L35,5.2,5.3,5.2,5.3,1200,5.2,5.3,5.2,5.3,0,1200,0
20170207,L35,5.2,5.2,5.2,5.2,2000,5.2,5.2,5.2,5.2,0,2000,0
20170206,L35,5.2,5.2,5.2,5.2,1000,5.2,5.2,5.2,5.2,0,1000,0
20170125,L35,5.2,5.2,5.2,5.2,600,5.2,5.2,5.2,5.2,0,0,0
20170123,L35,5.1,5.1,5.1,5.1,300,5.1,5.1,5.1,5.1,0,0,0
20170110,L35,4.7,4.7,4.7,4.7,1200,4.7,4.7,4.7,4.7,0,0,0
20170106,L35,4.7,4.7,4.7,4.7,2000,4.7,4.7,4.7,4.7,0,0,0
20161228,L35,4.8,4.8,4.8,4.8,200,4.8,4.8,4.8,4.8,0,0,0
20161208,L35,5.2,5.2,5.2,5.2,100,5.2,5.2,5.2,5.2,0,0,0
20161206,L35,5.0,5.0,5.0,5.0,1000,5.0,5.0,5.0,5.0,0,0,0
20161205,L35,5.1,5.1,5.1,5.1,1000,5.1,5.1,5.1,5.1,0,0,0
20161201,L35,5.2,5.2,5.2,5.2,1000,5.2,5.2,5.2,5.2,0,0,0
20161125,L35,5.1,5.1,5.1,5.1,2000,5.1,5.1,5.1,5.1,0,0,0
20161124,L35,5.0,5.0,5.0,5.0,600,5.0,5.0,5.0,5.0,0,0,0
20161123,L35,5.1,5.1,5.1,5.1,1600,5.1,5.1,5.1,5.1,0,0,0
20161116,L35,5.0,5.0,5.0,5.0,100,5.0,5.0,5.0,5.0,0,0,0
20161114,L35,4.6,4.6,4.6,4.6,200,4.6,4.6,4.6,4.6,0,0,0
20161111,L35,4.9,4.9,4.9,4.9,1000,4.9,4.9,4.9,4.9,0,0,0
20161110,L35,4.5,4.5,4.5,4.5,100,4.5,4.5,4.5,4.5,0,0,0
20161108,L35,4.7,4.7,4.7,4.7,100,4.7,4.7,4.7,4.7,0,0,0
20161101,L35,5.0,5.2,5.0,5.2,600,5.0,5.2,5.0,5.2,0,0,0
20161031,L35,5.1,5.1,5.1,5.1,120,5.1,5.1,5.1,5.1,0,0,0
20161028,L35,5.0,5.0,5.0,5.0,3900,5.0,5.0,5.0,5.0,0,0,0
20161027,L35,4.8,4.8,4.8,4.8,100,4.8,4.8,4.8,4.8,0,0,0
20161026,L35,4.4,4.4,4.4,4.4,100,4.4,4.4,4.4,4.4,0,0,0
20161021,L35,4.9,4.9,4.8,4.8,200,4.9,4.9,4.8,4.8,0,0,0
20161020,L35,4.9,5.0,4.9,5.0,3000,4.9,5.0,4.9,5.0,0,2500,0
20161019,L35,5.0,5.0,5.0,5.0,1600,5.0,5.0,5.0,5.0,0,1000,0
20161018,L35,5.0,5.0,5.0,5.0,2840,5.0,5.0,5.0,5.0,0,0,0
20161017,L35,4.81,4.9,4.81,4.9,2600,5.3,5.4,5.3,5.4,0,0,0
20161014,L35,4.81,4.81,4.72,4.72,3900,5.3,5.3,5.2,5.2,0,0,0
20161013,L35,4.72,4.72,4.63,4.63,2700,5.2,5.2,5.1,5.1,0,0,0
20161012,L35,4.81,4.81,4.81,4.81,6700,5.3,5.3,5.3,5.3,0,0,0
20161011,L35,4.81,4.9,4.81,4.9,10400,5.3,5.4,5.3,5.4,0,0,0
20161010,L35,4.81,4.81,4.81,4.81,2100,5.3,5.3,5.3,5.3,0,0,0
20161007,L35,4.72,4.81,4.72,4.81,3200,5.2,5.3,5.2,5.3,0,0,0
20161006,L35,4.72,4.72,4.72,4.72,6100,5.2,5.2,5.2,5.2,0,0,0
20161005,L35,4.72,4.72,4.72,4.72,100,5.2,5.2,5.2,5.2,0,0,0
20161004,L35,4.54,4.54,4.54,4.54,100,5.0,5.0,5.0,5.0,0,0,0
20160929,L35,4.72,4.72,4.72,4.72,7000,5.2,5.2,5.2,5.2,0,0,0
20160928,L35,4.72,4.72,4.72,4.72,1000,5.2,5.2,5.2,5.2,0,0,0
20160926,L35,4.72,4.72,4.72,4.72,1200,5.2,5.2,5.2,5.2,0,0,0
20160923,L35,4.63,4.63,4.63,4.63,4500,5.1,5.1,5.1,5.1,0,0,0
20160922,L35,4.36,4.9,4.36,4.9,1700,4.8,5.4,4.8,5.4,0,0,0
20160919,L35,4.72,4.81,4.72,4.81,700,5.2,5.3,5.2,5.3,0,0,0
20160916,L35,4.63,4.81,4.63,4.72,1000,5.1,5.3,5.1,5.2,0,0,0
20160915,L35,4.81,4.81,4.81,4.81,100,5.3,5.3,5.3,5.3,0,0,0
20160901,L35,4.9,4.9,4.9,4.9,100,5.4,5.4,5.4,5.4,0,0,0
20160815,L35,4.81,4.81,4.81,4.81,200,5.3,5.3,5.3,5.3,0,0,0
20160811,L35,4.9,4.9,4.9,4.9,2000,5.4,5.4,5.4,5.4,0,0,0
20160808,L35,4.72,4.72,4.72,4.72,100,5.2,5.2,5.2,5.2,0,0,0
20160804,L35,4.9,4.9,4.9,4.9,400,5.4,5.4,5.4,5.4,0,0,0
20160803,L35,4.9,4.9,4.9,4.9,500,5.4,5.4,5.4,5.4,0,0,0
