<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170623,LCC,2.7,2.7,2.7,2.7,1100,2.7,2.7,2.7,2.7,0,0,0
20170519,LCC,2.4,2.4,2.4,2.4,500,2.4,2.4,2.4,2.4,0,0,0
20170421,LCC,2.3,2.3,2.3,2.3,2000,2.3,2.3,2.3,2.3,0,0,0
20170414,LCC,2.0,2.0,2.0,2.0,2500,2.0,2.0,2.0,2.0,0,0,0
20170317,LCC,1.8,1.8,1.8,1.8,100,1.8,1.8,1.8,1.8,0,0,0
20170224,LCC,1.6,1.6,1.6,1.6,100,1.6,1.6,1.6,1.6,0,0,0
20151106,LCC,1.2,1.2,1.2,1.2,4000,1.2,1.2,1.2,1.2,0,0,0
20151105,LCC,1.3,1.3,1.3,1.3,10000,1.3,1.3,1.3,1.3,0,0,0
20150911,LCC,1.5,1.5,1.5,1.5,15000,1.5,1.5,1.5,1.5,0,0,0
20141010,LCC,2.3,2.3,2.3,2.3,100,2.3,2.3,2.3,2.3,0,0,0
20140808,LCC,1.7,1.9,1.7,1.7,100,1.7,1.9,1.7,1.7,2200,0,0
20140717,LCC,1.8,1.8,1.8,1.8,100,1.8,1.8,1.8,1.8,0,0,0
20140714,LCC,2.0,2.0,2.0,2.0,100,2.0,2.0,2.0,2.0,0,0,0
20140710,LCC,2.2,2.2,2.2,2.2,1900,2.2,2.2,2.2,2.2,0,0,0
20140709,LCC,2.0,2.0,2.0,2.0,100,2.0,2.0,2.0,2.0,0,0,0
20140708,LCC,1.9,1.9,1.8,1.9,300,1.9,1.9,1.8,1.9,0,0,0
20140703,LCC,1.8,1.8,1.8,1.8,2200,1.8,1.8,1.8,1.8,0,0,0
20140630,LCC,1.8,1.8,1.8,1.8,100,1.8,1.8,1.8,1.8,0,0,0
20140526,LCC,1.9,1.9,1.9,1.9,100,1.9,1.9,1.9,1.9,0,0,0
20140516,LCC,2.0,2.0,2.0,2.0,100,2.0,2.0,2.0,2.0,0,0,0
20140512,LCC,2.2,2.2,2.2,2.2,100,2.2,2.2,2.2,2.2,0,0,0
20140507,LCC,2.4,2.7,2.4,2.4,100,2.4,2.7,2.4,2.4,7900,0,0
20140421,LCC,2.7,2.7,2.3,2.7,400,2.7,2.7,2.3,2.7,0,0,0
20140418,LCC,2.5,2.5,2.5,2.5,100,2.5,2.5,2.5,2.5,0,0,0
20140417,LCC,2.5,2.5,2.2,2.2,600,2.5,2.5,2.2,2.2,0,0,0
20140415,LCC,2.6,2.6,2.2,2.2,300,2.6,2.6,2.2,2.2,0,0,0
20140414,LCC,2.5,2.5,2.2,2.5,600,2.5,2.5,2.2,2.5,0,0,0
20140411,LCC,2.2,2.6,2.2,2.3,3800,2.2,2.6,2.2,2.3,0,0,0
20140410,LCC,2.4,2.4,2.4,2.4,100,2.4,2.4,2.4,2.4,0,0,0
20140408,LCC,2.2,2.2,2.2,2.2,2000,2.2,2.2,2.2,2.2,0,0,0
20140403,LCC,2.1,2.2,2.0,2.2,2200,2.1,2.2,2.0,2.2,0,0,0
20140321,LCC,2.1,2.1,2.1,2.1,20,2.1,2.1,2.1,2.1,0,0,0
20140320,LCC,2.1,2.1,2.1,2.1,100,2.1,2.1,2.1,2.1,0,0,0
20140319,LCC,2.2,2.2,2.2,2.2,100,2.2,2.2,2.2,2.2,0,0,0
20140314,LCC,2.4,2.4,2.4,2.4,1100,2.4,2.4,2.4,2.4,0,0,0
20140313,LCC,2.3,2.3,2.3,2.3,100,2.3,2.3,2.3,2.3,0,0,0
20140311,LCC,2.5,2.5,2.5,2.5,100,2.5,2.5,2.5,2.5,0,0,0
20140310,LCC,2.5,2.5,2.5,2.5,100,2.5,2.5,2.5,2.5,0,0,0
20140304,LCC,2.7,3.1,2.7,2.7,100,2.7,3.1,2.7,2.7,10465,0,0
20140225,LCC,2.9,2.9,2.9,2.9,3000,2.9,2.9,2.9,2.9,0,0,0
20140224,LCC,2.7,2.7,2.7,2.7,200,2.7,2.7,2.7,2.7,0,0,0
20140221,LCC,2.7,2.7,2.7,2.7,6100,2.7,2.7,2.7,2.7,0,0,0
20131122,LCC,2.7,2.7,2.7,2.7,100,2.7,2.7,2.7,2.7,0,0,0
20131107,LCC,3.0,3.0,3.0,3.0,100,3.0,3.0,3.0,3.0,0,0,0
20131031,LCC,3.3,3.3,3.3,3.3,300,3.3,3.3,3.3,3.3,0,0,0
20131009,LCC,3.6,3.6,3.6,3.6,100,3.6,3.6,3.6,3.6,0,0,0
20131008,LCC,4.0,4.0,4.0,4.0,100,4.0,4.0,4.0,4.0,0,0,0
20131007,LCC,4.4,4.4,4.4,4.4,2600,4.4,4.4,4.4,4.4,0,0,0
20131003,LCC,4.0,4.0,4.0,4.0,100,4.0,4.0,4.0,4.0,0,0,0
20131002,LCC,4.4,4.8,4.0,4.4,4000,4.4,4.8,4.0,4.4,0,0,0
20130927,LCC,4.4,4.4,4.4,4.4,11100,4.4,4.4,4.4,4.4,0,0,0
20130920,LCC,4.0,4.0,4.0,4.0,4000,4.0,4.0,4.0,4.0,0,0,0
20130823,LCC,4.0,4.0,4.0,4.0,500,4.0,4.0,4.0,4.0,0,0,0
20130621,LCC,3.5,3.5,3.5,3.5,100,3.5,3.5,3.5,3.5,0,0,0
20130619,LCC,3.5,3.5,3.5,3.5,5400,3.5,3.5,3.5,3.5,0,0,0
20130606,LCC,3.2,3.2,3.2,3.2,300,3.2,3.2,3.2,3.2,16096,0,0
20130530,LCC,3.2,3.3,3.2,3.2,12100,3.2,3.3,3.2,3.2,99132,0,0
20130529,LCC,3.1,3.1,3.0,3.0,15000,3.1,3.1,3.0,3.0,27549,0,0
20130527,LCC,3.0,3.0,3.0,3.0,10200,3.0,3.0,3.0,3.0,46932,0,0
