<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,MCG,3.8,4.07,3.75,3.75,86670,3.8,4.07,3.75,3.75,0,0,0
20170626,MCG,4.1,4.13,3.86,3.87,495920,4.1,4.13,3.86,3.87,0,0,0
20170623,MCG,3.74,3.86,3.58,3.86,432540,3.74,3.86,3.58,3.86,0,0,0
20170622,MCG,3.77,3.8,3.61,3.61,319980,3.77,3.8,3.61,3.61,0,20,0
20170621,MCG,3.8,3.82,3.76,3.78,178000,3.8,3.82,3.76,3.78,0,0,0
20170620,MCG,3.96,3.96,3.73,3.84,153850,3.96,3.96,3.73,3.84,0,0,0
20170619,MCG,3.59,3.81,3.54,3.81,489300,3.59,3.81,3.54,3.81,0,0,0
20170616,MCG,3.55,3.6,3.4,3.57,97990,3.55,3.6,3.4,3.57,0,0,0
20170615,MCG,3.42,3.69,3.42,3.55,140990,3.42,3.69,3.42,3.55,0,0,0
20170614,MCG,3.47,3.65,3.47,3.5,207530,3.47,3.65,3.47,3.5,0,0,0
20170613,MCG,3.6,3.75,3.54,3.56,551200,3.6,3.75,3.54,3.56,0,0,0
20170612,MCG,3.72,3.89,3.72,3.8,80570,3.72,3.89,3.72,3.8,0,0,0
20170609,MCG,4.15,4.15,3.7,3.89,193040,4.15,4.15,3.7,3.89,0,0,0
20170608,MCG,3.68,3.93,3.68,3.93,902500,3.68,3.93,3.68,3.93,0,0,10
20170607,MCG,3.69,3.7,3.58,3.68,199510,3.69,3.7,3.58,3.68,3270715,0,0
20170606,MCG,3.89,3.89,3.54,3.69,411350,3.89,3.89,3.54,3.69,0,4290,0
20170605,MCG,3.66,3.98,3.66,3.8,288980,3.66,3.98,3.66,3.8,0,10,0
20170602,MCG,4.15,4.15,3.86,3.86,699890,4.15,4.15,3.86,3.86,0,0,0
20170601,MCG,4.15,4.2,3.91,4.15,268710,4.15,4.2,3.91,4.15,0,0,0
20170531,MCG,4.47,4.47,4.15,4.2,355160,4.47,4.47,4.15,4.2,0,0,3000
20170530,MCG,4.15,4.44,4.15,4.25,1355910,4.15,4.44,4.15,4.25,0,0,0
20170529,MCG,4.18,4.37,4.1,4.15,535530,4.18,4.37,4.1,4.15,0,200,3000
20170526,MCG,3.91,4.18,3.79,4.18,1812470,3.91,4.18,3.79,4.18,0,3000,0
20170525,MCG,4.23,4.23,3.69,3.91,2200810,4.23,4.23,3.69,3.91,0,0,0
20170524,MCG,3.96,3.96,3.96,3.96,212020,3.96,3.96,3.96,3.96,0,0,1000
20170523,MCG,3.71,3.71,3.71,3.71,75400,3.71,3.71,3.71,3.71,0,0,0
20170522,MCG,3.25,3.47,3.25,3.47,88200,3.25,3.47,3.25,3.47,0,0,0
20170519,MCG,3.22,3.45,3.22,3.25,449530,3.22,3.45,3.22,3.25,0,1000,0
20170518,MCG,3.7,3.7,3.45,3.45,636070,3.7,3.7,3.45,3.45,0,0,0
20170517,MCG,3.57,3.8,3.57,3.7,463900,3.57,3.8,3.57,3.7,0,0,0
20170516,MCG,3.68,3.9,3.56,3.8,1691810,3.68,3.9,3.56,3.8,0,0,5000
20170515,MCG,3.68,3.68,3.21,3.68,2982050,3.68,3.68,3.21,3.68,0,0,19000
20170512,MCG,3.44,3.44,3.44,3.44,108150,3.44,3.44,3.44,3.44,0,0,0
20170511,MCG,3.22,3.22,3.22,3.22,112920,3.22,3.22,3.22,3.22,0,0,0
20170510,MCG,3.01,3.01,3.01,3.01,525870,3.01,3.01,3.01,3.01,0,0,0
20170509,MCG,2.82,2.82,2.82,2.82,233040,2.82,2.82,2.82,2.82,62510,0,0
20170508,MCG,2.64,2.64,2.64,2.64,327340,2.64,2.64,2.64,2.64,0,0,0
