<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,MHC,6.0,6.0,5.95,5.96,91780,6.0,6.0,5.95,5.96,0,0,0
20170626,MHC,6.0,6.0,5.95,5.98,98150,6.0,6.0,5.95,5.98,0,0,0
20170623,MHC,5.93,6.0,5.92,5.98,79260,5.93,6.0,5.92,5.98,0,4400,0
20170622,MHC,5.94,6.0,5.94,5.95,56240,5.94,6.0,5.94,5.95,0,0,3000
20170621,MHC,6.01,6.01,5.94,5.94,93690,6.01,6.01,5.94,5.94,0,0,0
20170620,MHC,6.0,6.0,5.93,5.98,180230,6.0,6.0,5.93,5.98,0,0,70
20170619,MHC,5.99,6.0,5.94,5.97,105340,5.99,6.0,5.94,5.97,0,0,0
20170616,MHC,5.93,6.03,5.93,5.96,69910,5.93,6.03,5.93,5.96,0,500,0
20170615,MHC,5.99,5.99,5.94,5.94,99440,5.99,5.99,5.94,5.94,0,1000,4000
20170614,MHC,5.97,6.0,5.94,5.98,172670,5.97,6.0,5.94,5.98,0,2000,300
20170613,MHC,6.0,6.0,5.9,5.98,167120,6.0,6.0,5.9,5.98,0,0,0
20170612,MHC,6.1,6.13,5.98,6.0,168340,6.1,6.13,5.98,6.0,0,0,3000
20170609,MHC,5.99,6.25,5.95,6.14,486430,5.99,6.25,5.95,6.14,0,35360,0
20170608,MHC,6.0,6.03,5.94,5.99,293380,6.0,6.03,5.94,5.99,0,3390,0
20170607,MHC,6.01,6.07,5.96,6.0,306720,6.01,6.07,5.96,6.0,0,30630,0
20170606,MHC,6.01,6.08,6.0,6.01,146570,6.01,6.08,6.0,6.01,0,0,0
20170605,MHC,6.15,6.2,6.01,6.01,69780,6.15,6.2,6.01,6.01,0,120,0
20170602,MHC,5.93,6.15,5.93,6.15,243650,5.93,6.15,5.93,6.15,0,32480,0
20170601,MHC,6.02,6.09,5.9,5.93,363510,6.02,6.09,5.9,5.93,0,4390,8000
20170531,MHC,6.05,6.19,6.0,6.02,277720,6.05,6.19,6.0,6.02,0,4970,0
20170530,MHC,6.43,6.43,6.15,6.2,158580,6.43,6.43,6.15,6.2,0,21910,0
20170529,MHC,6.59,6.59,6.38,6.43,783580,6.59,6.59,6.38,6.43,0,15030,5000
20170526,MHC,5.87,6.24,5.84,6.24,1060990,5.87,6.24,5.84,6.24,0,4700,0
20170525,MHC,5.9,5.9,5.83,5.84,113430,5.9,5.9,5.83,5.84,0,0,2800
20170524,MHC,5.9,5.92,5.8,5.87,48290,5.9,5.92,5.8,5.87,0,5000,0
