<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,MKV,15.9,15.9,14.5,14.5,3800,15.9,15.9,14.5,14.5,0,3800,0
20170626,MKV,14.9,14.9,14.9,14.9,13000,14.9,14.9,14.9,14.9,0,13000,0
20170622,MKV,13.6,14.9,13.6,14.9,9000,13.6,14.9,13.6,14.9,0,9000,0
20170608,MKV,13.6,13.6,13.6,13.6,1000,13.6,13.6,13.6,13.6,0,0,200
20170607,MKV,14.3,14.3,14.3,14.3,300,14.3,14.3,14.3,14.3,0,0,0
20170530,MKV,13.0,13.0,13.0,13.0,192785,13.0,13.0,13.0,13.0,0,0,0
20170418,MKV,14.4,14.4,14.4,14.4,2300,14.4,14.4,14.4,14.4,0,0,0
20170404,MKV,16.0,16.0,16.0,16.0,2400,16.0,16.0,16.0,16.0,46400,0,0
20170331,MKV,17.7,17.7,17.7,17.7,1,17.7,17.7,17.7,17.7,0,0,0
20170328,MKV,17.7,17.7,17.7,17.7,1,17.7,17.7,17.7,17.7,0,0,0
20161221,MKV,17.7,17.7,17.7,17.7,300,17.7,17.7,17.7,17.7,0,0,0
20161220,MKV,16.6,16.6,16.6,16.6,400,16.6,16.6,16.6,16.6,0,0,0
20161219,MKV,15.4,15.4,15.4,15.4,300,15.4,15.4,15.4,15.4,0,0,0
20161216,MKV,14.2,14.2,14.2,14.2,300,14.2,14.2,14.2,14.2,0,0,0
20161215,MKV,13.0,13.0,13.0,13.0,300,13.0,13.0,13.0,13.0,0,0,0
20161207,MKV,12.0,12.0,12.0,12.0,100,12.0,12.0,12.0,12.0,0,0,0
20161024,MKV,11.0,11.0,11.0,11.0,100,11.0,11.0,11.0,11.0,0,100,0
20161011,MKV,10.0,10.0,10.0,10.0,2000,10.0,10.0,10.0,10.0,0,0,0
20161010,MKV,10.9,10.9,10.9,10.9,100,10.9,10.9,10.9,10.9,0,0,0
20161007,MKV,10.0,10.0,10.0,10.0,1800,10.0,10.0,10.0,10.0,0,0,0
20161006,MKV,10.0,10.0,10.0,10.0,100,10.0,10.0,10.0,10.0,0,0,0
20161004,MKV,10.9,10.9,10.8,10.8,600,10.9,10.9,10.8,10.8,0,0,0
20160930,MKV,10.0,10.0,10.0,10.0,2300,10.0,10.0,10.0,10.0,0,0,0
20160928,MKV,10.0,10.0,10.0,10.0,958879,10.0,10.0,10.0,10.0,0,0,0
20160927,MKV,10.0,10.0,10.0,10.0,900000,10.0,10.0,10.0,10.0,0,0,0
20160926,MKV,10.6,10.6,10.6,10.6,100,10.6,10.6,10.6,10.6,0,0,0
20160923,MKV,9.7,9.7,9.7,9.7,100,9.7,9.7,9.7,9.7,500000,0,100
20160922,MKV,10.0,10.0,10.0,10.0,100,10.0,10.0,10.0,10.0,0,0,0
20160921,MKV,11.1,11.1,11.1,11.1,100,11.1,11.1,11.1,11.1,117906,0,0
20160920,MKV,10.1,10.1,10.1,10.1,500000,10.1,10.1,10.1,10.1,0,0,0
20160919,MKV,11.4,11.4,11.2,11.2,2400,11.4,11.4,11.2,11.2,0,0,2300
20160804,MKV,12.4,12.4,12.4,12.4,100,12.4,12.4,12.4,12.4,0,0,0
20160803,MKV,12.4,12.4,11.4,11.4,300,12.4,12.4,11.4,11.4,0,0,200
20160520,MKV,11.3,11.3,11.3,11.3,30,11.3,11.3,11.3,11.3,0,0,0
20160516,MKV,11.3,11.3,11.3,11.3,20,11.3,11.3,11.3,11.3,0,0,0
20160504,MKV,11.3,11.3,11.3,11.3,20,11.3,11.3,11.3,11.3,0,0,0
20160413,MKV,11.3,11.3,11.3,11.3,100,11.3,11.3,11.3,11.3,10,0,0
20160412,MKV,10.3,10.3,10.3,10.3,10500,10.3,10.3,10.3,10.3,0,0,0
20160330,MKV,11.4,11.4,11.4,11.4,100,11.4,11.4,11.4,11.4,0,0,0
20160329,MKV,11.3,11.3,11.3,11.3,500,11.3,11.3,11.3,11.3,0,0,0
20160317,MKV,10.3,10.3,10.3,10.3,300,10.3,10.3,10.3,10.3,0,0,0
20160203,MKV,11.39,11.39,11.39,11.4,100,12.6,12.6,12.6,12.6,350000,0,0
20160202,MKV,10.4,10.4,10.4,10.4,100,11.5,11.5,11.5,11.5,0,0,0
20160129,MKV,9.77,9.77,9.77,9.77,100,10.8,10.8,10.8,10.8,17814,0,0
20160128,MKV,8.95,8.95,8.95,8.96,100,9.9,9.9,9.9,9.9,0,0,0
20160127,MKV,8.14,8.14,8.14,8.14,100,9.0,9.0,9.0,9.0,0,0,0
20160121,MKV,7.42,7.42,7.42,7.42,5900,8.2,8.2,8.2,8.2,0,0,0
20151113,MKV,8.23,8.23,8.23,8.23,44,9.1,9.1,9.1,9.1,0,0,0
20151030,MKV,8.23,8.23,8.23,8.23,13600,9.1,9.1,9.1,9.1,0,0,0
20151029,MKV,8.23,8.23,8.23,8.23,12000,9.1,9.1,9.1,9.1,0,0,0
20150820,MKV,7.6,7.6,7.6,7.6,50,8.4,8.4,8.4,8.4,0,0,0
20150811,MKV,7.6,7.6,7.6,7.6,5,8.4,8.4,8.4,8.4,0,0,0
20150810,MKV,7.6,7.6,7.6,7.6,52,8.4,8.4,8.4,8.4,0,0,0
20150724,MKV,7.6,7.6,7.6,7.6,6,8.4,8.4,8.4,8.4,0,0,0
20150722,MKV,7.6,7.6,7.6,7.6,100,8.4,8.4,8.4,8.4,0,0,0
20150714,MKV,7.6,7.6,7.6,7.6,110,8.4,8.4,8.4,8.4,0,0,0
20150702,MKV,8.41,8.41,8.41,8.41,100,9.3,9.3,9.3,9.3,0,0,0
20150622,MKV,8.14,8.14,8.14,8.14,170,9.0,9.0,9.0,9.0,0,0,0
20150609,MKV,7.69,7.69,7.69,7.69,42,8.5,8.5,8.5,8.5,0,0,42
20150608,MKV,7.78,7.78,7.69,7.69,200,8.6,8.6,8.5,8.5,0,0,0
20150602,MKV,7.42,7.42,7.42,7.42,100,8.2,8.2,8.2,8.2,0,0,0
20150601,MKV,7.42,7.42,7.42,7.42,700,8.2,8.2,8.2,8.2,0,0,700
20150529,MKV,7.42,7.42,7.42,7.42,100,8.2,8.2,8.2,8.2,0,0,0
20150520,MKV,6.97,6.97,6.97,6.97,100,7.7,7.7,7.7,7.7,0,0,0
20150519,MKV,7.69,7.69,7.69,7.69,5,8.5,8.5,8.5,8.5,0,0,0
20150515,MKV,7.69,7.69,7.69,7.69,2200,8.5,8.5,8.5,8.5,0,0,0
20150514,MKV,7.69,7.69,7.69,7.69,20,8.5,8.5,8.5,8.5,0,0,0
20150407,MKV,7.69,7.69,7.69,7.69,20,8.5,8.5,8.5,8.5,0,0,0
20150406,MKV,7.69,7.69,7.69,7.69,10,8.5,8.5,8.5,8.5,0,0,0
20150402,MKV,7.69,7.69,7.69,7.69,125,8.5,8.5,8.5,8.5,0,0,0
20150302,MKV,8.14,8.14,8.14,8.14,214,9.0,9.0,9.0,9.0,0,0,0
20150202,MKV,9.04,9.04,9.04,9.05,200,10.0,10.0,10.0,10.0,0,0,0
20150123,MKV,8.41,8.41,8.41,8.41,100,9.3,9.3,9.3,9.3,0,0,0
20150108,MKV,7.69,7.69,7.69,7.69,100,8.5,8.5,8.5,8.5,0,0,0
20141205,MKV,8.23,8.23,8.23,8.23,57,9.1,9.1,9.1,9.1,0,0,0
20141203,MKV,8.23,8.23,8.23,8.23,100,9.1,9.1,9.1,9.1,0,0,0
20141126,MKV,7.51,7.51,7.51,7.51,100,8.3,8.3,8.3,8.3,0,0,0
20141119,MKV,8.14,8.14,8.14,8.14,6,9.0,9.0,9.0,9.0,0,0,0
20141117,MKV,8.14,8.14,8.14,8.14,6,9.0,9.0,9.0,9.0,0,0,0
20141111,MKV,8.14,8.14,8.14,8.14,2038,9.0,9.0,9.0,9.0,0,0,0
20141105,MKV,8.68,8.68,8.68,8.68,40,9.6,9.6,9.6,9.6,0,0,0
20141103,MKV,8.68,8.68,8.68,8.68,16,9.6,9.6,9.6,9.6,0,0,0
20141031,MKV,8.68,8.68,8.68,8.68,100,9.6,9.6,9.6,9.6,0,0,0
20141022,MKV,8.68,8.68,8.68,8.68,60,9.6,9.6,9.6,9.6,0,0,0
20141010,MKV,8.68,8.68,8.68,8.68,526,9.6,9.6,9.6,9.6,0,0,0
20141008,MKV,8.5,8.5,8.5,8.5,100,9.4,9.4,9.4,9.4,0,0,0
20141007,MKV,7.78,7.78,7.78,7.78,742,8.6,8.6,8.6,8.6,0,0,0
20141001,MKV,8.5,8.5,8.5,8.5,74,9.4,9.4,9.4,9.4,0,0,0
20140930,MKV,8.14,8.5,8.14,8.5,2000,9.0,9.4,9.0,9.4,0,0,0
20140917,MKV,7.69,7.78,7.69,7.78,4000,8.5,8.6,8.5,8.6,0,0,0
20140910,MKV,7.69,7.69,7.69,7.69,1800,8.5,8.5,8.5,8.5,0,0,0
20140908,MKV,7.69,7.69,7.69,7.69,100,8.5,8.5,8.5,8.5,0,0,0
