<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170626,NBP,14.0,15.4,14.0,15.4,300,14.0,15.4,14.0,15.4,0,0,0
20170620,NBP,15.2,15.3,14.5,15.3,1600,15.2,15.3,14.5,15.3,0,0,0
20170619,NBP,14.5,14.5,14.5,14.5,100,14.5,14.5,14.5,14.5,0,0,0
20170616,NBP,14.6,14.6,14.0,14.0,1200,14.6,14.6,14.0,14.0,0,0,0
20170613,NBP,14.1,15.3,14.1,15.3,200,14.1,15.3,14.1,15.3,0,0,0
20170601,NBP,14.0,15.4,14.0,15.4,600,14.0,15.4,14.0,15.4,0,0,500
20170531,NBP,14.5,15.5,14.5,15.5,1200,14.5,15.5,14.5,15.5,0,0,0
20170529,NBP,15.05,15.6,15.05,15.6,4200,16.5,17.1,16.5,17.1,0,0,0
20170526,NBP,14.96,14.96,14.96,14.96,200,16.4,16.4,16.4,16.4,0,0,0
20170525,NBP,15.06,15.06,14.6,14.6,2100,16.5,16.5,16.0,16.0,0,0,600
20170524,NBP,14.59,14.59,14.59,14.6,100,16.0,16.0,16.0,16.0,0,0,0
20170523,NBP,13.5,13.5,13.5,13.5,300,14.8,14.8,14.8,14.8,0,0,0
20170517,NBP,12.77,12.77,12.5,12.5,2000,14.0,14.0,13.7,13.7,0,300,0
20170515,NBP,12.87,12.87,12.87,12.86,1500,14.1,14.1,14.1,14.1,0,0,0
20170512,NBP,12.32,12.32,12.32,12.32,1100,13.5,13.5,13.5,13.5,0,0,100
20170511,NBP,12.32,12.32,12.32,12.32,200,13.5,13.5,13.5,13.5,0,0,0
20170510,NBP,12.32,13.32,12.32,13.32,3600,13.5,14.6,13.5,14.6,0,0,3600
20170504,NBP,13.32,13.32,13.32,13.32,100,14.6,14.6,14.6,14.6,0,0,0
20170428,NBP,13.32,13.32,13.32,13.32,500,14.6,14.6,14.6,14.6,0,500,0
20170426,NBP,13.41,13.41,13.41,13.41,100,14.7,14.7,14.7,14.7,0,0,100
20170425,NBP,14.6,14.6,14.51,14.6,600,16.0,16.0,15.9,16.0,0,100,100
20170420,NBP,13.32,13.32,13.32,13.32,100,14.6,14.6,14.6,14.6,0,100,100
20170419,NBP,14.78,14.78,14.78,14.78,100,16.2,16.2,16.2,16.2,0,100,0
20170412,NBP,13.5,13.5,13.5,13.5,100,14.8,14.8,14.8,14.8,0,0,100
20170411,NBP,14.87,14.87,14.87,14.87,100,16.3,16.3,16.3,16.3,0,100,100
20170404,NBP,13.59,13.59,13.59,13.59,1000,14.9,14.9,14.9,14.9,0,900,0
20170324,NBP,13.59,13.59,13.59,13.59,100,14.9,14.9,14.9,14.9,0,100,0
20170323,NBP,13.68,13.68,13.68,13.68,100,15.0,15.0,15.0,15.0,0,0,0
20170322,NBP,13.68,13.68,13.59,13.59,52100,15.0,15.0,14.9,14.9,0,41000,0
20170321,NBP,13.68,13.68,13.68,13.68,31900,15.0,15.0,15.0,15.0,0,20000,0
20170320,NBP,13.77,13.77,13.68,13.77,44000,15.1,15.1,15.0,15.1,0,40000,0
20170317,NBP,13.96,13.96,13.78,13.77,23500,15.3,15.3,15.1,15.1,0,10500,0
20170316,NBP,14.23,14.23,13.96,13.96,42500,15.6,15.6,15.3,15.3,0,32500,0
20170315,NBP,14.41,14.41,14.23,14.23,29000,15.8,15.8,15.6,15.6,0,21000,0
20170314,NBP,14.51,14.51,14.51,14.5,5500,15.9,15.9,15.9,15.9,0,5000,0
20170313,NBP,14.6,14.6,14.6,14.6,14500,16.0,16.0,16.0,16.0,0,12800,0
20170310,NBP,14.96,14.96,14.6,14.6,11000,16.4,16.4,16.0,16.0,0,6800,10000
20170309,NBP,14.78,14.78,14.78,14.78,6300,16.2,16.2,16.2,16.2,0,6300,0
20170308,NBP,14.96,14.96,14.96,14.96,7700,16.4,16.4,16.4,16.4,0,6300,0
20170227,NBP,15.05,15.05,15.05,15.05,500,16.5,16.5,16.5,16.5,0,0,0
20170223,NBP,15.05,15.05,15.05,15.05,300,16.5,16.5,16.5,16.5,0,0,0
20170222,NBP,15.15,15.15,15.15,15.14,3000,16.6,16.6,16.6,16.6,0,3000,0
20170215,NBP,15.33,15.33,15.33,15.33,6000,16.8,16.8,16.8,16.8,0,6000,0
20170214,NBP,15.51,15.51,15.51,15.51,1000,17.0,17.0,17.0,17.0,0,1000,0
20170210,NBP,15.6,15.6,15.6,15.6,1500,17.1,17.1,17.1,17.1,0,1500,0
20170124,NBP,15.6,16.33,15.6,16.33,7600,17.1,17.9,17.1,17.9,0,7600,2000
20170123,NBP,15.78,15.78,15.69,15.69,6300,17.3,17.3,17.2,17.2,0,5900,0
20170119,NBP,15.97,15.97,15.97,15.96,2100,17.5,17.5,17.5,17.5,0,2100,0
20170113,NBP,16.06,16.06,16.06,16.06,100,17.6,17.6,17.6,17.6,0,100,0
20170104,NBP,16.42,16.42,16.42,16.42,100,18.0,18.0,18.0,18.0,0,100,0
20170103,NBP,16.06,16.06,15.97,15.96,600,17.6,17.6,17.5,17.5,0,300,0
20161228,NBP,16.06,16.06,16.06,16.06,1800,17.6,17.6,17.6,17.6,0,1800,0
20161219,NBP,16.06,16.06,16.06,16.06,3700,17.6,17.6,17.6,17.6,0,0,0
20161216,NBP,16.06,16.06,16.06,16.06,2030,17.6,17.6,17.6,17.6,0,2000,0
20161215,NBP,15.96,16.05,15.96,16.06,4200,17.5,17.6,17.5,17.6,0,1200,0
20161214,NBP,15.97,15.97,15.97,15.96,1900,17.5,17.5,17.5,17.5,0,1900,0
20161212,NBP,15.33,15.33,15.33,15.33,1100,16.8,16.8,16.8,16.8,0,1100,1100
20161208,NBP,16.33,16.33,15.33,15.33,500,17.9,17.9,16.8,16.8,0,300,0
20161202,NBP,15.6,15.6,15.6,15.6,1600,17.1,17.1,17.1,17.1,0,0,0
20161125,NBP,15.51,15.51,14.78,15.05,4300,17.0,17.0,16.2,16.5,0,3200,0
20161124,NBP,14.87,14.87,14.87,14.87,500,16.3,16.3,16.3,16.3,0,500,0
20161123,NBP,14.87,14.87,14.87,14.87,100,16.3,16.3,16.3,16.3,0,100,0
20161117,NBP,14.96,14.96,14.87,14.87,1500,16.4,16.4,16.3,16.3,0,1000,0
20161027,NBP,14.87,14.87,14.87,14.87,62,16.3,16.3,16.3,16.3,0,0,0
20161020,NBP,14.87,14.87,14.87,14.87,100,16.3,16.3,16.3,16.3,0,0,0
20161011,NBP,16.15,16.15,16.15,16.15,5800,17.7,17.7,17.7,17.7,0,5800,0
20161010,NBP,16.15,16.15,16.15,16.15,5800,17.7,17.7,17.7,17.7,0,5800,0
20161004,NBP,16.15,16.15,16.15,16.15,600,17.7,17.7,17.7,17.7,0,600,0
20160927,NBP,16.42,16.42,16.42,16.42,2000,18.0,18.0,18.0,18.0,0,2000,0
20160923,NBP,15.96,15.96,15.87,15.87,2500,17.5,17.5,17.4,17.4,0,2400,0
20160920,NBP,15.87,15.87,15.87,15.87,1000,17.4,17.4,17.4,17.4,0,1000,0
20160915,NBP,15.87,15.87,15.87,15.87,1900,17.4,17.4,17.4,17.4,0,1900,0
20160826,NBP,15.87,15.96,15.87,15.96,5200,17.4,17.5,17.4,17.5,0,4200,0
20160825,NBP,15.96,15.96,15.96,15.96,2800,17.5,17.5,17.5,17.5,0,0,0
20160822,NBP,15.97,15.97,15.97,15.96,500,17.5,17.5,17.5,17.5,0,500,0
20160819,NBP,16.06,16.06,16.06,16.06,100,17.6,17.6,17.6,17.6,0,100,100
20160818,NBP,16.15,17.79,16.15,17.79,4100,17.7,19.5,17.7,19.5,0,1100,0
20160812,NBP,16.24,16.24,16.24,16.24,500,17.8,17.8,17.8,17.8,0,0,0
20160805,NBP,16.24,16.24,16.24,16.24,300,17.8,17.8,17.8,17.8,0,300,0
20160802,NBP,16.42,16.42,16.42,16.42,1100,18.0,18.0,18.0,18.0,0,1100,0
20160728,NBP,16.51,16.51,16.51,16.51,1000,18.1,18.1,18.1,18.1,0,0,0
20160727,NBP,16.06,16.51,16.06,16.51,200,17.6,18.1,17.6,18.1,0,0,100
20160721,NBP,17.79,17.79,17.79,17.79,19000,19.5,19.5,19.5,19.5,0,19000,0
20160720,NBP,16.58,17.34,16.49,17.33,13600,19.6,20.5,19.5,20.5,0,8000,0
20160719,NBP,16.74,16.74,16.66,16.66,8000,19.8,19.8,19.7,19.7,0,7000,0
20160715,NBP,16.74,16.74,16.74,16.74,2300,19.8,19.8,19.8,19.8,0,0,0
20160714,NBP,16.92,17.0,16.49,16.74,31200,20.0,20.1,19.5,19.8,0,10900,0
20160713,NBP,17.08,17.33,16.91,17.0,17500,20.2,20.5,20.0,20.1,0,10200,0
20160712,NBP,17.17,17.25,17.17,17.25,10500,20.3,20.4,20.3,20.4,0,10000,0
20160711,NBP,17.33,17.33,17.25,17.25,6700,20.5,20.5,20.4,20.4,0,5600,0
20160708,NBP,17.42,17.42,17.34,17.33,10000,20.6,20.6,20.5,20.5,0,5000,0
20160707,NBP,17.76,17.76,17.76,17.76,1100,21.0,21.0,21.0,21.0,0,0,0
20160706,NBP,17.16,17.75,17.16,17.76,10200,20.3,21.0,20.3,21.0,0,0,0
20160704,NBP,17.33,17.33,17.33,17.33,1200,20.5,20.5,20.5,20.5,0,1200,0
20160701,NBP,17.33,17.5,17.33,17.33,2900,20.5,20.7,20.5,20.5,0,0,0
20160630,NBP,16.91,16.91,16.91,16.91,900,20.0,20.0,20.0,20.0,0,800,0
20160629,NBP,17.33,17.33,17.33,17.33,600,20.5,20.5,20.5,20.5,0,0,0
20160627,NBP,16.74,16.74,16.74,16.74,1400,19.8,19.8,19.8,19.8,0,1400,0
20160624,NBP,16.92,16.92,16.92,16.91,2000,20.0,20.0,20.0,20.0,0,2000,1600
20160623,NBP,16.91,16.99,16.91,17.0,400,20.0,20.1,20.0,20.1,0,200,0
20160622,NBP,16.91,16.91,16.91,16.91,6900,20.0,20.0,20.0,20.0,0,5100,0
20160621,NBP,16.74,17.33,16.74,16.91,5200,19.8,20.5,19.8,20.0,0,2100,0
20160617,NBP,16.91,16.91,16.91,16.91,100,20.0,20.0,20.0,20.0,0,0,0
20160616,NBP,16.83,16.83,16.83,16.83,1200,19.9,19.9,19.9,19.9,0,1200,0
20160613,NBP,16.82,16.91,16.82,16.91,10200,19.9,20.0,19.9,20.0,0,0,0
20160610,NBP,16.57,16.57,16.57,16.57,100,19.6,19.6,19.6,19.6,0,100,0
20160608,NBP,16.74,16.74,16.74,16.74,500,19.8,19.8,19.8,19.8,0,0,0
20160606,NBP,16.74,16.74,16.74,16.74,1000,19.8,19.8,19.8,19.8,0,1000,0
20160603,NBP,16.75,16.75,16.75,16.74,1900,19.8,19.8,19.8,19.8,0,0,0
20160602,NBP,17.0,17.0,16.66,17.0,300,20.1,20.1,19.7,20.1,0,100,0
20160601,NBP,16.83,16.83,16.83,16.83,3000,19.9,19.9,19.9,19.9,0,3000,0
20160531,NBP,16.91,17.08,16.83,16.83,10200,20.0,20.2,19.9,19.9,0,200,0
20160530,NBP,16.83,17.25,16.83,17.25,10300,19.9,20.4,19.9,20.4,0,0,0
20160527,NBP,16.32,16.91,16.32,16.91,4100,19.3,20.0,19.3,20.0,0,600,0
20160526,NBP,16.91,16.91,16.32,16.32,5400,20.0,20.0,19.3,19.3,0,5100,0
20160525,NBP,17.33,17.59,17.33,17.59,5600,20.5,20.8,20.5,20.8,0,5000,0
20160524,NBP,17.33,17.67,17.33,17.67,2500,20.5,20.9,20.5,20.9,0,0,0
20160523,NBP,17.17,17.25,17.17,17.25,200,20.3,20.4,20.3,20.4,0,0,0
20160520,NBP,17.59,17.59,17.59,17.59,100,20.8,20.8,20.8,20.8,0,0,0
20160519,NBP,16.99,16.99,16.99,17.0,5400,20.1,20.1,20.1,20.1,0,0,0
20160518,NBP,16.91,16.91,16.91,16.91,6700,20.0,20.0,20.0,20.0,0,5100,0
20160517,NBP,17.75,17.75,16.91,17.5,1200,21.0,21.0,20.0,20.7,0,0,0
20160516,NBP,17.67,18.18,16.57,16.57,3800,20.9,21.5,19.6,19.6,0,0,0
20160513,NBP,16.07,17.25,16.07,17.25,1100,19.0,20.4,19.0,20.4,0,0,0
20160512,NBP,15.73,16.07,15.64,16.07,5200,18.6,19.0,18.5,19.0,0,3100,0
20160511,NBP,16.07,16.32,15.64,16.32,4500,19.0,19.3,18.5,19.3,0,0,0
20160510,NBP,15.55,15.55,15.55,15.56,2900,18.4,18.4,18.4,18.4,0,0,0
20160509,NBP,15.22,16.4,15.22,16.4,1400,18.0,19.4,18.0,19.4,0,0,0
20160506,NBP,14.97,15.22,14.97,15.22,300,17.7,18.0,17.7,18.0,0,0,0
20160505,NBP,15.39,15.39,15.22,15.22,1402,18.2,18.2,18.0,18.0,0,0,0
20160504,NBP,16.07,16.07,15.39,15.47,10800,19.0,19.0,18.2,18.3,0,0,6000
20160427,NBP,17.59,17.59,16.06,16.66,2600,20.8,20.8,19.0,19.7,0,0,0
20160426,NBP,18.18,18.18,16.74,16.74,3200,21.5,21.5,19.8,19.8,0,0,0
20160425,NBP,19.87,19.87,17.42,18.52,1500,23.5,23.5,20.6,21.9,0,0,0
20160422,NBP,16.83,18.44,16.83,18.43,10000,19.9,21.8,19.9,21.8,0,0,0
20160421,NBP,15.22,16.83,15.22,16.83,17900,18.0,19.9,18.0,19.9,0,0,0
20160414,NBP,15.22,16.91,15.22,16.91,1520,18.0,20.0,18.0,20.0,0,0,0
20160413,NBP,16.91,16.91,16.91,16.91,3,20.0,20.0,20.0,20.0,0,0,0
20160412,NBP,15.13,16.91,15.13,16.91,200,17.9,20.0,17.9,20.0,0,0,0
20160331,NBP,16.74,16.74,16.74,16.74,300,19.8,19.8,19.8,19.8,0,0,0
20160330,NBP,15.98,16.74,15.98,16.74,3400,18.9,19.8,18.9,19.8,0,0,0
20160329,NBP,17.75,17.84,16.99,17.16,18050,21.0,21.1,20.1,20.3,0,0,0
20160324,NBP,15.64,17.16,15.64,17.16,17000,18.5,20.3,18.5,20.3,0,0,0
20160323,NBP,15.64,15.64,15.64,15.64,500,18.5,18.5,18.5,18.5,0,0,0
20160322,NBP,17.33,17.33,17.33,17.33,100,20.5,20.5,20.5,20.5,0,0,100
20160317,NBP,19.19,19.19,19.19,19.19,100,22.7,22.7,22.7,22.7,0,0,0
20160316,NBP,17.5,17.5,17.5,17.5,200,20.7,20.7,20.7,20.7,0,0,0
20160314,NBP,18.6,19.45,18.6,19.45,200,22.0,23.0,22.0,23.0,0,0,0
20160311,NBP,14.79,18.01,14.79,18.01,1800,17.5,21.3,17.5,21.3,0,0,0
20160308,NBP,15.22,16.4,15.22,16.4,300,18.0,19.4,18.0,19.4,0,0,0
20160217,NBP,15.05,15.05,15.05,15.05,100,17.8,17.8,17.8,17.8,0,0,0
20160203,NBP,12.93,14.2,12.93,14.2,200,15.3,16.8,15.3,16.8,0,0,100
20160129,NBP,14.37,14.37,14.37,14.37,100,17.0,17.0,17.0,17.0,0,0,0
20160128,NBP,12.69,14.12,12.69,14.12,400,15.0,16.7,15.0,16.7,0,0,100
20160127,NBP,11.84,14.04,11.84,14.04,200,14.0,16.6,14.0,16.6,0,0,100
20160126,NBP,13.1,13.1,13.1,13.11,100,15.5,15.5,15.5,15.5,0,0,0
20160122,NBP,12.35,12.35,12.35,12.34,100,14.6,14.6,14.6,14.6,0,0,0
20160106,NBP,12.43,12.43,12.43,12.43,200,14.7,14.7,14.7,14.7,0,200,0
20151127,NBP,12.76,12.76,12.76,12.77,200,15.1,15.1,15.1,15.1,0,0,0
20151125,NBP,12.68,12.68,12.68,12.68,200,15.0,15.0,15.0,15.0,0,0,0
20151120,NBP,12.43,12.43,12.43,12.43,100,14.7,14.7,14.7,14.7,0,0,100
20151119,NBP,13.78,13.78,13.78,13.78,100,16.3,16.3,16.3,16.3,0,0,0
20151118,NBP,12.68,12.68,12.68,12.68,100,15.0,15.0,15.0,15.0,0,100,0
20151116,NBP,12.85,12.85,12.85,12.85,100,15.2,15.2,15.2,15.2,0,0,100
20151112,NBP,14.21,14.21,14.21,14.2,100,16.8,16.8,16.8,16.8,0,0,0
20151110,NBP,12.94,12.94,12.94,12.94,100,15.3,15.3,15.3,15.3,0,0,100
20151109,NBP,12.52,14.29,12.52,14.29,200,14.8,16.9,14.8,16.9,0,0,100
