<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,PDC,7.9,7.9,7.9,7.9,200,7.9,7.9,7.9,7.9,0,0,0
20170626,PDC,8.2,8.6,7.3,7.3,11738,8.2,8.6,7.3,7.3,0,0,0
20170623,PDC,7.9,7.9,7.3,7.9,22600,7.9,7.9,7.3,7.9,0,0,0
20170622,PDC,7.2,7.2,7.2,7.2,2100,7.2,7.2,7.2,7.2,0,0,0
20170621,PDC,6.6,6.6,6.6,6.6,7388,6.6,6.6,6.6,6.6,0,0,0
20170620,PDC,6.0,6.0,6.0,6.0,6700,6.0,6.0,6.0,6.0,0,0,0
20170619,PDC,5.5,5.5,5.5,5.5,200,5.5,5.5,5.5,5.5,0,0,0
20170616,PDC,5.0,5.0,5.0,5.0,200,5.0,5.0,5.0,5.0,0,0,0
20170615,PDC,4.6,4.6,4.6,4.6,1700,4.6,4.6,4.6,4.6,0,0,0
20170613,PDC,4.0,4.2,4.0,4.2,3000,4.0,4.2,4.0,4.2,0,2200,0
20170609,PDC,3.8,3.9,3.8,3.9,1300,3.8,3.9,3.8,3.9,0,0,0
20170606,PDC,3.7,4.0,3.7,4.0,600,3.7,4.0,3.7,4.0,0,0,0
20170529,PDC,3.8,4.0,3.6,4.0,1100,3.8,4.0,3.6,4.0,0,0,0
20170519,PDC,3.7,3.9,3.7,3.9,400,3.7,3.9,3.7,3.9,0,0,0
20170407,PDC,4.1,4.1,4.1,4.1,1100,4.1,4.1,4.1,4.1,0,0,0
20170403,PDC,4.0,4.0,3.9,4.0,5000,4.0,4.0,3.9,4.0,0,0,0
20170329,PDC,4.2,4.2,4.0,4.2,7600,4.2,4.2,4.0,4.2,0,0,0
20170328,PDC,4.2,4.2,4.2,4.2,2000,4.2,4.2,4.2,4.2,0,0,0
20170327,PDC,4.5,4.5,4.5,4.5,1100,4.5,4.5,4.5,4.5,0,0,0
20170324,PDC,3.7,4.4,3.7,4.4,3300,3.7,4.4,3.7,4.4,0,0,0
20170323,PDC,4.1,4.1,4.0,4.0,300,4.1,4.1,4.0,4.0,0,0,0
20170322,PDC,4.1,4.1,4.1,4.1,1300,4.1,4.1,4.1,4.1,0,0,0
20170321,PDC,4.1,4.1,4.1,4.1,1300,4.1,4.1,4.1,4.1,0,0,0
