<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,PIC,15.3,15.3,15.3,15.3,100,15.3,15.3,15.3,15.3,0,0,0
20170626,PIC,15.0,15.0,14.1,14.1,4850,15.0,15.0,14.1,14.1,0,0,0
20170622,PIC,13.6,14.0,13.6,13.9,1050,13.6,14.0,13.6,13.9,0,0,0
20170621,PIC,15.0,15.0,15.0,15.0,2400,15.0,15.0,15.0,15.0,0,0,0
20170620,PIC,15.0,15.0,15.0,15.0,45,15.0,15.0,15.0,15.0,0,0,0
20170619,PIC,15.0,15.0,15.0,15.0,575,15.0,15.0,15.0,15.0,0,0,0
20170616,PIC,14.4,14.4,14.4,14.4,1825,14.4,14.4,14.4,14.4,0,0,0
20170615,PIC,13.2,13.2,13.1,13.1,1250,13.2,13.2,13.1,13.1,0,0,0
20170614,PIC,14.5,14.5,14.5,14.5,500,14.5,14.5,14.5,14.5,0,0,0
20170613,PIC,14.0,14.0,14.0,14.0,500,14.0,14.0,14.0,14.0,0,0,0
20170612,PIC,13.8,14.7,13.8,14.7,2120,13.8,14.7,13.8,14.7,0,0,0
20170609,PIC,13.5,13.5,13.5,13.5,400,13.5,13.5,13.5,13.5,0,0,0
20170607,PIC,14.2,14.2,14.2,14.2,300,14.2,14.2,14.2,14.2,0,0,0
20170605,PIC,14.0,14.0,14.0,14.0,75,14.0,14.0,14.0,14.0,0,0,0
20170602,PIC,13.9,14.0,13.9,14.0,2400,13.9,14.0,13.9,14.0,0,0,0
20170531,PIC,13.5,13.5,13.5,13.5,600,13.5,13.5,13.5,13.5,0,0,0
20170530,PIC,12.6,12.6,12.6,12.6,1350,12.6,12.6,12.6,12.6,0,0,0
20170526,PIC,12.4,12.4,12.4,12.4,790,12.4,12.4,12.4,12.4,0,0,0
20170525,PIC,12.3,12.3,12.3,12.3,1388,12.3,12.3,12.3,12.3,0,0,0
20170524,PIC,12.6,12.6,12.6,12.6,400,12.6,12.6,12.6,12.6,0,0,0
20170522,PIC,12.5,12.5,12.5,12.5,86,12.5,12.5,12.5,12.5,0,0,0
20170518,PIC,12.5,12.5,12.5,12.5,100,12.5,12.5,12.5,12.5,0,0,0
20170517,PIC,12.5,12.5,12.5,12.5,900,12.5,12.5,12.5,12.5,0,0,0
20170515,PIC,12.5,12.5,12.5,12.5,1701,12.5,12.5,12.5,12.5,70,0,0
20170510,PIC,12.6,12.6,12.6,12.6,716,12.6,12.6,12.6,12.6,0,0,0
20170509,PIC,12.6,12.6,12.6,12.6,2683,12.6,12.6,12.6,12.6,0,0,0
20170508,PIC,12.6,12.6,12.6,12.6,325,12.6,12.6,12.6,12.6,0,0,0
20170503,PIC,13.0,13.0,13.0,13.0,7,13.0,13.0,13.0,13.0,12,0,0
20170426,PIC,13.0,13.0,13.0,13.0,100,13.0,13.0,13.0,13.0,0,0,0
20170421,PIC,13.0,13.0,13.0,13.0,40,13.0,13.0,13.0,13.0,0,0,0
20170419,PIC,13.0,13.0,13.0,13.0,600,13.0,13.0,13.0,13.0,0,0,0
20170418,PIC,13.0,13.0,13.0,13.0,500,13.0,13.0,13.0,13.0,0,0,0
20170417,PIC,12.5,12.5,12.5,12.5,500,12.5,12.5,12.5,12.5,0,0,0
20170414,PIC,13.0,13.0,13.0,13.0,700,13.0,13.0,13.0,13.0,0,0,0
20170413,PIC,12.9,12.9,12.9,12.9,146,12.9,12.9,12.9,12.9,0,0,0
20170411,PIC,12.9,12.9,12.9,12.9,500,12.9,12.9,12.9,12.9,0,0,0
20170407,PIC,12.9,12.9,12.9,12.9,50,12.9,12.9,12.9,12.9,0,0,0
20170405,PIC,12.9,12.9,12.9,12.9,4800,12.9,12.9,12.9,12.9,55,0,0
20170404,PIC,12.9,12.9,12.9,12.9,10600,12.9,12.9,12.9,12.9,0,0,0
20170403,PIC,12.5,12.5,12.5,12.5,1000,12.5,12.5,12.5,12.5,0,0,0
20170331,PIC,12.3,12.5,12.3,12.5,800,12.3,12.5,12.3,12.5,0,0,0
