<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170626,PJS,13.6,13.6,13.6,13.6,100,13.6,13.6,13.6,13.6,0,0,100
20170622,PJS,13.4,13.4,13.4,13.4,1000,13.4,13.4,13.4,13.4,0,0,0
20170620,PJS,14.0,14.0,14.0,14.0,100,14.0,14.0,14.0,14.0,0,0,0
20170609,PJS,13.4,13.4,13.4,13.4,2400,13.4,13.4,13.4,13.4,0,0,0
20170608,PJS,13.4,13.4,13.4,13.4,100,13.4,13.4,13.4,13.4,0,0,0
20170607,PJS,13.4,13.4,13.4,13.4,200,13.4,13.4,13.4,13.4,0,0,0
20170606,PJS,13.3,13.3,13.3,13.3,200,13.3,13.3,13.3,13.3,0,0,0
20170602,PJS,13.3,13.3,13.3,13.3,100,13.3,13.3,13.3,13.3,0,0,0
20170529,PJS,12.1,12.1,12.1,12.1,100,12.1,12.1,12.1,12.1,0,0,0
20170525,PJS,13.3,13.3,13.3,13.3,200,13.3,13.3,13.3,13.3,0,0,0
20170523,PJS,13.5,14.3,13.5,14.3,13500,13.5,14.3,13.5,14.3,0,13500,0
20170522,PJS,13.2,13.2,13.2,13.2,200,13.2,13.2,13.2,13.2,0,0,0
20170518,PJS,12.1,12.1,12.1,12.1,100,12.1,12.1,12.1,12.1,0,0,0
20170517,PJS,13.4,13.8,13.4,13.8,300,13.4,13.8,13.4,13.8,0,0,200
20170516,PJS,13.5,13.5,13.5,13.5,6600,13.5,13.5,13.5,13.5,0,0,6000
20170515,PJS,13.5,13.5,13.5,13.5,3000,13.5,13.5,13.5,13.5,0,0,3000
20170510,PJS,13.5,13.5,13.5,13.5,400,13.5,13.5,13.5,13.5,0,0,0
20170503,PJS,13.3,13.3,13.3,13.3,100,13.3,13.3,13.3,13.3,70000,0,0
20170428,PJS,13.7,13.7,13.7,13.7,100,13.7,13.7,13.7,13.7,0,0,0
20170420,PJS,13.1,13.1,13.1,13.1,100,13.1,13.1,13.1,13.1,0,0,0
20170418,PJS,14.0,14.0,14.0,14.0,200,14.0,14.0,14.0,14.0,0,0,0
20170417,PJS,13.2,13.2,13.2,13.2,10,13.2,13.2,13.2,13.2,0,0,0
20170410,PJS,13.3,13.3,13.2,13.2,1100,13.3,13.3,13.2,13.2,0,0,0
20170407,PJS,13.2,13.2,13.2,13.2,500,13.2,13.2,13.2,13.2,0,0,0
20170330,PJS,12.7,12.7,12.7,12.7,500,12.7,12.7,12.7,12.7,0,0,500
20170329,PJS,13.0,13.2,12.5,13.2,1300,13.0,13.2,12.5,13.2,0,0,0
20170327,PJS,13.3,13.3,13.3,13.3,10,13.3,13.3,13.3,13.3,0,0,0
20170324,PJS,13.3,13.3,13.3,13.3,100,13.3,13.3,13.3,13.3,0,0,0
20170323,PJS,13.1,13.1,13.1,13.1,200,13.1,13.1,13.1,13.1,0,0,0
20170321,PJS,13.2,13.2,13.2,13.2,100,13.2,13.2,13.2,13.2,0,0,0
20170313,PJS,13.1,13.2,13.1,13.2,12000,13.1,13.2,13.1,13.2,0,7800,0
20170310,PJS,13.5,13.5,13.1,13.1,10010,13.5,13.5,13.1,13.1,0,6000,0
20170309,PJS,13.2,13.5,13.1,13.1,6310,13.2,13.5,13.1,13.1,0,0,0
20170307,PJS,13.5,13.5,13.5,13.5,254,13.5,13.5,13.5,13.5,0,0,0
20170303,PJS,13.5,13.5,13.5,13.5,250,13.5,13.5,13.5,13.5,0,0,0
20170302,PJS,11.9,11.9,11.9,11.9,160,11.9,11.9,11.9,11.9,0,0,100
20170228,PJS,14.0,14.0,14.0,14.0,2,14.0,14.0,14.0,14.0,0,0,0
20170227,PJS,14.0,14.0,14.0,14.0,401,14.0,14.0,14.0,14.0,0,0,1
20170224,PJS,14.0,14.0,14.0,14.0,1,14.0,14.0,14.0,14.0,0,0,1
20170223,PJS,14.0,14.0,14.0,14.0,113,14.0,14.0,14.0,14.0,0,0,0
20170221,PJS,14.1,14.1,14.1,14.1,19,14.1,14.1,14.1,14.1,0,0,0
20170213,PJS,14.1,14.1,14.1,14.1,100,14.1,14.1,14.1,14.1,0,0,0
20170210,PJS,13.2,13.2,13.2,13.2,100,13.2,13.2,13.2,13.2,0,0,0
20170209,PJS,12.3,12.3,12.3,12.3,100,12.3,12.3,12.3,12.3,0,0,100
20170208,PJS,14.4,14.4,14.4,14.4,100,14.4,14.4,14.4,14.4,0,0,0
20170207,PJS,13.8,13.8,13.8,13.8,1300,13.8,13.8,13.8,13.8,0,1300,0
20170206,PJS,13.8,13.8,13.8,13.8,100,13.8,13.8,13.8,13.8,0,100,0
20170203,PJS,13.7,13.8,13.7,13.8,200,13.7,13.8,13.7,13.8,0,100,0
20170202,PJS,11.5,15.4,11.5,15.4,200,11.5,15.4,11.5,15.4,0,0,100
20170125,PJS,13.5,13.5,13.5,13.5,100,13.5,13.5,13.5,13.5,0,0,0
20170124,PJS,11.8,11.8,11.8,11.8,100,11.8,11.8,11.8,11.8,0,0,100
20170118,PJS,13.8,13.8,13.8,13.8,100,13.8,13.8,13.8,13.8,0,0,0
20170116,PJS,12.3,12.3,12.1,12.1,3300,12.3,12.3,12.1,12.1,0,0,0
20170106,PJS,11.3,12.2,11.3,12.2,400,11.3,12.2,11.3,12.2,0,0,100
20170104,PJS,13.1,13.2,13.1,13.2,400,13.1,13.2,13.1,13.2,0,0,0
20170103,PJS,11.5,11.5,11.5,11.5,100,11.5,11.5,11.5,11.5,0,0,100
20161228,PJS,13.5,13.5,13.5,13.5,200,13.5,13.5,13.5,13.5,270250,0,0
20161222,PJS,12.7,12.7,12.7,12.7,200,12.7,12.7,12.7,12.7,0,0,0
20161219,PJS,12.2,12.8,12.2,12.8,200,12.2,12.8,12.2,12.8,0,0,100
20161216,PJS,12.1,13.9,12.1,13.9,10000,12.1,13.9,12.1,13.9,0,4900,0
20161215,PJS,14.8,14.8,12.8,12.8,17600,14.8,14.8,12.8,12.8,0,17000,0
20161214,PJS,13.0,13.0,12.8,13.0,8200,13.0,13.0,12.8,13.0,0,7900,0
20161213,PJS,14.9,14.9,14.9,14.9,100,14.9,14.9,14.9,14.9,0,0,0
20161212,PJS,11.9,14.3,11.9,13.0,1300,11.9,14.3,11.9,13.0,0,0,100
20161208,PJS,13.9,13.9,13.9,13.9,400,13.9,13.9,13.9,13.9,0,0,0
20161207,PJS,14.4,14.4,14.4,14.4,100,14.4,14.4,14.4,14.4,0,0,0
20161206,PJS,16.9,16.9,16.9,16.9,100,16.9,16.9,16.9,16.9,0,0,0
20161205,PJS,15.4,15.4,15.4,15.4,100,15.4,15.4,15.4,15.4,0,0,0
20161202,PJS,13.3,15.7,13.3,13.3,2100,13.3,15.7,13.3,13.3,0,0,0
20161201,PJS,15.6,15.6,15.6,15.6,100,15.6,15.6,15.6,15.6,0,0,0
20161130,PJS,13.7,13.7,13.7,13.7,100,13.7,13.7,13.7,13.7,0,0,0
20161129,PJS,12.0,12.0,12.0,12.0,21000,12.0,12.0,12.0,12.0,0,8600,0
20161122,PJS,12.0,12.0,12.0,12.0,5000,12.0,12.0,12.0,12.0,0,0,0
20161117,PJS,11.6,11.6,11.6,11.6,100,11.6,11.6,11.6,11.6,0,0,100
20161114,PJS,13.6,13.6,13.6,13.6,100,13.6,13.6,13.6,13.6,0,0,0
20161101,PJS,11.9,11.9,11.9,11.9,100,11.9,11.9,11.9,11.9,0,0,100
20161020,PJS,13.9,13.9,13.9,13.9,100,13.9,13.9,13.9,13.9,0,0,0
20161017,PJS,12.1,12.1,12.1,12.1,10,12.1,12.1,12.1,12.1,0,0,0
20161012,PJS,12.6,12.6,12.0,12.0,8600,12.6,12.6,12.0,12.0,0,7500,0
20161004,PJS,13.5,13.5,13.5,13.5,100,13.5,13.5,13.5,13.5,0,0,0
20160923,PJS,11.9,11.9,11.9,11.9,110,11.9,11.9,11.9,11.9,0,0,100
20160919,PJS,11.9,16.0,11.9,16.0,200,11.9,16.0,11.9,16.0,0,0,100
20160916,PJS,14.0,14.0,14.0,14.0,100,14.0,14.0,14.0,14.0,0,0,0
20160812,PJS,13.0,13.0,13.0,13.0,500,13.0,13.0,13.0,13.0,0,0,500
20160811,PJS,13.0,13.0,13.0,13.0,300,13.0,13.0,13.0,13.0,0,0,300
20160810,PJS,11.5,13.5,11.5,13.5,200,11.5,13.5,11.5,13.5,0,0,200
20160808,PJS,13.5,13.5,13.5,13.5,100,13.5,13.5,13.5,13.5,0,0,100
20160728,PJS,12.0,12.0,12.0,12.0,100,12.0,12.0,12.0,12.0,0,0,0
20160714,PJS,13.9,13.9,13.9,13.9,500,13.9,13.9,13.9,13.9,0,0,0
20160711,PJS,13.9,13.9,13.9,13.9,100,13.9,13.9,13.9,13.9,0,0,0
20160705,PJS,13.7,13.7,13.6,13.6,6000,13.7,13.7,13.6,13.6,0,6000,0
20160701,PJS,13.7,13.7,13.7,13.7,500,13.7,13.7,13.7,13.7,0,0,0
20160630,PJS,12.0,13.9,12.0,13.9,1200,12.0,13.9,12.0,13.9,0,0,0
20160629,PJS,13.9,13.9,13.9,13.9,1000,13.9,13.9,13.9,13.9,0,0,0
20160628,PJS,13.5,13.5,13.5,13.5,1000,13.5,13.5,13.5,13.5,0,1000,0
20160624,PJS,14.0,14.0,14.0,14.0,100,14.0,14.0,14.0,14.0,0,0,0
20160623,PJS,12.3,16.5,12.3,16.5,200,12.3,16.5,12.3,16.5,0,0,100
20160622,PJS,14.4,14.4,14.4,14.4,1700,14.4,14.4,14.4,14.4,0,500,100
20160621,PJS,12.6,12.6,12.6,12.6,100,12.6,12.6,12.6,12.6,0,0,0
20160616,PJS,11.0,11.0,11.0,11.0,100,11.7,11.7,11.7,11.7,0,0,0
20160615,PJS,12.7,12.7,12.7,12.69,100,13.5,13.5,13.5,13.5,0,0,0
20160614,PJS,14.38,14.38,14.38,14.39,100,15.3,15.3,15.3,15.3,0,0,0
20160613,PJS,11.18,12.69,11.18,12.69,1100,11.9,13.5,11.9,13.5,0,0,0
20160610,PJS,12.98,12.98,12.98,12.97,1000,13.8,13.8,13.8,13.8,0,0,0
20160608,PJS,12.31,12.31,12.31,12.32,110,13.1,13.1,13.1,13.1,0,0,0
20160607,PJS,14.11,14.11,14.11,14.1,100,15.0,15.0,15.0,15.0,0,0,0
20160530,PJS,12.69,12.79,12.69,12.79,600,13.5,13.6,13.5,13.6,0,0,0
20160527,PJS,11.19,11.19,11.19,11.19,100,11.9,11.9,11.9,11.9,0,0,100
20160524,PJS,13.16,13.16,13.16,13.16,25000,14.0,14.0,14.0,14.0,0,25000,0
20160523,PJS,13.16,13.16,13.16,13.16,5000,14.0,14.0,14.0,14.0,0,5000,0
20160517,PJS,13.63,13.63,13.63,13.63,1000,14.5,14.5,14.5,14.5,0,0,0
20160506,PJS,13.35,13.35,13.35,13.35,9200,14.2,14.2,14.2,14.2,0,7200,0
20160504,PJS,15.7,15.7,15.7,15.7,100,16.7,16.7,16.7,16.7,0,0,0
20160429,PJS,15.98,15.98,14.01,14.01,200,17.0,17.0,14.9,14.9,0,0,0
20160428,PJS,17.49,17.49,13.16,13.16,1400,18.6,18.6,14.0,14.0,0,0,0
20160427,PJS,15.42,15.42,15.42,15.42,100,16.4,16.4,16.4,16.4,0,0,0
20160426,PJS,13.54,13.54,13.54,13.54,100,14.4,14.4,14.4,14.4,0,0,0
20160422,PJS,15.89,15.89,15.89,15.89,100,16.9,16.9,16.9,16.9,0,0,0
20160421,PJS,14.48,14.48,14.48,14.48,100,15.4,15.4,15.4,15.4,0,0,0
20160420,PJS,12.51,12.79,12.51,12.79,200,13.3,13.6,13.3,13.6,0,0,100
20160419,PJS,11.0,14.67,11.0,14.67,407,11.7,15.6,11.7,15.6,0,0,100
20160414,PJS,11.75,13.91,11.75,13.92,200,12.5,14.8,12.5,14.8,0,0,100
20160413,PJS,13.82,13.82,13.82,13.82,100,14.7,14.7,14.7,14.7,0,0,0
20160412,PJS,12.6,13.63,12.6,12.6,10400,13.4,14.5,13.4,13.4,0,7700,100
20160411,PJS,12.51,14.76,12.51,14.76,200,13.3,15.7,13.3,15.7,0,0,100
20160408,PJS,14.67,14.67,14.67,14.67,100,15.6,15.6,15.6,15.6,0,0,0
20160406,PJS,12.7,13.07,12.7,13.07,2100,13.5,13.9,13.5,13.9,0,0,1700
20160405,PJS,11.19,13.72,11.19,13.73,400,11.9,14.6,11.9,14.6,0,0,0
20160404,PJS,13.16,13.16,12.69,12.69,300,14.0,14.0,13.5,13.5,0,100,0
20160401,PJS,13.16,13.16,13.16,13.16,100,14.0,14.0,14.0,14.0,0,100,0
20160329,PJS,13.17,13.17,13.17,13.16,100,14.0,14.0,14.0,14.0,0,100,0
20160328,PJS,11.85,11.85,11.85,11.85,100,12.6,12.6,12.6,12.6,0,0,100
20160324,PJS,13.92,13.92,13.92,13.92,300,14.8,14.8,14.8,14.8,0,100,0
20160321,PJS,15.89,15.89,15.89,15.89,100,16.9,16.9,16.9,16.9,0,0,0
20160317,PJS,14.29,14.29,14.29,14.29,1500,15.2,15.2,15.2,15.2,0,1500,0
20160316,PJS,15.79,15.79,13.72,13.73,200,16.8,16.8,14.6,14.6,0,0,0
20160315,PJS,14.01,14.11,12.7,12.69,1807,14.9,15.0,13.5,13.5,0,1500,0
20160314,PJS,14.57,14.67,14.57,14.67,710,15.5,15.6,15.5,15.6,0,700,0
20160311,PJS,15.23,15.23,15.23,15.23,130,16.2,16.2,16.2,16.2,0,0,0
20160310,PJS,13.54,13.54,13.54,13.54,1500,14.4,14.4,14.4,14.4,0,0,0
20160309,PJS,15.89,15.89,15.89,15.89,100,16.9,16.9,16.9,16.9,0,0,0
20160308,PJS,17.49,17.49,13.35,14.01,635,18.6,18.6,14.2,14.9,0,0,0
