<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,PLC,27.6,28.0,27.5,27.9,12255,27.6,28.0,27.5,27.9,0,2900,0
20170626,PLC,28.0,28.0,27.6,28.0,6519,28.0,28.0,27.6,28.0,324900,800,0
20170623,PLC,28.5,28.5,27.6,27.6,6479,28.5,28.5,27.6,27.6,0,100,0
20170622,PLC,28.5,28.6,28.3,28.3,3910,28.5,28.6,28.3,28.3,0,0,0
20170621,PLC,28.9,28.9,27.6,28.5,642,28.9,28.9,27.6,28.5,324927,200,0
20170620,PLC,29.0,30.0,27.2,28.5,5740,29.0,30.0,27.2,28.5,9,200,0
20170619,PLC,30.0,30.0,27.5,28.0,9770,30.0,30.0,27.5,28.0,0,400,5300
20170616,PLC,28.0,28.1,27.0,27.8,18792,28.0,28.1,27.0,27.8,324900,1700,11172
20170615,PLC,28.1,29.0,27.9,28.0,10863,28.1,29.0,27.9,28.0,0,2900,0
20170614,PLC,27.87,27.87,27.5,27.5,14301,29.9,29.9,29.5,29.5,0,100,0
20170613,PLC,28.25,28.25,27.6,27.87,22135,30.3,30.3,29.6,29.9,324900,130,4800
20170612,PLC,28.34,28.34,27.69,27.69,6697,30.4,30.4,29.7,29.7,0,100,0
20170609,PLC,27.78,27.78,27.78,27.78,8020,29.8,29.8,29.8,29.8,0,0,0
20170608,PLC,27.41,27.97,27.41,27.78,6735,29.4,30.0,29.4,29.8,0,100,0
20170607,PLC,28.25,28.25,27.5,27.97,4000,30.3,30.3,29.5,30.0,0,200,0
20170606,PLC,28.62,28.62,27.41,28.25,30200,30.7,30.7,29.4,30.3,0,100,0
20170605,PLC,28.9,29.27,27.96,28.71,2520,31.0,31.4,30.0,30.8,0,400,0
20170602,PLC,28.16,28.9,27.97,28.71,33599,30.2,31.0,30.0,30.8,0,200,0
20170601,PLC,27.4,28.33,27.22,27.97,85700,29.4,30.4,29.2,30.0,0,200,0
20170531,PLC,27.5,27.5,26.94,27.03,14200,29.5,29.5,28.9,29.0,0,700,0
20170530,PLC,26.66,26.94,26.66,26.94,11427,28.6,28.9,28.6,28.9,0,200,0
20170529,PLC,26.47,26.66,26.47,26.66,1318,28.4,28.6,28.4,28.6,0,100,0
20170526,PLC,26.57,26.76,26.57,26.75,620,28.5,28.7,28.5,28.7,0,100,0
20170525,PLC,26.94,26.94,26.57,26.57,3129,28.9,28.9,28.5,28.5,0,100,0
20170524,PLC,26.47,26.56,26.47,26.57,1644,28.4,28.5,28.4,28.5,0,0,0
20170523,PLC,27.03,27.03,26.38,27.03,8914,29.0,29.0,28.3,29.0,102,300,0
20170522,PLC,26.85,26.85,26.38,26.38,10910,28.8,28.8,28.3,28.3,0,3100,3000
20170519,PLC,26.94,26.94,26.29,26.38,26100,28.9,28.9,28.2,28.3,0,100,24499
20170518,PLC,27.31,27.31,26.29,26.29,19600,29.3,29.3,28.2,28.2,0,100,17600
20170517,PLC,26.66,27.22,26.66,26.66,3415,28.6,29.2,28.6,28.6,0,2400,0
20170516,PLC,27.03,27.5,26.75,27.31,1911,29.0,29.5,28.7,29.3,0,600,1311
20170515,PLC,27.5,27.5,26.75,27.03,18828,29.5,29.5,28.7,29.0,0,300,0
20170512,PLC,26.1,27.03,26.1,27.03,78200,28.0,29.0,28.0,29.0,0,100,0
20170511,PLC,26.1,26.1,26.1,26.1,9799,28.0,28.0,28.0,28.0,0,0,0
20170510,PLC,26.1,26.29,26.1,26.1,17286,28.0,28.2,28.0,28.0,0,2000,9900
20170509,PLC,26.29,26.29,26.11,26.1,14025,28.2,28.2,28.0,28.0,0,0,0
20170508,PLC,26.1,26.47,26.1,26.48,1400,28.0,28.4,28.0,28.4,0,200,0
20170505,PLC,26.57,26.85,26.39,26.38,300,28.5,28.8,28.3,28.3,0,200,0
20170504,PLC,26.47,26.47,25.54,26.2,10100,28.4,28.4,27.4,28.1,0,3000,0
20170503,PLC,26.76,26.76,26.76,26.75,100,28.7,28.7,28.7,28.7,0,100,0
20170428,PLC,26.66,26.66,25.91,26.48,7800,28.6,28.6,27.8,28.4,0,5800,0
20170427,PLC,26.01,26.57,26.01,26.1,3590,27.9,28.5,27.9,28.0,0,400,0
20170426,PLC,26.66,26.66,26.1,26.2,8200,28.6,28.6,28.0,28.1,0,1200,4400
20170425,PLC,26.1,26.66,26.01,26.01,3640,28.0,28.6,27.9,27.9,0,400,0
20170424,PLC,26.85,26.85,26.1,26.38,9990,28.8,28.8,28.0,28.3,0,1200,500
20170421,PLC,26.57,26.57,26.1,26.1,25144,28.5,28.5,28.0,28.0,0,1000,0
20170420,PLC,26.85,26.85,26.57,26.57,1610,28.8,28.8,28.5,28.5,0,1100,0
20170419,PLC,26.94,26.94,26.38,26.57,15862,28.9,28.9,28.3,28.5,0,1300,0
20170418,PLC,26.19,27.03,26.19,26.38,12139,28.1,29.0,28.1,28.3,0,200,0
20170417,PLC,27.04,27.04,26.39,26.38,4730,29.0,29.0,28.3,28.3,0,1100,10
20170414,PLC,27.03,27.03,26.1,26.48,7100,29.0,29.0,28.0,28.4,0,800,0
20170413,PLC,27.04,27.04,26.94,26.94,393,29.0,29.0,28.9,28.9,0,300,0
20170412,PLC,27.22,27.22,26.19,26.29,3500,29.2,29.2,28.1,28.2,0,1200,0
20170411,PLC,26.38,27.03,26.1,26.94,3004,28.3,29.0,28.0,28.9,47,900,2100
20170410,PLC,26.38,26.75,26.19,26.75,3819,28.3,28.7,28.1,28.7,0,100,0
20170407,PLC,27.5,27.5,27.5,27.5,161,29.5,29.5,29.5,29.5,0,100,0
20170405,PLC,26.47,26.84,26.28,26.85,1200,28.4,28.8,28.2,28.8,0,300,200
20170404,PLC,26.28,27.03,26.28,27.03,1240,28.2,29.0,28.2,29.0,0,100,0
20170403,PLC,27.51,27.51,27.04,27.03,400,29.5,29.5,29.0,29.0,0,400,0
20170331,PLC,27.5,27.5,26.19,26.2,20507,29.5,29.5,28.1,28.1,0,2100,0
20170330,PLC,26.38,27.13,26.38,27.03,11042,28.3,29.1,28.3,29.0,0,100,0
20170329,PLC,27.5,27.5,27.5,27.5,103,29.5,29.5,29.5,29.5,10,100,0
20170328,PLC,27.03,27.03,27.03,27.03,200,29.0,29.0,29.0,29.0,5,0,0
20170327,PLC,27.13,27.5,27.13,27.5,3311,29.1,29.5,29.1,29.5,0,3300,0
20170324,PLC,27.04,27.51,26.2,27.5,235100,29.0,29.5,28.1,29.5,0,229200,1500
20170323,PLC,26.19,26.75,26.19,26.2,2900,28.1,28.7,28.1,28.1,0,100,300
20170322,PLC,27.13,27.13,26.1,26.75,5635,29.1,29.1,28.0,28.7,0,400,0
20170321,PLC,27.04,27.04,26.1,26.57,63250,29.0,29.0,28.0,28.5,0,600,0
20170320,PLC,26.19,27.22,26.19,27.13,1915,28.1,29.2,28.1,29.1,0,200,0
20170317,PLC,25.82,28.43,25.82,28.43,13778,27.7,30.5,27.7,30.5,0,8900,0
20170316,PLC,26.2,26.2,25.55,26.01,21109,28.1,28.1,27.4,27.9,0,400,0
20170315,PLC,26.29,26.29,25.64,25.64,21900,28.2,28.2,27.5,27.5,11105,11105,11105
20170314,PLC,26.66,26.66,26.1,26.2,3038,28.6,28.6,28.0,28.1,0,100,0
20170313,PLC,26.11,26.29,26.11,26.1,4500,28.0,28.2,28.0,28.0,0,0,0
20170310,PLC,26.2,26.48,26.01,26.2,13400,28.1,28.4,27.9,28.1,0,200,0
20170309,PLC,26.29,26.94,26.1,26.2,2700,28.2,28.9,28.0,28.1,0,200,0
20170308,PLC,27.04,27.04,26.48,26.85,3477,29.0,29.0,28.4,28.8,0,700,0
20170307,PLC,26.38,26.47,26.1,26.48,3734,28.3,28.4,28.0,28.4,0,600,0
20170306,PLC,26.19,26.38,26.1,26.38,17948,28.1,28.3,28.0,28.3,0,0,0
20170303,PLC,26.1,26.85,26.1,26.66,8142,28.0,28.8,28.0,28.6,0,300,0
20170302,PLC,26.48,26.66,26.1,26.66,7700,28.4,28.6,28.0,28.6,13,100,0
20170301,PLC,26.38,26.85,26.2,26.85,25431,28.3,28.8,28.1,28.8,0,400,0
20170228,PLC,26.84,26.84,26.56,26.85,25185,28.8,28.8,28.5,28.8,0,200,0
20170227,PLC,27.78,27.78,26.85,27.03,16740,29.8,29.8,28.8,29.0,0,500,0
20170224,PLC,27.96,28.89,26.56,27.22,11139,30.0,31.0,28.5,29.2,0,800,0
20170223,PLC,26.85,27.22,26.76,26.75,29095,28.8,29.2,28.7,28.7,0,10200,0
20170222,PLC,27.31,27.78,27.31,27.41,22206,29.3,29.8,29.3,29.4,0,400,1200
20170221,PLC,27.59,28.89,27.22,27.78,24089,29.6,31.0,29.2,29.8,17,400,59
20170220,PLC,26.76,27.32,26.1,27.31,131661,28.7,29.3,28.0,29.3,0,86900,0
20170217,PLC,25.17,26.29,25.17,26.29,140406,27.0,28.2,27.0,28.2,0,138600,0
20170216,PLC,26.11,26.11,25.17,25.17,5500,28.0,28.0,27.0,27.0,11,5400,0
20170215,PLC,25.36,25.64,25.17,25.64,82440,27.2,27.5,27.0,27.5,0,0,0
20170214,PLC,26.1,26.1,25.17,25.36,26621,28.0,28.0,27.0,27.2,0,2400,3000
20170213,PLC,25.17,25.35,25.17,25.26,5703,27.0,27.2,27.0,27.1,0,2200,0
20170210,PLC,25.17,25.26,25.17,25.26,25200,27.0,27.1,27.0,27.1,0,7500,0
20170209,PLC,25.08,25.17,25.08,25.17,74341,26.9,27.0,26.9,27.0,0,72000,0
20170208,PLC,24.33,25.17,24.33,25.17,26722,26.1,27.0,26.1,27.0,0,26000,0
20170207,PLC,25.63,25.63,25.35,25.36,200,27.5,27.5,27.2,27.2,0,100,0
20170206,PLC,24.24,25.27,24.24,25.26,220,26.0,27.1,26.0,27.1,0,0,0
20170203,PLC,25.63,25.63,25.63,25.64,100,27.5,27.5,27.5,27.5,6,0,0
20170202,PLC,27.03,27.03,27.03,27.03,100,29.0,29.0,29.0,29.0,0,100,0
20170125,PLC,24.33,25.17,24.33,24.98,1610,26.1,27.0,26.1,26.8,0,1510,0
20170124,PLC,23.49,24.15,23.49,24.14,300,25.2,25.9,25.2,25.9,0,100,0
20170123,PLC,23.31,24.24,23.31,24.24,1810,25.0,26.0,25.0,26.0,0,100,0
20170119,PLC,25.17,25.17,25.17,25.17,100,27.0,27.0,27.0,27.0,0,100,0
20170118,PLC,24.99,24.99,23.31,23.31,3724,26.8,26.8,25.0,25.0,0,0,0
20170117,PLC,25.08,25.08,25.08,25.08,61,26.9,26.9,26.9,26.9,26,0,0
20170116,PLC,23.86,25.36,23.86,25.08,2400,25.6,27.2,25.6,26.9,0,100,0
