<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170623,PVA,0.6,0.7,0.5,0.6,109830,0.6,0.7,0.5,0.6,0,0,0
20170616,PVA,0.6,0.6,0.5,0.6,54800,0.6,0.6,0.5,0.6,0,0,0
20170609,PVA,0.6,0.6,0.6,0.6,58100,0.6,0.6,0.6,0.6,0,0,0
20170602,PVA,0.7,0.7,0.5,0.7,19710,0.7,0.7,0.5,0.7,0,0,0
20170526,PVA,0.6,0.7,0.6,0.6,151000,0.6,0.7,0.6,0.6,0,0,0
20170519,PVA,0.6,0.7,0.6,0.6,86680,0.6,0.7,0.6,0.6,0,0,0
20170512,PVA,0.6,0.7,0.6,0.6,23200,0.6,0.7,0.6,0.6,0,0,0
20170505,PVA,0.6,0.7,0.6,0.7,2900,0.6,0.7,0.6,0.7,0,0,0
20170428,PVA,0.7,0.7,0.6,0.7,21820,0.7,0.7,0.6,0.7,0,0,0
20170421,PVA,0.7,0.7,0.6,0.6,178520,0.7,0.7,0.6,0.6,0,0,0
20170414,PVA,0.8,0.8,0.7,0.8,53800,0.8,0.8,0.7,0.8,0,0,0
20170407,PVA,0.8,0.8,0.7,0.8,34115,0.8,0.8,0.7,0.8,0,0,0
20170331,PVA,0.9,0.9,0.7,0.8,190845,0.9,0.9,0.7,0.8,0,0,0
20170324,PVA,0.9,0.9,0.7,0.8,58301,0.9,0.9,0.7,0.8,0,0,0
20170317,PVA,0.9,0.9,0.8,0.9,119710,0.9,0.9,0.8,0.9,0,0,0
20170310,PVA,0.9,1.0,0.8,1.0,411446,0.9,1.0,0.8,1.0,0,0,0
20170303,PVA,0.9,0.9,0.8,0.8,310800,0.9,0.9,0.8,0.8,0,0,0
20170224,PVA,0.8,0.8,0.8,0.8,187400,0.8,0.8,0.8,0.8,0,0,15800
20170217,PVA,0.9,0.9,0.7,0.7,209700,0.9,0.9,0.7,0.7,0,0,0
20170210,PVA,0.9,0.9,0.8,0.8,21100,0.9,0.9,0.8,0.8,0,0,0
20170203,PVA,0.8,0.8,0.7,0.7,6000,0.8,0.8,0.7,0.7,0,0,0
20170120,PVA,0.7,0.8,0.7,0.8,3700,0.7,0.8,0.7,0.8,0,0,0
20170113,PVA,0.8,0.8,0.7,0.8,12700,0.8,0.8,0.7,0.8,0,0,0
20170106,PVA,0.8,0.8,0.7,0.8,48700,0.8,0.8,0.7,0.8,0,0,0
20161230,PVA,0.8,0.8,0.8,0.8,29500,0.8,0.8,0.8,0.8,0,0,0
20161223,PVA,0.9,1.0,0.9,0.9,58710,0.9,1.0,0.9,0.9,0,0,0
20161216,PVA,1.0,1.0,0.9,1.0,356710,1.0,1.0,0.9,1.0,0,0,0
20161209,PVA,0.9,0.9,0.9,0.9,109200,0.9,0.9,0.9,0.9,0,0,0
20161202,PVA,0.8,0.8,0.8,0.8,104210,0.8,0.8,0.8,0.8,0,0,0
20161125,PVA,0.7,0.7,0.7,0.7,35200,0.7,0.7,0.7,0.7,0,0,0
20161118,PVA,0.6,0.7,0.5,0.6,52200,0.6,0.7,0.5,0.6,0,0,0
20161111,PVA,0.6,0.6,0.5,0.6,10020,0.6,0.6,0.5,0.6,0,0,0
20161104,PVA,0.6,0.6,0.5,0.5,16700,0.6,0.6,0.5,0.5,0,0,0
20161028,PVA,0.6,0.6,0.5,0.5,12800,0.6,0.6,0.5,0.5,0,0,0
20161021,PVA,0.6,0.6,0.5,0.6,54120,0.6,0.6,0.5,0.6,0,0,0
20161014,PVA,0.5,0.6,0.4,0.6,215400,0.5,0.6,0.4,0.6,0,0,0
20161007,PVA,0.5,0.6,0.4,0.5,56300,0.5,0.6,0.4,0.5,0,0,0
20160930,PVA,0.5,0.5,0.5,0.5,19920,0.5,0.5,0.5,0.5,0,0,0
20160923,PVA,0.4,0.5,0.4,0.5,195100,0.4,0.5,0.4,0.5,0,0,0
20160916,PVA,0.5,0.6,0.5,0.5,325300,0.5,0.6,0.5,0.5,0,0,0
20160909,PVA,0.6,0.6,0.5,0.6,30900,0.6,0.6,0.5,0.6,0,0,0
20160826,PVA,0.5,0.6,0.5,0.6,15920,0.5,0.6,0.5,0.6,0,0,0
20160819,PVA,0.5,0.6,0.5,0.6,23150,0.5,0.6,0.5,0.6,0,0,0
20160812,PVA,0.5,0.5,0.5,0.5,46900,0.5,0.5,0.5,0.5,0,0,0
20160805,PVA,0.5,0.5,0.4,0.5,38620,0.5,0.5,0.4,0.5,0,0,0
20160729,PVA,0.5,0.6,0.4,0.6,18000,0.5,0.6,0.4,0.6,0,0,0
20160722,PVA,0.6,0.6,0.5,0.5,176700,0.6,0.6,0.5,0.5,0,0,0
20160715,PVA,0.7,0.7,0.6,0.6,105100,0.7,0.7,0.6,0.6,0,0,0
20160708,PVA,0.7,0.8,0.6,0.8,12500,0.7,0.8,0.6,0.8,0,0,0
20160701,PVA,0.6,0.8,0.6,0.8,207400,0.6,0.8,0.6,0.8,0,0,0
20160624,PVA,0.7,0.7,0.7,0.7,74810,0.7,0.7,0.7,0.7,0,0,0
20160617,PVA,0.8,0.9,0.8,0.9,62900,0.8,0.9,0.8,0.9,0,0,0
20160610,PVA,1.1,1.1,0.9,1.0,40800,1.1,1.1,0.9,1.0,0,0,0
20160603,PVA,0.9,1.0,0.9,1.0,117160,0.9,1.0,0.9,1.0,0,0,0
20160527,PVA,0.9,1.0,0.9,0.9,123700,0.9,1.0,0.9,0.9,0,0,0
20160525,PVA,1.1,1.1,0.9,0.9,104500,1.1,1.1,0.9,0.9,0,0,0
20160524,PVA,0.9,1.1,0.9,1.1,140200,0.9,1.1,0.9,1.1,0,0,0
20160523,PVA,1.0,1.0,1.0,1.0,154800,1.0,1.0,1.0,1.0,0,0,0
20160520,PVA,1.1,1.1,1.1,1.1,205100,1.1,1.1,1.1,1.1,0,0,0
20160519,PVA,1.1,1.2,1.1,1.2,2600,1.1,1.2,1.1,1.2,0,0,0
20160518,PVA,1.1,1.2,1.1,1.2,20900,1.1,1.2,1.1,1.2,0,0,0
20160517,PVA,1.1,1.1,1.1,1.1,9610,1.1,1.1,1.1,1.1,0,0,0
20160516,PVA,1.1,1.2,1.1,1.1,8210,1.1,1.2,1.1,1.1,0,0,0
20160513,PVA,1.2,1.2,1.1,1.1,36400,1.2,1.2,1.1,1.1,0,0,0
20160512,PVA,1.1,1.2,1.1,1.2,20900,1.1,1.2,1.1,1.2,0,0,0
20160511,PVA,1.1,1.2,1.1,1.2,28200,1.1,1.2,1.1,1.2,0,0,0
20160510,PVA,1.2,1.2,1.1,1.1,95100,1.2,1.2,1.1,1.1,0,0,0
20160509,PVA,1.2,1.2,1.2,1.2,78000,1.2,1.2,1.2,1.2,0,0,0
20160506,PVA,1.2,1.2,1.1,1.1,154900,1.2,1.2,1.1,1.1,0,0,0
20160505,PVA,1.2,1.2,1.2,1.2,52309,1.2,1.2,1.2,1.2,0,0,0
20160504,PVA,1.2,1.3,1.2,1.3,2300,1.2,1.3,1.2,1.3,0,0,0
20160429,PVA,1.2,1.3,1.2,1.3,28400,1.2,1.3,1.2,1.3,0,0,0
20160428,PVA,1.3,1.3,1.2,1.2,5511,1.3,1.3,1.2,1.2,0,0,0
20160427,PVA,1.2,1.2,1.2,1.2,40700,1.2,1.2,1.2,1.2,0,0,0
20160426,PVA,1.3,1.3,1.2,1.2,40200,1.3,1.3,1.2,1.2,0,0,0
20160425,PVA,1.3,1.3,1.2,1.2,18400,1.3,1.3,1.2,1.2,0,0,0
