<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,PVE,7.0,7.0,6.9,6.9,32900,7.0,7.0,6.9,6.9,0,0,0
20170626,PVE,6.9,7.1,6.9,7.0,88170,6.9,7.1,6.9,7.0,0,0,0
20170623,PVE,6.9,7.0,6.9,7.0,83587,6.9,7.0,6.9,7.0,0,0,0
20170622,PVE,6.9,7.0,6.9,6.9,25500,6.9,7.0,6.9,6.9,42900,0,0
20170621,PVE,6.9,7.0,6.9,7.0,71885,6.9,7.0,6.9,7.0,0,0,0
20170620,PVE,7.0,7.0,6.9,7.0,31004,7.0,7.0,6.9,7.0,0,0,100
20170619,PVE,7.0,7.0,6.9,6.9,26940,7.0,7.0,6.9,6.9,42900,100,0
20170616,PVE,6.9,7.0,6.9,7.0,28171,6.9,7.0,6.9,7.0,0,0,0
20170615,PVE,7.0,7.0,7.0,7.0,63995,7.0,7.0,7.0,7.0,0,2000,0
20170614,PVE,7.1,7.1,7.0,7.1,19700,7.1,7.1,7.0,7.1,0,0,0
20170613,PVE,7.0,7.1,6.9,7.1,62100,7.0,7.1,6.9,7.1,0,0,100
20170612,PVE,6.9,7.0,6.9,6.9,37600,6.9,7.0,6.9,6.9,0,5000,100
20170609,PVE,7.0,7.0,6.9,6.9,30100,7.0,7.0,6.9,6.9,0,0,0
20170608,PVE,7.0,7.1,6.9,7.0,57658,7.0,7.1,6.9,7.0,0,0,0
20170607,PVE,7.0,7.1,7.0,7.0,64714,7.0,7.1,7.0,7.0,0,0,0
20170606,PVE,7.0,7.0,7.0,7.0,38000,7.0,7.0,7.0,7.0,0,0,0
20170605,PVE,7.1,7.1,7.0,7.1,30204,7.1,7.1,7.0,7.1,0,0,0
20170602,PVE,7.0,7.1,7.0,7.1,84300,7.0,7.1,7.0,7.1,0,0,0
20170601,PVE,7.1,7.1,7.0,7.0,36707,7.1,7.1,7.0,7.0,0,0,0
20170531,PVE,7.0,7.1,7.0,7.1,48407,7.0,7.1,7.0,7.1,0,0,0
20170530,PVE,7.1,7.1,7.0,7.1,34200,7.1,7.1,7.0,7.1,0,0,0
20170529,PVE,7.0,7.1,7.0,7.0,37700,7.0,7.1,7.0,7.0,0,200,1800
20170526,PVE,7.1,7.2,7.0,7.1,36139,7.1,7.2,7.0,7.1,0,200,0
20170525,PVE,7.1,7.2,7.0,7.0,93530,7.1,7.2,7.0,7.0,0,200,0
20170524,PVE,7.1,7.1,7.0,7.1,26591,7.1,7.1,7.0,7.1,0,200,0
20170523,PVE,7.1,7.1,7.1,7.1,10832,7.1,7.1,7.1,7.1,0,0,0
20170522,PVE,7.2,7.2,7.1,7.1,57900,7.2,7.2,7.1,7.1,0,0,0
20170519,PVE,7.2,7.2,7.0,7.2,71302,7.2,7.2,7.0,7.2,0,0,0
20170518,PVE,7.0,7.2,7.0,7.0,37125,7.0,7.2,7.0,7.0,0,4600,0
