<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,PVI,33.2,33.2,32.1,32.6,566234,33.2,33.2,32.1,32.6,0,0,0
20170626,PVI,33.4,33.9,33.0,33.1,483039,33.4,33.9,33.0,33.1,0,0,0
20170623,PVI,34.3,34.3,31.6,33.5,2552479,34.3,34.3,31.6,33.5,20000,0,0
20170622,PVI,34.4,36.0,34.0,34.2,1354705,34.4,36.0,34.0,34.2,5000,0,0
20170621,PVI,32.0,34.5,31.5,34.2,2305161,32.0,34.5,31.5,34.2,5000,0,0
20170620,PVI,32.6,33.0,32.0,32.0,711477,32.6,33.0,32.0,32.0,5,0,0
20170619,PVI,33.5,33.6,32.4,32.7,753724,33.5,33.6,32.4,32.7,0,0,0
20170616,PVI,33.5,33.7,33.0,33.4,354362,33.5,33.7,33.0,33.4,30,0,0
20170615,PVI,33.7,35.5,33.5,33.5,625699,33.7,35.5,33.5,33.5,0,0,0
20170614,PVI,33.7,33.8,33.0,33.7,157467,33.7,33.8,33.0,33.7,0,0,700
20170613,PVI,33.9,34.4,33.5,33.7,690075,33.9,34.4,33.5,33.7,0,0,0
20170612,PVI,31.3,33.9,31.3,33.5,1151939,31.3,33.9,31.3,33.5,0,0,0
20170609,PVI,31.0,32.0,31.0,31.3,428977,31.0,32.0,31.0,31.3,0,0,0
20170608,PVI,31.5,32.5,31.3,31.3,301551,31.5,32.5,31.3,31.3,0,0,0
20170607,PVI,30.0,32.1,30.0,31.3,635840,30.0,32.1,30.0,31.3,54,0,5000
20170606,PVI,31.3,31.3,30.5,30.8,248100,31.3,31.3,30.5,30.8,0,0,5000
20170605,PVI,31.0,31.0,30.5,31.0,164370,31.0,31.0,30.5,31.0,10,0,0
20170602,PVI,31.8,32.2,31.0,31.0,235790,31.8,32.2,31.0,31.0,0,0,0
20170601,PVI,29.5,32.1,29.5,31.8,951520,29.5,32.1,29.5,31.8,79,0,5000
20170531,PVI,29.2,30.7,29.2,30.0,131350,29.2,30.7,29.2,30.0,0,0,0
20170530,PVI,29.5,29.9,29.2,29.2,69428,29.5,29.9,29.2,29.2,0,0,5000
20170529,PVI,30.0,30.4,29.8,30.1,114210,30.0,30.4,29.8,30.1,0,0,5000
20170526,PVI,29.5,30.9,29.5,30.4,90710,29.5,30.9,29.5,30.4,70,0,5000
