<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170531,PVP,6.8,8.5,6.8,8.4,2000,6.8,8.5,6.8,8.4,0,0,0
20170530,PVP,7.6,8.5,7.6,8.5,1600,7.6,8.5,7.6,8.5,0,0,0
20170523,PVP,7.6,7.6,7.6,7.6,200,7.6,7.6,7.6,7.6,0,0,0
20170522,PVP,6.7,6.7,6.7,6.7,300,6.7,6.7,6.7,6.7,0,0,0
20170519,PVP,5.7,6.7,5.7,6.7,1800,5.7,6.7,5.7,6.7,0,0,0
20170518,PVP,7.0,7.0,6.5,6.5,1400,7.0,7.0,6.5,6.5,0,0,0
20170517,PVP,7.9,7.9,6.0,6.0,300,7.9,7.9,6.0,6.0,0,0,0
20170516,PVP,7.0,7.0,7.0,7.0,500,7.0,7.0,7.0,7.0,0,0,0
20170510,PVP,7.7,7.7,7.7,7.7,500,7.7,7.7,7.7,7.7,0,0,0
20170509,PVP,6.8,6.8,6.8,6.8,8300,6.8,6.8,6.8,6.8,0,0,0
20170508,PVP,7.9,7.9,7.9,7.9,500,7.9,7.9,7.9,7.9,0,0,0
20170504,PVP,7.0,7.0,7.0,7.0,500,7.0,7.0,7.0,7.0,0,0,0
20170428,PVP,8.8,8.8,6.9,6.9,5700,8.8,8.8,6.9,6.9,0,0,0
20170427,PVP,8.0,8.9,7.6,7.6,1300,8.0,8.9,7.6,7.6,0,0,0
20170405,PVP,8.9,8.9,8.9,8.9,40,8.9,8.9,8.9,8.9,0,0,0
20170330,PVP,8.9,8.9,8.9,8.9,140,8.9,8.9,8.9,8.9,0,0,0
20170329,PVP,9.0,9.0,8.4,8.4,200,9.0,9.0,8.4,8.4,0,0,0
20170328,PVP,8.2,8.2,8.2,8.2,300,8.2,8.2,8.2,8.2,0,0,0
20170327,PVP,6.5,7.9,6.5,7.8,1300,6.5,7.9,6.5,7.8,0,0,0
20170324,PVP,7.0,7.9,7.0,7.9,800,7.0,7.9,7.0,7.9,0,0,0
20170322,PVP,7.8,9.0,7.8,9.0,2000,7.8,9.0,7.8,9.0,0,0,0
20170314,PVP,9.1,9.1,9.1,9.1,100,9.1,9.1,9.1,9.1,0,0,0
20170310,PVP,8.5,8.5,8.5,8.5,100,8.5,8.5,8.5,8.5,0,0,0
20170309,PVP,7.5,7.5,7.5,7.5,100,7.5,7.5,7.5,7.5,0,0,0
20170307,PVP,8.6,8.6,8.6,8.6,200,8.6,8.6,8.6,8.6,0,0,0
20170306,PVP,8.0,8.0,7.4,7.4,3000,8.0,8.0,7.4,7.4,0,0,0
20170302,PVP,8.7,8.7,8.5,8.5,6200,8.7,8.7,8.5,8.5,0,0,0
20170228,PVP,8.8,8.8,8.8,8.8,200,8.8,8.8,8.8,8.8,0,0,0
20170227,PVP,7.7,7.7,7.7,7.7,500,7.7,7.7,7.7,7.7,0,0,0
20170224,PVP,6.7,6.7,6.7,6.7,3000,6.7,6.7,6.7,6.7,0,0,0
20170223,PVP,7.8,7.8,7.8,7.8,300,7.8,7.8,7.8,7.8,0,0,0
20170221,PVP,9.1,9.1,9.0,9.1,3400,9.1,9.1,9.0,9.1,0,0,0
20170220,PVP,9.0,9.2,9.0,9.2,500,9.0,9.2,9.0,9.2,0,0,0
20170217,PVP,8.0,8.0,8.0,8.0,100,8.0,8.0,8.0,8.0,0,0,0
20170216,PVP,7.0,7.0,7.0,7.0,600,7.0,7.0,7.0,7.0,0,0,0
20170215,PVP,6.0,7.4,6.0,7.4,2800,6.0,7.4,6.0,7.4,0,0,0
20170214,PVP,6.5,6.5,6.5,6.5,100,6.5,6.5,6.5,6.5,0,0,0
20170213,PVP,6.5,6.5,6.5,6.5,2000,6.5,6.5,6.5,6.5,0,0,0
20170210,PVP,7.2,7.2,6.3,6.3,200,7.2,7.2,6.3,6.3,0,0,0
20170209,PVP,7.2,7.2,6.3,6.3,4700,7.2,7.2,6.3,6.3,0,0,0
20170208,PVP,6.3,6.3,6.3,6.3,4800,6.3,6.3,6.3,6.3,0,0,0
20170207,PVP,7.3,7.3,7.3,7.3,100,7.3,7.3,7.3,7.3,0,0,0
20170206,PVP,8.5,8.5,8.5,8.5,100,8.5,8.5,8.5,8.5,0,0,0
20170125,PVP,9.9,9.9,9.9,9.9,200,9.9,9.9,9.9,9.9,0,0,0
20170124,PVP,11.6,11.6,11.6,11.6,200,11.6,11.6,11.6,11.6,0,0,0
20170105,PVP,13.6,13.6,13.6,13.6,3700,13.6,13.6,13.6,13.6,0,0,0
20161230,PVP,16.0,16.0,16.0,16.0,100,16.0,16.0,16.0,16.0,0,0,0
20161227,PVP,18.8,18.8,18.8,18.8,500,18.8,18.8,18.8,18.8,0,0,0
20161226,PVP,23.5,23.5,19.5,19.5,1500,23.5,23.5,19.5,19.5,0,0,0
20161223,PVP,23.3,23.3,20.6,20.8,7200,23.3,23.3,20.6,20.8,0,0,0
20161222,PVP,20.3,20.3,20.3,20.3,6900,20.3,20.3,20.3,20.3,0,0,0
20161221,PVP,17.7,17.7,17.7,17.7,3000,17.7,17.7,17.7,17.7,0,0,0
20161220,PVP,15.4,15.4,15.4,15.4,1000,15.4,15.4,15.4,15.4,0,0,0
