<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,PVV,1.4,1.5,1.4,1.4,128600,1.4,1.5,1.4,1.4,0,0,0
20170626,PVV,1.4,1.4,1.3,1.4,183920,1.4,1.4,1.3,1.4,0,0,0
20170623,PVV,1.4,1.4,1.3,1.3,52800,1.4,1.4,1.3,1.3,0,0,0
20170622,PVV,1.4,1.4,1.3,1.3,23400,1.4,1.4,1.3,1.3,0,0,0
20170621,PVV,1.3,1.4,1.3,1.3,55900,1.3,1.4,1.3,1.3,0,0,0
20170620,PVV,1.3,1.4,1.3,1.3,351000,1.3,1.4,1.3,1.3,0,0,0
20170619,PVV,1.3,1.4,1.3,1.3,21000,1.3,1.4,1.3,1.3,0,0,0
20170616,PVV,1.3,1.4,1.3,1.3,73300,1.3,1.4,1.3,1.3,0,0,0
20170615,PVV,1.3,1.4,1.3,1.4,66600,1.3,1.4,1.3,1.4,0,0,0
20170614,PVV,1.5,1.5,1.4,1.4,52900,1.5,1.5,1.4,1.4,0,0,0
20170613,PVV,1.5,1.5,1.3,1.5,32100,1.5,1.5,1.3,1.5,0,0,0
20170612,PVV,1.4,1.5,1.3,1.4,47800,1.4,1.5,1.3,1.4,0,0,0
20170609,PVV,1.5,1.5,1.4,1.4,124700,1.5,1.5,1.4,1.4,0,0,0
20170608,PVV,1.6,1.6,1.5,1.5,32300,1.6,1.6,1.5,1.5,0,0,0
20170607,PVV,1.5,1.6,1.4,1.6,147100,1.5,1.6,1.4,1.6,0,0,0
20170606,PVV,1.5,1.5,1.3,1.5,159800,1.5,1.5,1.3,1.5,0,0,0
20170605,PVV,1.3,1.4,1.3,1.4,44700,1.3,1.4,1.3,1.4,0,0,0
20170602,PVV,1.3,1.4,1.3,1.4,98300,1.3,1.4,1.3,1.4,0,0,0
20170601,PVV,1.3,1.4,1.2,1.3,52800,1.3,1.4,1.2,1.3,0,0,0
20170531,PVV,1.3,1.4,1.3,1.3,159700,1.3,1.4,1.3,1.3,0,0,0
20170530,PVV,1.4,1.4,1.3,1.4,89500,1.4,1.4,1.3,1.4,0,0,0
20170529,PVV,1.4,1.4,1.3,1.3,298800,1.4,1.4,1.3,1.3,0,0,0
20170526,PVV,1.3,1.4,1.2,1.3,282800,1.3,1.4,1.2,1.3,0,0,0
20170525,PVV,1.2,1.3,1.2,1.3,24214,1.2,1.3,1.2,1.3,0,0,0
20170524,PVV,1.2,1.3,1.2,1.3,8600,1.2,1.3,1.2,1.3,0,0,0
20170523,PVV,1.3,1.3,1.2,1.3,11300,1.3,1.3,1.2,1.3,0,0,0
20170522,PVV,1.2,1.3,1.2,1.2,106400,1.2,1.3,1.2,1.2,0,0,0
20170519,PVV,1.3,1.3,1.3,1.3,5100,1.3,1.3,1.3,1.3,0,0,0
20170518,PVV,1.2,1.3,1.2,1.2,31700,1.2,1.3,1.2,1.2,0,100,0
20170517,PVV,1.2,1.2,1.2,1.2,100,1.2,1.2,1.2,1.2,0,0,0
20170516,PVV,1.4,1.4,1.2,1.3,34000,1.4,1.4,1.2,1.3,0,0,0
20170515,PVV,1.3,1.3,1.2,1.3,63600,1.3,1.3,1.2,1.3,0,0,0
20170512,PVV,1.1,1.3,1.1,1.2,10500,1.1,1.3,1.1,1.2,0,0,0
20170511,PVV,1.2,1.2,1.2,1.2,1100,1.2,1.2,1.2,1.2,0,0,0
20170510,PVV,1.2,1.3,1.2,1.2,5800,1.2,1.3,1.2,1.2,0,0,0
20170509,PVV,1.3,1.3,1.2,1.2,200,1.3,1.3,1.2,1.2,0,0,0
