<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170619,PX1,10.0,10.0,10.0,10.0,30,10.0,10.0,10.0,10.0,0,0,0
20170616,PX1,10.0,10.0,10.0,10.0,7700,10.0,10.0,10.0,10.0,0,0,0
20170615,PX1,9.5,9.5,9.5,9.5,500,9.5,9.5,9.5,9.5,0,0,0
20170612,PX1,8.6,8.6,8.6,8.6,1000,8.6,8.6,8.6,8.6,0,0,0
20170608,PX1,7.5,7.5,7.5,7.5,1000,7.5,7.5,7.5,7.5,1621,0,0
20170607,PX1,6.6,6.6,6.6,6.6,110600,6.6,6.6,6.6,6.6,0,0,0
20161229,PX1,10.9,10.9,10.9,10.9,200,10.9,10.9,10.9,10.9,0,0,0
20161226,PX1,12.8,12.8,12.8,12.8,100,12.8,12.8,12.8,12.8,0,0,0
20161222,PX1,11.2,11.2,11.2,11.2,100,11.2,11.2,11.2,11.2,0,0,0
20161219,PX1,9.8,9.8,9.8,9.8,231300,9.8,9.8,9.8,9.8,0,0,0
20150625,PX1,7.0,7.0,7.0,7.0,100,7.0,7.0,7.0,7.0,0,0,0
20130723,PX1,10.0,10.0,10.0,10.0,2200000,10.0,10.0,10.0,10.0,0,0,0
20130102,PX1,10.0,10.0,10.0,10.0,100,10.0,10.0,10.0,10.0,0,0,0
20120822,PX1,9.0,9.0,9.0,9.0,100,9.0,9.0,9.0,9.0,0,0,0
20120718,PX1,8.7,8.7,8.7,8.7,100,8.7,8.7,8.7,8.7,0,0,0
20120618,PX1,9.4,9.4,9.4,9.4,100,9.4,9.4,9.4,9.4,0,0,0
20120515,PX1,9.4,9.4,9.4,9.4,100,9.4,9.4,9.4,9.4,0,0,0
20120410,PX1,9.5,9.5,9.5,9.5,400,9.5,9.5,9.5,9.5,0,0,0
20120313,PX1,10.5,10.5,10.5,10.5,100,10.5,10.5,10.5,10.5,0,0,0
20120209,PX1,10.5,10.5,10.5,10.5,100,10.5,10.5,10.5,10.5,0,0,0
20120104,PX1,10.3,10.3,10.3,10.3,100,10.3,10.3,10.3,10.3,0,0,0
20111205,PX1,10.2,10.2,10.2,10.2,100,10.2,10.2,10.2,10.2,0,0,0
20111108,PX1,10.8,10.8,10.8,10.8,100,10.8,10.8,10.8,10.8,0,0,0
20111010,PX1,10.8,10.8,10.8,10.8,100,10.8,10.8,10.8,10.8,0,0,0
20110927,PX1,11.9,11.9,11.9,11.9,100,11.9,11.9,11.9,11.9,0,0,0
20110921,PX1,13.2,13.2,13.2,13.2,100,13.2,13.2,13.2,13.2,0,0,0
20110908,PX1,14.5,14.5,14.5,14.5,100,14.5,14.5,14.5,14.5,0,0,0
20110830,PX1,15.0,15.0,15.0,15.0,100,15.0,15.0,15.0,15.0,0,0,0
20110804,PX1,15.5,15.5,15.5,15.5,100,15.5,15.5,15.5,15.5,0,0,0
20110704,PX1,15.5,15.5,15.5,15.5,100,15.5,15.5,15.5,15.5,0,0,0
20110606,PX1,15.6,15.6,15.6,15.6,100,15.6,15.6,15.6,15.6,0,0,0
20110527,PX1,15.5,15.5,15.5,15.5,100,15.5,15.5,15.5,15.5,0,0,0
20110422,PX1,15.9,15.9,15.9,15.9,100,15.9,15.9,15.9,15.9,0,0,0
20110330,PX1,15.9,15.9,15.9,15.9,100,15.9,15.9,15.9,15.9,0,0,0
20110303,PX1,15.9,15.9,15.9,15.9,100,15.9,15.9,15.9,15.9,0,0,0
20110124,PX1,15.9,15.9,15.9,15.9,100,15.9,15.9,15.9,15.9,0,0,0
20101231,PX1,15.5,15.5,15.5,15.5,100,15.5,15.5,15.5,15.5,0,0,0
20101210,PX1,15.7,15.7,15.7,15.7,1000,15.7,15.7,15.7,15.7,0,0,0
20101208,PX1,15.5,15.5,15.5,15.5,100,15.5,15.5,15.5,15.5,0,0,0
