<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,PXS,9.89,9.89,9.81,9.81,83460,9.89,9.89,9.81,9.81,0,5000,0
20170626,PXS,9.8,9.88,9.8,9.88,226840,9.8,9.88,9.8,9.88,0,5000,0
20170623,PXS,9.78,9.88,9.74,9.78,252740,9.78,9.88,9.74,9.78,0,0,0
20170622,PXS,9.79,9.88,9.78,9.79,84890,9.79,9.88,9.78,9.79,0,0,0
20170621,PXS,9.76,9.89,9.74,9.89,226800,9.76,9.89,9.74,9.89,0,0,0
20170620,PXS,9.83,9.85,9.75,9.79,225550,9.83,9.85,9.75,9.79,0,0,0
20170619,PXS,9.9,9.95,9.8,9.86,178070,9.9,9.95,9.8,9.86,25000,0,0
20170616,PXS,9.9,9.94,9.86,9.86,108640,9.9,9.94,9.86,9.86,0,0,0
20170615,PXS,9.97,10.0,9.86,9.96,219290,9.97,10.0,9.86,9.96,0,1500,0
20170614,PXS,9.9,10.0,9.9,9.98,189800,9.9,10.0,9.9,9.98,0,0,0
20170613,PXS,9.9,9.98,9.85,9.9,117820,9.9,9.98,9.85,9.9,0,1000,0
20170612,PXS,10.05,10.05,9.88,9.89,107180,10.05,10.05,9.88,9.89,0,3000,0
20170609,PXS,9.99,10.0,9.9,9.94,45820,9.99,10.0,9.9,9.94,0,2000,0
20170608,PXS,9.94,9.94,9.86,9.9,243600,9.94,9.94,9.86,9.9,0,0,0
20170607,PXS,10.05,10.05,9.97,10.0,216820,10.05,10.05,9.97,10.0,0,0,0
20170606,PXS,10.0,10.05,9.99,9.99,209830,10.0,10.05,9.99,9.99,0,2000,0
20170605,PXS,10.0,10.1,10.0,10.05,223860,10.0,10.1,10.0,10.05,0,0,0
20170602,PXS,10.15,10.15,10.0,10.05,125830,10.15,10.15,10.0,10.05,0,0,0
20170601,PXS,10.1,10.2,10.1,10.15,144840,10.1,10.2,10.1,10.15,0,0,0
20170531,PXS,10.2,10.25,10.1,10.2,153690,10.2,10.25,10.1,10.2,0,20,0
20170530,PXS,10.1,10.35,10.1,10.2,276090,10.1,10.35,10.1,10.2,0,0,0
20170529,PXS,10.2,10.35,10.05,10.1,381230,10.2,10.35,10.05,10.1,0,0,0
20170526,PXS,10.35,10.4,10.2,10.2,270700,10.35,10.4,10.2,10.2,0,0,0
20170525,PXS,10.5,10.7,10.4,10.5,573170,10.5,10.7,10.4,10.5,0,0,0
20170524,PXS,10.1,10.35,10.1,10.35,267130,10.1,10.35,10.1,10.35,0,0,0
20170523,PXS,10.2,10.2,10.0,10.1,195670,10.2,10.2,10.0,10.1,0,0,0
20170522,PXS,10.1,10.55,10.1,10.2,595510,10.1,10.55,10.1,10.2,0,0,0
20170519,PXS,9.94,10.0,9.9,9.91,334910,9.94,10.0,9.9,9.91,0,0,0
20170518,PXS,9.97,9.98,9.94,9.97,197900,9.97,9.98,9.94,9.97,0,0,15000
20170517,PXS,9.93,10.0,9.93,9.97,103970,9.93,10.0,9.93,9.97,0,0,0
20170516,PXS,9.98,10.15,9.9,10.1,225050,9.98,10.15,9.9,10.1,0,65210,0
20170515,PXS,9.95,9.95,9.9,9.94,226080,9.95,9.95,9.9,9.94,0,36730,0
20170512,PXS,9.91,9.95,9.89,9.92,195740,9.91,9.95,9.89,9.92,0,30,0
20170511,PXS,9.92,9.93,9.89,9.91,267190,9.92,9.93,9.89,9.91,0,0,0
20170510,PXS,9.99,10.0,9.87,9.91,207460,9.99,10.0,9.87,9.91,0,0,0
20170509,PXS,9.98,10.0,9.82,9.99,274510,9.98,10.0,9.82,9.99,0,0,0
20170508,PXS,9.98,10.0,9.82,9.82,78730,9.98,10.0,9.82,9.82,0,0,0
20170505,PXS,9.82,9.97,9.82,9.95,141750,9.82,9.97,9.82,9.95,0,0,0
20170504,PXS,9.86,9.9,9.81,9.82,116240,9.86,9.9,9.81,9.82,0,0,0
20170503,PXS,9.97,10.1,9.9,9.9,161110,9.97,10.1,9.9,9.9,0,0,0
20170428,PXS,10.0,10.2,9.92,9.92,155670,10.0,10.2,9.92,9.92,0,0,0
20170427,PXS,10.0,10.2,9.99,10.2,119850,10.0,10.2,9.99,10.2,0,0,0
20170426,PXS,9.99,10.2,9.98,9.99,203270,9.99,10.2,9.98,9.99,0,600,0
20170425,PXS,9.9,10.0,9.84,9.92,134000,9.9,10.0,9.84,9.92,0,0,0
20170424,PXS,9.92,9.93,9.8,9.9,171790,9.92,9.93,9.8,9.9,0,0,0
20170421,PXS,9.98,10.05,9.9,9.92,93470,9.98,10.05,9.9,9.92,0,0,0
20170420,PXS,10.1,10.1,9.96,10.0,57800,10.1,10.1,9.96,10.0,0,0,0
20170419,PXS,9.91,10.1,9.91,10.1,168050,9.91,10.1,9.91,10.1,0,0,0
20170418,PXS,10.0,10.0,9.89,9.91,142720,10.0,10.0,9.89,9.91,0,0,0
20170417,PXS,10.15,10.25,9.9,9.9,590140,10.15,10.25,9.9,9.9,0,10,0
20170414,PXS,10.3,10.35,10.1,10.15,292930,10.3,10.35,10.1,10.15,0,0,0
20170413,PXS,10.35,10.35,10.25,10.3,111760,10.35,10.35,10.25,10.3,0,0,0
20170412,PXS,10.35,10.4,10.25,10.35,150360,10.35,10.4,10.25,10.35,0,0,0
20170411,PXS,10.4,10.5,10.3,10.3,113320,10.4,10.5,10.3,10.3,0,0,0
20170410,PXS,10.45,10.45,10.25,10.25,205520,10.45,10.45,10.25,10.25,0,0,0
20170407,PXS,10.4,10.4,10.25,10.4,227620,10.4,10.4,10.25,10.4,0,0,0
20170405,PXS,10.2,10.4,10.2,10.25,146590,10.2,10.4,10.2,10.25,0,0,0
20170404,PXS,10.3,10.35,10.15,10.2,331710,10.3,10.35,10.15,10.2,0,0,0
20170403,PXS,10.5,10.5,10.3,10.35,142450,10.5,10.5,10.3,10.35,0,0,0
20170331,PXS,10.6,10.7,10.5,10.5,337100,10.6,10.7,10.5,10.5,0,0,0
20170330,PXS,10.45,10.55,10.35,10.45,361540,10.45,10.55,10.35,10.45,0,100,0
20170329,PXS,10.4,10.4,10.25,10.35,352920,10.4,10.4,10.25,10.35,0,0,25000
20170328,PXS,10.1,10.15,10.0,10.15,254550,10.1,10.15,10.0,10.15,0,30,0
20170327,PXS,10.3,10.3,10.05,10.05,436700,10.3,10.3,10.05,10.05,0,0,76400
20170324,PXS,10.3,10.3,10.15,10.25,336590,10.3,10.3,10.15,10.25,0,0,61000
20170323,PXS,10.45,10.45,10.25,10.3,93570,10.45,10.45,10.25,10.3,0,0,0
20170322,PXS,10.45,10.45,10.25,10.3,343660,10.45,10.45,10.25,10.3,0,0,39500
20170321,PXS,10.25,10.45,10.25,10.4,350090,10.25,10.45,10.25,10.4,0,61800,5050
20170320,PXS,10.3,10.4,10.3,10.3,175930,10.3,10.4,10.3,10.3,0,0,0
20170317,PXS,10.4,10.45,10.3,10.3,179140,10.4,10.45,10.3,10.3,0,0,0
20170316,PXS,10.45,10.45,10.35,10.4,166500,10.45,10.45,10.35,10.4,0,0,0
20170315,PXS,10.3,10.4,10.2,10.35,179260,10.3,10.4,10.2,10.35,0,0,5000
20170314,PXS,10.2,10.5,10.2,10.25,237990,10.2,10.5,10.2,10.25,0,0,19400
20170313,PXS,10.2,10.3,10.15,10.3,264370,10.2,10.3,10.15,10.3,0,0,0
20170310,PXS,10.3,10.4,10.2,10.3,508350,10.3,10.4,10.2,10.3,0,0,0
20170309,PXS,10.4,10.55,10.3,10.45,916750,10.4,10.55,10.3,10.45,0,0,0
20170308,PXS,10.4,10.65,10.35,10.5,287010,10.4,10.65,10.35,10.5,0,10000,15330
20170307,PXS,10.5,10.5,10.35,10.35,393770,10.5,10.5,10.35,10.35,0,0,28000
20170306,PXS,10.35,10.55,10.35,10.4,185590,10.35,10.55,10.35,10.4,0,0,47000
20170303,PXS,10.4,10.45,10.3,10.35,292490,10.4,10.45,10.3,10.35,0,1000,0
20170302,PXS,10.4,10.5,10.3,10.35,199510,10.4,10.5,10.3,10.35,0,1500,0
20170301,PXS,10.55,10.65,10.3,10.4,616410,10.55,10.65,10.3,10.4,0,0,0
20170228,PXS,10.9,11.2,10.5,10.6,536110,10.9,11.2,10.5,10.6,0,0,0
20170227,PXS,11.0,11.1,10.9,11.0,385610,11.0,11.1,10.9,11.0,0,0,0
20170224,PXS,11.3,11.4,11.15,11.2,377180,11.3,11.4,11.15,11.2,0,0,0
20170223,PXS,11.3,11.4,11.0,11.2,532410,11.3,11.4,11.0,11.2,0,4500,0
20170222,PXS,11.0,11.45,11.0,11.4,866140,11.0,11.45,11.0,11.4,0,18550,0
20170221,PXS,10.7,11.05,10.7,11.0,827980,10.7,11.05,10.7,11.0,0,0,0
20170220,PXS,10.5,10.7,10.4,10.7,408070,10.5,10.7,10.4,10.7,0,0,0
20170217,PXS,10.7,10.7,10.3,10.6,351000,10.7,10.7,10.3,10.6,0,0,0
20170216,PXS,10.7,10.85,10.5,10.55,443590,10.7,10.85,10.5,10.55,0,0,0
20170215,PXS,10.45,11.0,10.45,10.7,606740,10.45,11.0,10.45,10.7,0,0,0
20170214,PXS,10.6,10.8,10.5,10.65,460630,10.6,10.8,10.5,10.65,0,0,0
20170213,PXS,10.4,10.7,10.4,10.7,977360,10.4,10.7,10.4,10.7,0,0,0
20170210,PXS,9.98,10.2,9.98,10.2,391530,9.98,10.2,9.98,10.2,0,0,0
20170209,PXS,10.0,10.1,9.95,9.97,195950,10.0,10.1,9.95,9.97,0,0,0
20170208,PXS,9.98,10.1,9.98,9.99,181390,9.98,10.1,9.98,9.99,0,0,0
20170207,PXS,10.2,10.3,10.05,10.05,191990,10.2,10.3,10.05,10.05,0,0,0
20170206,PXS,9.75,10.4,9.74,10.1,305100,9.75,10.4,9.74,10.1,0,0,0
20170203,PXS,9.75,9.78,9.74,9.75,140550,9.75,9.78,9.74,9.75,0,0,0
20170202,PXS,9.73,9.8,9.71,9.74,67790,9.73,9.8,9.71,9.74,0,0,0
20170125,PXS,9.62,9.74,9.62,9.74,78180,9.62,9.74,9.62,9.74,0,0,0
20170124,PXS,9.52,9.64,9.52,9.62,93580,9.52,9.64,9.52,9.62,0,0,6220
