<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170516,QST,12.9,12.9,12.9,12.9,100,12.9,12.9,12.9,12.9,0,100,0
20170417,QST,12.6,12.6,12.6,12.6,800,12.6,12.6,12.6,12.6,0,0,0
20170313,QST,14.0,14.0,14.0,14.0,100,14.0,14.0,14.0,14.0,0,0,0
20170214,QST,12.8,12.8,12.8,12.8,1000,14.0,14.0,14.0,14.0,0,0,0
20170209,QST,13.07,13.07,13.07,13.07,100,14.3,14.3,14.3,14.3,0,0,100
20170207,QST,12.8,12.8,12.8,12.8,100,14.0,14.0,14.0,14.0,0,0,100
20170203,QST,11.8,11.8,11.8,11.79,100,12.9,12.9,12.9,12.9,0,0,100
20170109,QST,10.78,10.78,10.78,10.79,3300,11.8,11.8,11.8,11.8,0,0,0
20170105,QST,9.87,9.87,9.87,9.87,200,10.8,10.8,10.8,10.8,0,0,200
20161129,QST,9.05,9.05,9.05,9.05,100,9.9,9.9,9.9,9.9,0,0,0
20161124,QST,8.23,8.23,8.23,8.23,2720,9.0,9.0,9.0,9.0,0,0,0
20161005,QST,9.14,9.14,9.14,9.14,20,10.0,10.0,10.0,10.0,0,0,0
20160921,QST,9.14,9.14,9.14,9.14,360,10.0,10.0,10.0,10.0,0,300,0
20160819,QST,8.32,8.32,8.32,8.32,200,9.1,9.1,9.1,9.1,0,200,0
20160804,QST,8.05,8.05,8.05,8.05,500,8.8,8.8,8.8,8.8,0,0,0
20160729,QST,8.32,8.32,8.32,8.32,500,9.1,9.1,9.1,9.1,0,0,0
20160527,QST,9.15,9.15,9.15,9.14,1700,10.0,10.0,10.0,10.0,0,0,0
20160421,QST,9.32,9.32,9.32,9.33,100,10.2,10.2,10.2,10.2,0,0,0
20160414,QST,8.5,8.5,8.5,8.5,1000,9.3,9.3,9.3,9.3,0,0,0
20160413,QST,8.5,8.5,8.5,8.5,600,9.3,9.3,9.3,9.3,0,0,0
20160405,QST,7.77,7.77,7.77,7.77,100,8.5,8.5,8.5,8.5,0,0,0
20160330,QST,7.13,7.13,7.13,7.13,100,7.8,7.8,7.8,7.8,0,0,0
20151109,QST,6.49,6.49,6.49,6.49,3960,8.3,8.3,8.3,8.3,0,0,0
20151021,QST,7.04,7.04,7.04,7.04,100,9.0,9.0,9.0,9.0,0,0,0
20150723,QST,7.82,7.82,7.82,7.82,400,10.0,10.0,10.0,10.0,0,0,0
20150612,QST,8.21,8.21,8.21,8.21,3860,10.5,10.5,10.5,10.5,0,0,0
20150608,QST,7.51,7.51,7.51,7.51,600,9.6,9.6,9.6,9.6,0,0,600
20150528,QST,7.51,7.51,7.51,7.51,100,9.6,9.6,9.6,9.6,0,0,0
20150525,QST,7.51,7.51,7.51,7.51,40,9.6,9.6,9.6,9.6,0,0,0
20150401,QST,7.51,7.51,7.51,7.51,1200,9.6,9.6,9.6,9.6,0,0,0
20150331,QST,7.12,7.12,7.12,7.12,1000,9.1,9.1,9.1,9.1,0,0,0
20150330,QST,7.04,7.04,7.04,7.04,200,9.0,9.0,9.0,9.0,0,0,0
20150320,QST,6.49,6.49,6.49,6.49,300,8.3,8.3,8.3,8.3,0,0,0
20141201,QST,5.94,5.94,5.94,5.94,60,8.8,8.8,8.8,8.8,0,0,0
20141103,QST,5.94,5.94,5.94,5.94,200,8.8,8.8,8.8,8.8,0,0,0
20141016,QST,6.48,6.48,6.48,6.48,400,9.6,9.6,9.6,9.6,0,0,0
20140930,QST,7.09,7.09,7.09,7.09,600,10.5,10.5,10.5,10.5,0,0,0
20140909,QST,7.43,7.43,7.43,7.43,100,11.0,11.0,11.0,11.0,0,0,0
20140811,QST,7.09,7.09,7.09,7.09,100,10.5,10.5,10.5,10.5,0,0,0
20140808,QST,7.09,7.09,7.09,7.09,600,10.5,10.5,10.5,10.5,0,0,0
20140806,QST,7.84,7.84,7.84,7.83,100,11.6,11.6,11.6,11.6,0,0,0
20140728,QST,7.16,7.16,7.16,7.16,100,10.6,10.6,10.6,10.6,0,0,0
20140704,QST,7.9,7.9,7.9,7.9,100,11.7,11.7,11.7,11.7,0,0,0
20140703,QST,8.71,8.71,8.71,8.71,100,12.9,12.9,12.9,12.9,0,0,0
20140701,QST,9.66,9.66,9.66,9.66,100,14.3,14.3,14.3,14.3,0,0,0
20140630,QST,10.67,10.67,10.67,10.67,100,15.8,15.8,15.8,15.8,0,0,0
20140324,QST,10.67,10.67,10.67,10.67,700,15.8,15.8,15.8,15.8,0,0,0
20140320,QST,11.82,11.82,11.82,11.82,100,17.5,17.5,17.5,17.5,0,0,0
20140317,QST,11.28,11.28,11.28,11.28,100,16.7,16.7,16.7,16.7,0,0,0
20140311,QST,10.74,10.74,10.74,10.74,100,15.9,15.9,15.9,15.9,0,0,0
20140310,QST,10.47,10.47,10.47,10.47,100,15.5,15.5,15.5,15.5,0,0,0
20140307,QST,9.86,9.86,9.86,9.86,100,14.6,14.6,14.6,14.6,0,0,0
20140306,QST,9.05,9.05,9.05,9.05,100,13.4,13.4,13.4,13.4,0,0,0
20140305,QST,8.24,8.24,8.24,8.24,230,13.6,13.6,13.6,13.6,0,0,0
20140227,QST,7.57,7.57,7.57,7.57,1210,12.5,12.5,12.5,12.5,0,0,0
20140226,QST,7.33,7.33,7.33,7.33,300,12.1,12.1,12.1,12.1,0,0,0
20140217,QST,6.66,6.66,6.66,6.66,100,11.0,11.0,11.0,11.0,0,0,0
20140213,QST,7.4,7.4,7.4,7.39,420,12.2,12.2,12.2,12.2,0,0,100
20140123,QST,6.73,6.73,6.73,6.73,700,11.1,11.1,11.1,11.1,0,0,0
20140122,QST,6.12,6.12,6.12,6.12,2400,10.1,10.1,10.1,10.1,0,0,0
20140116,QST,6.12,6.12,6.12,6.12,100,10.1,10.1,10.1,10.1,0,0,0
20140114,QST,6.6,6.6,6.6,6.6,100,10.9,10.9,10.9,10.9,0,0,0
20140109,QST,7.27,7.27,7.27,7.27,400,12.0,12.0,12.0,12.0,0,0,0
20131220,QST,7.27,7.27,7.27,7.27,400,12.0,12.0,12.0,12.0,0,0,0
20131204,QST,7.15,7.15,7.15,7.15,200,11.8,11.8,11.8,11.8,0,0,0
20131203,QST,6.55,6.55,6.55,6.54,200,10.8,10.8,10.8,10.8,0,0,0
20131011,QST,6.0,6.0,6.0,6.0,3360,9.9,9.9,9.9,9.9,0,0,0
20131004,QST,5.46,5.46,5.46,5.45,1600,9.0,9.0,9.0,9.0,0,0,0
20130909,QST,5.88,5.88,5.88,5.88,5900,9.7,9.7,9.7,9.7,0,0,0
20130906,QST,5.88,5.88,5.88,5.88,200,9.7,9.7,9.7,9.7,0,0,0
20130815,QST,5.82,5.82,5.82,5.82,200,9.6,9.6,9.6,9.6,0,0,0
20130814,QST,5.82,5.82,5.82,5.82,100,9.6,9.6,9.6,9.6,0,0,0
20130718,QST,5.45,5.81,5.45,5.82,200,9.0,9.6,9.0,9.6,0,0,0
20130529,QST,5.45,5.45,5.45,5.45,300,9.0,9.0,9.0,9.0,0,0,0
20130418,QST,5.45,5.45,5.45,5.45,300,9.0,9.0,9.0,9.0,0,0,0
