<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,QTP,8.4,8.5,8.4,8.5,1300,8.4,8.5,8.4,8.5,0,0,0
20170626,QTP,8.4,8.4,8.4,8.4,1559,8.4,8.4,8.4,8.4,0,0,0
20170623,QTP,8.5,8.5,8.3,8.3,5200,8.5,8.5,8.3,8.3,0,0,0
20170622,QTP,8.5,8.5,8.5,8.5,403,8.5,8.5,8.5,8.5,0,0,0
20170621,QTP,8.8,8.8,8.4,8.4,4000,8.8,8.8,8.4,8.4,99000,0,0
20170620,QTP,8.4,8.5,8.4,8.4,11010,8.4,8.5,8.4,8.4,0,0,0
20170619,QTP,8.7,8.7,8.2,8.2,500,8.7,8.7,8.2,8.2,0,0,0
20170616,QTP,8.3,8.3,8.3,8.3,2800,8.3,8.3,8.3,8.3,0,0,0
20170615,QTP,8.3,9.0,8.3,9.0,3000,8.3,9.0,8.3,9.0,0,0,0
20170614,QTP,8.3,8.4,8.3,8.3,11200,8.3,8.4,8.3,8.3,0,0,0
20170613,QTP,8.3,8.5,8.3,8.3,37100,8.3,8.5,8.3,8.3,0,0,0
20170612,QTP,8.3,8.3,8.3,8.3,10500,8.3,8.3,8.3,8.3,0,0,0
20170609,QTP,8.3,8.3,8.3,8.3,2500,8.3,8.3,8.3,8.3,0,0,0
20170608,QTP,8.3,8.3,8.3,8.3,1100,8.3,8.3,8.3,8.3,0,0,0
20170607,QTP,8.3,8.3,8.3,8.3,2000,8.3,8.3,8.3,8.3,0,0,0
20170606,QTP,8.2,8.2,8.2,8.2,3500,8.2,8.2,8.2,8.2,0,0,0
20170605,QTP,8.5,8.5,7.3,7.3,2400,8.5,8.5,7.3,7.3,0,0,0
20170602,QTP,9.0,9.0,8.3,8.3,400,9.0,9.0,8.3,8.3,0,0,0
20170601,QTP,9.5,9.5,8.3,8.3,1420,9.5,9.5,8.3,8.3,0,0,0
20170531,QTP,8.3,8.3,8.3,8.3,400,8.3,8.3,8.3,8.3,0,0,0
20170530,QTP,8.2,8.2,8.2,8.2,500,8.2,8.2,8.2,8.2,0,0,0
20170529,QTP,8.2,8.2,8.2,8.2,100,8.2,8.2,8.2,8.2,0,0,0
20170526,QTP,8.2,8.2,8.2,8.2,2000,8.2,8.2,8.2,8.2,0,0,0
20170525,QTP,8.0,8.2,8.0,8.2,4500,8.0,8.2,8.0,8.2,59,0,0
20170524,QTP,8.0,8.0,8.0,8.0,5300,8.0,8.0,8.0,8.0,0,0,0
20170523,QTP,8.0,8.1,8.0,8.1,3700,8.0,8.1,8.0,8.1,0,0,0
20170522,QTP,8.0,8.0,8.0,8.0,1611,8.0,8.0,8.0,8.0,0,0,0
20170519,QTP,8.4,8.4,7.5,8.0,6000,8.4,8.4,7.5,8.0,0,0,0
20170518,QTP,8.1,8.5,8.0,8.1,2350,8.1,8.5,8.0,8.1,0,0,0
20170517,QTP,7.9,7.9,7.3,7.9,4900,7.9,7.9,7.3,7.9,0,0,0
20170516,QTP,7.9,8.0,7.8,7.8,14000,7.9,8.0,7.8,7.8,0,0,0
20170515,QTP,8.8,8.8,8.8,8.8,61,8.8,8.8,8.8,8.8,0,0,0
20170512,QTP,8.8,8.8,8.8,8.8,100,8.8,8.8,8.8,8.8,0,0,0
20170511,QTP,8.8,8.8,8.8,8.8,100,8.8,8.8,8.8,8.8,0,0,0
20170510,QTP,7.7,8.0,7.7,8.0,8100,7.7,8.0,7.7,8.0,0,0,0
20170509,QTP,7.6,7.7,7.6,7.7,17000,7.6,7.7,7.6,7.7,0,0,0
20170508,QTP,7.6,7.6,7.6,7.6,2000,7.6,7.6,7.6,7.6,0,0,0
20170505,QTP,7.3,7.8,7.3,7.8,16830,7.3,7.8,7.3,7.8,0,0,0
20170504,QTP,8.0,8.3,7.3,7.3,3407,8.0,8.3,7.3,7.3,0,0,0
20170503,QTP,7.3,7.3,7.3,7.3,101,7.3,7.3,7.3,7.3,0,0,0
20170428,QTP,7.3,7.3,7.3,7.3,103,7.3,7.3,7.3,7.3,0,0,0
20170427,QTP,7.3,7.4,7.3,7.3,3400,7.3,7.4,7.3,7.3,0,0,0
20170426,QTP,7.5,7.5,7.5,7.5,100,7.5,7.5,7.5,7.5,0,0,0
20170425,QTP,6.6,6.6,6.6,6.6,100,6.6,6.6,6.6,6.6,0,0,0
20170420,QTP,6.2,6.3,6.2,6.2,2500,6.2,6.3,6.2,6.2,0,0,0
20170419,QTP,6.0,6.6,6.0,6.0,7400,6.0,6.6,6.0,6.0,0,0,0
20170418,QTP,6.8,6.8,6.2,6.2,10200,6.8,6.8,6.2,6.2,0,0,0
20170417,QTP,7.2,7.2,7.0,7.0,3200,7.2,7.2,7.0,7.0,0,0,0
20170414,QTP,7.6,7.6,7.0,7.0,15000,7.6,7.6,7.0,7.0,0,0,0
20170413,QTP,7.6,7.6,7.6,7.6,100,7.6,7.6,7.6,7.6,0,0,0
20170412,QTP,8.5,8.5,7.8,7.9,500,8.5,8.5,7.8,7.9,0,0,0
20170411,QTP,8.5,8.5,8.5,8.5,100,8.5,8.5,8.5,8.5,0,0,0
20170410,QTP,10.0,10.0,10.0,10.0,100,10.0,10.0,10.0,10.0,0,0,0
20170407,QTP,9.3,9.3,9.3,9.3,200,9.3,9.3,9.3,9.3,0,0,0
20170405,QTP,8.1,8.2,8.1,8.1,4700,8.1,8.2,8.1,8.1,0,0,0
20170404,QTP,9.5,9.5,9.5,9.5,210,9.5,9.5,9.5,9.5,0,0,0
20170331,QTP,11.6,11.6,10.5,10.5,220,11.6,11.6,10.5,10.5,0,0,0
20170330,QTP,10.6,10.6,10.6,10.6,10,10.6,10.6,10.6,10.6,0,0,0
20170329,QTP,10.6,10.6,10.6,10.6,120,10.6,10.6,10.6,10.6,0,0,0
20170328,QTP,9.6,9.6,9.5,9.6,311,9.6,9.6,9.5,9.6,0,0,0
20170327,QTP,8.5,8.5,8.5,8.5,14250,8.5,8.5,8.5,8.5,0,0,0
20170324,QTP,9.1,9.1,9.1,9.1,2100,9.1,9.1,9.1,9.1,0,0,0
20170323,QTP,10.6,10.6,10.6,10.6,3300,10.6,10.6,10.6,10.6,0,0,0
20170322,QTP,12.4,12.4,12.4,12.4,2300,12.4,12.4,12.4,12.4,0,0,0
20170321,QTP,14.5,14.5,13.6,13.6,9451,14.5,14.5,13.6,13.6,0,0,0
20170317,QTP,18.2,18.2,15.1,15.8,3000,18.2,18.2,15.1,15.8,0,0,0
