<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,RDP,16.8,17.0,16.55,16.9,37170,16.8,17.0,16.55,16.9,0,0,0
20170626,RDP,16.9,16.9,16.8,16.9,10290,16.9,16.9,16.8,16.9,0,0,0
20170623,RDP,15.95,16.9,15.95,16.9,21420,15.95,16.9,15.95,16.9,0,0,0
20170622,RDP,16.5,16.5,16.2,16.5,19740,16.5,16.5,16.2,16.5,0,0,990
20170621,RDP,16.35,16.7,16.2,16.6,26200,16.35,16.7,16.2,16.6,0,0,10
20170620,RDP,16.0,16.6,16.0,16.4,40380,16.0,16.6,16.0,16.4,0,20,1000
20170619,RDP,16.35,16.4,15.7,16.2,63160,16.35,16.4,15.7,16.2,0,0,0
20170616,RDP,15.4,16.2,15.2,16.2,57360,15.4,16.2,15.2,16.2,0,0,1000
20170615,RDP,15.35,15.35,15.0,15.35,39690,15.35,15.35,15.0,15.35,0,0,0
20170614,RDP,15.2,15.35,15.0,15.2,35210,15.2,15.35,15.0,15.2,0,0,0
20170613,RDP,14.95,15.0,14.9,15.0,39910,14.95,15.0,14.9,15.0,0,0,0
20170612,RDP,15.05,15.3,14.9,15.3,14700,15.05,15.3,14.9,15.3,0,0,0
20170609,RDP,15.1,15.35,15.0,15.35,7620,15.1,15.35,15.0,15.35,0,0,0
20170608,RDP,15.4,15.5,15.3,15.35,10830,15.4,15.5,15.3,15.35,0,0,40
20170607,RDP,15.4,15.4,14.9,15.4,20580,15.4,15.4,14.9,15.4,0,0,170
20170606,RDP,15.25,15.4,14.9,15.4,11620,15.25,15.4,14.9,15.4,0,0,0
20170605,RDP,14.95,15.2,14.95,15.2,6910,14.95,15.2,14.95,15.2,0,40,0
20170602,RDP,15.4,15.45,14.9,14.9,1120,15.4,15.45,14.9,14.9,0,170,0
20170601,RDP,14.6,15.4,14.6,15.4,12860,14.6,15.4,14.6,15.4,0,0,0
20170531,RDP,15.5,15.5,15.0,15.0,9930,15.5,15.5,15.0,15.0,0,3000,0
20170530,RDP,15.3,15.6,14.9,15.6,19550,15.3,15.6,14.9,15.6,0,0,0
20170529,RDP,16.3,16.3,15.3,15.3,13880,16.3,16.3,15.3,15.3,0,0,0
20170526,RDP,15.48,15.84,15.3,15.3,43910,17.1,17.5,16.9,16.9,0,0,0
20170525,RDP,15.03,15.3,15.03,15.3,35010,16.6,16.9,16.6,16.9,0,0,0
20170524,RDP,14.85,15.12,14.76,14.94,66450,16.4,16.7,16.3,16.5,0,0,0
20170523,RDP,14.58,15.3,14.58,14.76,43020,16.1,16.9,16.1,16.3,0,0,0
20170522,RDP,15.39,15.75,14.67,14.67,43320,17.0,17.4,16.2,16.2,0,0,0
20170519,RDP,15.39,15.75,15.3,15.39,54200,17.0,17.4,16.9,17.0,0,0,0
20170518,RDP,15.93,15.93,15.3,15.66,25610,17.6,17.6,16.9,17.3,0,0,0
20170517,RDP,15.12,16.21,15.12,15.93,67640,16.7,17.9,16.7,17.6,0,0,0
20170516,RDP,14.94,15.3,14.49,15.3,69790,16.5,16.9,16.0,16.9,0,0,0
20170515,RDP,14.76,14.76,14.44,14.67,31050,16.3,16.3,15.95,16.2,0,0,0
20170512,RDP,14.76,14.85,14.53,14.76,8420,16.3,16.4,16.05,16.3,0,0,0
20170511,RDP,15.03,15.03,14.4,14.94,60230,16.6,16.6,15.9,16.5,0,0,0
20170510,RDP,14.34,14.75,14.21,14.76,48520,15.85,16.3,15.7,16.3,0,0,0
20170509,RDP,14.48,14.48,14.03,14.48,25580,16.0,16.0,15.5,16.0,0,0,0
20170508,RDP,15.35,15.35,14.44,14.48,46400,16.95,16.95,15.95,16.0,0,0,0
20170505,RDP,14.3,14.44,14.21,14.44,185600,15.8,15.95,15.7,15.95,0,3010,0
20170504,RDP,12.85,13.53,12.76,13.53,47180,14.2,14.95,14.1,14.95,0,0,0
20170503,RDP,12.76,12.85,12.67,12.67,13140,14.1,14.2,14.0,14.0,0,0,0
20170428,RDP,12.58,12.67,12.4,12.67,6000,13.9,14.0,13.7,14.0,0,0,0
20170427,RDP,12.4,12.67,12.4,12.67,27570,13.7,14.0,13.7,14.0,0,0,0
20170426,RDP,12.49,12.67,12.31,12.58,6810,13.8,14.0,13.6,13.9,0,0,0
20170425,RDP,12.67,12.67,12.58,12.58,9000,14.0,14.0,13.9,13.9,0,0,0
20170424,RDP,12.63,12.67,12.63,12.67,3800,13.95,14.0,13.95,14.0,0,0,0
20170421,RDP,12.27,12.68,12.22,12.58,14160,13.55,14.0,13.5,13.9,0,0,0
20170420,RDP,12.67,12.67,12.4,12.63,28530,14.0,14.0,13.7,13.95,0,0,0
20170419,RDP,12.63,12.76,12.4,12.76,22160,13.95,14.1,13.7,14.1,0,0,0
20170418,RDP,11.59,12.68,11.59,12.31,23360,12.8,14.0,12.8,13.6,0,0,0
20170417,RDP,12.4,12.4,11.95,12.09,19030,13.7,13.7,13.2,13.35,0,0,0
20170414,RDP,12.4,12.67,12.17,12.4,19100,13.7,14.0,13.45,13.7,0,0,80
20170413,RDP,12.13,12.49,11.95,12.4,30450,13.4,13.8,13.2,13.7,0,0,10
20170412,RDP,12.4,12.4,11.59,12.13,32540,13.7,13.7,12.8,13.4,0,500,50
20170411,RDP,12.58,12.58,12.22,12.4,30660,13.9,13.9,13.5,13.7,0,0,0
20170410,RDP,12.67,12.67,12.22,12.58,16060,14.0,14.0,13.5,13.9,0,0,4490
20170407,RDP,12.67,12.67,12.4,12.67,22820,14.0,14.0,13.7,14.0,0,0,11570
20170405,RDP,12.95,12.95,12.59,12.67,27750,14.3,14.3,13.9,14.0,0,0,15290
20170404,RDP,13.13,13.13,12.68,13.04,22930,14.5,14.5,14.0,14.4,0,0,0
20170403,RDP,12.67,13.13,12.67,13.04,9920,14.0,14.5,14.0,14.4,0,0,140
20170331,RDP,13.13,13.13,12.77,13.08,9910,14.5,14.5,14.1,14.45,0,300,0
20170330,RDP,13.13,13.36,12.86,13.13,12930,14.5,14.75,14.2,14.5,0,0,0
20170329,RDP,13.44,13.44,12.9,13.04,43500,14.85,14.85,14.25,14.4,0,0,2380
20170328,RDP,13.49,13.54,13.4,13.53,18230,14.9,14.95,14.8,14.95,0,0,0
20170327,RDP,13.54,13.54,13.4,13.49,13230,14.95,14.95,14.8,14.9,0,0,0
20170324,RDP,13.39,13.49,13.39,13.4,6480,14.8,14.9,14.8,14.8,0,0,0
20170323,RDP,13.35,13.58,13.35,13.44,13090,14.75,15.0,14.75,14.85,0,0,0
20170322,RDP,13.21,13.67,13.21,13.35,34690,14.6,15.1,14.6,14.75,0,0,0
20170321,RDP,13.17,13.27,12.95,13.26,4390,14.55,14.65,14.3,14.65,0,0,0
20170320,RDP,13.22,13.4,13.22,13.22,21020,14.6,14.8,14.6,14.6,0,0,0
20170317,RDP,12.72,13.31,12.68,13.31,48620,14.05,14.7,14.0,14.7,0,0,0
20170316,RDP,12.95,13.04,12.86,12.95,22790,14.3,14.4,14.2,14.3,0,0,0
20170315,RDP,13.58,13.85,12.67,12.95,83410,15.0,15.3,14.0,14.3,0,0,0
20170314,RDP,13.71,13.8,13.58,13.58,12100,15.15,15.25,15.0,15.0,0,0,0
20170313,RDP,13.58,13.85,13.49,13.85,15290,15.0,15.3,14.9,15.3,1370000,0,0
20170310,RDP,13.58,13.62,13.58,13.58,7060,15.0,15.05,15.0,15.0,0,80,0
20170309,RDP,13.72,13.72,13.67,13.67,13130,15.15,15.15,15.1,15.1,0,0,0
20170308,RDP,13.76,14.03,13.67,13.67,11820,15.2,15.5,15.1,15.1,0,0,0
20170307,RDP,14.03,14.03,13.58,13.62,25520,15.5,15.5,15.0,15.05,0,0,0
20170306,RDP,13.94,13.94,13.58,13.58,21860,15.4,15.4,15.0,15.0,0,0,0
20170303,RDP,13.94,13.94,13.76,13.94,1640,15.4,15.4,15.2,15.4,0,0,0
20170302,RDP,13.94,14.48,13.76,13.94,7700,15.4,16.0,15.2,15.4,0,0,0
20170301,RDP,13.63,13.94,13.58,13.67,21830,15.05,15.4,15.0,15.1,30000,0,0
20170228,RDP,13.85,14.12,13.85,13.99,31390,15.3,15.6,15.3,15.45,25000,0,0
20170227,RDP,14.3,14.48,14.03,14.3,14940,15.8,16.0,15.5,15.8,0,0,0
20170224,RDP,14.94,14.94,14.62,14.62,32130,16.5,16.5,16.15,16.15,0,0,0
20170223,RDP,14.12,14.89,14.12,14.89,85020,15.6,16.45,15.6,16.45,0,0,0
20170222,RDP,13.58,13.94,13.17,13.94,38190,15.0,15.4,14.55,15.4,0,0,10000
20170221,RDP,14.03,14.12,13.26,13.26,47140,15.5,15.6,14.65,14.65,0,0,0
20170220,RDP,14.39,14.39,14.03,14.21,9310,15.9,15.9,15.5,15.7,0,3210,0
20170217,RDP,14.57,14.57,14.03,14.3,21880,16.1,16.1,15.5,15.8,0,0,0
20170216,RDP,14.49,14.49,13.95,14.39,23420,16.0,16.0,15.4,15.9,0,0,0
20170215,RDP,14.03,14.57,13.94,14.58,24700,15.5,16.1,15.4,16.1,0,0,0
20170214,RDP,14.3,14.3,13.94,14.12,26400,15.8,15.8,15.4,15.6,0,330,0
20170213,RDP,14.3,14.48,14.12,14.3,26630,15.8,16.0,15.6,15.8,0,0,0
20170210,RDP,14.93,14.93,14.48,14.48,14860,16.5,16.5,16.0,16.0,0,0,0
20170209,RDP,15.48,15.48,14.48,14.48,56300,17.1,17.1,16.0,16.0,0,0,0
20170208,RDP,14.4,14.48,14.11,14.48,14380,19.7,19.8,19.3,19.8,0,0,0
20170207,RDP,14.92,14.92,13.9,14.55,13500,20.4,20.4,19.0,19.9,0,0,0
20170206,RDP,14.55,14.99,14.55,14.92,35240,19.9,20.5,19.9,20.4,0,0,0
20170203,RDP,14.26,14.63,14.19,14.55,13620,19.5,20.0,19.4,19.9,0,0,0
20170202,RDP,14.55,14.62,14.33,14.63,22550,19.9,20.0,19.6,20.0,0,0,0
20170125,RDP,14.26,14.63,14.19,14.55,15620,19.5,20.0,19.4,19.9,0,0,0
20170124,RDP,13.93,14.62,13.93,14.41,11420,19.05,20.0,19.05,19.7,0,0,0
20170123,RDP,14.63,15.0,13.61,13.93,84390,20.0,20.5,18.6,19.05,0,0,0
20170120,RDP,15.36,15.43,14.63,14.63,6050,21.0,21.1,20.0,20.0,0,0,0
20170119,RDP,15.35,16.01,15.14,15.65,15050,21.0,21.9,20.7,21.4,0,0,0
20170118,RDP,16.09,16.09,15.72,15.72,5690,22.0,22.0,21.5,21.5,0,0,0
20170117,RDP,16.09,16.16,15.72,16.09,6800,22.0,22.1,21.5,22.0,0,0,0
20170116,RDP,16.24,16.46,16.09,16.09,9660,22.2,22.5,22.0,22.0,0,0,0
20170113,RDP,16.53,16.6,16.53,16.53,4010,22.6,22.7,22.6,22.6,0,0,0
20170112,RDP,16.82,16.82,16.23,16.53,27020,23.0,23.0,22.2,22.6,0,0,0
20170111,RDP,16.75,16.9,16.75,16.89,2700,22.9,23.1,22.9,23.1,0,0,0
20170110,RDP,17.11,17.11,16.67,16.75,12680,23.4,23.4,22.8,22.9,0,0,0
20170109,RDP,17.26,17.26,16.67,17.04,10310,23.6,23.6,22.8,23.3,0,0,0
20170106,RDP,16.96,17.11,16.81,17.11,14190,23.2,23.4,23.0,23.4,0,0,10
20170105,RDP,17.18,17.18,16.81,17.18,18350,23.5,23.5,23.0,23.5,0,0,0
20170104,RDP,17.18,17.48,16.82,17.18,16720,23.5,23.9,23.0,23.5,0,0,0
20170103,RDP,18.28,18.36,17.04,17.33,16990,25.0,25.1,23.3,23.7,0,3680,1020
20161230,RDP,17.92,18.21,17.55,18.21,1260,24.5,24.9,24.0,24.9,0,0,0
20161229,RDP,18.43,18.43,18.43,18.43,10,25.2,25.2,25.2,25.2,0,0,0
20161228,RDP,18.87,18.87,18.43,18.43,2160,25.8,25.8,25.2,25.2,0,0,0
20161227,RDP,17.99,18.39,17.33,18.39,2170,24.6,25.15,23.7,25.15,0,0,0
20161226,RDP,17.55,18.17,17.55,17.84,2510,24.0,24.85,24.0,24.4,0,0,0
20161223,RDP,17.18,17.26,17.04,17.04,6110,23.5,23.6,23.3,23.3,0,0,0
20161222,RDP,17.77,18.28,16.97,18.28,6370,24.3,25.0,23.2,25.0,0,0,0
20161221,RDP,17.18,17.77,17.18,17.77,1190,23.5,24.3,23.5,24.3,0,0,0
20161220,RDP,17.99,17.99,17.77,17.77,10740,24.6,24.6,24.3,24.3,0,0,0
20161219,RDP,17.85,18.29,17.85,17.92,2250,24.4,25.0,24.4,24.5,0,0,0
20161216,RDP,17.77,17.84,17.69,17.81,24530,24.3,24.4,24.2,24.35,0,0,0
20161215,RDP,17.77,18.94,17.62,17.84,9170,24.3,25.9,24.1,24.4,0,0,0
20161214,RDP,18.94,18.94,18.94,18.94,80,25.9,25.9,25.9,25.9,0,0,0
20161213,RDP,19.01,19.01,19.01,19.01,3000,26.0,26.0,26.0,26.0,0,3000,0
20161212,RDP,18.79,19.01,17.91,19.01,14710,25.7,26.0,24.5,26.0,0,0,0
20161208,RDP,19.01,19.01,18.35,19.01,520,26.0,26.0,25.1,26.0,0,0,0
20161207,RDP,18.13,19.01,18.13,19.01,8820,24.8,26.0,24.8,26.0,0,0,0
20161206,RDP,18.57,18.57,18.28,18.28,15490,25.4,25.4,25.0,25.0,0,0,0
20161205,RDP,18.94,19.23,18.65,19.23,11130,25.9,26.3,25.5,26.3,0,0,0
20161202,RDP,19.16,20.04,19.16,19.23,7660,26.2,27.4,26.2,26.3,0,0,0
20161201,RDP,20.33,20.33,19.16,20.11,8110,27.8,27.8,26.2,27.5,0,0,0
20161130,RDP,19.74,20.03,19.45,19.67,4460,27.0,27.4,26.6,26.9,0,0,0
20161129,RDP,20.48,20.48,19.75,19.74,18220,28.0,28.0,27.0,27.0,0,0,0
20161128,RDP,20.84,20.84,20.69,20.77,9300,28.5,28.5,28.3,28.4,0,0,0
20161125,RDP,20.55,20.91,20.4,20.91,13130,28.1,28.6,27.9,28.6,0,0,0
20161124,RDP,20.91,21.2,20.62,20.62,35860,28.6,29.0,28.2,28.2,0,0,0
20161123,RDP,20.92,20.99,20.48,20.91,8660,28.6,28.7,28.0,28.6,39000,0,0
20161122,RDP,20.99,21.06,20.84,20.99,14800,28.7,28.8,28.5,28.7,1400000,0,0
20161121,RDP,20.55,20.99,20.48,20.99,27390,28.1,28.7,28.0,28.7,240000,5000,0
20161118,RDP,20.14,21.06,19.74,20.55,67830,27.55,28.8,27.0,28.1,0,0,0
20161117,RDP,21.64,21.79,20.4,20.62,65230,29.6,29.8,27.9,28.2,0,0,0
20161116,RDP,20.55,21.94,20.18,21.86,112080,28.1,30.0,27.6,29.9,0,0,0
20161115,RDP,21.13,21.13,20.55,20.55,19170,28.9,28.9,28.1,28.1,0,0,0
20161114,RDP,20.62,21.42,20.62,21.13,78490,28.2,29.3,28.2,28.9,0,0,0
20161111,RDP,19.31,20.63,19.31,20.62,120420,26.4,28.2,26.4,28.2,0,0,0
20161110,RDP,19.74,19.74,19.3,19.31,13760,27.0,27.0,26.4,26.4,0,0,0
20161109,RDP,19.3,19.6,19.16,19.23,4100,26.4,26.8,26.2,26.3,0,0,0
20161108,RDP,19.74,19.89,19.74,19.89,17690,27.0,27.2,27.0,27.2,0,0,0
20161107,RDP,19.31,19.97,19.31,19.89,50330,26.4,27.3,26.4,27.2,0,0,0
20161104,RDP,19.6,19.6,19.3,19.31,25500,26.8,26.8,26.4,26.4,0,0,0
20161103,RDP,20.08,20.08,19.38,19.45,53960,27.45,27.45,26.5,26.6,0,0,100
20161102,RDP,20.04,20.19,19.89,19.93,43960,27.4,27.6,27.2,27.25,0,0,0
20161101,RDP,19.96,20.18,19.89,20.04,39790,27.3,27.6,27.2,27.4,0,0,0
20161031,RDP,19.01,20.11,18.94,20.11,113550,26.0,27.5,25.9,27.5,0,0,0
20161028,RDP,18.87,19.16,18.87,19.16,23620,25.8,26.2,25.8,26.2,0,0,0
20161027,RDP,18.64,19.38,18.64,19.09,22380,25.5,26.5,25.5,26.1,0,0,0
