<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20120712,S64,6.3,6.3,6.3,6.3,1000,6.3,6.3,6.3,6.3,0,0,0
20120711,S64,6.0,6.0,6.0,6.0,100,6.0,6.0,6.0,6.0,0,0,0
20120710,S64,6.0,6.0,6.0,6.0,200,6.0,6.0,6.0,6.0,0,0,0
20120709,S64,6.48,6.48,6.4,6.4,5700,8.0,8.0,7.9,7.9,0,0,0
20120706,S64,6.89,6.89,6.81,6.8,1400,8.5,8.5,8.4,8.4,0,0,0
20120705,S64,6.88,6.88,6.88,6.89,100,8.5,8.5,8.5,8.5,0,100,0
20120704,S64,6.56,6.56,6.48,6.48,500,8.1,8.1,8.0,8.0,0,0,0
20120703,S64,6.4,6.48,6.4,6.48,11600,7.9,8.0,7.9,8.0,50,0,0
20120702,S64,6.81,6.81,6.4,6.4,12600,8.4,8.4,7.9,7.9,0,0,0
20120629,S64,6.4,6.4,6.4,6.4,1800,7.9,7.9,7.9,7.9,0,0,0
20120628,S64,6.8,6.8,6.8,6.8,1000,8.4,8.4,8.4,8.4,0,0,0
20120612,S64,6.48,7.29,6.48,7.29,400,8.0,9.0,8.0,9.0,0,0,0
20120607,S64,6.97,6.97,6.97,6.97,400,8.6,8.6,8.6,8.6,0,0,0
20120530,S64,7.21,7.21,7.21,7.21,100,8.9,8.9,8.9,8.9,0,0,0
20120529,S64,6.24,7.04,6.24,7.05,200,7.7,8.7,7.7,8.7,0,0,0
20120528,S64,6.65,6.65,6.65,6.64,100,8.2,8.2,8.2,8.2,0,0,0
20120525,S64,6.88,6.88,6.88,6.89,200,8.5,8.5,8.5,8.5,0,0,0
20120524,S64,6.72,6.72,6.72,6.72,1800,8.3,8.3,8.3,8.3,0,0,0
20120523,S64,7.21,7.21,7.21,7.21,100,8.9,8.9,8.9,8.9,0,0,0
20120522,S64,6.88,6.88,6.88,6.89,100,8.5,8.5,8.5,8.5,0,0,0
20120521,S64,6.73,6.73,6.48,6.48,200,8.3,8.3,8.0,8.0,0,0,0
20120518,S64,6.32,6.32,6.32,6.32,3000,7.8,7.8,7.8,7.8,0,0,0
20120517,S64,6.56,6.56,6.56,6.56,100,8.1,8.1,8.1,8.1,0,0,0
20120516,S64,6.32,6.72,6.32,6.72,700,7.8,8.3,7.8,8.3,0,0,0
20120515,S64,6.65,6.73,6.48,6.48,6300,8.2,8.3,8.0,8.0,0,0,0
20120514,S64,7.45,7.45,6.96,6.97,3600,9.2,9.2,8.6,8.6,0,0,0
20120511,S64,7.53,7.7,7.45,7.45,9800,9.3,9.5,9.2,9.2,0,0,0
20120510,S64,7.94,8.02,7.62,7.94,7300,9.8,9.9,9.4,9.8,0,0,0
20120509,S64,8.02,8.02,7.78,7.78,600,9.9,9.9,9.6,9.6,0,0,0
20120508,S64,7.53,8.02,7.53,7.7,20300,9.3,9.9,9.3,9.5,0,2500,0
20120507,S64,7.29,7.54,7.29,7.53,23600,9.0,9.3,9.0,9.3,0,0,0
20120504,S64,6.89,7.05,6.81,7.05,8100,8.5,8.7,8.4,8.7,0,0,0
20120503,S64,6.89,7.13,6.73,6.89,3800,8.5,8.8,8.3,8.5,0,800,0
20120502,S64,6.88,7.04,6.88,6.97,14100,8.5,8.7,8.5,8.6,0,0,0
20120427,S64,6.64,6.8,6.56,6.64,9000,8.2,8.4,8.1,8.2,0,0,0
20120426,S64,6.65,6.73,6.65,6.64,4500,8.2,8.3,8.2,8.2,0,0,0
20120425,S64,6.64,6.88,6.64,6.89,14200,8.2,8.5,8.2,8.5,0,0,0
20120424,S64,6.56,6.72,6.56,6.72,6700,8.1,8.3,8.1,8.3,0,0,0
20120423,S64,6.64,6.8,6.48,6.8,11100,8.2,8.4,8.0,8.4,0,0,0
20120420,S64,6.81,6.81,6.81,6.8,1000,8.4,8.4,8.4,8.4,0,0,0
20120419,S64,6.65,6.89,6.48,6.89,6400,8.2,8.5,8.0,8.5,0,2000,0
20120418,S64,6.73,6.89,6.65,6.89,11900,8.3,8.5,8.2,8.5,0,2200,0
20120417,S64,6.48,6.89,6.48,6.89,6400,8.0,8.5,8.0,8.5,0,0,0
20120416,S64,6.56,6.88,6.56,6.89,20400,8.1,8.5,8.1,8.5,0,3000,0
20120413,S64,6.48,6.64,6.24,6.56,18500,8.0,8.2,7.7,8.1,0,0,0
20120412,S64,6.56,6.64,6.56,6.64,8800,8.1,8.2,8.1,8.2,0,2000,0
20120411,S64,5.99,6.56,5.99,6.56,3400,7.4,8.1,7.4,8.1,0,0,0
20120409,S64,6.0,6.4,5.67,6.4,5700,7.4,7.9,7.0,7.9,0,0,0
20120405,S64,5.83,6.48,5.83,6.08,1200,7.2,8.0,7.2,7.5,0,0,0
20120404,S64,6.48,6.48,6.24,6.24,2500,8.0,8.0,7.7,7.7,0,0,0
20120403,S64,6.48,6.64,6.48,6.48,10900,8.0,8.2,8.0,8.0,0,0,0
20120330,S64,6.4,6.64,6.32,6.64,900,7.9,8.2,7.8,8.2,0,0,0
20120329,S64,6.56,6.73,6.48,6.48,6200,8.1,8.3,8.0,8.0,0,0,0
20120328,S64,6.48,6.97,6.48,6.97,7200,8.0,8.6,8.0,8.6,0,0,0
20120327,S64,6.96,7.04,6.64,6.97,9000,8.6,8.7,8.2,8.6,0,0,0
20120326,S64,6.64,6.72,6.48,6.72,17100,8.2,8.3,8.0,8.3,0,0,0
20120323,S64,6.15,6.4,6.07,6.4,16700,7.6,7.9,7.5,7.9,0,0,0
20120322,S64,6.15,6.15,5.91,5.91,6300,7.6,7.6,7.3,7.3,0,0,0
20120321,S64,5.83,5.99,5.83,5.91,4300,7.2,7.4,7.2,7.3,0,0,0
20120320,S64,5.75,6.15,5.75,5.83,4400,7.1,7.6,7.1,7.2,0,0,0
20120316,S64,5.51,6.07,5.51,6.08,11400,6.8,7.5,6.8,7.5,0,0,0
20120315,S64,5.91,6.24,5.51,5.75,2100,7.3,7.7,6.8,7.1,0,0,0
20120314,S64,6.08,6.08,5.67,5.67,2000,7.5,7.5,7.0,7.0,0,0,0
20120313,S64,6.08,6.08,6.08,6.08,4100,7.5,7.5,7.5,7.5,0,0,0
20120312,S64,6.48,6.48,6.48,6.48,100,8.0,8.0,8.0,8.0,0,0,0
20120309,S64,6.16,6.32,6.16,6.16,7700,7.6,7.8,7.6,7.6,0,0,0
20120308,S64,6.97,6.97,6.24,6.24,400,8.6,8.6,7.7,7.7,0,0,0
20120307,S64,6.72,6.8,6.08,6.48,20100,8.3,8.4,7.5,8.0,0,0,0
20120306,S64,6.49,6.49,6.49,6.48,1500,8.0,8.0,8.0,8.0,0,0,0
20120305,S64,6.07,6.07,5.99,6.08,8000,7.5,7.5,7.4,7.5,0,0,0
20120302,S64,5.84,5.84,5.75,5.75,5000,7.2,7.2,7.1,7.1,0,0,0
20120301,S64,5.5,5.5,5.42,5.43,200,6.8,6.8,6.7,6.7,0,0,0
20120229,S64,5.19,5.19,5.19,5.18,5000,6.4,6.4,6.4,6.4,0,0,0
20120228,S64,5.67,5.67,5.35,5.35,9300,7.0,7.0,6.6,6.6,0,0,0
20120227,S64,5.34,5.34,5.34,5.35,2700,6.6,6.6,6.6,6.6,0,0,0
20120224,S64,4.94,5.1,4.86,5.1,16800,6.1,6.3,6.0,6.3,0,0,0
20120223,S64,5.1,5.26,4.78,4.78,4500,6.3,6.5,5.9,5.9,0,0,0
20120222,S64,4.86,5.02,4.86,5.02,300,6.0,6.2,6.0,6.2,0,0,0
20120221,S64,4.86,4.86,4.86,4.86,300,6.0,6.0,6.0,6.0,0,0,0
20120220,S64,4.46,5.02,4.46,5.02,2300,5.5,6.2,5.5,6.2,0,0,0
20120217,S64,4.38,4.86,4.38,4.86,4700,5.4,6.0,5.4,6.0,0,0,0
20120215,S64,4.62,4.62,4.62,4.62,400,5.7,5.7,5.7,5.7,0,0,0
20120214,S64,4.7,4.86,4.7,4.86,2800,5.8,6.0,5.8,6.0,0,0,0
20120213,S64,4.86,4.86,4.86,4.86,1000,6.0,6.0,6.0,6.0,0,0,0
20120210,S64,5.18,5.18,5.18,5.18,100,6.4,6.4,6.4,6.4,0,0,0
20120209,S64,4.86,4.86,4.86,4.86,1000,6.0,6.0,6.0,6.0,0,0,0
20120208,S64,4.86,4.86,4.86,4.86,100,6.0,6.0,6.0,6.0,0,0,0
20120207,S64,4.62,4.62,4.62,4.62,200,5.7,5.7,5.7,5.7,0,0,0
20120206,S64,4.86,5.02,4.86,5.02,3000,6.0,6.2,6.0,6.2,0,0,0
20120202,S64,5.1,5.18,5.1,5.18,1300,6.3,6.4,6.3,6.4,0,0,0
20120131,S64,4.86,4.86,4.86,4.86,500,6.0,6.0,6.0,6.0,0,0,0
20120130,S64,4.62,4.62,4.62,4.62,500,5.7,5.7,5.7,5.7,0,0,0
20120120,S64,4.54,4.54,4.46,4.46,2100,5.6,5.6,5.5,5.5,0,0,0
20120119,S64,4.62,4.62,4.62,4.62,1000,5.7,5.7,5.7,5.7,0,0,0
20120118,S64,4.53,4.53,4.53,4.54,1000,5.6,5.6,5.6,5.6,0,0,0
20120116,S64,4.29,4.29,4.29,4.29,2100,5.3,5.3,5.3,5.3,0,0,0
20120113,S64,4.13,4.13,4.13,4.13,2500,5.1,5.1,5.1,5.1,0,0,0
20120109,S64,4.38,5.02,4.38,5.02,2900,5.4,6.2,5.4,6.2,0,0,0
20120106,S64,4.7,4.7,4.7,4.7,500,5.8,5.8,5.8,5.8,0,0,0
20120105,S64,4.62,4.7,4.62,4.7,600,5.7,5.8,5.7,5.8,0,0,0
20120104,S64,4.7,4.7,4.7,4.7,100,5.8,5.8,5.8,5.8,0,0,0
