<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20120103,^CK,352.99,360.63,346.05,349.73,4420140.0,352.99,360.63,346.05,349.73,0.0,0.0,0.0
20120104,^CK,348.28,351.96,336.15,340.75,5718450.0,348.28,351.96,336.15,340.75,0.0,0.0,0.0
20120105,^CK,340.8,342.56,332.19,335.34,6355980.0,340.8,342.56,332.19,335.34,0.0,0.0,0.0
20120106,^CK,331.46,332.55,321.27,324.04,10717200.0,331.46,332.55,321.27,324.04,0.0,0.0,0.0
20120107,^CK,328.69,331.245,317.435,325.015,,,,,,,,
20120108,^CK,327.305,330.5925,315.5175,325.5025,,,,,,,,
20120109,^CK,325.92,329.94,313.6,325.99,8062070.0,325.92,329.94,313.6,325.99,0.0,0.0,0.0
20120110,^CK,326.22,339.89,323.66,339.68,7769880.0,326.22,339.89,323.66,339.68,0.0,0.0,0.0
20120111,^CK,347.43,350.94,337.1,340.36,8998800.0,347.43,350.94,337.1,340.36,0.0,0.0,0.0
20120112,^CK,336.72,343.77,333.11,338.28,6005340.0,336.72,343.77,333.11,338.28,0.0,0.0,0.0
20120113,^CK,339.27,349.12,337.28,347.52,8478190.0,339.27,349.12,337.28,347.52,0.0,0.0,0.0
20120114,^CK,347.21,355.25,343.41,353.11,,,,,,,,
20120115,^CK,351.18,358.315,346.475,355.905,,,,,,,,
20120116,^CK,355.15,361.38,349.54,358.7,10419480.0,355.15,361.38,349.54,358.7,0.0,0.0,0.0
20120117,^CK,358.36,361.88,349.34,352.47,7846090.0,358.36,361.88,349.34,352.47,0.0,0.0,0.0
20120118,^CK,349.74,358.78,346.82,356.01,4728140.0,349.74,358.78,346.82,356.01,0.0,0.0,0.0
20120119,^CK,355.3,368.28,352.89,367.25,7056530.0,355.3,368.28,352.89,367.25,0.0,0.0,0.0
20120120,^CK,371.99,375.35,360.78,366.86,9426730.0,371.99,375.35,360.78,366.86,0.0,0.0,0.0
20120121,^CK,370.745,378.345,361.12,372.47,,,,,,,,
20120122,^CK,370.1225,379.8425,361.29,375.275,,,,,,,,
20120123,^CK,369.81125,380.59125,361.375,376.6775,,,,,,,,
20120124,^CK,369.655625,380.965625,361.4175,377.37875,,,,,,,,
20120125,^CK,369.5778125,381.1528125,361.43875,377.729375,,,,,,,,
20120126,^CK,369.53890625,381.24640625,361.449375,377.9046875,,,,,,,,
20120127,^CK,369.519453125,381.293203125,361.4546875,377.99234375,,,,,,,,
20120128,^CK,369.509726562,381.316601562,361.45734375,378.036171875,,,,,,,,
20120129,^CK,369.504863281,381.328300781,361.458671875,378.058085937,,,,,,,,
20120130,^CK,369.5,381.34,361.46,378.08,8817070.0,369.5,381.34,361.46,378.08,0.0,0.0,0.0
20120131,^CK,379.28,391.71,377.01,380.62,13439420.0,379.28,391.71,377.01,380.62,0.0,0.0,0.0
20120132,^CK,379.715,388.15,373.125,380.045,,,,,,,,
