<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20120103,^THEP,344.72,354.55,341.9,349.54,870340.0,344.72,354.55,341.9,349.54,0.0,0.0,0.0
20120104,^THEP,348.47,353.92,339.19,348.4,916410.0,348.47,353.92,339.19,348.4,0.0,0.0,0.0
20120105,^THEP,346.87,355.27,342.48,347.76,1044900.0,346.87,355.27,342.48,347.76,0.0,0.0,0.0
20120106,^THEP,344.14,348.9,336.5,344.08,1561880.0,344.14,348.9,336.5,344.08,0.0,0.0,0.0
20120107,^THEP,343.01,346.85,337.645,343.675,,,,,,,,
20120108,^THEP,342.445,345.825,338.2175,343.4725,,,,,,,,
20120109,^THEP,341.88,344.8,338.79,343.27,968220.0,341.88,344.8,338.79,343.27,0.0,0.0,0.0
20120110,^THEP,345.02,349.8,342.13,346.8,1253440.0,345.02,349.8,342.13,346.8,0.0,0.0,0.0
20120111,^THEP,349.89,351.33,339.29,348.24,1122110.0,349.89,351.33,339.29,348.24,0.0,0.0,0.0
20120112,^THEP,349.62,354.41,345.14,350.24,1051390.0,349.62,354.41,345.14,350.24,0.0,0.0,0.0
20120113,^THEP,348.43,352.44,340.12,346.99,1028230.0,348.43,352.44,340.12,346.99,0.0,0.0,0.0
20120114,^THEP,348.495,354.11,343.635,349.275,,,,,,,,
20120115,^THEP,348.5275,354.945,345.3925,350.4175,,,,,,,,
20120116,^THEP,348.56,355.78,347.15,351.56,1262370.0,348.56,355.78,347.15,351.56,0.0,0.0,0.0
20120117,^THEP,350.46,359.62,345.86,353.27,900640.0,350.46,359.62,345.86,353.27,0.0,0.0,0.0
20120118,^THEP,353.41,356.65,349.83,353.93,836320.0,353.41,356.65,349.83,353.93,0.0,0.0,0.0
20120119,^THEP,359.31,365.86,358.46,365.82,1534010.0,359.31,365.86,358.46,365.82,0.0,0.0,0.0
20120120,^THEP,370.87,375.28,363.71,367.43,1382950.0,370.87,375.28,363.71,367.43,0.0,0.0,0.0
20120121,^THEP,374.085,377.74,367.67,372.68,,,,,,,,
20120122,^THEP,375.6925,378.97,369.65,375.305,,,,,,,,
20120123,^THEP,376.49625,379.585,370.64,376.6175,,,,,,,,
20120124,^THEP,376.898125,379.8925,371.135,377.27375,,,,,,,,
20120125,^THEP,377.0990625,380.04625,371.3825,377.601875,,,,,,,,
20120126,^THEP,377.19953125,380.123125,371.50625,377.7659375,,,,,,,,
20120127,^THEP,377.249765625,380.1615625,371.568125,377.84796875,,,,,,,,
20120128,^THEP,377.274882812,380.18078125,371.5990625,377.888984375,,,,,,,,
20120129,^THEP,377.287441406,380.190390625,371.61453125,377.909492188,,,,,,,,
20120130,^THEP,377.3,380.2,371.63,377.93,1077340.0,377.3,380.2,371.63,377.93,0.0,0.0,0.0
20120131,^THEP,382.48,390.54,371.57,381.1,1947930.0,382.48,390.54,371.57,381.1,0.0,0.0,0.0
20120132,^THEP,384.285,390.68,375.215,383.835,,,,,,,,
20120133,^THEP,385.1875,390.75,377.0375,385.2025,,,,,,,,
20120134,^THEP,385.63875,390.785,377.94875,385.88625,,,,,,,,
20120135,^THEP,385.864375,390.8025,378.404375,386.228125,,,,,,,,
20120136,^THEP,385.9771875,390.81125,378.6321875,386.3990625,,,,,,,,
20120137,^THEP,386.03359375,390.815625,378.74609375,386.48453125,,,,,,,,
20120138,^THEP,386.061796875,390.8178125,378.803046875,386.527265625,,,,,,,,
20120139,^THEP,386.075898437,390.81890625,378.831523437,386.548632813,,,,,,,,
20120140,^THEP,386.082949219,390.819453125,378.845761719,386.559316406,,,,,,,,
20120141,^THEP,386.086474609,390.819726563,378.852880859,386.564658203,,,,,,,,
20120142,^THEP,386.088237305,390.819863281,378.85644043,386.567329102,,,,,,,,
20120143,^THEP,386.089118652,390.819931641,378.858220215,386.568664551,,,,,,,,
20120144,^THEP,386.089559326,390.81996582,378.859110107,386.569332275,,,,,,,,
20120145,^THEP,386.089779663,390.81998291,378.859555054,386.569666138,,,,,,,,
20120146,^THEP,386.089889832,390.819991455,378.859777527,386.569833069,,,,,,,,
20120147,^THEP,386.089944916,390.819995728,378.859888763,386.569916534,,,,,,,,
20120148,^THEP,386.089972458,390.819997864,378.859944382,386.569958267,,,,,,,,
20120149,^THEP,386.089986229,390.819998932,378.859972191,386.569979134,,,,,,,,
20120150,^THEP,386.089993114,390.819999466,378.859986095,386.569989567,,,,,,,,
20120151,^THEP,386.089996557,390.819999733,378.859993048,386.569994783,,,,,,,,
20120152,^THEP,386.089998279,390.819999866,378.859996524,386.569997392,,,,,,,,
20120153,^THEP,386.089999139,390.819999933,378.859998262,386.569998696,,,,,,,,
20120154,^THEP,386.08999957,390.819999967,378.859999131,386.569999348,,,,,,,,
20120155,^THEP,386.089999785,390.819999983,378.859999565,386.569999674,,,,,,,,
20120156,^THEP,386.089999892,390.819999992,378.859999783,386.569999837,,,,,,,,
20120157,^THEP,386.089999946,390.819999996,378.859999891,386.569999918,,,,,,,,
