<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170517,AC4,16.8,16.8,16.8,16.8,3000.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0
20170518,AC4,19.23,19.23,19.23,19.22,200.0,20.6,20.6,20.6,20.6,0.0,0.0,0.0
20170519,AC4,20.625,20.625,20.625,20.62,,,,,,,,
20170520,AC4,21.3225,21.3225,21.3225,21.32,,,,,,,,
20170521,AC4,21.67125,21.67125,21.67125,21.67,,,,,,,,
20170522,AC4,22.02,22.02,22.02,22.02,100.0,23.6,23.6,23.6,23.6,0.0,0.0,0.0
20170523,AC4,25.1,25.1,25.1,25.1,100.0,26.9,26.9,26.9,26.9,0.0,0.0,0.0
20170524,AC4,28.8,28.8,28.8,28.8,100.0,28.8,28.8,28.8,28.8,0.0,0.0,0.0
20170525,AC4,28.8,33.1,28.8,33.1,200.0,28.8,33.1,28.8,33.1,0.0,0.0,0.0
20170526,AC4,35.6,35.6,35.6,35.6,100.0,35.6,35.6,35.6,35.6,0.0,0.0,0.0
20170527,AC4,32.95,32.95,32.95,32.95,,,,,,,,
20170528,AC4,31.625,31.625,31.625,31.625,,,,,,,,
20170529,AC4,30.9625,30.9625,30.9625,30.9625,,,,,,,,
20170530,AC4,30.63125,30.63125,30.63125,30.63125,,,,,,,,
20170531,AC4,30.3,30.3,30.3,30.3,100.0,30.3,30.3,30.3,30.3,0.0,0.0,0.0
20170532,AC4,28.05,29.6,28.05,28.05,,,,,,,,
20170533,AC4,26.925,29.25,26.925,26.925,,,,,,,,
20170534,AC4,26.3625,29.075,26.3625,26.3625,,,,,,,,
20170535,AC4,26.08125,28.9875,26.08125,26.08125,,,,,,,,
20170536,AC4,25.940625,28.94375,25.940625,25.940625,,,,,,,,
20170537,AC4,25.8703125,28.921875,25.8703125,25.8703125,,,,,,,,
20170538,AC4,25.83515625,28.9109375,25.83515625,25.83515625,,,,,,,,
20170539,AC4,25.817578125,28.90546875,25.817578125,25.817578125,,,,,,,,
20170540,AC4,25.8087890625,28.902734375,25.8087890625,25.8087890625,,,,,,,,
20170541,AC4,25.8043945313,28.9013671875,25.8043945313,25.8043945313,,,,,,,,
20170542,AC4,25.8021972656,28.9006835937,25.8021972656,25.8021972656,,,,,,,,
20170543,AC4,25.8010986328,28.9003417969,25.8010986328,25.8010986328,,,,,,,,
20170544,AC4,25.8005493164,28.9001708984,25.8005493164,25.8005493164,,,,,,,,
20170545,AC4,25.8002746582,28.9000854492,25.8002746582,25.8002746582,,,,,,,,
20170546,AC4,25.8001373291,28.9000427246,25.8001373291,25.8001373291,,,,,,,,
20170547,AC4,25.8000686646,28.9000213623,25.8000686646,25.8000686646,,,,,,,,
20170548,AC4,25.8000343323,28.9000106812,25.8000343323,25.8000343323,,,,,,,,
20170549,AC4,25.8000171661,28.9000053406,25.8000171661,25.8000171661,,,,,,,,
20170550,AC4,25.8000085831,28.9000026703,25.8000085831,25.8000085831,,,,,,,,
20170551,AC4,25.8000042915,28.9000013351,25.8000042915,25.8000042915,,,,,,,,
20170552,AC4,25.8000021458,28.9000006676,25.8000021458,25.8000021458,,,,,,,,
20170553,AC4,25.8000010729,28.9000003338,25.8000010729,25.8000010729,,,,,,,,
20170554,AC4,25.8000005364,28.9000001669,25.8000005364,25.8000005364,,,,,,,,
20170555,AC4,25.8000002682,28.9000000834,25.8000002682,25.8000002682,,,,,,,,
20170556,AC4,25.8000001341,28.9000000417,25.8000001341,25.8000001341,,,,,,,,
20170557,AC4,25.8000000671,28.9000000209,25.8000000671,25.8000000671,,,,,,,,
20170558,AC4,25.8000000335,28.9000000104,25.8000000335,25.8000000335,,,,,,,,
20170559,AC4,25.8000000168,28.9000000052,25.8000000168,25.8000000168,,,,,,,,
20170560,AC4,25.8000000084,28.9000000026,25.8000000084,25.8000000084,,,,,,,,
20170561,AC4,25.8000000042,28.9000000013,25.8000000042,25.8000000042,,,,,,,,
20170562,AC4,25.8000000021,28.9000000007,25.8000000021,25.8000000021,,,,,,,,
20170563,AC4,25.800000001,28.9000000003,25.800000001,25.800000001,,,,,,,,
20170564,AC4,25.8000000005,28.9000000002,25.8000000005,25.8000000005,,,,,,,,
20170565,AC4,25.8000000003,28.9000000001,25.8000000003,25.8000000003,,,,,,,,
20170566,AC4,25.8000000001,28.9,25.8000000001,25.8000000001,,,,,,,,
20170567,AC4,25.8000000001,28.9,25.8000000001,25.8000000001,,,,,,,,
20170568,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170569,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170570,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170571,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170572,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170573,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170574,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170575,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170576,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170577,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170578,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170579,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170580,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170581,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170582,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170583,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170584,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170585,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170586,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170587,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170588,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170589,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170590,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170591,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170592,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170593,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170594,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170595,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170596,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170597,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170598,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170599,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170600,AC4,25.8,28.9,25.8,25.8,,,,,,,,
20170601,AC4,25.8,28.9,25.8,25.8,300.0,25.8,28.9,25.8,25.8,0.0,0.0,0.0
20170602,AC4,28.25,29.8,24.3,24.3,,,,,,,,
20170603,AC4,29.475,30.25,23.55,23.55,,,,,,,,
20170604,AC4,30.0875,30.475,23.175,23.175,,,,,,,,
20170605,AC4,30.39375,30.5875,22.9875,22.9875,,,,,,,,
20170606,AC4,30.546875,30.64375,22.89375,22.89375,,,,,,,,
20170607,AC4,30.7,30.7,22.8,22.8,800.0,30.7,30.7,22.8,22.8,0.0,0.0,0.0
20170608,AC4,28.4,28.4,21.1,21.1,1600.0,28.4,28.4,21.1,21.1,0.0,0.0,0.0
20170609,AC4,25.1,25.1,18.7,18.7,200.0,25.1,25.1,18.7,18.7,0.0,0.0,0.0
20170610,AC4,21.95,21.95,18.7,18.7,,,,,,,,
20170611,AC4,20.375,20.375,18.7,18.7,,,,,,,,
20170612,AC4,18.8,18.8,18.7,18.7,300.0,18.8,18.8,18.7,18.7,0.0,0.0,0.0
20170613,AC4,19.9,19.9,19.9,19.9,100.0,19.9,19.9,19.9,19.9,0.0,0.0,0.0
20170614,AC4,19.8,19.8,19.8,19.8,100.0,19.8,19.8,19.8,19.8,0.0,0.0,0.0
20170615,AC4,18.35,18.35,18.35,18.35,,,,,,,,
20170616,AC4,17.625,17.625,17.625,17.625,,,,,,,,
20170617,AC4,17.2625,17.2625,17.2625,17.2625,,,,,,,,
20170618,AC4,17.08125,17.08125,17.08125,17.08125,,,,,,,,
20170619,AC4,16.9,16.9,16.9,16.9,100.0,16.9,16.9,16.9,16.9,0.0,0.0,0.0
20170620,AC4,14.6,19.3,14.6,19.3,200.0,14.6,19.3,14.6,19.3,0.0,0.0,0.0
20170621,AC4,17.05,19.4,17.05,19.4,,,,,,,,
20170622,AC4,19.5,19.5,19.5,19.5,100.0,19.5,19.5,19.5,19.5,0.0,0.0,0.0
20170623,AC4,20.75,20.75,20.75,20.75,,,,,,,,
20170624,AC4,21.375,21.375,21.375,21.375,,,,,,,,
20170625,AC4,21.6875,21.6875,21.6875,21.6875,,,,,,,,
20170626,AC4,22.0,22.0,22.0,22.0,100.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0
