<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100415,CCI,15.04,15.04,15.04,15.04,104830.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0
20100416,CCI,15.79,15.79,15.79,15.8,15450.0,37.8,37.8,37.8,37.8,0.0,0.0,0.0
20100417,CCI,16.17,16.17,16.17,16.175,,,,,,,,
20100418,CCI,16.36,16.36,16.36,16.3625,,,,,,,,
20100419,CCI,16.55,16.55,16.55,16.55,90740.0,39.6,39.6,39.6,39.6,0.0,4500.0,0.0
20100420,CCI,17.14,17.14,15.76,16.55,44570.0,41.0,41.0,37.7,39.6,0.0,0.0,0.0
20100421,CCI,15.76,15.76,15.76,15.75,38250.0,37.7,37.7,37.7,37.7,0.0,0.0,0.0
20100422,CCI,15.25,15.46,15.25,15.42,120790.0,36.5,37.0,36.5,36.9,0.0,0.0,0.0
20100423,CCI,15.04,15.355,15.04,15.335,,,,,,,,
20100424,CCI,14.935,15.3025,14.935,15.2925,,,,,,,,
20100425,CCI,14.8825,15.27625,14.8825,15.27125,,,,,,,,
20100426,CCI,14.83,15.25,14.83,15.25,39770.0,35.5,36.5,35.5,36.5,0.0,0.0,0.0
20100427,CCI,15.25,16.0,15.25,15.75,100490.0,36.5,38.3,36.5,37.7,0.0,0.0,0.0
20100428,CCI,15.46,16.04,15.46,16.05,61010.0,37.0,38.4,37.0,38.4,0.0,0.0,0.0
20100429,CCI,15.67,15.72,15.46,15.55,59000.0,37.5,37.6,37.0,37.2,0.0,0.0,0.0
20100430,CCI,15.86,16.01,15.67,15.925,,,,,,,,
20100431,CCI,15.955,16.155,15.775,16.1125,,,,,,,,
20100432,CCI,16.0025,16.2275,15.8275,16.20625,,,,,,,,
20100433,CCI,16.02625,16.26375,15.85375,16.253125,,,,,,,,
20100434,CCI,16.038125,16.281875,15.866875,16.2765625,,,,,,,,
20100435,CCI,16.0440625,16.2909375,15.8734375,16.28828125,,,,,,,,
20100436,CCI,16.04703125,16.29546875,15.87671875,16.294140625,,,,,,,,
20100437,CCI,16.048515625,16.297734375,15.878359375,16.2970703125,,,,,,,,
20100438,CCI,16.0492578125,16.2988671875,15.8791796875,16.2985351563,,,,,,,,
20100439,CCI,16.0496289062,16.2994335938,15.8795898438,16.2992675781,,,,,,,,
20100440,CCI,16.0498144531,16.2997167969,15.8797949219,16.2996337891,,,,,,,,
20100441,CCI,16.0499072266,16.2998583984,15.8798974609,16.2998168945,,,,,,,,
20100442,CCI,16.0499536133,16.2999291992,15.8799487305,16.2999084473,,,,,,,,
20100443,CCI,16.0499768066,16.2999645996,15.8799743652,16.2999542236,,,,,,,,
20100444,CCI,16.0499884033,16.2999822998,15.8799871826,16.2999771118,,,,,,,,
20100445,CCI,16.0499942017,16.2999911499,15.8799935913,16.2999885559,,,,,,,,
20100446,CCI,16.0499971008,16.299995575,15.8799967957,16.299994278,,,,,,,,
20100447,CCI,16.0499985504,16.2999977875,15.8799983978,16.299997139,,,,,,,,
20100448,CCI,16.0499992752,16.2999988937,15.8799991989,16.2999985695,,,,,,,,
20100449,CCI,16.0499996376,16.2999994469,15.8799995995,16.2999992847,,,,,,,,
20100450,CCI,16.0499998188,16.2999997234,15.8799997997,16.2999996424,,,,,,,,
20100451,CCI,16.0499999094,16.2999998617,15.8799998999,16.2999998212,,,,,,,,
20100452,CCI,16.0499999547,16.2999999309,15.8799999499,16.2999999106,,,,,,,,
20100453,CCI,16.0499999774,16.2999999654,15.879999975,16.2999999553,,,,,,,,
20100454,CCI,16.0499999887,16.2999999827,15.8799999875,16.2999999776,,,,,,,,
20100455,CCI,16.0499999943,16.2999999914,15.8799999937,16.2999999888,,,,,,,,
20100456,CCI,16.0499999972,16.2999999957,15.8799999969,16.2999999944,,,,,,,,
20100457,CCI,16.0499999986,16.2999999978,15.8799999984,16.2999999972,,,,,,,,
20100458,CCI,16.0499999993,16.2999999989,15.8799999992,16.2999999986,,,,,,,,
20100459,CCI,16.0499999996,16.2999999995,15.8799999996,16.2999999993,,,,,,,,
20100460,CCI,16.0499999998,16.2999999997,15.8799999998,16.2999999997,,,,,,,,
20100461,CCI,16.0499999999,16.2999999999,15.8799999999,16.2999999998,,,,,,,,
20100462,CCI,16.05,16.2999999999,15.88,16.2999999999,,,,,,,,
20100463,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100464,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100465,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100466,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100467,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100468,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100469,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100470,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100471,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100472,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100473,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100474,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100475,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100476,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100477,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100478,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100479,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100480,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100481,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100482,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100483,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100484,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100485,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100486,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100487,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100488,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100489,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100490,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100491,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100492,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100493,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100494,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100495,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100496,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100497,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100498,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100499,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100500,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100501,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100502,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100503,CCI,16.05,16.3,15.88,16.3,,,,,,,,
20100504,CCI,16.05,16.3,15.88,16.3,198070.0,38.4,39.0,38.0,39.0,100555.0,0.0,0.0
20100505,CCI,17.09,17.09,16.93,17.05,287240.0,40.9,40.9,40.5,40.8,20000.0,0.0,0.0
20100506,CCI,17.84,17.89,17.68,17.89,235020.0,42.7,42.8,42.3,42.8,0.0,20.0,0.0
20100507,CCI,18.73,18.73,17.6,17.8,110410.0,44.8,44.8,42.1,42.6,0.0,0.0,0.0
20100508,CCI,18.015,18.015,17.26,17.36,,,,,,,,
20100509,CCI,17.6575,17.6575,17.09,17.14,,,,,,,,
20100510,CCI,17.3,17.3,16.92,16.92,91020.0,41.4,41.4,40.5,40.5,44250.0,0.0,0.0
20100511,CCI,16.25,16.84,16.08,16.09,75140.0,38.9,40.3,38.5,38.5,0.0,0.0,0.0
20100512,CCI,15.34,15.34,15.3,15.29,118660.0,36.7,36.7,36.6,36.6,0.0,0.0,0.0
20100513,CCI,15.87,15.87,15.12,15.29,44230.0,38.0,38.0,36.2,36.6,0.0,0.0,0.0
20100514,CCI,15.87,15.87,14.66,14.67,68020.0,38.0,38.0,35.1,35.1,0.0,0.0,0.0
20100515,CCI,15.355,15.355,14.33,14.335,,,,,,,,
20100516,CCI,15.0975,15.0975,14.165,14.1675,,,,,,,,
20100517,CCI,14.84,14.84,14.0,14.0,69850.0,35.5,35.5,33.5,33.5,0.0,0.0,0.0
20100518,CCI,14.63,14.63,14.13,14.38,17840.0,35.0,35.0,33.8,34.4,0.0,0.0,0.0
20100519,CCI,13.71,13.75,13.67,13.66,73410.0,32.8,32.9,32.7,32.7,0.0,0.0,0.0
20100520,CCI,12.99,13.74,12.99,13.75,58930.0,31.1,32.9,31.1,32.9,0.0,0.0,0.0
20100521,CCI,13.08,13.58,13.08,13.08,55480.0,31.3,32.5,31.3,31.3,0.0,0.0,0.0
20100522,CCI,13.35,13.6,13.225,13.225,,,,,,,,
20100523,CCI,13.485,13.61,13.2975,13.2975,,,,,,,,
20100524,CCI,13.62,13.62,13.37,13.37,6720.0,32.6,32.6,32.0,32.0,0.0,0.0,0.0
20100525,CCI,13.37,13.58,13.37,13.58,14120.0,32.0,32.5,32.0,32.5,0.0,0.0,0.0
20100526,CCI,13.58,13.58,13.37,13.5,10770.0,32.5,32.5,32.0,32.3,0.0,0.0,0.0
20100527,CCI,13.0,13.0,12.83,12.87,49380.0,31.1,31.1,30.7,30.8,0.0,0.0,0.0
20100528,CCI,13.33,13.5,12.95,13.5,67050.0,31.9,32.3,31.0,32.3,0.0,0.0,0.0
20100529,CCI,13.605,13.69,13.205,13.665,,,,,,,,
20100530,CCI,13.7425,13.785,13.3325,13.7475,,,,,,,,
20100531,CCI,13.88,13.88,13.46,13.83,39770.0,33.2,33.2,32.2,33.1,0.0,0.0,0.0
20100532,CCI,13.585,13.98,13.375,13.81,,,,,,,,
20100533,CCI,13.4375,14.03,13.3325,13.8,,,,,,,,
20100534,CCI,13.36375,14.055,13.31125,13.795,,,,,,,,
20100535,CCI,13.326875,14.0675,13.300625,13.7925,,,,,,,,
20100536,CCI,13.3084375,14.07375,13.2953125,13.79125,,,,,,,,
20100537,CCI,13.29921875,14.076875,13.29265625,13.790625,,,,,,,,
20100538,CCI,13.294609375,14.0784375,13.291328125,13.7903125,,,,,,,,
20100539,CCI,13.2923046875,14.07921875,13.2906640625,13.79015625,,,,,,,,
20100540,CCI,13.2911523437,14.079609375,13.2903320312,13.790078125,,,,,,,,
20100541,CCI,13.2905761719,14.0798046875,13.2901660156,13.7900390625,,,,,,,,
20100542,CCI,13.2902880859,14.0799023437,13.2900830078,13.7900195312,,,,,,,,
20100543,CCI,13.290144043,14.0799511719,13.2900415039,13.7900097656,,,,,,,,
20100544,CCI,13.2900720215,14.0799755859,13.290020752,13.7900048828,,,,,,,,
20100545,CCI,13.2900360107,14.079987793,13.290010376,13.7900024414,,,,,,,,
20100546,CCI,13.2900180054,14.0799938965,13.290005188,13.7900012207,,,,,,,,
20100547,CCI,13.2900090027,14.0799969482,13.290002594,13.7900006104,,,,,,,,
20100548,CCI,13.2900045013,14.0799984741,13.290001297,13.7900003052,,,,,,,,
20100549,CCI,13.2900022507,14.0799992371,13.2900006485,13.7900001526,,,,,,,,
20100550,CCI,13.2900011253,14.0799996185,13.2900003242,13.7900000763,,,,,,,,
20100551,CCI,13.2900005627,14.0799998093,13.2900001621,13.7900000381,,,,,,,,
20100552,CCI,13.2900002813,14.0799999046,13.2900000811,13.7900000191,,,,,,,,
20100553,CCI,13.2900001407,14.0799999523,13.2900000405,13.7900000095,,,,,,,,
20100554,CCI,13.2900000703,14.0799999762,13.2900000203,13.7900000048,,,,,,,,
20100555,CCI,13.2900000352,14.0799999881,13.2900000101,13.7900000024,,,,,,,,
20100556,CCI,13.2900000176,14.079999994,13.2900000051,13.7900000012,,,,,,,,
20100557,CCI,13.2900000088,14.079999997,13.2900000025,13.7900000006,,,,,,,,
20100558,CCI,13.2900000044,14.0799999985,13.2900000013,13.7900000003,,,,,,,,
20100559,CCI,13.2900000022,14.0799999993,13.2900000006,13.7900000001,,,,,,,,
20100560,CCI,13.2900000011,14.0799999996,13.2900000003,13.7900000001,,,,,,,,
20100561,CCI,13.2900000005,14.0799999998,13.2900000002,13.79,,,,,,,,
20100562,CCI,13.2900000003,14.0799999999,13.2900000001,13.79,,,,,,,,
20100563,CCI,13.2900000001,14.08,13.29,13.79,,,,,,,,
20100564,CCI,13.2900000001,14.08,13.29,13.79,,,,,,,,
20100565,CCI,13.29,14.08,13.29,13.79,,,,,,,,
20100566,CCI,13.29,14.08,13.29,13.79,,,,,,,,
