<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20080506,CSG,16.41,16.41,9.65,10.47,185600.0,22.1,22.1,13.0,14.1,0.0,0.0,0.0
20080507,CSG,10.25,10.47,10.17,10.18,12900.0,13.8,14.1,13.7,13.7,0.0,100.0,0.0
20080508,CSG,9.88,9.88,9.88,9.88,3700.0,13.3,13.3,13.3,13.3,0.0,100.0,0.0
20080509,CSG,9.66,9.66,9.66,9.66,7600.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0
20080510,CSG,9.55,9.55,9.55,9.545,,,,,,,,
20080511,CSG,9.495,9.495,9.495,9.4875,,,,,,,,
20080512,CSG,9.44,9.44,9.44,9.43,300.0,12.7,12.7,12.7,12.7,0.0,0.0,0.0
20080513,CSG,9.21,9.21,9.21,9.21,400.0,12.4,12.4,12.4,12.4,0.0,0.0,0.0
20080514,CSG,8.99,8.99,8.99,8.99,3400.0,12.1,12.1,12.1,12.1,0.0,100.0,0.0
20080515,CSG,8.77,8.77,8.77,8.77,2800.0,11.8,11.8,11.8,11.8,0.0,0.0,0.0
20080516,CSG,8.55,8.55,8.55,8.54,99300.0,11.5,11.5,11.5,11.5,0.0,45000.0,0.0
20080517,CSG,8.435,8.435,8.435,8.43,,,,,,,,
20080518,CSG,8.3775,8.3775,8.3775,8.375,,,,,,,,
20080519,CSG,8.32,8.32,8.32,8.32,8600.0,11.2,11.2,11.2,11.2,0.0,100.0,0.0
20080520,CSG,8.1,8.1,8.1,8.1,2900.0,10.9,10.9,10.9,10.9,0.0,0.0,0.0
20080521,CSG,7.88,7.88,7.88,7.87,5800.0,10.6,10.6,10.6,10.6,0.0,0.0,0.0
20080522,CSG,7.65,7.65,7.65,7.65,4400.0,10.3,10.3,10.3,10.3,0.0,0.0,0.0
20080523,CSG,7.43,7.43,7.43,7.43,6800.0,10.0,10.0,10.0,10.0,5000.0,0.0,0.0
20080524,CSG,7.32,7.32,7.32,7.32,,,,,,,,
20080525,CSG,7.265,7.265,7.265,7.265,,,,,,,,
20080526,CSG,7.21,7.21,7.21,7.21,2300.0,9.7,9.7,9.7,9.7,0.0,0.0,0.0
20080527,CSG,7.1,7.1,7.1,7.095,,,,,,,,
20080528,CSG,7.045,7.045,7.045,7.0375,,,,,,,,
20080529,CSG,7.0175,7.0175,7.0175,7.00875,,,,,,,,
20080530,CSG,6.99,6.99,6.99,6.98,43600.0,9.4,9.4,9.4,9.4,0.0,0.0,0.0
20080531,CSG,7.06,7.06,7.06,7.055,,,,,,,,
20080532,CSG,7.095,7.095,7.095,7.0925,,,,,,,,
20080533,CSG,7.1125,7.1125,7.1125,7.11125,,,,,,,,
20080534,CSG,7.12125,7.12125,7.12125,7.120625,,,,,,,,
20080535,CSG,7.125625,7.125625,7.125625,7.1253125,,,,,,,,
20080536,CSG,7.1278125,7.1278125,7.1278125,7.12765625,,,,,,,,
20080537,CSG,7.12890625,7.12890625,7.12890625,7.128828125,,,,,,,,
20080538,CSG,7.129453125,7.129453125,7.129453125,7.1294140625,,,,,,,,
20080539,CSG,7.1297265625,7.1297265625,7.1297265625,7.12970703125,,,,,,,,
20080540,CSG,7.12986328125,7.12986328125,7.12986328125,7.12985351562,,,,,,,,
20080541,CSG,7.12993164062,7.12993164062,7.12993164062,7.12992675781,,,,,,,,
20080542,CSG,7.12996582031,7.12996582031,7.12996582031,7.12996337891,,,,,,,,
20080543,CSG,7.12998291016,7.12998291016,7.12998291016,7.12998168945,,,,,,,,
20080544,CSG,7.12999145508,7.12999145508,7.12999145508,7.12999084473,,,,,,,,
20080545,CSG,7.12999572754,7.12999572754,7.12999572754,7.12999542236,,,,,,,,
20080546,CSG,7.12999786377,7.12999786377,7.12999786377,7.12999771118,,,,,,,,
20080547,CSG,7.12999893188,7.12999893188,7.12999893188,7.12999885559,,,,,,,,
20080548,CSG,7.12999946594,7.12999946594,7.12999946594,7.1299994278,,,,,,,,
20080549,CSG,7.12999973297,7.12999973297,7.12999973297,7.1299997139,,,,,,,,
20080550,CSG,7.12999986649,7.12999986649,7.12999986649,7.12999985695,,,,,,,,
20080551,CSG,7.12999993324,7.12999993324,7.12999993324,7.12999992847,,,,,,,,
20080552,CSG,7.12999996662,7.12999996662,7.12999996662,7.12999996424,,,,,,,,
20080553,CSG,7.12999998331,7.12999998331,7.12999998331,7.12999998212,,,,,,,,
20080554,CSG,7.12999999166,7.12999999166,7.12999999166,7.12999999106,,,,,,,,
20080555,CSG,7.12999999583,7.12999999583,7.12999999583,7.12999999553,,,,,,,,
20080556,CSG,7.12999999791,7.12999999791,7.12999999791,7.12999999776,,,,,,,,
20080557,CSG,7.12999999896,7.12999999896,7.12999999896,7.12999999888,,,,,,,,
20080558,CSG,7.12999999948,7.12999999948,7.12999999948,7.12999999944,,,,,,,,
20080559,CSG,7.12999999974,7.12999999974,7.12999999974,7.12999999972,,,,,,,,
20080560,CSG,7.12999999987,7.12999999987,7.12999999987,7.12999999986,,,,,,,,
20080561,CSG,7.12999999993,7.12999999993,7.12999999993,7.12999999993,,,,,,,,
20080562,CSG,7.12999999997,7.12999999997,7.12999999997,7.12999999997,,,,,,,,
20080563,CSG,7.12999999998,7.12999999998,7.12999999998,7.12999999998,,,,,,,,
20080564,CSG,7.12999999999,7.12999999999,7.12999999999,7.12999999999,,,,,,,,
20080565,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080566,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080567,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080568,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080569,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080570,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080571,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080572,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080573,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080574,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080575,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080576,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080577,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080578,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080579,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080580,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080581,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080582,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080583,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080584,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080585,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080586,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080587,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080588,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080589,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080590,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080591,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080592,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080593,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080594,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080595,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080596,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080597,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080598,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080599,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080600,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080601,CSG,7.13,7.13,7.13,7.13,,,,,,,,
20080602,CSG,7.13,7.13,7.13,7.13,4500.0,9.6,9.6,9.6,9.6,0.0,0.0,0.0
20080603,CSG,7.28,7.28,7.28,7.28,42100.0,9.8,9.8,9.8,9.8,0.0,0.0,0.0
20080604,CSG,7.43,7.43,7.13,7.13,56500.0,10.0,10.0,9.6,9.6,0.0,0.0,0.0
20080605,CSG,7.13,7.13,7.13,7.13,16100.0,9.6,9.6,9.6,9.6,0.0,0.0,0.0
20080606,CSG,6.98,6.98,6.98,6.98,16900.0,9.4,9.4,9.4,9.4,0.0,0.0,0.0
20080607,CSG,6.905,6.98,6.905,6.98,,,,,,,,
20080608,CSG,6.8675,6.98,6.8675,6.98,,,,,,,,
20080609,CSG,6.83,6.98,6.83,6.98,83600.0,9.2,9.4,9.2,9.4,0.0,0.0,0.0
20080610,CSG,6.98,6.98,6.98,6.98,34700.0,8.8,8.8,8.8,8.8,12600.0,0.0,0.0
20080611,CSG,7.14,7.14,7.14,7.14,6500.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0
20080612,CSG,7.3,7.3,7.3,7.3,9200.0,9.2,9.2,9.2,9.2,0.0,0.0,0.0
20080613,CSG,7.46,7.46,7.46,7.46,1300.0,9.4,9.4,9.4,9.4,0.0,0.0,0.0
20080614,CSG,7.54,7.54,7.54,7.54,,,,,,,,
20080615,CSG,7.58,7.58,7.58,7.58,,,,,,,,
20080616,CSG,7.62,7.62,7.62,7.62,1100.0,9.6,9.6,9.6,9.6,0.0,0.0,0.0
20080617,CSG,7.78,7.78,7.78,7.78,3300.0,9.8,9.8,9.8,9.8,0.0,0.0,0.0
20080618,CSG,7.94,7.94,7.62,7.62,104900.0,10.0,10.0,9.6,9.6,0.0,500.0,0.0
20080619,CSG,7.62,7.62,7.62,7.62,32600.0,9.6,9.6,9.6,9.6,0.0,1000.0,0.0
20080620,CSG,7.38,7.62,7.38,7.54,48200.0,9.3,9.6,9.3,9.5,0.0,0.0,0.0
20080621,CSG,7.38,7.62,7.38,7.58,,,,,,,,
20080622,CSG,7.38,7.62,7.38,7.6,,,,,,,,
20080623,CSG,7.38,7.62,7.38,7.62,28500.0,9.3,9.6,9.3,9.6,0.0,0.0,0.0
20080624,CSG,7.86,7.86,7.62,7.86,97100.0,9.9,9.9,9.6,9.9,0.0,0.0,0.0
20080625,CSG,8.1,8.1,7.94,8.09,110900.0,10.2,10.2,10.0,10.2,0.0,0.0,0.0
20080626,CSG,8.41,8.41,7.93,8.33,152900.0,10.6,10.6,10.0,10.5,0.0,0.0,41200.0
20080627,CSG,8.41,8.65,8.01,8.65,99500.0,10.6,10.9,10.1,10.9,0.0,0.0,3800.0
20080628,CSG,8.61,8.73,8.37,8.73,,,,,,,,
20080629,CSG,8.71,8.77,8.55,8.77,,,,,,,,
20080630,CSG,8.81,8.81,8.73,8.81,102000.0,11.1,11.1,11.0,11.1,0.0,0.0,0.0
20080631,CSG,8.97,8.97,8.93,8.97,,,,,,,,
20080632,CSG,9.05,9.05,9.03,9.05,,,,,,,,
20080633,CSG,9.09,9.09,9.08,9.09,,,,,,,,
20080634,CSG,9.11,9.11,9.105,9.11,,,,,,,,
20080635,CSG,9.12,9.12,9.1175,9.12,,,,,,,,
20080636,CSG,9.125,9.125,9.12375,9.125,,,,,,,,
20080637,CSG,9.1275,9.1275,9.126875,9.1275,,,,,,,,
20080638,CSG,9.12875,9.12875,9.1284375,9.12875,,,,,,,,
20080639,CSG,9.129375,9.129375,9.12921875,9.129375,,,,,,,,
20080640,CSG,9.1296875,9.1296875,9.129609375,9.1296875,,,,,,,,
20080641,CSG,9.12984375,9.12984375,9.1298046875,9.12984375,,,,,,,,
20080642,CSG,9.129921875,9.129921875,9.12990234375,9.129921875,,,,,,,,
20080643,CSG,9.1299609375,9.1299609375,9.12995117187,9.1299609375,,,,,,,,
20080644,CSG,9.12998046875,9.12998046875,9.12997558594,9.12998046875,,,,,,,,
20080645,CSG,9.12999023438,9.12999023438,9.12998779297,9.12999023438,,,,,,,,
20080646,CSG,9.12999511719,9.12999511719,9.12999389648,9.12999511719,,,,,,,,
20080647,CSG,9.12999755859,9.12999755859,9.12999694824,9.12999755859,,,,,,,,
20080648,CSG,9.1299987793,9.1299987793,9.12999847412,9.1299987793,,,,,,,,
20080649,CSG,9.12999938965,9.12999938965,9.12999923706,9.12999938965,,,,,,,,
20080650,CSG,9.12999969482,9.12999969482,9.12999961853,9.12999969482,,,,,,,,
20080651,CSG,9.12999984741,9.12999984741,9.12999980927,9.12999984741,,,,,,,,
20080652,CSG,9.12999992371,9.12999992371,9.12999990463,9.12999992371,,,,,,,,
20080653,CSG,9.12999996185,9.12999996185,9.12999995232,9.12999996185,,,,,,,,
20080654,CSG,9.12999998093,9.12999998093,9.12999997616,9.12999998093,,,,,,,,
20080655,CSG,9.12999999046,9.12999999046,9.12999998808,9.12999999046,,,,,,,,
20080656,CSG,9.12999999523,9.12999999523,9.12999999404,9.12999999523,,,,,,,,
20080657,CSG,9.12999999762,9.12999999762,9.12999999702,9.12999999762,,,,,,,,
20080658,CSG,9.12999999881,9.12999999881,9.12999999851,9.12999999881,,,,,,,,
20080659,CSG,9.1299999994,9.1299999994,9.12999999925,9.1299999994,,,,,,,,
20080660,CSG,9.1299999997,9.1299999997,9.12999999963,9.1299999997,,,,,,,,
20080661,CSG,9.12999999985,9.12999999985,9.12999999981,9.12999999985,,,,,,,,
20080662,CSG,9.12999999993,9.12999999993,9.12999999991,9.12999999993,,,,,,,,
20080663,CSG,9.12999999996,9.12999999996,9.12999999995,9.12999999996,,,,,,,,
20080664,CSG,9.12999999998,9.12999999998,9.12999999998,9.12999999998,,,,,,,,
20080665,CSG,9.12999999999,9.12999999999,9.12999999999,9.12999999999,,,,,,,,
20080666,CSG,9.13,9.13,9.12999999999,9.13,,,,,,,,
20080667,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080668,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080669,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080670,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080671,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080672,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080673,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080674,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080675,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080676,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080677,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080678,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080679,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080680,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080681,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080682,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080683,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080684,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080685,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080686,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080687,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080688,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080689,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080690,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080691,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080692,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080693,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080694,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080695,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080696,CSG,9.13,9.13,9.13,9.13,,,,,,,,
20080697,CSG,9.13,9.13,9.13,9.13,,,,,,,,
