<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20090731,CTS,23.95,25.18,19.77,21.62,2779800.0,35.0,36.8,28.9,31.6,0.0,0.0,0.0
20090732,CTS,22.75,23.64,20.455,21.55,,,,,,,,
20090733,CTS,22.15,22.87,20.7975,21.515,,,,,,,,
20090734,CTS,21.85,22.485,20.96875,21.4975,,,,,,,,
20090735,CTS,21.7,22.2925,21.054375,21.48875,,,,,,,,
20090736,CTS,21.625,22.19625,21.0971875,21.484375,,,,,,,,
20090737,CTS,21.5875,22.148125,21.11859375,21.4821875,,,,,,,,
20090738,CTS,21.56875,22.1240625,21.129296875,21.48109375,,,,,,,,
20090739,CTS,21.559375,22.11203125,21.1346484375,21.480546875,,,,,,,,
20090740,CTS,21.5546875,22.106015625,21.1373242188,21.4802734375,,,,,,,,
20090741,CTS,21.55234375,22.1030078125,21.1386621094,21.4801367188,,,,,,,,
20090742,CTS,21.551171875,22.1015039063,21.1393310547,21.4800683594,,,,,,,,
20090743,CTS,21.5505859375,22.1007519531,21.1396655273,21.4800341797,,,,,,,,
20090744,CTS,21.5502929688,22.1003759766,21.1398327637,21.4800170898,,,,,,,,
20090745,CTS,21.5501464844,22.1001879883,21.1399163818,21.4800085449,,,,,,,,
20090746,CTS,21.5500732422,22.1000939941,21.1399581909,21.4800042725,,,,,,,,
20090747,CTS,21.5500366211,22.1000469971,21.1399790955,21.4800021362,,,,,,,,
20090748,CTS,21.5500183105,22.1000234985,21.1399895477,21.4800010681,,,,,,,,
20090749,CTS,21.5500091553,22.1000117493,21.1399947739,21.4800005341,,,,,,,,
20090750,CTS,21.5500045776,22.1000058746,21.1399973869,21.480000267,,,,,,,,
20090751,CTS,21.5500022888,22.1000029373,21.1399986935,21.4800001335,,,,,,,,
20090752,CTS,21.5500011444,22.1000014687,21.1399993467,21.4800000668,,,,,,,,
20090753,CTS,21.5500005722,22.1000007343,21.1399996734,21.4800000334,,,,,,,,
20090754,CTS,21.5500002861,22.1000003672,21.1399998367,21.4800000167,,,,,,,,
20090755,CTS,21.5500001431,22.1000001836,21.1399999183,21.4800000083,,,,,,,,
20090756,CTS,21.5500000715,22.1000000918,21.1399999592,21.4800000042,,,,,,,,
20090757,CTS,21.5500000358,22.1000000459,21.1399999796,21.4800000021,,,,,,,,
20090758,CTS,21.5500000179,22.1000000229,21.1399999898,21.480000001,,,,,,,,
20090759,CTS,21.5500000089,22.1000000115,21.1399999949,21.4800000005,,,,,,,,
20090760,CTS,21.5500000045,22.1000000057,21.1399999974,21.4800000003,,,,,,,,
20090761,CTS,21.5500000022,22.1000000029,21.1399999987,21.4800000001,,,,,,,,
20090762,CTS,21.5500000011,22.1000000014,21.1399999994,21.4800000001,,,,,,,,
20090763,CTS,21.5500000006,22.1000000007,21.1399999997,21.48,,,,,,,,
20090764,CTS,21.5500000003,22.1000000004,21.1399999998,21.48,,,,,,,,
20090765,CTS,21.5500000001,22.1000000002,21.1399999999,21.48,,,,,,,,
20090766,CTS,21.5500000001,22.1000000001,21.14,21.48,,,,,,,,
20090767,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090768,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090769,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090770,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090771,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090772,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090773,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090774,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090775,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090776,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090777,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090778,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090779,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090780,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090781,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090782,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090783,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090784,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090785,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090786,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090787,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090788,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090789,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090790,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090791,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090792,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090793,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090794,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090795,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090796,CTS,21.55,22.1,21.14,21.48,,,,,,,,
20090797,CTS,21.55,22.1,21.14,21.48,,,,,,,,
