<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20161209,CVC,11.8,11.8,11.8,11.8,5000.0,11.8,11.8,11.8,11.8,0.0,0.0,0.0
20161210,CVC,12.55,12.55,12.55,12.55,,,,,,,,
20161211,CVC,12.925,12.925,12.925,12.925,,,,,,,,
20161212,CVC,13.3,13.3,13.3,13.3,1000.0,13.3,13.3,13.3,13.3,0.0,0.0,0.0
20161213,CVC,12.35,12.4,12.35,12.4,,,,,,,,
20161214,CVC,11.875,11.95,11.875,11.95,,,,,,,,
20161215,CVC,11.6375,11.725,11.6375,11.725,,,,,,,,
20161216,CVC,11.51875,11.6125,11.51875,11.6125,,,,,,,,
20161217,CVC,11.459375,11.55625,11.459375,11.55625,,,,,,,,
20161218,CVC,11.4296875,11.528125,11.4296875,11.528125,,,,,,,,
20161219,CVC,11.41484375,11.5140625,11.41484375,11.5140625,,,,,,,,
20161220,CVC,11.407421875,11.50703125,11.407421875,11.50703125,,,,,,,,
20161221,CVC,11.4037109375,11.503515625,11.4037109375,11.503515625,,,,,,,,
20161222,CVC,11.4018554688,11.5017578125,11.4018554688,11.5017578125,,,,,,,,
20161223,CVC,11.4009277344,11.5008789062,11.4009277344,11.5008789062,,,,,,,,
20161224,CVC,11.4004638672,11.5004394531,11.4004638672,11.5004394531,,,,,,,,
20161225,CVC,11.4002319336,11.5002197266,11.4002319336,11.5002197266,,,,,,,,
20161226,CVC,11.4001159668,11.5001098633,11.4001159668,11.5001098633,,,,,,,,
20161227,CVC,11.4000579834,11.5000549316,11.4000579834,11.5000549316,,,,,,,,
20161228,CVC,11.4000289917,11.5000274658,11.4000289917,11.5000274658,,,,,,,,
20161229,CVC,11.4000144958,11.5000137329,11.4000144958,11.5000137329,,,,,,,,
20161230,CVC,11.4000072479,11.5000068665,11.4000072479,11.5000068665,,,,,,,,
20161231,CVC,11.400003624,11.5000034332,11.400003624,11.5000034332,,,,,,,,
20161232,CVC,11.400001812,11.5000017166,11.400001812,11.5000017166,,,,,,,,
20161233,CVC,11.400000906,11.5000008583,11.400000906,11.5000008583,,,,,,,,
20161234,CVC,11.400000453,11.5000004292,11.400000453,11.5000004292,,,,,,,,
20161235,CVC,11.4000002265,11.5000002146,11.4000002265,11.5000002146,,,,,,,,
20161236,CVC,11.4000001132,11.5000001073,11.4000001132,11.5000001073,,,,,,,,
20161237,CVC,11.4000000566,11.5000000536,11.4000000566,11.5000000536,,,,,,,,
20161238,CVC,11.4000000283,11.5000000268,11.4000000283,11.5000000268,,,,,,,,
20161239,CVC,11.4000000142,11.5000000134,11.4000000142,11.5000000134,,,,,,,,
20161240,CVC,11.4000000071,11.5000000067,11.4000000071,11.5000000067,,,,,,,,
20161241,CVC,11.4000000035,11.5000000034,11.4000000035,11.5000000034,,,,,,,,
20161242,CVC,11.4000000018,11.5000000017,11.4000000018,11.5000000017,,,,,,,,
20161243,CVC,11.4000000009,11.5000000008,11.4000000009,11.5000000008,,,,,,,,
20161244,CVC,11.4000000004,11.5000000004,11.4000000004,11.5000000004,,,,,,,,
20161245,CVC,11.4000000002,11.5000000002,11.4000000002,11.5000000002,,,,,,,,
20161246,CVC,11.4000000001,11.5000000001,11.4000000001,11.5000000001,,,,,,,,
20161247,CVC,11.4000000001,11.5000000001,11.4000000001,11.5000000001,,,,,,,,
20161248,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161249,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161250,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161251,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161252,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161253,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161254,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161255,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161256,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161257,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161258,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161259,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161260,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161261,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161262,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161263,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161264,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161265,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161266,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161267,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161268,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161269,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161270,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161271,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161272,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161273,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161274,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161275,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161276,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161277,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161278,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161279,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161280,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161281,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161282,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161283,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161284,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161285,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161286,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161287,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161288,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161289,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161290,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161291,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161292,CVC,11.4,11.5,11.4,11.5,,,,,,,,
20161293,CVC,11.4,11.5,11.4,11.5,,,,,,,,
