<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20110225,D11,27.13,27.13,26.73,26.73,300.0,68.0,68.0,67.0,67.0,0.0,0.0,0.0
20110226,D11,26.93,26.93,25.93,25.935,,,,,,,,
20110227,D11,26.83,26.83,25.53,25.5375,,,,,,,,
20110228,D11,26.73,26.73,25.13,25.14,2000.0,67.0,67.0,63.0,63.0,6500.0,0.0,0.0
20110229,D11,25.835,25.835,24.635,24.64,,,,,,,,
20110230,D11,25.3875,25.3875,24.3875,24.39,,,,,,,,
20110231,D11,25.16375,25.16375,24.26375,24.265,,,,,,,,
20110232,D11,25.051875,25.051875,24.201875,24.2025,,,,,,,,
20110233,D11,24.9959375,24.9959375,24.1709375,24.17125,,,,,,,,
20110234,D11,24.96796875,24.96796875,24.15546875,24.155625,,,,,,,,
20110235,D11,24.953984375,24.953984375,24.147734375,24.1478125,,,,,,,,
20110236,D11,24.9469921875,24.9469921875,24.1438671875,24.14390625,,,,,,,,
20110237,D11,24.9434960937,24.9434960937,24.1419335938,24.141953125,,,,,,,,
20110238,D11,24.9417480469,24.9417480469,24.1409667969,24.1409765625,,,,,,,,
20110239,D11,24.9408740234,24.9408740234,24.1404833984,24.1404882813,,,,,,,,
20110240,D11,24.9404370117,24.9404370117,24.1402416992,24.1402441406,,,,,,,,
20110241,D11,24.9402185059,24.9402185059,24.1401208496,24.1401220703,,,,,,,,
20110242,D11,24.9401092529,24.9401092529,24.1400604248,24.1400610352,,,,,,,,
20110243,D11,24.9400546265,24.9400546265,24.1400302124,24.1400305176,,,,,,,,
20110244,D11,24.9400273132,24.9400273132,24.1400151062,24.1400152588,,,,,,,,
20110245,D11,24.9400136566,24.9400136566,24.1400075531,24.1400076294,,,,,,,,
20110246,D11,24.9400068283,24.9400068283,24.1400037766,24.1400038147,,,,,,,,
20110247,D11,24.9400034142,24.9400034142,24.1400018883,24.1400019073,,,,,,,,
20110248,D11,24.9400017071,24.9400017071,24.1400009441,24.1400009537,,,,,,,,
20110249,D11,24.9400008535,24.9400008535,24.1400004721,24.1400004768,,,,,,,,
20110250,D11,24.9400004268,24.9400004268,24.140000236,24.1400002384,,,,,,,,
20110251,D11,24.9400002134,24.9400002134,24.140000118,24.1400001192,,,,,,,,
20110252,D11,24.9400001067,24.9400001067,24.140000059,24.1400000596,,,,,,,,
20110253,D11,24.9400000533,24.9400000533,24.1400000295,24.1400000298,,,,,,,,
20110254,D11,24.9400000267,24.9400000267,24.1400000148,24.1400000149,,,,,,,,
20110255,D11,24.9400000133,24.9400000133,24.1400000074,24.1400000075,,,,,,,,
20110256,D11,24.9400000067,24.9400000067,24.1400000037,24.1400000037,,,,,,,,
20110257,D11,24.9400000033,24.9400000033,24.1400000018,24.1400000019,,,,,,,,
20110258,D11,24.9400000017,24.9400000017,24.1400000009,24.1400000009,,,,,,,,
20110259,D11,24.9400000008,24.9400000008,24.1400000005,24.1400000005,,,,,,,,
20110260,D11,24.9400000004,24.9400000004,24.1400000002,24.1400000002,,,,,,,,
20110261,D11,24.9400000002,24.9400000002,24.1400000001,24.1400000001,,,,,,,,
20110262,D11,24.9400000001,24.9400000001,24.1400000001,24.1400000001,,,,,,,,
20110263,D11,24.9400000001,24.9400000001,24.14,24.14,,,,,,,,
20110264,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110265,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110266,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110267,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110268,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110269,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110270,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110271,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110272,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110273,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110274,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110275,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110276,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110277,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110278,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110279,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110280,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110281,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110282,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110283,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110284,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110285,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110286,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110287,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110288,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110289,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110290,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110291,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110292,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110293,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110294,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110295,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110296,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110297,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110298,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110299,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110300,D11,24.94,24.94,24.14,24.14,,,,,,,,
20110301,D11,24.94,24.94,24.14,24.14,1700.0,62.5,62.5,60.5,60.5,8800.0,0.0,0.0
20110302,D11,23.96,23.96,23.56,23.56,,,,,,,,
20110303,D11,22.98,22.98,22.98,22.98,100.0,57.6,57.6,57.6,57.6,0.0,0.0,0.0
20110304,D11,21.38,21.38,21.38,21.39,1000.0,53.6,53.6,53.6,53.6,0.0,0.0,0.0
20110305,D11,20.645,20.645,20.645,20.65,,,,,,,,
20110306,D11,20.2775,20.2775,20.2775,20.28,,,,,,,,
20110307,D11,19.91,19.91,19.91,19.91,100.0,49.9,49.9,49.9,49.9,0.0,0.0,0.0
20110308,D11,18.55,18.55,18.55,18.55,100.0,46.5,46.5,46.5,46.5,0.0,0.0,0.0
20110309,D11,17.27,17.27,17.27,17.28,100.0,43.3,43.3,43.3,43.3,6000.0,0.0,0.0
20110310,D11,16.08,18.32,16.08,18.32,7900.0,40.3,45.9,40.3,45.9,10000.0,0.0,0.0
20110311,D11,17.76,17.8,15.57,15.56,13800.0,44.5,44.6,39.0,39.0,0.0,0.0,0.0
20110312,D11,17.835,17.855,15.605,16.36,,,,,,,,
20110313,D11,17.8725,17.8825,15.6225,16.76,,,,,,,,
20110314,D11,17.91,17.91,15.64,17.16,11000.0,44.9,44.9,39.2,43.0,0.0,0.0,0.0
20110315,D11,16.72,16.72,16.72,16.72,200.0,41.9,41.9,41.9,41.9,0.0,0.0,0.0
20110316,D11,17.8,17.8,17.56,17.56,1900.0,44.6,44.6,44.0,44.0,0.0,0.0,0.0
20110317,D11,16.52,17.52,16.52,17.52,2600.0,41.4,43.9,41.4,43.9,0.0,0.0,0.0
20110318,D11,17.72,17.72,17.72,17.72,900.0,44.4,44.4,44.4,44.4,0.0,0.0,0.0
20110319,D11,18.22,18.22,18.14,18.135,,,,,,,,
20110320,D11,18.47,18.47,18.35,18.3425,,,,,,,,
20110321,D11,18.72,18.72,18.56,18.55,6100.0,46.9,46.9,46.5,46.5,0.0,0.0,0.0
20110322,D11,18.55,18.55,18.55,18.55,100.0,46.5,46.5,46.5,46.5,0.0,0.0,0.0
20110323,D11,17.27,17.83,17.27,17.84,5100.0,43.3,44.7,43.3,44.7,0.0,0.0,0.0
20110324,D11,16.64,17.88,16.6,17.88,1300.0,41.7,44.8,41.6,44.8,0.0,0.0,0.0
20110325,D11,15.57,16.52,15.57,15.56,5500.0,39.0,41.4,39.0,39.0,0.0,0.0,0.0
20110326,D11,16.245,16.72,15.265,15.26,,,,,,,,
20110327,D11,16.5825,16.82,15.1125,15.11,,,,,,,,
20110328,D11,16.92,16.92,14.96,14.96,300.0,42.4,42.4,37.5,37.5,0.0,0.0,0.0
20110329,D11,16.44,16.44,15.16,15.16,2300.0,41.2,41.2,38.0,38.0,0.0,0.0,0.0
20110330,D11,15.56,16.32,15.56,16.32,500.0,39.0,40.9,39.0,40.9,0.0,0.0,0.0
20110331,D11,16.72,16.72,15.92,15.92,7200.0,41.9,41.9,39.9,39.9,0.0,0.0,0.0
20110332,D11,16.32,16.32,15.92,15.92,,,,,,,,
20110333,D11,16.12,16.12,15.92,15.92,,,,,,,,
20110334,D11,16.02,16.02,15.92,15.92,,,,,,,,
20110335,D11,15.97,15.97,15.92,15.92,,,,,,,,
20110336,D11,15.945,15.945,15.92,15.92,,,,,,,,
20110337,D11,15.9325,15.9325,15.92,15.92,,,,,,,,
20110338,D11,15.92625,15.92625,15.92,15.92,,,,,,,,
20110339,D11,15.923125,15.923125,15.92,15.92,,,,,,,,
20110340,D11,15.9215625,15.9215625,15.92,15.92,,,,,,,,
20110341,D11,15.92078125,15.92078125,15.92,15.92,,,,,,,,
20110342,D11,15.920390625,15.920390625,15.92,15.92,,,,,,,,
20110343,D11,15.9201953125,15.9201953125,15.92,15.92,,,,,,,,
20110344,D11,15.9200976563,15.9200976563,15.92,15.92,,,,,,,,
20110345,D11,15.9200488281,15.9200488281,15.92,15.92,,,,,,,,
20110346,D11,15.9200244141,15.9200244141,15.92,15.92,,,,,,,,
20110347,D11,15.920012207,15.920012207,15.92,15.92,,,,,,,,
20110348,D11,15.9200061035,15.9200061035,15.92,15.92,,,,,,,,
20110349,D11,15.9200030518,15.9200030518,15.92,15.92,,,,,,,,
20110350,D11,15.9200015259,15.9200015259,15.92,15.92,,,,,,,,
20110351,D11,15.9200007629,15.9200007629,15.92,15.92,,,,,,,,
20110352,D11,15.9200003815,15.9200003815,15.92,15.92,,,,,,,,
20110353,D11,15.9200001907,15.9200001907,15.92,15.92,,,,,,,,
20110354,D11,15.9200000954,15.9200000954,15.92,15.92,,,,,,,,
20110355,D11,15.9200000477,15.9200000477,15.92,15.92,,,,,,,,
20110356,D11,15.9200000238,15.9200000238,15.92,15.92,,,,,,,,
20110357,D11,15.9200000119,15.9200000119,15.92,15.92,,,,,,,,
20110358,D11,15.920000006,15.920000006,15.92,15.92,,,,,,,,
20110359,D11,15.920000003,15.920000003,15.92,15.92,,,,,,,,
20110360,D11,15.9200000015,15.9200000015,15.92,15.92,,,,,,,,
20110361,D11,15.9200000007,15.9200000007,15.92,15.92,,,,,,,,
20110362,D11,15.9200000004,15.9200000004,15.92,15.92,,,,,,,,
20110363,D11,15.9200000002,15.9200000002,15.92,15.92,,,,,,,,
20110364,D11,15.9200000001,15.9200000001,15.92,15.92,,,,,,,,
20110365,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110366,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110367,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110368,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110369,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110370,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110371,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110372,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110373,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110374,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110375,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110376,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110377,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110378,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110379,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110380,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110381,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110382,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110383,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110384,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110385,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110386,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110387,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110388,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110389,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110390,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110391,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110392,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110393,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110394,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110395,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110396,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110397,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110398,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110399,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110400,D11,15.92,15.92,15.92,15.92,,,,,,,,
20110401,D11,15.92,15.92,15.92,15.92,300.0,39.9,39.9,39.9,39.9,0.0,0.0,0.0
20110402,D11,15.92,15.92,15.46,15.82,,,,,,,,
20110403,D11,15.92,15.92,15.23,15.77,,,,,,,,
20110404,D11,15.92,15.92,15.0,15.72,4300.0,39.9,39.9,37.6,39.4,0.0,0.0,0.0
20110405,D11,16.16,16.92,14.76,14.76,4500.0,40.5,42.4,37.0,37.0,0.0,0.0,0.0
20110406,D11,16.71,16.71,16.32,16.32,2000.0,41.9,41.9,40.9,40.9,0.0,0.0,0.0
20110407,D11,16.575,16.575,15.9,15.9,,,,,,,,
20110408,D11,16.44,16.44,15.48,15.48,7000.0,41.2,41.2,38.8,38.8,0.0,0.0,0.0
20110409,D11,16.16,16.16,15.2,15.2,,,,,,,,
20110410,D11,16.02,16.02,15.06,15.06,,,,,,,,
20110411,D11,15.95,15.95,14.99,14.99,,,,,,,,
20110412,D11,15.915,15.915,14.955,14.955,,,,,,,,
