<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20080722,DDM,11.87,11.87,11.87,11.87,133500.0,16.8,16.8,16.8,16.8,0.0,0.0,0.0
20080723,DDM,12.22,12.22,12.22,12.23,10.0,17.3,17.3,17.3,17.3,0.0,0.0,0.0
20080724,DDM,12.58,12.58,12.58,12.58,10.0,17.8,17.8,17.8,17.8,0.0,0.0,0.0
20080725,DDM,12.93,12.93,12.93,12.93,20.0,18.3,18.3,18.3,18.3,0.0,0.0,0.0
20080726,DDM,13.105,13.105,13.105,13.11,,,,,,,,
20080727,DDM,13.1925,13.1925,13.1925,13.2,,,,,,,,
20080728,DDM,13.28,13.28,13.28,13.29,1100.0,18.8,18.8,18.8,18.8,0.0,0.0,0.0
20080729,DDM,13.64,13.64,13.64,13.64,3740.0,19.3,19.3,19.3,19.3,0.0,0.0,0.0
20080730,DDM,13.99,13.99,13.99,14.0,1000.0,19.8,19.8,19.8,19.8,0.0,0.0,0.0
20080731,DDM,14.35,14.35,14.35,14.35,7000.0,20.3,20.3,20.3,20.3,0.0,0.0,0.0
20080732,DDM,14.56,14.56,14.56,14.56,,,,,,,,
20080733,DDM,14.665,14.665,14.665,14.665,,,,,,,,
20080734,DDM,14.7175,14.7175,14.7175,14.7175,,,,,,,,
20080735,DDM,14.74375,14.74375,14.74375,14.74375,,,,,,,,
20080736,DDM,14.756875,14.756875,14.756875,14.756875,,,,,,,,
20080737,DDM,14.7634375,14.7634375,14.7634375,14.7634375,,,,,,,,
20080738,DDM,14.76671875,14.76671875,14.76671875,14.76671875,,,,,,,,
20080739,DDM,14.768359375,14.768359375,14.768359375,14.768359375,,,,,,,,
20080740,DDM,14.7691796875,14.7691796875,14.7691796875,14.7691796875,,,,,,,,
20080741,DDM,14.7695898437,14.7695898437,14.7695898437,14.7695898437,,,,,,,,
20080742,DDM,14.7697949219,14.7697949219,14.7697949219,14.7697949219,,,,,,,,
20080743,DDM,14.7698974609,14.7698974609,14.7698974609,14.7698974609,,,,,,,,
20080744,DDM,14.7699487305,14.7699487305,14.7699487305,14.7699487305,,,,,,,,
20080745,DDM,14.7699743652,14.7699743652,14.7699743652,14.7699743652,,,,,,,,
20080746,DDM,14.7699871826,14.7699871826,14.7699871826,14.7699871826,,,,,,,,
20080747,DDM,14.7699935913,14.7699935913,14.7699935913,14.7699935913,,,,,,,,
20080748,DDM,14.7699967957,14.7699967957,14.7699967957,14.7699967957,,,,,,,,
20080749,DDM,14.7699983978,14.7699983978,14.7699983978,14.7699983978,,,,,,,,
20080750,DDM,14.7699991989,14.7699991989,14.7699991989,14.7699991989,,,,,,,,
20080751,DDM,14.7699995995,14.7699995995,14.7699995995,14.7699995995,,,,,,,,
20080752,DDM,14.7699997997,14.7699997997,14.7699997997,14.7699997997,,,,,,,,
20080753,DDM,14.7699998999,14.7699998999,14.7699998999,14.7699998999,,,,,,,,
20080754,DDM,14.7699999499,14.7699999499,14.7699999499,14.7699999499,,,,,,,,
20080755,DDM,14.769999975,14.769999975,14.769999975,14.769999975,,,,,,,,
20080756,DDM,14.7699999875,14.7699999875,14.7699999875,14.7699999875,,,,,,,,
20080757,DDM,14.7699999937,14.7699999937,14.7699999937,14.7699999937,,,,,,,,
20080758,DDM,14.7699999969,14.7699999969,14.7699999969,14.7699999969,,,,,,,,
20080759,DDM,14.7699999984,14.7699999984,14.7699999984,14.7699999984,,,,,,,,
20080760,DDM,14.7699999992,14.7699999992,14.7699999992,14.7699999992,,,,,,,,
20080761,DDM,14.7699999996,14.7699999996,14.7699999996,14.7699999996,,,,,,,,
20080762,DDM,14.7699999998,14.7699999998,14.7699999998,14.7699999998,,,,,,,,
20080763,DDM,14.7699999999,14.7699999999,14.7699999999,14.7699999999,,,,,,,,
20080764,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080765,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080766,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080767,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080768,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080769,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080770,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080771,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080772,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080773,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080774,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080775,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080776,DDM,14.77,14.77,14.77,14.77,,,,,,,,
20080777,DDM,14.77,14.77,14.77,14.77,,,,,,,,
