<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20091223,DNC,6.6,6.67,6.6,6.67,2600.0,19.6,19.8,19.6,19.8,0.0,0.0,0.0
20091224,DNC,6.6,6.6,6.16,6.6,1000.0,19.6,19.6,18.3,19.6,0.0,0.0,0.0
20091225,DNC,6.4,6.4,6.4,6.4,1500.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0
20091226,DNC,6.435,6.435,6.4,6.4,,,,,,,,
20091227,DNC,6.4525,6.4525,6.4,6.4,,,,,,,,
20091228,DNC,6.46125,6.46125,6.4,6.4,,,,,,,,
20091229,DNC,6.465625,6.465625,6.4,6.4,,,,,,,,
20091230,DNC,6.4678125,6.4678125,6.4,6.4,,,,,,,,
20091231,DNC,6.47,6.47,6.4,6.4,900.0,19.2,19.2,19.0,19.0,0.0,0.0,0.0
20091232,DNC,6.285,6.285,6.25,6.25,,,,,,,,
20091233,DNC,6.1925,6.1925,6.175,6.175,,,,,,,,
20091234,DNC,6.14625,6.14625,6.1375,6.1375,,,,,,,,
20091235,DNC,6.123125,6.123125,6.11875,6.11875,,,,,,,,
20091236,DNC,6.1115625,6.1115625,6.109375,6.109375,,,,,,,,
20091237,DNC,6.10578125,6.10578125,6.1046875,6.1046875,,,,,,,,
20091238,DNC,6.102890625,6.102890625,6.10234375,6.10234375,,,,,,,,
20091239,DNC,6.1014453125,6.1014453125,6.101171875,6.101171875,,,,,,,,
20091240,DNC,6.10072265625,6.10072265625,6.1005859375,6.1005859375,,,,,,,,
20091241,DNC,6.10036132812,6.10036132812,6.10029296875,6.10029296875,,,,,,,,
20091242,DNC,6.10018066406,6.10018066406,6.10014648437,6.10014648437,,,,,,,,
20091243,DNC,6.10009033203,6.10009033203,6.10007324219,6.10007324219,,,,,,,,
20091244,DNC,6.10004516602,6.10004516602,6.10003662109,6.10003662109,,,,,,,,
20091245,DNC,6.10002258301,6.10002258301,6.10001831055,6.10001831055,,,,,,,,
20091246,DNC,6.1000112915,6.1000112915,6.10000915527,6.10000915527,,,,,,,,
20091247,DNC,6.10000564575,6.10000564575,6.10000457764,6.10000457764,,,,,,,,
20091248,DNC,6.10000282288,6.10000282288,6.10000228882,6.10000228882,,,,,,,,
20091249,DNC,6.10000141144,6.10000141144,6.10000114441,6.10000114441,,,,,,,,
20091250,DNC,6.10000070572,6.10000070572,6.1000005722,6.1000005722,,,,,,,,
20091251,DNC,6.10000035286,6.10000035286,6.1000002861,6.1000002861,,,,,,,,
20091252,DNC,6.10000017643,6.10000017643,6.10000014305,6.10000014305,,,,,,,,
20091253,DNC,6.10000008821,6.10000008821,6.10000007153,6.10000007153,,,,,,,,
20091254,DNC,6.10000004411,6.10000004411,6.10000003576,6.10000003576,,,,,,,,
20091255,DNC,6.10000002205,6.10000002205,6.10000001788,6.10000001788,,,,,,,,
20091256,DNC,6.10000001103,6.10000001103,6.10000000894,6.10000000894,,,,,,,,
20091257,DNC,6.10000000551,6.10000000551,6.10000000447,6.10000000447,,,,,,,,
20091258,DNC,6.10000000276,6.10000000276,6.10000000224,6.10000000224,,,,,,,,
20091259,DNC,6.10000000138,6.10000000138,6.10000000112,6.10000000112,,,,,,,,
20091260,DNC,6.10000000069,6.10000000069,6.10000000056,6.10000000056,,,,,,,,
20091261,DNC,6.10000000034,6.10000000034,6.10000000028,6.10000000028,,,,,,,,
20091262,DNC,6.10000000017,6.10000000017,6.10000000014,6.10000000014,,,,,,,,
20091263,DNC,6.10000000009,6.10000000009,6.10000000007,6.10000000007,,,,,,,,
20091264,DNC,6.10000000004,6.10000000004,6.10000000003,6.10000000003,,,,,,,,
20091265,DNC,6.10000000002,6.10000000002,6.10000000002,6.10000000002,,,,,,,,
20091266,DNC,6.10000000001,6.10000000001,6.10000000001,6.10000000001,,,,,,,,
20091267,DNC,6.10000000001,6.10000000001,6.1,6.1,,,,,,,,
20091268,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091269,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091270,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091271,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091272,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091273,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091274,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091275,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091276,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091277,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091278,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091279,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091280,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091281,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091282,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091283,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091284,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091285,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091286,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091287,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091288,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091289,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091290,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091291,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091292,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091293,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091294,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091295,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091296,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091297,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091298,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091299,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091300,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091301,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091302,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091303,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091304,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091305,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091306,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091307,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091308,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091309,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091310,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091311,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091312,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091313,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091314,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091315,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091316,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091317,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091318,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091319,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091320,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091321,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091322,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091323,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091324,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091325,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091326,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091327,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091328,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091329,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091330,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091331,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091332,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091333,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091334,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091335,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091336,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091337,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091338,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091339,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091340,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091341,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091342,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091343,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091344,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091345,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091346,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091347,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091348,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091349,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091350,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091351,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091352,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091353,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091354,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091355,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091356,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091357,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091358,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091359,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091360,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091361,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091362,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091363,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091364,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091365,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091366,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091367,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091368,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091369,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091370,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091371,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091372,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091373,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091374,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091375,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091376,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091377,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091378,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091379,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091380,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091381,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091382,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091383,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091384,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091385,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091386,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091387,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091388,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091389,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091390,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091391,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091392,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091393,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091394,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091395,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091396,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091397,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091398,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091399,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091400,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091401,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091402,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091403,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091404,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091405,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091406,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091407,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091408,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091409,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091410,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091411,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091412,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091413,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091414,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091415,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091416,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091417,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091418,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091419,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091420,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091421,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091422,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091423,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091424,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091425,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091426,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091427,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091428,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091429,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091430,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091431,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091432,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091433,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091434,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091435,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091436,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091437,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091438,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091439,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091440,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091441,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091442,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091443,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091444,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091445,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091446,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091447,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091448,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091449,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091450,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091451,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091452,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091453,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091454,DNC,6.1,6.1,6.1,6.1,,,,,,,,
20091455,DNC,6.1,6.1,6.1,6.1,,,,,,,,
