<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20150717,DP3,17.59,19.02,15.85,16.64,25500.0,22.2,24.0,20.0,21.0,0.0,0.0,0.0
20150718,DP3,17.315,18.03,15.415,15.845,,,,,,,,
20150719,DP3,17.1775,17.535,15.1975,15.4475,,,,,,,,
20150720,DP3,17.04,17.04,14.98,15.05,2500.0,21.5,21.5,18.9,19.0,0.0,0.0,0.0
20150721,DP3,15.05,15.68,15.05,15.69,11000.0,19.0,19.8,19.0,19.8,0.0,0.0,0.0
20150722,DP3,15.69,16.48,15.69,16.48,23950.0,19.8,20.8,19.8,20.8,0.0,0.0,0.0
20150723,DP3,15.45,15.61,15.45,15.45,11700.0,19.5,19.7,19.5,19.5,0.0,0.0,0.0
20150724,DP3,15.45,15.69,15.37,15.69,6300.0,19.5,19.8,19.4,19.8,0.0,0.0,0.0
20150725,DP3,15.65,15.93,15.61,15.77,,,,,,,,
20150726,DP3,15.75,16.05,15.73,15.81,,,,,,,,
20150727,DP3,15.85,16.17,15.85,15.85,4100.0,20.0,20.4,20.0,20.0,0.0,0.0,0.0
20150728,DP3,15.85,16.17,15.85,16.08,7600.0,20.0,20.4,20.0,20.3,92.0,0.0,0.0
20150729,DP3,15.84,16.48,15.84,15.93,6000.0,20.0,20.8,20.0,20.1,69.0,0.0,0.0
20150730,DP3,15.85,15.93,15.85,15.93,700.0,20.0,20.1,20.0,20.1,0.0,0.0,0.0
20150731,DP3,15.93,15.93,15.93,15.93,1000.0,20.1,20.1,20.1,20.1,0.0,0.0,0.0
20150732,DP3,15.93,16.09,15.93,16.085,,,,,,,,
20150733,DP3,15.93,16.17,15.93,16.1625,,,,,,,,
20150734,DP3,15.93,16.21,15.93,16.20125,,,,,,,,
20150735,DP3,15.93,16.23,15.93,16.220625,,,,,,,,
20150736,DP3,15.93,16.24,15.93,16.2303125,,,,,,,,
20150737,DP3,15.93,16.245,15.93,16.23515625,,,,,,,,
20150738,DP3,15.93,16.2475,15.93,16.237578125,,,,,,,,
20150739,DP3,15.93,16.24875,15.93,16.2387890625,,,,,,,,
20150740,DP3,15.93,16.249375,15.93,16.2393945312,,,,,,,,
20150741,DP3,15.93,16.2496875,15.93,16.2396972656,,,,,,,,
20150742,DP3,15.93,16.24984375,15.93,16.2398486328,,,,,,,,
20150743,DP3,15.93,16.249921875,15.93,16.2399243164,,,,,,,,
20150744,DP3,15.93,16.2499609375,15.93,16.2399621582,,,,,,,,
20150745,DP3,15.93,16.2499804687,15.93,16.2399810791,,,,,,,,
20150746,DP3,15.93,16.2499902344,15.93,16.2399905396,,,,,,,,
20150747,DP3,15.93,16.2499951172,15.93,16.2399952698,,,,,,,,
20150748,DP3,15.93,16.2499975586,15.93,16.2399976349,,,,,,,,
20150749,DP3,15.93,16.2499987793,15.93,16.2399988174,,,,,,,,
20150750,DP3,15.93,16.2499993896,15.93,16.2399994087,,,,,,,,
20150751,DP3,15.93,16.2499996948,15.93,16.2399997044,,,,,,,,
20150752,DP3,15.93,16.2499998474,15.93,16.2399998522,,,,,,,,
20150753,DP3,15.93,16.2499999237,15.93,16.2399999261,,,,,,,,
20150754,DP3,15.93,16.2499999619,15.93,16.239999963,,,,,,,,
20150755,DP3,15.93,16.2499999809,15.93,16.2399999815,,,,,,,,
20150756,DP3,15.93,16.2499999905,15.93,16.2399999908,,,,,,,,
20150757,DP3,15.93,16.2499999952,15.93,16.2399999954,,,,,,,,
20150758,DP3,15.93,16.2499999976,15.93,16.2399999977,,,,,,,,
