<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170324,DTG,28.39,28.39,28.39,28.39,100.0,28.8,28.8,28.8,28.8,0.0,0.0,0.0
20170325,DTG,28.39,28.39,28.39,28.39,,,,,,,,
20170326,DTG,28.39,28.39,28.39,28.39,,,,,,,,
20170327,DTG,28.39,28.39,28.39,28.39,,,,,,,,
20170328,DTG,28.39,28.39,28.39,28.39,100.0,28.8,28.8,28.8,28.8,0.0,100.0,0.0
20170329,DTG,29.475,29.475,29.475,29.475,,,,,,,,
20170330,DTG,30.0175,30.0175,30.0175,30.0175,,,,,,,,
20170331,DTG,30.28875,30.28875,30.28875,30.28875,,,,,,,,
20170332,DTG,30.424375,30.424375,30.424375,30.424375,,,,,,,,
20170333,DTG,30.4921875,30.4921875,30.4921875,30.4921875,,,,,,,,
20170334,DTG,30.52609375,30.52609375,30.52609375,30.52609375,,,,,,,,
20170335,DTG,30.543046875,30.543046875,30.543046875,30.543046875,,,,,,,,
20170336,DTG,30.5515234375,30.5515234375,30.5515234375,30.5515234375,,,,,,,,
20170337,DTG,30.5557617187,30.5557617187,30.5557617187,30.5557617187,,,,,,,,
20170338,DTG,30.5578808594,30.5578808594,30.5578808594,30.5578808594,,,,,,,,
20170339,DTG,30.5589404297,30.5589404297,30.5589404297,30.5589404297,,,,,,,,
20170340,DTG,30.5594702148,30.5594702148,30.5594702148,30.5594702148,,,,,,,,
20170341,DTG,30.5597351074,30.5597351074,30.5597351074,30.5597351074,,,,,,,,
20170342,DTG,30.5598675537,30.5598675537,30.5598675537,30.5598675537,,,,,,,,
20170343,DTG,30.5599337769,30.5599337769,30.5599337769,30.5599337769,,,,,,,,
20170344,DTG,30.5599668884,30.5599668884,30.5599668884,30.5599668884,,,,,,,,
20170345,DTG,30.5599834442,30.5599834442,30.5599834442,30.5599834442,,,,,,,,
20170346,DTG,30.5599917221,30.5599917221,30.5599917221,30.5599917221,,,,,,,,
20170347,DTG,30.5599958611,30.5599958611,30.5599958611,30.5599958611,,,,,,,,
20170348,DTG,30.5599979305,30.5599979305,30.5599979305,30.5599979305,,,,,,,,
20170349,DTG,30.5599989653,30.5599989653,30.5599989653,30.5599989653,,,,,,,,
20170350,DTG,30.5599994826,30.5599994826,30.5599994826,30.5599994826,,,,,,,,
20170351,DTG,30.5599997413,30.5599997413,30.5599997413,30.5599997413,,,,,,,,
20170352,DTG,30.5599998707,30.5599998707,30.5599998707,30.5599998707,,,,,,,,
20170353,DTG,30.5599999353,30.5599999353,30.5599999353,30.5599999353,,,,,,,,
20170354,DTG,30.5599999677,30.5599999677,30.5599999677,30.5599999677,,,,,,,,
