<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170113,FTS,13.87,14.45,13.87,13.87,166550.0,14.4,15.0,14.4,14.4,0.0,0.0,0.0
20170114,FTS,13.39,13.68,13.39,13.39,,,,,,,,
20170115,FTS,13.15,13.295,13.15,13.15,,,,,,,,
20170116,FTS,12.91,12.91,12.91,12.91,10030.0,13.4,13.4,13.4,13.4,0.0,0.0,0.0
20170117,FTS,12.04,12.52,12.04,12.14,694980.0,12.5,13.0,12.5,12.6,0.0,250000.0,0.0
20170118,FTS,11.56,12.53,11.56,12.43,222960.0,12.0,13.0,12.0,12.9,0.0,160100.0,0.0
20170119,FTS,12.43,12.43,12.04,12.04,59170.0,12.9,12.9,12.5,12.5,0.0,0.0,0.0
20170120,FTS,12.14,12.71,12.04,12.57,123330.0,12.6,13.2,12.5,13.05,0.0,18400.0,0.0
20170121,FTS,12.355,12.64,11.87,12.38,,,,,,,,
20170122,FTS,12.4625,12.605,11.785,12.285,,,,,,,,
20170123,FTS,12.57,12.57,11.7,12.19,39700.0,13.05,13.05,12.15,12.65,0.0,0.0,0.0
20170124,FTS,12.33,12.48,12.19,12.43,86250.0,12.8,12.95,12.65,12.9,1000000.0,1000000.0,0.0
20170125,FTS,12.53,12.67,12.43,12.62,46230.0,13.0,13.15,12.9,13.1,0.0,0.0,0.0
20170126,FTS,12.625,12.695,12.43,12.55,,,,,,,,
20170127,FTS,12.6725,12.7075,12.43,12.515,,,,,,,,
20170128,FTS,12.69625,12.71375,12.43,12.4975,,,,,,,,
20170129,FTS,12.708125,12.716875,12.43,12.48875,,,,,,,,
20170130,FTS,12.7140625,12.7184375,12.43,12.484375,,,,,,,,
20170131,FTS,12.71703125,12.71921875,12.43,12.4821875,,,,,,,,
20170132,FTS,12.718515625,12.719609375,12.43,12.48109375,,,,,,,,
20170133,FTS,12.7192578125,12.7198046875,12.43,12.480546875,,,,,,,,
20170134,FTS,12.7196289063,12.7199023438,12.43,12.4802734375,,,,,,,,
20170135,FTS,12.7198144531,12.7199511719,12.43,12.4801367187,,,,,,,,
20170136,FTS,12.7199072266,12.7199755859,12.43,12.4800683594,,,,,,,,
20170137,FTS,12.7199536133,12.719987793,12.43,12.4800341797,,,,,,,,
20170138,FTS,12.7199768066,12.7199938965,12.43,12.4800170898,,,,,,,,
20170139,FTS,12.7199884033,12.7199969482,12.43,12.4800085449,,,,,,,,
20170140,FTS,12.7199942017,12.7199984741,12.43,12.4800042725,,,,,,,,
20170141,FTS,12.7199971008,12.7199992371,12.43,12.4800021362,,,,,,,,
20170142,FTS,12.7199985504,12.7199996185,12.43,12.4800010681,,,,,,,,
20170143,FTS,12.7199992752,12.7199998093,12.43,12.4800005341,,,,,,,,
20170144,FTS,12.7199996376,12.7199999046,12.43,12.480000267,,,,,,,,
20170145,FTS,12.7199998188,12.7199999523,12.43,12.4800001335,,,,,,,,
20170146,FTS,12.7199999094,12.7199999762,12.43,12.4800000668,,,,,,,,
20170147,FTS,12.7199999547,12.7199999881,12.43,12.4800000334,,,,,,,,
20170148,FTS,12.7199999774,12.719999994,12.43,12.4800000167,,,,,,,,
20170149,FTS,12.7199999887,12.719999997,12.43,12.4800000083,,,,,,,,
20170150,FTS,12.7199999943,12.7199999985,12.43,12.4800000042,,,,,,,,
20170151,FTS,12.7199999972,12.7199999993,12.43,12.4800000021,,,,,,,,
20170152,FTS,12.7199999986,12.7199999996,12.43,12.480000001,,,,,,,,
20170153,FTS,12.7199999993,12.7199999998,12.43,12.4800000005,,,,,,,,
20170154,FTS,12.7199999996,12.7199999999,12.43,12.4800000003,,,,,,,,
20170155,FTS,12.7199999998,12.72,12.43,12.4800000001,,,,,,,,
20170156,FTS,12.7199999999,12.72,12.43,12.4800000001,,,,,,,,
20170157,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170158,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170159,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170160,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170161,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170162,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170163,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170164,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170165,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170166,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170167,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170168,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170169,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170170,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170171,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170172,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170173,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170174,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170175,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170176,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170177,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170178,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170179,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170180,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170181,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170182,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170183,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170184,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170185,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170186,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170187,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170188,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170189,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170190,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170191,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170192,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170193,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170194,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170195,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170196,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170197,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170198,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170199,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170200,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170201,FTS,12.72,12.72,12.43,12.48,,,,,,,,
20170202,FTS,12.72,12.72,12.43,12.48,79300.0,13.2,13.2,12.9,12.95,0.0,0.0,0.0
20170203,FTS,12.43,12.53,12.34,12.48,212360.0,12.9,13.0,12.8,12.95,0.0,130000.0,0.0
20170204,FTS,12.385,12.555,12.34,12.525,,,,,,,,
20170205,FTS,12.3625,12.5675,12.34,12.5475,,,,,,,,
20170206,FTS,12.34,12.58,12.34,12.57,32990.0,12.8,13.05,12.8,13.05,0.0,13830.0,0.0
20170207,FTS,12.62,12.62,12.43,12.48,25790.0,13.1,13.1,12.9,12.95,0.0,0.0,0.0
20170208,FTS,12.34,12.53,12.34,12.53,38560.0,12.8,13.0,12.8,13.0,0.0,17920.0,0.0
20170209,FTS,12.43,12.48,12.34,12.48,48610.0,12.9,12.95,12.8,12.95,0.0,0.0,0.0
20170210,FTS,12.48,12.53,12.29,12.53,69740.0,12.95,13.0,12.75,13.0,0.0,52770.0,0.0
20170211,FTS,12.505,12.53,12.34,12.455,,,,,,,,
20170212,FTS,12.5175,12.53,12.365,12.4175,,,,,,,,
20170213,FTS,12.53,12.53,12.39,12.38,21090.0,13.0,13.0,12.85,12.85,0.0,0.0,0.0
20170214,FTS,12.43,12.43,12.24,12.24,56450.0,12.9,12.9,12.7,12.7,0.0,2000.0,0.0
20170215,FTS,12.34,12.48,12.24,12.48,34830.0,12.8,12.95,12.7,12.95,0.0,4000.0,0.0
20170216,FTS,12.48,12.53,12.43,12.48,76540.0,12.95,13.0,12.9,12.95,0.0,55480.0,0.0
20170217,FTS,12.43,12.53,12.38,12.53,37130.0,12.9,13.0,12.85,13.0,0.0,30400.0,0.0
20170218,FTS,12.53,12.965,12.505,12.915,,,,,,,,
20170219,FTS,12.58,13.1825,12.5675,13.1075,,,,,,,,
20170220,FTS,12.63,13.4,12.63,13.3,205700.0,13.1,13.9,13.1,13.8,0.0,0.0,0.0
20170221,FTS,13.4,13.49,13.11,13.1,50710.0,13.9,14.0,13.6,13.6,0.0,0.0,0.0
20170222,FTS,13.29,13.29,13.15,13.15,34540.0,13.8,13.8,13.65,13.65,0.0,0.0,0.0
20170223,FTS,12.72,12.91,12.67,12.72,64840.0,13.2,13.4,13.15,13.2,0.0,0.0,0.0
20170224,FTS,12.62,12.72,12.53,12.53,55620.0,13.1,13.2,13.0,13.0,0.0,0.0,0.0
20170225,FTS,12.815,13.01,12.48,12.77,,,,,,,,
