<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20091117,GDT,11.83,11.83,11.83,11.83,213340.0,36.0,36.0,36.0,36.0,0.0,3000.0,0.0
20091118,GDT,12.39,12.39,12.09,12.13,71640.0,37.7,37.7,36.8,36.9,0.0,200.0,0.0
20091119,GDT,11.54,11.8,11.54,11.54,31280.0,35.1,35.9,35.1,35.1,0.0,0.0,0.0
20091120,GDT,10.98,10.98,10.98,10.98,17680.0,33.4,33.4,33.4,33.4,0.0,0.0,0.0
20091121,GDT,10.715,10.715,10.715,10.715,,,,,,,,
20091122,GDT,10.5825,10.5825,10.5825,10.5825,,,,,,,,
20091123,GDT,10.45,10.45,10.45,10.45,3190.0,31.8,31.8,31.8,31.8,0.0,0.0,0.0
20091124,GDT,9.96,10.19,9.96,9.96,109190.0,30.3,31.0,30.3,30.3,20000.0,0.0,0.0
20091125,GDT,9.47,9.5,9.47,9.47,44130.0,28.8,28.9,28.8,28.8,0.0,0.0,0.0
20091126,GDT,9.01,9.01,9.01,9.01,1710.0,27.4,27.4,27.4,27.4,0.0,0.0,0.0
20091127,GDT,9.01,9.44,8.58,8.58,105290.0,27.4,28.7,26.1,26.1,0.0,0.0,0.0
20091128,GDT,8.795,9.01,8.365,8.365,,,,,,,,
20091129,GDT,8.6875,8.795,8.2575,8.2575,,,,,,,,
20091130,GDT,8.58,8.58,8.15,8.15,50890.0,26.1,26.1,24.8,24.8,0.0,0.0,0.0
20091131,GDT,8.48,8.56,8.2,8.35,,,,,,,,
20091132,GDT,8.43,8.55,8.225,8.45,,,,,,,,
20091133,GDT,8.405,8.545,8.2375,8.5,,,,,,,,
20091134,GDT,8.3925,8.5425,8.24375,8.525,,,,,,,,
20091135,GDT,8.38625,8.54125,8.246875,8.5375,,,,,,,,
20091136,GDT,8.383125,8.540625,8.2484375,8.54375,,,,,,,,
20091137,GDT,8.3815625,8.5403125,8.24921875,8.546875,,,,,,,,
20091138,GDT,8.38078125,8.54015625,8.249609375,8.5484375,,,,,,,,
20091139,GDT,8.380390625,8.540078125,8.2498046875,8.54921875,,,,,,,,
20091140,GDT,8.3801953125,8.5400390625,8.24990234375,8.549609375,,,,,,,,
20091141,GDT,8.38009765625,8.54001953125,8.24995117188,8.5498046875,,,,,,,,
20091142,GDT,8.38004882813,8.54000976562,8.24997558594,8.54990234375,,,,,,,,
20091143,GDT,8.38002441406,8.54000488281,8.24998779297,8.54995117188,,,,,,,,
20091144,GDT,8.38001220703,8.54000244141,8.24999389648,8.54997558594,,,,,,,,
20091145,GDT,8.38000610352,8.5400012207,8.24999694824,8.54998779297,,,,,,,,
20091146,GDT,8.38000305176,8.54000061035,8.24999847412,8.54999389648,,,,,,,,
20091147,GDT,8.38000152588,8.54000030518,8.24999923706,8.54999694824,,,,,,,,
20091148,GDT,8.38000076294,8.54000015259,8.24999961853,8.54999847412,,,,,,,,
20091149,GDT,8.38000038147,8.54000007629,8.24999980927,8.54999923706,,,,,,,,
20091150,GDT,8.38000019073,8.54000003815,8.24999990463,8.54999961853,,,,,,,,
20091151,GDT,8.38000009537,8.54000001907,8.24999995232,8.54999980927,,,,,,,,
20091152,GDT,8.38000004768,8.54000000954,8.24999997616,8.54999990463,,,,,,,,
20091153,GDT,8.38000002384,8.54000000477,8.24999998808,8.54999995232,,,,,,,,
