<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20110331,GER,2.93,2.93,2.93,2.93,100.0,9.5,9.5,9.5,9.5,0.0,0.0,0.0
20110332,GER,2.345,2.345,2.345,2.345,,,,,,,,
20110333,GER,2.0525,2.0525,2.0525,2.0525,,,,,,,,
20110334,GER,1.90625,1.90625,1.90625,1.90625,,,,,,,,
20110335,GER,1.833125,1.833125,1.833125,1.833125,,,,,,,,
20110336,GER,1.7965625,1.7965625,1.7965625,1.7965625,,,,,,,,
20110337,GER,1.77828125,1.77828125,1.77828125,1.77828125,,,,,,,,
20110338,GER,1.769140625,1.769140625,1.769140625,1.769140625,,,,,,,,
20110339,GER,1.7645703125,1.7645703125,1.7645703125,1.7645703125,,,,,,,,
20110340,GER,1.76228515625,1.76228515625,1.76228515625,1.76228515625,,,,,,,,
20110341,GER,1.76114257812,1.76114257812,1.76114257812,1.76114257812,,,,,,,,
20110342,GER,1.76057128906,1.76057128906,1.76057128906,1.76057128906,,,,,,,,
20110343,GER,1.76028564453,1.76028564453,1.76028564453,1.76028564453,,,,,,,,
20110344,GER,1.76014282227,1.76014282227,1.76014282227,1.76014282227,,,,,,,,
20110345,GER,1.76007141113,1.76007141113,1.76007141113,1.76007141113,,,,,,,,
20110346,GER,1.76003570557,1.76003570557,1.76003570557,1.76003570557,,,,,,,,
20110347,GER,1.76001785278,1.76001785278,1.76001785278,1.76001785278,,,,,,,,
20110348,GER,1.76000892639,1.76000892639,1.76000892639,1.76000892639,,,,,,,,
20110349,GER,1.7600044632,1.7600044632,1.7600044632,1.7600044632,,,,,,,,
20110350,GER,1.7600022316,1.7600022316,1.7600022316,1.7600022316,,,,,,,,
20110351,GER,1.7600011158,1.7600011158,1.7600011158,1.7600011158,,,,,,,,
20110352,GER,1.7600005579,1.7600005579,1.7600005579,1.7600005579,,,,,,,,
20110353,GER,1.76000027895,1.76000027895,1.76000027895,1.76000027895,,,,,,,,
20110354,GER,1.76000013947,1.76000013947,1.76000013947,1.76000013947,,,,,,,,
