<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20160406,HBI,14.2,14.2,14.2,14.2,100.0,14.2,14.2,14.2,14.2,0.0,0.0,0.0
20160407,HBI,16.1,16.1,16.1,16.1,,,,,,,,
20160408,HBI,17.05,17.05,17.05,17.05,,,,,,,,
20160409,HBI,17.525,17.525,17.525,17.525,,,,,,,,
20160410,HBI,17.7625,17.7625,17.7625,17.7625,,,,,,,,
20160411,HBI,17.88125,17.88125,17.88125,17.88125,,,,,,,,
20160412,HBI,17.940625,17.940625,17.940625,17.940625,,,,,,,,
20160413,HBI,17.9703125,17.9703125,17.9703125,17.9703125,,,,,,,,
20160414,HBI,17.98515625,17.98515625,17.98515625,17.98515625,,,,,,,,
20160415,HBI,17.992578125,17.992578125,17.992578125,17.992578125,,,,,,,,
20160416,HBI,17.9962890625,17.9962890625,17.9962890625,17.9962890625,,,,,,,,
20160417,HBI,17.9981445312,17.9981445312,17.9981445312,17.9981445312,,,,,,,,
20160418,HBI,17.9990722656,17.9990722656,17.9990722656,17.9990722656,,,,,,,,
20160419,HBI,17.9995361328,17.9995361328,17.9995361328,17.9995361328,,,,,,,,
20160420,HBI,17.9997680664,17.9997680664,17.9997680664,17.9997680664,,,,,,,,
20160421,HBI,17.9998840332,17.9998840332,17.9998840332,17.9998840332,,,,,,,,
20160422,HBI,17.9999420166,17.9999420166,17.9999420166,17.9999420166,,,,,,,,
20160423,HBI,17.9999710083,17.9999710083,17.9999710083,17.9999710083,,,,,,,,
20160424,HBI,17.9999855042,17.9999855042,17.9999855042,17.9999855042,,,,,,,,
20160425,HBI,17.9999927521,17.9999927521,17.9999927521,17.9999927521,,,,,,,,
20160426,HBI,17.999996376,17.999996376,17.999996376,17.999996376,,,,,,,,
20160427,HBI,17.999998188,17.999998188,17.999998188,17.999998188,,,,,,,,
20160428,HBI,17.999999094,17.999999094,17.999999094,17.999999094,,,,,,,,
20160429,HBI,17.999999547,17.999999547,17.999999547,17.999999547,,,,,,,,
20160430,HBI,17.9999997735,17.9999997735,17.9999997735,17.9999997735,,,,,,,,
20160431,HBI,17.9999998868,17.9999998868,17.9999998868,17.9999998868,,,,,,,,
20160432,HBI,17.9999999434,17.9999999434,17.9999999434,17.9999999434,,,,,,,,
20160433,HBI,17.9999999717,17.9999999717,17.9999999717,17.9999999717,,,,,,,,
20160434,HBI,17.9999999858,17.9999999858,17.9999999858,17.9999999858,,,,,,,,
20160435,HBI,17.9999999929,17.9999999929,17.9999999929,17.9999999929,,,,,,,,
20160436,HBI,17.9999999965,17.9999999965,17.9999999965,17.9999999965,,,,,,,,
20160437,HBI,17.9999999982,17.9999999982,17.9999999982,17.9999999982,,,,,,,,
20160438,HBI,17.9999999991,17.9999999991,17.9999999991,17.9999999991,,,,,,,,
20160439,HBI,17.9999999996,17.9999999996,17.9999999996,17.9999999996,,,,,,,,
20160440,HBI,17.9999999998,17.9999999998,17.9999999998,17.9999999998,,,,,,,,
20160441,HBI,17.9999999999,17.9999999999,17.9999999999,17.9999999999,,,,,,,,
20160442,HBI,17.9999999999,17.9999999999,17.9999999999,17.9999999999,,,,,,,,
20160443,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160444,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160445,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160446,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160447,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160448,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160449,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160450,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160451,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160452,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160453,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160454,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160455,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160456,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160457,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160458,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160459,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160460,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160461,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160462,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160463,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160464,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160465,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160466,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160467,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160468,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160469,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160470,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160471,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160472,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160473,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160474,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160475,HBI,18.0,18.0,18.0,18.0,,,,,,,,
20160476,HBI,18.0,18.0,18.0,18.0,,,,,,,,
